Proxy-Core-ID,Longitude,Latitude
M23323-1_UK37,5.92,67.77
M23323-1_Foram,5.92,67.77
V28-14,-29.57,64.78
EW9302-JPC8,-25,61.42
ODP 980,-14.7,55.48
NA87-25,-14.73,55.18
V27-20,-46.2,54
M23414-9,-20.29,53.53
NEAP18k,-30.35,52.76
V23-82,-21.93,52.58
K708-1,-23.74,50
MD04-2845,-5.22,45.35
V29-179,-23.51,44
SU92-03,-10.11,43.2
D-117,-52.75,42.1
CH69-K09,-47.35,41.76
V30-97,-32.93,41
MD95-2040_UK37,-9.86,40.58
MD95-2040_Foram,-9.86,40.58
SU90-03,-32.05,40.5
MD01-2444_UK37,-10.13,37.57
MD01-2444_MgCa,-10.13,37.57
MD95-2036,-57.57,33.68
KNR140-37JPC,-75.42,31.68
MD02-2575,-87.11,29
GIK15637-1,-18.98,27
M12392-1,-16.85,25.16
TR126-29,-93.95,21.33
TR126-23,-95.62,20.48
M35027-1,-67.17,17.64
V22-196,-18.97,13.83
V28-127,-80.13,11.65
MD03-2707,9.39,2.5
V25-59,-33.48,1.37
Y7211-1,-126.38,43.25
ODP1020,-126.43,41
ODP1018,-123.27,36.99
MD01-2421,141.78,36.02
ODP893,-120.03,34.28
ODP1014A,-118.9,32.8
ODP1012,-118.38,32.28
LAPAZ21,-109.47,22.98
ODP1145,117.63,19.53
ODP1146,116.27,19.45
MD97-2151,109.87,8.73
GIK17961-2,112.33,8.5
V28-238,160.48,1.02
W8402A,-138.95,0.95
TR163-22,-92.4,0.5
ODP846,-90.82,-3.08
V19-29,-83.22,-3.57
Y71-6-12,-77.57,-16.45
MD06-3018,166.13,-23
MD97-2121,177.98,-40.38
RC15-61,-77.2,-40.62
ODP1123,-171.5,-41.79
MD97-2106,146.29,-45.15
DSDP594,174.95,-45.5
MD97-2120,174.93,-45.52
Y9,177.37,-48.24
MD97-2108,149.11,-48.5
MD97-2109,169.38,-50.63
V34-88,59.53,16.52
RC12-339,90.03,9.13
GeoB10038-4_MgCa,103.25,-5.94
GeoB10038-4_UK37,103.25,-5.94
MD01-2378,121.79,-13.08
V28-345,117.95,-17.67
MD94-101,79.42,-42.5
MD84-527,51.2,-43.49
MD94-102,79.83,-43.5
MD73-25,51.3,-43.82
MD88-770_Diatom,96.47,-46.01
MD88-770_Foram,96.47,-46.01
MD02-2488,88.02,-46.45
V22-182_Foram,-17.27,-0.55
V22-182_Cocc,-17.27,-0.55
ODP 662,-11.74,-1.38
GeoB1105_UK37,-12.43,-1.67
GeoB1105_Foram,-12.43,-1.67
GeoB1105_MgCa,-12.43,-1.67
RC13-205_Foram,5.18,-2.28
RC13-205_Radiolaria,5.18,-2.28
GeoB1112_MgCa,-10.74,-5.77
GeoB1112_Foram,-10.74,-5.77
V22-38_Foram,-34.25,-9.51
V22-38_Cocc,-34.25,-9.51
V22-174_Foram,-12.82,-10.07
V22-174_Cocc,-12.82,-10.07
RC13-228_Foram,11.3,-22.33
RC13-228-228_Cocc,11.3,-22.33
RC13-228_Radiolaria,11.3,-22.33
GeoB1711-4,12.38,-23.31
GeoB1710-3,11.7,-23.43
RC13-229_Foram,11.3,-25.5
RC13-229_Radiolaria,11.3,-25.5
RC11-86_Foram,18.45,-35.78
RC11-86_Cocc,18.45,-35.78
MD96-2080,19.47,-36.32
RC12-294_Foram,-10.1,-37.27
RC12-294_Cocc,-10.1,-37.27
ODP 1089_UK37,9.9,-40.93
ODP 1089_Radiolaria,9.9,-40.93
PS2489-2,8.97,-42.9
