# NOAA Paleoclimatology Program - Paleocean Site Data
# 1112-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Dirk Nuernberg
# Core/Site:      1112
# Latitude:       5.46.12S	( -5.77)
# Longitude:      10.44.42W	( -10.745)
# Water Depth(m): 3122
#
# Publications:
#   Nuernberg, D., A. Mueller, and R.R. Schneider. 2000. Paleo-sea surface temperature
#     calculations in the equatorial east Atlantic from Mg/Ca ratios in planktic foraminifera.
#     Paleoceanography 15(1):124-134.
#------------------
#
# Description & Notes:
#   Equatorial east Atlantic sea surface temperatures from Mg/Ca.
#   Relative standard deviation is < 1% for Mg and Ca, the relative error in terms
#   of SST is + 0.4°C
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca         Magnesium/Calcium ratio
#             sst           Sea Surface Temperature (C)
#
# CORE: 1112
depth	yrBP 	Mg/Ca	sst	
1	1000	3.56	26.1	
3	1708	3.65	26.4	
8	3519.6	3.58	26.2	
13	5340.4	3.78	26.9	
18	7142.8	3.53	26	
23	8954.4	3.84	27.1	
28	10766	3.65	26.4	
33	12574.5	3.78	26.9	
38	14383	3.68	-999	
38	14383	3.52	-999	
38	14383	-999	26.5	
38	14383	-999	25.9	
43	16191.5	3.5	25.9	
48	18000	2.85	23.2	
53	19958.3	3.22	24.8	
58	21916.7	2.93	23.5	
63	23875	3.11	24.3	
68	25833.3	3.24	24.8	
73	27791.7	2.96	23.7	
78	29750	2.9	23.4	
83	31708.3	3.18	24.6	
88	33666.7	3.1	24.3	
93	35625	3.1	24.3	
98	37583.3	3.2	24.7	
103	39541.7	3.21	24.7	
108	41500	3.44	25.6	
113	43458.3	3.37	25.4	
118	45416.7	3.35	25.3	
123	47375	3.12	24.3	
128	49333.3	3.18	24.6	
133	51291.7	3.27	25	
138	53250	3.24	24.8	
143	55208.3	3.47	25.8	
148	57166.7	3.53	26	
153	59125	3.27	25	
158	61083.3	3.61	26.3	
163	63041.7	3.29	25	
168	65000	3.16	24.5	
173	67750	3.03	24	
178	70500	3.38	25.4	
183	73250	3.29	25.1	
188	76000	3.15	24.5	
193	78750	3.36	25.3	
198	81500	3.26	24.9	
203	84250	3.32	25.2	
208	87000	3.36	25.3	
213	88909.1	3.41	25.5	
218	90818.2	3.29	25	
223	92727.3	3.49	25.8	
228	94636.4	3.75	26.8	
233	96545.4	3.43	25.6	
238	98454.6	3.74	26.7	
243	100363.6	3.63	26.3	
248	102272.7	3.6	26.2	
253	104181.8	3.39	25.4	
258	106090.9	3.17	24.6	
263	108000	3.59	26.2	
268	109687.5	3.67	26.5	
273	111375	3.53	26	
278	113062.5	3.41	25.5	
