# NOAA Paleoclimatology Program - Paleocean Site Data
# 147-gc14-tab.txt
# Complete Data
# File Created: 02-Feb-2010
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Elisabeth L. Sikes
# Core/Site:      RS147-GC14
# Latitude:       46.26.00S	( -46.43333)
# Longitude:      145.14.00E	( 145.2333)
# Water Depth(m): 3360
#
# Publications:
#   Sikes, E.L., W.R. Howard, C.R. Samson, T.S. Mahan, L.G. Robertson, and J.K. Volkman.
#     2009. Southern Ocean seasonal temperature and Subtropical Front movement on the
#     South Tasman Rise in the late Quaternary.  Paleoceanography, 24, PA2201.
#------------------
#
# Description & Notes:
#   South Tasman Rise Late Quaternary SST Reconstructions
#   Conventional radiocarbon ages for GC07 were converted to calendar ages using
#   the marine CALIB 5.0 program. Radiocarbon ages older than 20 ka were calibrated
#   to calendar ages using an oceanic 14C reservoir correction of 350 years [Druffel
#   and Griffin, 1999] and a polynomial fit [Bard et al., 1998]. MIS3-5 d18O tuned
#   to Lieseki and Raymo 2005 / Marinson et al 1987. In GC07 the SST-MAT warm season
#   errors range from 2.0°-4.0°C for warm-season estimates, larger than the 1°-1.5°C
#   generally associated with modern analog estimates, in the deglaciation [Samson,
#   1998]. This is ascribed to the fact that GC07 lies in a zone of frontal movement
#   where SST changes rapidly over small distances. SSTs from Uk'37 have an error
#   of +/- 1.5 degC.
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             d18Ocibid>150 delta O18 per mil PDB (Cibicidoides spp. >150 micron)
#             sst-warm.uk37.s             sea surface temperature, warm season, from Uk'37, degC, (Sikes and Volkman '93 equation)
#             uk37          Alkenone saturation index
#             d18Og.bull300-355           delta O18 PDB (Globigerina bulloides 300-355 micron)
#             sst-MAT.w     sea surface temperature- warm season, modern analog technique, degC
#
# CORE: RS147-GC14
depth	calyrBP 	carb%	d18Ocibid>150	sst-warm.uk37.s	uk37	d18Og.bull300-355	sst-MAT.w	notes
1	1000	91.9	2.68	-999	-999	-999	-999	top
3.5	3210	90.4	-999	15.5	0.485	-999	-999	
6	8240	90.9	2.94	16	0.506	1.86	12.3	
8.5	10160	-999	-999	15	0.467	-999	-999	
11	12080	90.9	2.6	-999	-999	2.06	12.9	
13.5	14000	86.1	-999	14.9	0.462	-999	-999	stage 2.0
16	15010	87.9	3.88	-999	-999	2.68	12.3	
18.5	16020	-999	-999	14.2	0.431	-999	-999	
21	17030	83.9	4.23	-999	-999	2.84	10.1	
23.5	18040	84	-999	13.3	0.396	-999	-999	
26	19060	83.3	4.34	-999	-999	2.93	9.2	
28.5	20070	-999	-999	12.9	0.38	-999	-999	
31	21080	81	4.28	-999	-999	2.89	9.2	
33.5	22090	82.5	-999	12.1	0.346	-999	-999	
36	23100	-999	4.27	-999	-999	3.01	10.4	
38.5	24110	83.4	-999	11.7	0.327	-999	-999	stage3.0
41	27820	85.7	-999	-999	-999	2.69	9.8	
43.5	31530	86.9	-999	11.2	0.323	-999	-999	
46	35240	86	3.9	-999	-999	2.54	-999	
48.5	38950	87.7	-999	12.3	0.355	-999	-999	
51	42660	86.4	4.1	-999	-999	2.6	-999	
53.5	46370	89.3	-999	-999	-999	-999	-999	
56	50080	84.4	3.73	-999	-999	2.68	-999	
58.5	53790	87.1	-999	-999	-999	-999	-999	
61	57500	86.3	4.22	-999	-999	2.83	-999	stage 4.0
63.5	59140	86.7	-999	15.2	0.474	-999	-999	
66	60780	86.9	3.96	-999	-999	2.91	-999	
68.5	62420	82.1	-999	17.3	0.562	-999	-999	
71	64060	84.2	4.06	-999	-999	3.02	-999	
73.5	65700	84.9	-999	13.8	0.414	-999	-999	
76	67340	84.9	4.03	-999	-999	3.25	-999	
78.5	68980	88.2	-999	14.8	0.457	-999	-999	
81	70620	89.2	3.79	-999	-999	2.96	-999	
83.5	72260	88.6	-999	15.2	0.473	-999	-999	
86	73900	89.3	3.79	-999	-999	2.82	-999	stage 5.0
88.5	75420	91	-999	17.5	0.567	-999	-999	
91	76940	91.4	2.93	-999	-999	2.64	-999	
93.5	78460	89.6	-999	16.4	0.522	-999	-999	
96	79980	90.9	3.35	-999	-999	2.58	-999	
98.5	81501	90.6	-999	17.2	0.558	-999	-999	
101	83021	88.6	3.36	-999	-999	2.52	-999	
103.5	84541	90.8	-999	16	0.506	-999	-999	
106	86061	-999	3.51	-999	-999	2.51	-999	
108.5	86061	85.6	-999	-999	-999	-999	-999	
111	87581	88	3.47	-999	-999	2.71	-999	
113.5	89101	88	-999	17.6	0.574	-999	-999	
116	90621	91.8	3.73	-999	-999	2.59	-999	
118.5	92141	91.4	-999	-999	-999	-999	-999	
121	93661	89.3	-999	-999	-999	2.52	-999	
123.5	95182	92.1	-999	17.7	0.577	-999	-999	
126	96702	90	3.33	-999	-999	2.56	-999	
128.5	98222	89.8	-999	15.8	0.5	-999	-999	
131	99742	91.7	-999	-999	-999	2.37	-999	
133.5	101262	91.1	-999	-999	-999	-999	-999	
136	102782	89.8	-999	-999	-999	2.42	-999	
138.5	104302	90.1	-999	14.5	0.446	-999	-999	
140	105214	-999	-999	-999	-999	2.58	-999	
141	105822	89.2	-999	-999	-999	2.42	-999	
144.5	107950	-999	3.48	-999	-999	2.62	-999	
148.5	110383	92.1	-999	18.4	0.607	-999	-999	
151	111903	92.5	3.4	-999	-999	2.47	-999	
154.5	114031	-999	3.32	-999	-999	2.35	-999	
158.5	116463	93.4	-999	17.2	0.554	-999	-999	
161	117983	90.1	3.04	-999	-999	2.23	-999	
164.5	120111	-999	3.01	-999	-999	2.5	-999	
168.5	122543	90.1	-999	-999	-999	-999	-999	
171	124064	87.2	2.62	-999	-999	-999	-999	
174.5	126192	-999	3.45	-999	-999	2.69	-999	
178.5	128624	88.8	-999	-999	-999	-999	-999	stage 6.0
181	130448	88	3.47	-999	-999	3.27	-999	
184.5	133001	-999	3.59	-999	-999	3.36	-999	
188.5	135918	86.7	-999	-999	-999	-999	-999	
191	137742	85.7	4.44	-999	-999	3.4	-999	
194.5	140295	-999	4.47	-999	-999	3.29	-999	
198.5	143213	86.7	-999	14.8	0.45	-999	-999	
201	145036	86.6	3.73	-999	-999	3.25	-999	
