K714-15      58 45.7 N   25 57.3 W  2598 AOF13B-4CE
               depth    SSTwarm   SSTcold
 K714 15         0.0      13.4       9.1
 K714 15         2.0      13.5       9.1
 K714 15        20.0      13.4       8.9
 K714 15        40.0      13.3       8.7
 K714 15        60.0      13.3       9.0
 K714 15        62.0      13.4       9.2
 K714 15        80.0      12.3       8.1
 K714 15       100.0      12.6       8.4
 K714 15       120.0      14.5       8.9
 K714 15       122.0      12.8       7.6
 K714 15       140.0      12.5       8.3
 K714 15       160.0      12.0       8.2
 K714 15       180.0      12.7       8.2
 K714 15       200.0      13.5       8.5
 K714 15       202.0      12.8       8.3
 K714 15       220.0      13.1       8.0
 K714 15       240.0      12.3       7.7
 K714 15       260.0      14.7       9.6
 K714 15       280.0      13.9       9.0
 K714 15       282.0      11.9       4.5
 K714 15       300.0      14.3       8.8
 K714 15       320.0      15.0       9.8
 K714 15       322.0      13.7       8.8
 K714 15       340.0      16.0      10.3
 K714 15       360.0      13.8       9.7
 K714 15       362.0      10.9       5.2
 K714 15       380.0       7.9       2.3
 K714 15       382.0       9.3       3.3
 K714 15       400.0       8.4       2.4
 K714 15       402.0       9.2       1.8
 K714 15       420.0       6.2       0.2
 K714 15       422.0       6.2       0.1
 K714 15       440.0       6.7       1.0
 K714 15       442.0       6.7       0.5
 K714 15       460.0       7.2       1.2
 K714 15       462.0       7.4       1.1
 K714 15       480.0       8.6       2.8
 K714 15       481.0       7.1       0.8
 K714 15       482.0       9.0       1.6
 K714 15       490.0       7.6       1.4
 K714 15       500.0       7.8       1.9
 K714 15       502.0       7.4       0.9
 K714 15       510.0       9.2       2.7
 K714 15       520.0      12.3       6.5
 K714 15       522.0       6.9       0.7
 K714 15       530.0      10.8       6.7
 K714 15       540.0      12.2       5.3
 K714 15       542.0      11.4       4.4
 K714 15       550.0      11.8       7.7
 K714 15       562.0       7.1       1.1
 K714 15       582.0       7.2       0.8
 K714 15       602.0      15.8      10.1
 K714 15       622.0      15.7       9.7
 K714 15       641.0       8.6       2.1
 K714 15       641.0       8.6       1.9
 K714 15       642.0       7.2       1.2
 K714 15       662.0       8.7       2.2
 K714 15       682.0       9.1       2.4
 K714 15       702.0       7.7       1.5
 K714 15       722.0      10.2       3.4
 K714 15       742.0      10.0       4.6
 K714 15       762.0      11.0       4.9
 K714 15       782.0      10.5       3.3
 K714 15       802.0      14.2       7.0
 K714 15       842.0      11.7       3.6
 K714 15       862.0      12.3       4.8
 K714 15       882.0       9.9       3.6
 K714 15       902.0      11.9       4.5
 K714 15       922.0       8.6       2.3
 K714 15       942.0       6.8       0.6
 K714 15       962.0       7.2       1.4
 K714 15       982.0       9.2       2.5
 K714 15      1022.0      11.3       7.1
 K714 15      1042.0      13.6       8.9
 K714 15      1062.0      12.2       5.4
 K714 15      1102.0      16.7      10.6
 K714 15      1142.0      15.7      10.2
 K714 15      1182.0      16.5      10.2
 K714 15      1222.0      15.0       9.4
 K714 15      1262.0      12.8       8.6
 K714 15      1302.0      12.9       8.1
 K714 15      1342.0      13.6       8.5
 K714 15      1382.0      13.4       9.0
 K714 15      1402.0       6.2       0.2
 K714 15      1422.0       7.2       0.9
 K714 15      1442.0       7.0       0.8
 K714 15      1462.0       9.2       1.9
 K714 15      1482.0       7.0       1.1
 K714 15      1502.0      10.9       6.5
 K714 15      1522.0       9.6       2.4
 K714 15      1542.0      10.1       4.0
 K714 15      1562.0       6.9       0.7
 K714 15      1582.0       7.2       1.1
 K714 15      1602.0      13.0       8.1
 K714 15      1622.0      12.9       6.4
 K714 15      1642.0      11.6       3.5
 K714 15      1662.0      10.8       6.2
 K714 15      1702.0      17.0       9.7
 K714 15      1722.0      10.1       5.0
 K714 15      1742.0       6.3       0.3
 K714 15      1762.0      10.7       3.8
 K714 15      1782.0      12.4       3.0
 K714 15      1822.0      13.7       4.8
 K714 15      1862.0      14.0       5.8
 K714 15      1882.0      12.5       3.9
 K714 15      1902.0       9.5       3.2
 K714 15      1922.0       7.8       1.7
 K714 15      1942.0      10.5       3.3
 K714 15      1962.0      12.4       7.8
 K714 15      1982.0      12.5       7.5
 K714 15      2002.0      10.2       3.3
 K714 15      2022.0       9.6       4.1


