V23-82       52 35.1 N   21 56.0 W  3974 AOF13B-4CE
 V 23 82         2.0      16.1      10.6
 V 23 82         5.0      16.0      10.2
 V 23 82        10.0      16.7      10.9
 V 23 82        15.0      15.0       9.9
 V 23 82        20.0      16.4      10.8
 V 23 82        25.0      16.7      10.9
 V 23 82        30.0      16.4      10.8
 V 23 82        35.0      17.3      11.3
 V 23 82        39.0      15.8      10.4
 V 23 82        45.0      15.5      10.2
 V 23 82        50.0      15.2      10.3
 V 23 82        55.0      14.2       9.5
 V 23 82        60.0      14.0       9.4
 V 23 82        65.0      13.3       8.9
 V 23 82        71.0      12.8       8.1
 V 23 82        75.0      12.7       7.5
 V 23 82        80.0      13.1       7.8
 V 23 82        85.0      11.9       5.9
 V 23 82        90.0       7.9       2.2
 V 23 82        95.0       6.2       0.3
 V 23 82       100.0       6.2       0.3
 V 23 82       105.0       6.1       0.0
 V 23 82       110.0       6.1       0.1
 V 23 82       115.0       6.3       0.3
 V 23 82       120.0       6.2       0.2
 V 23 82       125.0       6.1       0.0
 V 23 82       130.0       6.3       0.3
 V 23 82       135.0       6.2       0.2
 V 23 82       140.0       6.7       0.8
 V 23 82       145.0       6.8       1.0
 V 23 82       150.0       7.8       2.1
 V 23 82       155.0       6.1       0.1
 V 23 82       160.0       6.2       0.2
 V 23 82       165.0       6.3       0.3
 V 23 82       170.0       6.5       0.5
 V 23 82       175.0       7.0       1.0
 V 23 82       180.0       7.9       2.3
 V 23 82       185.0       8.6       2.6
 V 23 82       190.0       7.5       1.6
 V 23 82       195.0       9.2       3.3
 V 23 82       200.0       6.5       0.6
 V 23 82       205.0       6.5       0.5
 V 23 82       210.0       6.8       0.9
 V 23 82       215.0       9.3       2.7
 V 23 82       220.0      10.1       3.0
 V 23 82       225.0       9.8       2.3
 V 23 82       230.0      10.0       3.4
 V 23 82       235.0      10.0       3.3
 V 23 82       240.0       9.3       2.8
 V 23 82       245.0       8.4       2.3
 V 23 82       250.0       8.7       2.6
 V 23 82       255.0      10.6       3.7
 V 23 82       261.0      11.0       4.8
 V 23 82       265.0      12.8       7.2
 V 23 82       270.0      10.6       5.0
 V 23 82       275.0       9.3       4.0
 V 23 82       280.0       8.6       2.2
 V 23 82       285.0       7.6       1.4
 V 23 82       290.0       8.6       1.9
 V 23 82       295.0       9.7       3.4
 V 23 82       301.0       9.4       2.9
 V 23 82       305.0       9.7       2.8
 V 23 82       310.0      10.2       3.4
