V27-116      52 50.2 N   30 20.4 W  3202 AOF13B-4CE
               depth    SSTwarm   SSTcold
 V 27116         0.0      14.5       9.5
 V 27116         8.0      12.8       8.6
 V 27116        12.0      11.1       7.4
 V 27116        16.0      12.2       7.8
 V 27116        20.0      13.6       8.5
 V 27116        20.0      12.5       7.6
 V 27116        25.0      12.5       7.8
 V 27116        28.0      13.1       7.9
 V 27116        36.0       8.0       2.5
 V 27116        38.0       9.9       4.0
 V 27116        40.0       9.2       3.1
 V 27116        42.0      10.5       4.6
 V 27116        45.0       8.3       3.0
 V 27116        48.0       6.6       0.5
 V 27116        50.0       7.9       2.4
 V 27116        53.0       6.8       0.9
 V 27116        54.0       6.3       0.3
 V 27116        60.0       6.6       0.7
 V 27116        60.0       6.1       0.1
 V 27116        65.0       6.2       0.2
 V 27116        70.0       6.3       0.2
 V 27116        80.0       7.0       1.0
 V 27116        85.0       6.8       0.8
 V 27116        90.0       7.4       1.0
 V 27116        96.0       9.3       2.4
 V 27116       100.0       8.4       1.5
 V 27116       105.0       8.0       1.2
 V 27116       110.0       8.9       1.7
 V 27116       120.0      11.2       2.6
 V 27116       130.0       8.1       1.5
 V 27116       140.0       9.5       3.2
 V 27116       150.0       9.5       2.8
 V 27116       160.0       7.3       1.3
 V 27116       168.0       9.6       3.5
 V 27116       172.0      10.7       5.0
 V 27116       176.0      10.5       3.9
 V 27116       180.0       9.0       2.0
 V 27116       180.0       8.7       2.6
 V 27116       184.0       8.2       2.0
 V 27116       188.0       9.0       2.5
 V 27116       192.0       8.4       1.8
 V 27116       196.0       8.3       1.4
 V 27116       200.0       6.6       0.6
 V 27116       206.0       6.4       0.4
 V 27116       210.0       6.3       0.4
 V 27116       210.0       6.4       0.4
 V 27116       215.0       6.3       0.4
 V 27116       220.0       7.3       1.3
 V 27116       220.0       7.3       1.2
 V 27116       224.0       9.5       3.2
 V 27116       230.0      11.2       5.4
 V 27116       230.0      10.7       3.9
 V 27116       233.0       9.6       4.4
 V 27116       235.0      10.9       4.9
 V 27116       236.0      11.1       4.0
 V 27116       240.0      10.4       4.6
 V 27116       240.0       9.9       2.8
 V 27116       243.0      11.4       5.3
 V 27116       245.0      11.8       6.0
 V 27116       247.0      11.2       5.4
 V 27116       250.0       7.4       1.3
 V 27116       250.0       7.6       1.4
 V 27116       260.0       7.7       1.4
 V 27116       270.0       7.8       1.4
 V 27116       280.0      10.2       2.6
 V 27116       290.0      13.8       6.5
 V 27116       300.0      11.6       4.1
 V 27116       310.0       9.4       2.5
 V 27116       320.0       7.8       1.4
 V 27116       330.0       9.2       2.8
 V 27116       340.0       6.4       0.3
 V 27116       350.0       6.9       0.8
 V 27116       360.0       7.4       1.7
 V 27116       370.0       7.2       1.3
 V 27116       380.0       9.5       2.3
 V 27116       385.0       7.8       1.6
 V 27116       390.0       9.2       2.2
 V 27116       394.0       7.7       1.9
 V 27116       400.0       8.8       2.2
 V 27116       400.0       9.3       1.6
 V 27116       404.0       8.7       2.1
 V 27116       410.0       9.4       2.7
 V 27116       410.0      10.0       2.0
 V 27116       416.0       7.6       1.6
 V 27116       420.0       8.0       1.9
 V 27116       420.0       8.9       1.8
 V 27116       425.0       8.4       2.0
 V 27116       430.0       9.5       3.0
 V 27116       430.0      11.1       3.0
 V 27116       440.0      10.2       3.7
 V 27116       440.0      11.6       4.0
 V 27116       450.0       9.4       3.0
 V 27116       460.0      10.3       3.5
 V 27116       460.0      11.8       3.9
 V 27116       465.0       8.7       3.1
 V 27116       470.0       9.2       4.6
 V 27116       470.0      10.6       3.8
 V 27116       475.0       9.5       5.0
 V 27116       480.0      13.5       9.8
 V 27116       480.0      13.8       6.9
 V 27116       490.0      13.4       8.8
 V 27116       490.0      13.8       7.5
 V 27116       495.0      15.3       9.3
 V 27116       500.0      16.7      10.6
 V 27116       500.0      17.4      10.9
 V 27116       505.0      14.4       9.5
 V 27116       510.0      16.4      10.7
 V 27116       510.0      17.0      10.7
 V 27116       515.0      13.8       9.1
 V 27116       520.0      15.9       9.6
 V 27116       525.0      13.6       9.0
 V 27116       530.0      14.8       9.0
 V 27116       535.0      13.4       8.5
 V 27116       545.0      16.3       9.8
 V 27116       550.0      15.1       9.5
 V 27116       550.0      14.7       8.8
 V 27116       553.0       9.1       2.5
 V 27116       555.0       6.0       0.0
 V 27116       560.0       6.4       0.5
 V 27116       560.0       6.4       0.3
 V 27116       565.0       6.2       0.3
 V 27116       570.0       6.3       0.2
 V 27116       575.0       6.1       0.1
 V 27116       580.0       6.3       0.2
 V 27116       585.0       6.2       0.3
 V 27116       590.0       6.1       0.1
 V 27116       600.0       7.4       1.5
 V 27116       605.0       7.6       2.3
 V 27116       610.0       6.7       0.6
 V 27116       615.0       6.9       0.9
 V 27116       620.0       7.9       1.8
 V 27116       630.0       6.5       0.5
 V 27116       640.0       7.5       1.3
 V 27116       650.0       6.6       0.8
 V 27116       660.0       7.9       1.9
 V 27116       670.0      17.0       9.9
 V 27116       680.0       8.5       2.4
 V 27116       690.0       7.7       1.4
 V 27116       700.0       9.4       2.8
 V 27116       710.0      12.7       6.3
 V 27116       720.0       7.9       2.6
 V 27116       730.0      10.1       4.9
 V 27116       740.0       9.4       2.0
 V 27116       750.0      13.7       4.0
 V 27116       760.0      14.1       5.1
 V 27116       770.0      12.7       4.7
 V 27116       780.0      12.1       5.5
 V 27116       790.0      11.2       6.1
 V 27116       800.0       7.2       1.3
 V 27116       810.0       9.2       2.9
 V 27116       815.0      10.4       2.6
 V 27116       820.0      10.1       2.7
 V 27116       830.0      13.8       7.5
 V 27116       840.0      16.9      10.3
 V 27116       860.0      10.2       5.1
 V 27116       870.0       8.1       2.3
 V 27116       880.0       6.2       0.1
 V 27116       890.0       6.3       0.2
 V 27116       900.0       6.6       0.8
 V 27116       910.0       9.4       4.6
 V 27116       920.0       7.8       2.5
 V 27116       930.0       7.6       1.8
 V 27116       940.0       6.5       0.5
 V 27116       950.0       7.5       1.8
 V 27116       960.0       8.3       2.6
 V 27116       970.0       8.7       2.5
 V 27116       980.0      10.7       4.7


