V28-14       64 47.0 N   29 34.0 W  1855 AOF13B-4CE
 V 28 14         0.0      12.6       8.3
 V 28 14         0.0      12.8       8.4
 V 28 14         2.5      11.0       7.4
 V 28 14         5.0      11.4       7.6
 V 28 14         7.5      11.4       7.8
 V 28 14        10.0      12.8       8.4
 V 28 14        12.5      11.8       8.0
 V 28 14        15.0      11.6       7.8
 V 28 14        17.5      11.1       7.4
 V 28 14        20.0      12.8       8.4
 V 28 14        22.5      12.5       8.3
 V 28 14        25.0      10.9       7.2
 V 28 14        27.5      11.6       8.0
 V 28 14        30.0      11.8       7.8
 V 28 14        32.5      12.5       8.2
 V 28 14        35.0      11.8       7.8
 V 28 14        37.5      10.9       7.3
 V 28 14        40.0      12.8       8.3
 V 28 14        42.5      11.5       7.7
 V 28 14        45.0      12.2       8.0
 V 28 14        47.5      11.0       7.2
 V 28 14        50.0      12.3       8.0
 V 28 14        52.5      11.2       7.4
 V 28 14        55.0      11.3       7.2
 V 28 14        57.5      10.9       7.4
 V 28 14        60.0      11.7       7.6
 V 28 14        62.5      10.8       7.0
 V 28 14        65.0      11.0       6.9
 V 28 14        67.5      10.8       6.6
 V 28 14        70.0      10.9       6.7
 V 28 14        72.5      10.8       6.6
 V 28 14        75.0      10.7       6.1
 V 28 14        77.5      11.0       6.4
 V 28 14        80.0      10.9       6.3
 V 28 14        82.5      10.6       6.0
 V 28 14        85.0      10.4       5.7
 V 28 14        87.5      10.6       5.6
 V 28 14        90.0      11.7       5.6
 V 28 14        92.5      10.8       5.3
 V 28 14        95.0      10.4       4.5
 V 28 14        97.5      10.3       5.3
 V 28 14       100.0       8.3       2.6
 V 28 14       102.5       7.8       1.9
 V 28 14       107.5       6.1       0.1
 V 28 14       108.0       7.6       1.6
 V 28 14       110.0       7.8       2.3
 V 28 14       113.0       6.5       0.6
 V 28 14       115.0       6.5       0.5
 V 28 14       116.0       6.4       0.4
 V 28 14       117.5       6.7       0.8
 V 28 14       120.0       7.9       2.0
 V 28 14       122.5       6.6       0.7
 V 28 14       125.0       6.2       0.2
 V 28 14       126.0       6.6       0.7
 V 28 14       127.5       7.0       1.2
 V 28 14       130.0       6.2       0.3
 V 28 14       132.5       6.2       0.2
 V 28 14       135.0       6.3       0.6
 V 28 14       137.5       6.2       0.3
 V 28 14       140.0       6.2       0.2
 V 28 14       142.5       6.3       0.5
 V 28 14       145.0       6.2       0.3
 V 28 14       147.5       6.2       0.3
 V 28 14       150.0       6.1       0.2
 V 28 14       160.0       6.2       0.3
 V 28 14       170.0       6.2       0.2
 V 28 14       180.0       6.2       0.2
 V 28 14       190.0       6.2       0.3
 V 28 14       200.0       6.2       0.2
 V 28 14       210.0       6.2       0.2
 V 28 14       220.0       6.3       0.3
 V 28 14       230.0       6.2       0.2
 V 28 14       240.0       6.2       0.3
 V 28 14       250.0       6.4       0.5
 V 28 14       260.0       6.3       0.3
 V 28 14       270.0       6.2       0.3
 V 28 14       280.0       6.1       0.2
 V 28 14       290.0       6.4       0.4
 V 28 14       300.0       6.5       0.5
 V 28 14       310.0       6.1       0.1
 V 28 14       320.0       6.2       0.3
 V 28 14       330.0       6.4       0.5
 V 28 14       340.0       6.4       0.5
 V 28 14       350.0       6.1       0.1
 V 28 14       360.0       6.3       0.5
 V 28 14       370.0       6.1       0.1
 V 28 14       380.0       6.3       0.5
 V 28 14       390.0       6.2       0.3
 V 28 14       395.0       6.7       0.8
 V 28 14       400.0       6.1       0.1
 V 28 14       405.0       6.8       0.6
 V 28 14       410.0       6.3       0.3
 V 28 14       415.0       6.3       0.3
 V 28 14       420.0       6.2       0.2
 V 28 14       425.0       7.0       0.9
 V 28 14       430.0       6.6       0.6
 V 28 14       432.0       7.4       1.3
 V 28 14       435.0       7.9       1.9
 V 28 14       437.0       6.4       0.3
 V 28 14       440.0       6.3       0.3
 V 28 14       445.0       6.8       0.9
 V 28 14       450.0       6.1       0.2
 V 28 14       460.0       6.4       0.5
 V 28 14       470.0       6.2       0.3
 V 28 14       480.0       6.1       0.1
 V 28 14       485.0       6.1       0.1
 V 28 14       490.0       6.8       0.9
 V 28 14       495.0       7.0       1.4
 V 28 14       500.0       8.2       3.2
 V 28 14       505.0      10.7       6.9
 V 28 14       510.0      13.0       9.0
 V 28 14       515.0      12.8       8.4
 V 28 14       520.0      13.3       8.8
 V 28 14       525.0      11.3       7.4
 V 28 14       530.0       7.6       2.3
 V 28 14       535.0       6.1       0.2
 V 28 14       540.0       6.2       0.2
 V 28 14       545.0       6.2       0.2
 V 28 14       550.0       8.2       2.7
 V 28 14       555.0       6.2       0.2
 V 28 14       560.0       6.2       0.4
 V 28 14       565.0       6.2       0.4
 V 28 14       570.0       6.3       0.4
 V 28 14       580.0       6.2       0.2
 V 28 14       590.0       6.1       0.2
 V 28 14       600.0       6.5       0.3
 V 28 14       611.0       6.7       0.7

