V30-97       41 00.0 N   32 56.0 W  3371 AOF13B-4CE
 V 30 97         2.0      21.6      14.5
 V 30 97         5.0      20.9      14.5
 V 30 97        10.0      21.4      14.4
 V 30 97        12.0      20.4      14.2
 V 30 97        15.0      22.1      14.9
 V 30 97        20.0      21.6      14.5
 V 30 97        25.0      19.5      13.4
 V 30 97        25.0      20.0      13.8
 V 30 97        30.0      21.8      16.1
 V 30 97        35.0      22.0      17.4
 V 30 97        38.0      17.6      12.3
 V 30 97        40.0      17.5      12.9
 V 30 97        43.0      15.4      11.0
 V 30 97        45.0      15.6      11.1
 V 30 97        50.0      15.1       9.8
 V 30 97        50.0      14.2       9.1
 V 30 97        55.0      13.0       7.2
 V 30 97        60.0      11.6       6.5
 V 30 97        62.0      11.4       5.2
 V 30 97        65.0      15.4      12.6
 V 30 97        70.0      12.2       7.0
 V 30 97        75.0      15.1      11.2
 V 30 97        76.0      16.2       9.3
 V 30 97        80.0      14.6       9.0
 V 30 97        85.0      18.4      11.9
 V 30 97        90.0      14.9       8.7
 V 30 97        95.0      18.1      11.7
 V 30 97       100.0      17.6      10.6
 V 30 97       105.0      17.5      11.4
 V 30 97       110.0      17.4      12.1
 V 30 97       115.0      18.7      12.8
 V 30 97       120.0      20.3      14.3
 V 30 97       125.0      15.9      10.3
 V 30 97       130.0      16.7      10.6
 V 30 97       135.0      17.9      11.1
 V 30 97       140.0      18.7      12.4
 V 30 97       145.0      13.3       8.5
 V 30 97       150.0      15.2       9.9
 V 30 97       155.0      12.6       7.2
 V 30 97       160.0      11.5       5.1
 V 30 97       165.0      13.3       7.5
 V 30 97       170.0      12.8       7.9
 V 30 97       175.0      12.5       6.5
 V 30 97       180.0      13.0       8.0
 V 30 97       185.0      12.7       6.5
 V 30 97       190.0      11.1       4.2
 V 30 97       195.0      12.3       5.6
 V 30 97       200.0      12.3       6.5
 V 30 97       205.0      13.4       6.1
 V 30 97       210.0      14.8       7.0
 V 30 97       215.0      14.4       8.1
 V 30 97       220.0      13.8       6.6
 V 30 97       225.0      14.7       9.1
 V 30 97       230.0      14.8       6.7
 V 30 97       235.0      12.6       7.9
 V 30 97       240.0      15.4       9.4
 V 30 97       245.0      15.7       9.9
 V 30 97       250.0      16.5       9.8
 V 30 97       255.0      19.0      11.3
 V 30 97       260.0      17.4      10.3
 V 30 97       265.0      17.0      10.7
 V 30 97       270.0      16.7      10.9
 V 30 97       275.0      16.3      10.7
 V 30 97       280.0      16.2       9.4
 V 30 97       285.0      14.1       7.3
 V 30 97       290.0      17.8      12.0
 V 30 97       295.0      20.0      13.3
 V 30 97       300.0      16.7      11.6
 V 30 97       305.0      16.2      11.2
 V 30 97       310.0      19.1      13.0
 V 30 97       315.0      18.0      12.0
 V 30 97       320.0      12.2       7.4
 V 30 97       325.0      13.4       8.9
 V 30 97       330.0      14.5       9.7
 V 30 97       335.0      11.8       6.4
 V 30 97       340.0      11.0       5.8
 V 30 97       345.0      11.9       6.0
 V 30 97       350.0      12.5       7.7
 V 30 97       355.0      13.2       7.8
 V 30 97       360.0      13.1       7.9
 V 30 97       365.0      14.7       9.3
 V 30 97       370.0      15.0       9.2
 V 30 97       375.0      17.9      11.5
 V 30 97       380.0      18.0      11.9
 V 30 97       385.0      18.5      12.1
 V 30 97       390.5      17.5      11.9
 V 30 97       395.0      16.4      10.9
 V 30 97       400.0      17.1      11.7
