# Western Pacific Warm Pool Oxygen Isotope and Mg/Ca Data and SST Reconstruction during the Pleistocene
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/ 
# Online_Resource: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/dyez2014-grl/dyez2014-grl.txt
#
# Archive: Paleoceanography
#
#--------------------------------
# Contribution_Date
#   Date: 2015-02-20
#--------------------------------
# Title:  Western Pacific Warm Pool Oxygen Isotope and Mg/Ca Data and SST Reconstruction during the Pleistocene
#--------------------------------
# Investigators: Dyez, Kelsey A.; Ravelo, A. Christina
#--------------------
# Description and Notes: 
#    Description: These are data from the western Pacific warm pool, derived from sediments of Site 871, retrieved as part of ODP drilling. The dataset contains both oxygen isotopic values measured on benthic foraminifera and Mg/Ca values measured on planktic foraminifera. Included is the estimated sea surface temperature value, derived from planktic Mg/Ca.
#
#--------------------
# Publication 
#   Authors: Dyez, K.A. and A.C. Ravelo
#   Journal_Name: Geophysical Research Letters
#   Published_Title: Dynamical changes in the tropical Pacific warm pool and zonal SST gradient during the Pleistocene
#   Published_Date_or_Year: 2014
#   Volume: 41
#   Issue: 21
#   Pages: 7626-7633
#   DOI: 10.1002/2014GL061639
# Abstract: In the late Pleistocene, the atmospheric carbon dioxide concentration (pCO2) is thought to be a primary driving force for tropical sea surface temperature (SST) change because glacial-interglacial changes in tropical Pacific SST covary with pCO2. However, if the regional radiative effects of pCO2 were the only agent of change, tropical SST gradients should have remained similar as pCO2 varied with time. Instead, a new record of SST from the west Pacific shows that tropical SST gradients were different, even reversed, in the past, suggesting an important role for dynamical circulation changes. Specifically, changes in the temperature of upwelled source water, in addition to local pCO2 forcing, influenced tropical Pacific SST. These dynamical changes, rather than pCO2, may have shifted the background state of the tropics and even helped set the stage for the mid-Pleistocene transition.
#--------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
# Site_Name: ODP871
# Location: Western Pacific Ocean 
#	Northernmost_Latitude:  5.55
# 	Southernmost_Latitude:  5.55
# 	Easternmost_Longitude: 172.35
# 	Westernmost_Longitude:  172.35
# 	Elevation: -1255
#--------------------------------
# Data Collection 
# Collection_Name: ODP871 Dyez14
# Oldest_Year: 1412000
# Most_Recent_Year: 45000
# Time_Unit: cal yr BP (1950 AD)
# Core_Length: 
# Notes: Age of sample based on alignment of benthic d18O record with a global benthic d18O stack [Liseicki and Raymo, 2005]. SST = ln [(Mg/Ca + 0.259 x Water depth (km) + 0.537)/0.38]/0.09 [Dyez and Ravelo, 2013]. Notes in data table show that samples are from ODP Site 871 followed by Hole, Core(Type), Section, Half, and Interval, listed in cm.
#--------------------------------
# Chronology    
#--------------------------------
# Variables    
# 
# Data variables follow (have double marker- "##")
# Data line variables format:  Variables list, one per line, shortname-tab-nine components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## depth_m  Depth,,,m,,,,,N
## age_calkaBP  age,,,calendar kiloyears before 1950,,,,,N
## d18Ouvig  delta 18O,Uvigerina spp.,,per mil VPDB,,Paleoceanography,250-355 µm,,N
## Mg/Ca-g.rub-w	Magnesium Calcium ratio,Globigerinoides ruber white,, mmol/mol,,Paleoceanography,250-355 µm,,N
## SST-Mg/Ca-g.rub-w sea-surface temperature,Mg/Ca Globigerinoides ruber white,,degrees C,,Paleoceanography,,Using formula from Dyez and Ravelo(2013),N
#-----------------------------------
# Data:
# Missing Value: -999
depth_m	age_calkaBP	d18Ouvig	Mg/Ca-g.rub-w	SST-Mg/Ca-g.rub-w
0.46	45	4.6	3.784	27.8	871 B 1H-1 46-48
0.49	48	4.09	3.669	27.5	871 B 1H-1 49-51
0.52	51	3.82	3.61	27.4	871 B 1H-1 52-54
0.55	54	4.57	3.702	27.6	871 B 1H-1 55-57
0.58	57	4.24	3.639	27.5	871 B 1H-1 58-60
0.61	60	4.66	3.675	27.6	871 B 1H-1 61-63
0.64	63	4.28	3.705	27.6	871 B 1H-1 64-66
0.67	66	4.42	3.582	27.3	871 B 1H-1 67-69
0.7	69	4.18	3.948	28.2	871 B 1H-1 70-72
0.73	72	4	3.682	27.6	871 B 1H-1 73-75
0.76	75	4.53	3.57	27.3	871 B 1H-1 76-78
0.79	78	4.09	3.661	27.5	871 B 1H-1 79-81
0.82	81	4.2	3.73	27.7	871 B 1H-1 82-84
0.85	85	3.68	3.857	28	871 B 1H-1 85-87
0.88	88	3.84	3.741	27.7	871 B 1H-1 88-90
0.91	91	3.89	3.933	28.2	871 B 1H-1 91-93
0.94	94	3.95	3.829	27.9	871 B 1H-1 94-96
0.97	97	3.87	3.969	28.3	871 B 1H-1 97-99
1	100	3.91	3.933	28.2	871 B 1H-1 100-102
1.03	103	3.63	3.907	28.1	871 B 1H-1 103-105
1.06	106	3.92	3.941	28.2	871 B 1H-1 106-108
1.09	109	4.06	4.38	29.2	871 B 1H-1 109-111
1.12	112	3.77	3.868	28	871 B 1H-1 112-114
1.15	115	3.95	4.266	28.9	871 B 1H-1 115-117
1.18	118	3.55	4.04	28.4	871 B 1H-1 118-120
1.21	121	4.01	4.473	29.4	871 B 1H-1 121-123
1.24	124	3.55	4.746	29.9	871 B 1H-1 124-126
1.27	127	4.06	4.533	29.5	871 B 1H-1 127-129
1.3	130	3.77	4.558	29.5	871 B 1H-1 130-132
1.33	133	4.78	4.198	28.8	871 B 1H-1 133-135
1.36	136	4.31	4.196	28.8	871 B 1H-1 136-138
1.39	139	4.54	3.912	28.1	871 B 1H-1 139-141
1.42	141	4.73	4.113	28.6	871 B 1H-1 142-144
1.45	144	4.48	4.1	28.5	871 B 1H-1 145-147
1.48	147	4.41	4.077	28.5	871 B 1H-1 148-150
1.5	149	4.35	3.898	28.1	871 B 1H-2 0-1
1.53	151	4.33	3.843	28	871 B 1H-2 3-4
1.56	154	4.36	3.922	28.1	871 B 1H-2 6-7
1.59	157	4.28	3.791	27.8	871 B 1H-2 9-10
1.62	159	4.21	3.685	27.6	871 B 1H-2 12-13
1.65	162	4.33	3.754	27.7	871 B 1H-2 15-16
1.68	165	3.9	3.714	27.6	871 B 1H-2 18-19
1.71	167	4.31	3.708	27.6	871 B 1H-2 21-22
1.74	170	4.17	3.768	27.8	871 B 1H-2 24-25
1.77	173	3.86	-999	-999	871 B 1H-2 27-28
1.8	175	4.24	3.704	27.6	871 B 1H-2 30-31
1.83	178	4.25	3.725	27.7	871 B 1H-2 33-34
1.86	181	4.27	3.494	27.1	871 B 1H-2 36-37
1.89	183	4.11	3.555	27.3	871 B 1H-2 39-40
1.92	186	4.22	3.829	27.9	871 B 1H-2 42-43
1.95	189	3.88	3.813	27.9	871 B 1H-2 45-46
1.98	191	3.9	3.878	28	871 B 1H-2 48-49
2.01	194	3.71	4.01	28.3	871 B 1H-2 51-52
2.04	197	3.52	4.22	28.8	871 B 1H-2 54-55
2.07	199	3.48	4.247	28.9	871 B 1H-2 57-58
2.1	202	3.69	4.295	29	871 B 1H-2 60-61
2.13	205	3.75	4.082	28.5	871 B 1H-2 63-64
2.16	207	3.68	4.099	28.5	871 B 1H-2 66-67
2.19	210	4.04	4.371	29.1	871 B 1H-2 69-70
2.22	213	3.3	4.075	28.5	871 B 1H-2 72-73
2.25	216	4.04	4.218	28.8	871 B 1H-2 75-76
2.28	218	3.47	4.035	28.4	871 B 1H-2 78-79
