# NOAA Paleoclimatology Program - Paleocean Site Data
# e45-29-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E45-29
# Latitude:       44.53.00S	( -44.88334)
# Longitude:      106.31.00E	( 106.5167)
# Water Depth(m): 3863
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.bull%       Globigerina bulloides percent
#             g.crass%      Globorotalia crassaformis percent
#             g.falco%      Globigerina falconensis percent
#             g.glut%       Globigerinita glutinata percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             o.univer%     Orbulina universa percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             g.hirsu%      Globorotalia hirsuta percent
#             g.humil%      Globigerina humilis percent
#             g.scit%       Globorotalia scitula percent
#             g.rub%        Globigerinoides ruber percent
#             g.sac%        Globigerinoides sacculifer percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.calid%      Globigerina calida percent
#             g.aequi%      Globigerinella aequilateralis percent
#
# CORE: E45-29
depth	yrBP 	d13C	d18O	carb%	cfrac%>150	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.bull%	g.crass%	g.falco%	g.glut%	g.infla%	g.quinq%	g.trc-l%	g.trc-r%	n.pachy-l%	n.pachy-r%	o.univer%	pd%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	g.hirsu%	g.humil%	g.scit%	g.rub%	g.sac%	g.duter%	g.calid%	g.aequi%	notes
0	0	-0.02	2.29	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: Top
2	-999	-999	-999	92.3	9.1	3.55	0.11	0.04	76.9	3	0.6	19377	161	30.8	0.4	5.7	5.7	19.7	1.9	8.1	0.2	7	14.2	3.8	2.7	537	27	4.8	0.0078	9.84	1.9	12.84	3.1	-999	-999	-999	-999	-999	-999	-999	-999	
9	6000	-0.31	1.85	-999	-999	-999	-999	-999	-999	-999	-999	12202	-999	35.7	-999	0.3	7.9	19.9	3	7.4	0.3	7.4	13.6	1.8	1.5	675	-999	-999	-999	-999	-999	-999	-999	0.2	0.5	0.6	-999	-999	-999	-999	-999	Event: 1.1
9	6000	-0.34	2.07	93	9.7	3.55	0.09	0.02	84.5	3	0.4	-999	124	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	28	4	0.0156	7.95	1.2	10.03	2.4	-999	-999	-999	-999	-999	-999	-999	-999	
19	-999	-0.45	2.54	93.1	15.1	3.39	0.11	0.03	92	3	0.6	18807	43	37.6	-999	-999	7.4	17.5	3.6	7.9	0.4	4.6	14.1	4.2	2	497	11	2.2	0.0078	8.33	1.1	10.19	1.7	-999	-999	0.2	0.4	-999	-999	-999	-999	
29	-999	-0.22	3.17	62	14.7	3.01	0.09	0.02	70.7	1	0.4	10481	102	50.6	-999	4.5	1.7	11.1	4.1	5.4	0.8	13.6	4.5	0.8	2.9	246	13	5	0.0078	7.61	1.5	9.31	2.1	-999	-999	-999	-999	-999	-999	-999	-999	
39	-999	0.09	3.26	39.6	7.2	2.27	0.07	0.02	45.2	7	3	3160	272	45.7	-999	0.5	1.4	16.7	1.4	2.3	-999	27.6	4.5	-999	-999	224	97	30.2	0.0313	5.72	1.5	7.78	1.2	-999	-999	-999	-999	-999	-999	-999	-999	
49	19000	0.45	3.44	42.3	7.7	2.03	0.08	0.02	50.7	9	3.8	3587	222	49.3	-999	-999	1.4	13.9	-999	1.8	0.5	30.9	1.8	-999	0.5	228	41	15.2	0.0313	5.57	1.7	7.54	1.5	-999	-999	-999	-999	-999	-999	-999	-999	Event: 2.2
59	-999	0.13	3.24	67	25.1	2.8	0.1	0.02	78.1	4	1	18583	114	55.9	-999	0.3	1	6.4	0.3	2	-999	32.5	1.7	-999	-999	406	10	2.4	0.0078	5.4	1.6	7.48	1.5	-999	-999	-999	-999	-999	-999	-999	-999	
69	-999	0	3.06	81.9	30	3	0.07	0.02	83.4	1	0.2	20448	95	55.2	-999	0.9	4.7	7.9	1.3	2.3	-999	24	3.8	-999	-999	478	15	3	0.0078	5.69	1.4	7.57	1.1	-999	-999	-999	-999	-999	-999	-999	-999	
79	-999	0.11	3.16	83.4	30.2	3.27	0.06	0.02	81	1	0.4	19049	57	44.6	-999	2.1	3.8	8.8	3.3	3.8	-999	31.3	1.7	-999	0.8	243	14	5.5	0.0039	5.54	1.2	7.5	1	-999	-999	-999	-999	-999	-999	-999	-999	
89	-999	-0.03	3.07	86.4	28.9	3.23	0.06	0.02	87.5	2	0.7	21785	39	55.4	-999	-999	4.5	10.5	3.4	2.3	-999	21.4	2.6	-999	-999	274	20	6.8	0.0039	5.78	1.4	7.49	1.1	-999	-999	-999	-999	-999	-999	-999	-999	
99	-999	0.02	2.92	-999	-999	-999	-999	-999	-999	-999	-999	23303	-999	40.4	-999	0.6	3.3	10	6.8	3.2	-999	30.8	4.5	-999	0.3	632	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
99	-999	0.05	3.03	88.2	28	3.48	0.05	0.02	90	2	0.3	-999	70	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	16	2.5	0.0078	4.75	1.4	6.92	0.8	-999	-999	-999	-999	-999	-999	-999	-999	
109	53000	-0.42	2.89	84.7	23.1	3.45	0.07	0.02	93.3	1	0.2	20087	39	44.4	-999	1.9	5	9.4	5.6	3.3	0.2	22.6	6.5	0.4	0.7	541	15	2.7	0.0078	5.81	1.3	7.66	0.9	-999	-999	0.2	-999	-999	-999	-999	-999	Event: 3.3
119	-999	-0.32	2.93	87.9	23.8	3.04	0.08	0.02	91	1	0.4	21438	25	46	-999	1.6	3.2	11.1	6.4	2.8	-999	22.2	6.8	-999	-999	254	7	2.7	0.0039	5.86	1.2	7.52	1	-999	-999	-999	-999	-999	-999	-999	-999	
129	-999	-0.23	3.21	66.8	13.6	2.34	0.07	0.02	74.4	4	2	10834	68	54.1	-999	1.6	3.1	11.3	5.7	1.6	-999	18	4.1	-999	0.5	198	15	7	0.0078	5.62	1.5	7.83	1.4	-999	-999	-999	-999	-999	-999	-999	-999	
139	65000	0.05	3.25	-999	-999	-999	-999	-999	-999	-999	-999	6155	-999	49	-999	-999	0.8	7.8	2.8	2.8	0.4	32.9	3.5	-999	-999	260	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 4.2
139	65000	-0.04	3.28	59.3	7.5	2.71	0.08	0.02	66	5	1.9	-999	134	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	38	12.8	0.0156	5.24	1.6	7.17	1.4	-999	-999	-999	-999	-999	-999	-999	-999	
149	-999	0	2.99	62.5	9.8	2.43	0.09	0.01	63.5	5	2.3	5504	120	50	-999	1.5	4.9	3.9	5.9	1	-999	29.4	3.4	-999	-999	209	38	15.4	0.0156	4.44	0.9	8.05	1.7	-999	-999	-999	-999	-999	-999	-999	-999	
154	71000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5
159	-999	0.5	2.95	84.4	12.7	2.81	0.2	0.03	74.2	3	1.2	11152	85	53.8	-999	1.3	1.7	11.3	23.3	1.3	-999	7.5	-999	-999	-999	244	14	5.4	0.0078	8.16	2.2	11.08	2.1	-999	-999	-999	-999	-999	-999	-999	-999	
169	-999	0.44	2.85	93.4	18.7	3.5	0.07	0.02	86.5	1	0.2	16882	72	48.4	-999	0.7	4.8	10.7	4.8	2.4	-999	21.2	6.8	-999	-999	461	3	0.7	0.0078	5.78	1.4	7.49	1.1	0.2	-999	-999	-999	-999	-999	-999	-999	
179	-999	0.11	2.73	95.2	15.7	4.03	0.11	0.02	81.6	1	0.4	16619	59	51	-999	3.2	6.9	9.3	4.1	2.8	-999	14.6	8.1	-999	-999	261	13	4.7	0.0039	6.07	1.5	7.71	1.2	-999	-999	-999	-999	-999	-999	-999	-999	
184	80000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.1
189	-999	0.09	2.73	90.2	19.5	3.74	0.11	0.02	73.4	2	0.8	17395	92	54.8	-999	1.6	4	8.8	-999	0.8	-999	20.8	8.4	-999	0.8	254	6	2.3	0.0039	6.1	1.5	7.9	1.5	-999	-999	-999	-999	-999	-999	-999	-999	
199	-999	0.28	2.93	-999	-999	-999	-999	-999	-999	-999	-999	14808	-999	50	-999	-999	5.2	12.9	2.6	2.2	-999	20.7	6.5	-999	-999	234	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
199	-999	0.24	2.86	93.2	17.2	4.05	0.06	0.02	82.7	4	1.7	-999	49	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	11	4.5	0.0039	5.78	1.4	7.49	1.1	-999	-999	-999	-999	-999	-999	-999	-999	
209	-999	0.08	2.7	-999	-999	-999	-999	-999	-999	-999	-999	18551	-999	41.6	-999	2.3	9	13.5	3.4	2.6	-999	15.7	11.6	0.4	-999	269	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
