# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-18-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-18
# Latitude:       46.03.00S	( -46.05)
# Longitude:      90.10.00E	( 90.16667)
# Water Depth(m): 3291
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             Dsqchord      Squared-chord distance
#             forams/g      Foraminifers per gram
#             g.bull%       Globigerina bulloides percent
#             g.falco%      Globigerina falconensis percent
#             g.glut%       Globigerinita glutinata percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             o.univer%     Orbulina universa percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             drysedwtg     Dry sediment weight (g)
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             foramsfrag    Foraminifers Fragments
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             g.duter%      Globoquadrina dutertrei percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.crass%      Globorotalia crassaformis percent
#             g.calid%      Globigerina calida percent
#             g.digit%      Globigerina digitata percent
#             g.scit%       Globorotalia scitula percent
#             g.aequi%      Globigerinella aequilateralis percent
#             g.sp%         Globorotalia sp. percent
#             p.obliq%      Pulleniatina obliquiloculata percent
#
# CORE: E49-18
depth	yrBP 	d13C	d18O	Dsqchord	Dsqchord_err	forams/g	g.bull%	g.falco%	g.glut%	g.infla%	g.quinq%	g.trc-l%	n.pachy-l%	n.pachy-r%	o.univer%	pd%	plank	sst-aug	sst-aug_err	sst-feb	sst-feb_err	carb%	cfrac%>150	drysedwtg	forams%	forams-b	forams-b%	foramsfrag	radio	radio%	split	g.duter%	g.trc-r%	g.crass%	g.calid%	g.digit%	g.scit%	g.aequi%	g.sp%	p.obliq%	notes
0	12000	-0.03	2.05	0.07	0.01	8568	37.8	2.3	8.1	12	3.5	3.1	22.8	1.9	0.4	8.1	270	5.91	1.1	7.84	1.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 2
0	12000	-0.03	2.15	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	34.4	12.9	2.02	67.5	0	0	130	67	19.9	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
10	-999	0.28	2.9	0.1	0.02	4673	52.3	-999	0.6	11.9	0.6	1.1	32.4	-999	-999	0.9	357	4.86	1.4	7.18	1.4	41.1	9.5	2.44	43.2	9	2.5	470	107	23.1	0.0313	0.3	-999	-999	-999	-999	-999	-999	-999	-999	
20	-999	0.52	3.3	0.05	0.02	4090	21.5	-999	0.3	11	-999	0.5	65.2	0.8	-999	0.8	376	2.63	1.6	6.06	2.1	54.7	6.5	2.94	42.9	0	0	500	140	27.1	0.0313	-999	-999	-999	-999	-999	-999	-999	-999	-999	
30	-999	0.39	3.35	0.06	0.02	10098	33.1	-999	0.5	7.1	0.7	0.7	56.2	1	-999	0.7	422	3.28	1.5	6.77	1.6	80.5	12.9	2.68	65.7	2	0.5	220	72	14.6	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
40	19000	0.6	3.63	0.05	0.02	8126	30.2	-999	1.3	6.5	0.5	0.8	58.3	1.3	-999	1	385	2.93	1.6	6.59	1.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 2.2
40	19000	0.39	3.46	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	82.9	10.8	3.04	59.7	5	1.3	260	80	17.2	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
50	-999	0.15	3.42	0.04	0.02	13893	22.5	0.6	1	12.4	1.3	0.3	59.4	0.6	-999	1.9	319	2.92	1.5	6.39	1.4	85.6	15.1	2.94	68	3	0.9	150	34	9.6	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
60	-999	0.32	3.39	0.05	0.02	10146	31.5	-999	1.3	11.3	0.4	0.4	53	0.9	-999	1.1	462	3.06	1.4	6.51	1.8	9.6	11.6	2.92	65.8	5	1.1	240	38	7.6	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
70	-999	-0.05	3.36	0.05	0.02	9370	34.4	-999	2.2	7.8	0.5	0.7	52.5	1.2	-999	0.7	416	3.58	1.4	6.68	1.7	20.2	12.8	2.85	64.9	5	1.2	225	32	7.1	0.0156	-999	-999	-999	-999	-999	-999	-999	-999	-999	
