# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-21-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-21
# Latitude:       42.11.00S	( -42.18333)
# Longitude:      94.53.00E	( 94.88333)
# Water Depth(m): 3328
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.aequi%      Globigerinella aequilateralis percent
#             g.bull%       Globigerina bulloides percent
#             g.calid%      Globigerina calida percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.falco%      Globigerina falconensis percent
#             g.glut%       Globigerinita glutinata percent
#             g.hirsu%      Globorotalia hirsuta percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.rub%        Globigerinoides ruber percent
#             g.scit%       Globorotalia scitula percent
#             g.tenn%       Globigerinoides tenellus percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             o.univer%     Orbulina universa percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.humil%      Globigerina humilis percent
#             g.rubes%      Globigerina rubescens percent
#             g.sp%         Globorotalia sp. percent
#             g.sac%        Globigerinoides sacculifer percent
#
# CORE: E49-21
depth	yrBP 	carb%	cfrac%>150	d13C	d18O	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.aequi%	g.bull%	g.calid%	g.duter%	g.falco%	g.glut%	g.hirsu%	g.infla%	g.quinq%	g.rub%	g.scit%	g.tenn%	g.trc-l%	g.trc-r%	n.pachy-l%	n.pachy-r%	o.univer%	pd%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	g.crass%	g.digit%	g.humil%	g.rubes%	g.sp%	g.sac%	notes
4	6000	96.5	20.3	-0.27	2.07	5.69	0.11	0.01	94.1	1	0.3	14320	20	0.3	27.7	1	0.3	7.8	6.2	0.7	17.6	6.2	0.3	0.7	0.3	6.2	0.7	2.9	4.6	2.3	14.3	318	4	1.2	0.0039	10.2	2.2	13.98	3.9	-999	-999	-999	-999	-999	-999	Event: 1.1
8	-999	99	19.3	-0.19	2.28	5.63	0.09	0.02	96.4	5	0.9	12330	20	0.2	32.4	1.1	0.4	7.6	5.1	-999	21	5.9	0.8	0.2	-999	7	0.4	3	5.5	2.1	7.2	541	0	0	0.0078	9.77	2	13.02	3.3	0.2	-999	-999	-999	-999	-999	
18	-999	95.5	20	-0.43	3.13	5.63	0.1	0.03	89.9	4	0.7	12131	60	-999	36.3	0.4	-999	2.7	6.7	0.4	9.8	9.2	0.8	0.2	-999	4.8	-999	11.7	7.7	0.8	8.8	533	4	0.7	0.0078	8.01	1.2	10.35	2.5	-999	-999	-999	-999	-999	-999	
28	-999	93.9	31.2	-0.46	3.24	5.4	0.11	0.02	84.8	6	1.8	15854	60	-999	38	-999	-999	0.9	10.4	-999	6.8	17.2	-999	-999	-999	2.8	-999	14.7	4	0.6	4.6	334	3	0.9	0.0039	6.08	2	8.8	2.3	-999	-999	-999	-999	-999	-999	
33	19000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 2.2
38	-999	93.7	35.1	-0.53	3.26	5.3	0.08	0.02	81.7	7	1.2	14022	130	-999	52.3	0.5	0.2	0.5	7	0.4	7.9	6.3	-999	-999	-999	4.9	0.2	11.9	1.9	0.2	5.9	580	10	1.7	0.0078	7.07	1.6	8.99	2.1	-999	-999	-999	-999	-999	-999	
49	-999	-999	-999	-0.38	2.98	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
49	-999	-999	-999	-0.33	3.01	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
49	-999	95.3	25.2	-0.12	3.11	5.17	0.09	0.02	83.6	2	0.4	11409	90	-999	48.8	0.2	-999	0.5	11.7	-999	5.8	9	-999	-999	-999	3.4	-999	14.6	1.1	0.2	4.7	460	4	0.9	0.0078	5.25	1.3	7.92	1.4	-999	-999	-999	-999	-999	-999	
59	-999	96.9	25.7	-0.08	2.92	5.3	0.09	0.02	90.5	4	0.8	11499	50	-999	44.2	-999	0.2	0.7	8.9	-999	8.9	13.4	-999	-999	-999	3.3	0.2	9.5	3.9	-999	6.7	475	4	0.8	0.0078	7.08	1.9	9.52	1.9	-999	0.2	-999	-999	-999	-999	
