# NOAA Paleoclimatology Program - Paleocean Site Data
# m2421-y-tab.txt
# Complete Data
# File Created: 09-Dec-2011
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Masanobu Yamamoto
# Core/Site:      MD01-2421
# Latitude:       36.01.00N	( 36.01667)
# Longitude:      141.47.00E	( 141.7833)
# Water Depth(m): 2224
#
# Publications:
#   Yamamoto, M., R. Suemune, and T. Oba. 2005. Equatorward shift of the subarctic
#     boundary in the northwestern Pacific during the last deglaciation. Geophys. Res.
#     Lett., Vol. 32, L05609.
#   Oba, T., T. Irino, M. Yamamoto, M. Murayama, A. Takamura, and K. Aoki. 2006.
#     Paleoceanographic change off central Japan since the last 144,000 years based
#     on high-resolution oxygen and carbon isotope records. Global and Planetary Change,
#     53: 5-20.
#   Yamamoto, M., M. Yamamuro, and R. Tada. 2000. Late Quaternary records of organic
#     carbon, calcium carbonate and biomarkers from Site 1016 off Point Conception,
#     California margin.  ODP Scientific Results, 167, 183-194.
#------------------
#
# Description & Notes:
#   Northwestern Pacific 144KYr Alkenone Sea Surface Temperature Estimates.
#   The analysis of alkenones and the calculation of temperature were conducted following
#   the methods of Yamamoto et al. [2000] and Prahl et al. [1988], respectively,
#   with an analytical accuracy of 0.24°C. Please see Oba et al. (2006) for age-depth
#   model.
#
# MD01-2421 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-           Cal Age
#  8           690           20            20                                310
#  158         2180          35            35                                1790
#  308         3705          25            25                                3620
#  456         5195          30            30                                5570
#  606         7100          35            35                                7570
#  806         10780         70            70                                12010
#  829         11270         55            55                                12880
#  1003        18250         90            90                                21110
#  1210       -999          -999          -999                               28590
# 
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37      Sea Surface Temperature from Uk'37 (C)
#             uk37          Alkenone saturation index
#
# CORE: MD01-2421
depth	calyrBP 	sst-uk37	uk37	
1.1875	239.7	18.598	0.671	
5.9375	286.6	17.363	0.629	
74.55	965	18.286	0.661	
225.45	2612.9	18.967	0.684	
375.7375	4512.5	19.058	0.687	
453.3333	5534.9	19.324	0.696	
523.9375	6475.8	19.47	0.701	
603.2333	7533.1	20.486	0.736	
674.525	9091.3	19.345	0.697	
719.8875	10098.3	19.332	0.696	
729.9875	10322.5	19.926	0.717	
747.9667	10721.7	19.852	0.714	
750.5	10777.9	19.882	0.715	
753.0333	10834.1	18.816	0.679	
755.5625	10890.3	18.288	0.661	
758.0875	10946.3	18.715	0.675	
760.6125	11002.4	18.116	0.655	
763.1375	11058.5	17.104	0.621	
765.6875	11115.1	16.836	0.611	
768.2625	11172.2	17.643	0.639	
770.8375	11229.4	17.954	0.649	
773.4125	11286.6	16.129	0.587	
775.9625	11343.2	16.607	0.604	
778.4875	11399.2	16.721	0.608	
781.0125	11455.3	15.81	0.577	
783.5375	11511.3	15.606	0.57	
786.05	11567.1	15.863	0.578	
788.55	11622.6	14.693	0.539	
791.05	11678.1	15.411	0.563	
793.55	11733.6	15.438	0.564	
796.05	11789.1	15.978	0.582	
798.55	11844.6	13.954	0.513	
801.05	11900.1	15.167	0.555	
806.0375	12011.6	15.129	0.553	
813.4625	12334	13.291	0.491	
815.975	12443.1	13.591	0.501	
821.075	12664.5	14.418	0.529	
823.625	12775.2	12.994	0.481	
828.65	13000	14.434	0.53	
833.65	13232.6	14.118	0.519	
838.725	13468.7	15.203	0.556	
841.275	13587.3	15.782	0.576	
843.825	13705.9	15.913	0.58	
846.35	13823.3	16.381	0.596	
848.85	13939.6	15.804	0.576	
853.85	14172.2	16.137	0.588	
858.7375	14399.5	16.067	0.585	
863.5875	14625.1	15.153	0.554	
868.5875	14857.7	14.812	0.543	
873.6375	15092.6	14.874	0.545	
878.6125	15324	15.063	0.551	
883.5625	15554.3	15.024	0.55	
893.6375	16022.9	15.961	0.582	
897.1375	16185.7	15.709	0.573	
902.0875	16416	14.631	0.536	
907.05	16646.8	15.085	0.552	
