# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1012-tab.txt
# Complete Data
# File Created: 22-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1012
# Latitude:       32.16.58N	( 32.28278)
# Longitude:      118.23.01W	( -118.3836)
# Water Depth(m): 1783
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Depth is Herbert Science 2001 version of composite depth. Isotope Data analytical
#   error is ~0.1 per mil. The Uk'37 data have an analytical precision equal to +-
#   0.15 Degrees Celsius. The age model comes from tuning benthic d18O variations
#   to the SPECMAP c
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1012
depth	calyrBP 	d18Oforams-b	sst-uk37	uk37	notes
28.3113	2048.2	3.24	16.5	0.602	1012B 1H-1 15
34.1722	2530.7	3.29	16.5	0.599	1012B 1H-1 25
40.4635	3048.6	3.23	16.5	0.6	1012B 1H-1 35
47.6352	3638.9	3.27	16.6	0.605	1012B 1H-1 43
58.4129	4526.1	3.27	16.8	0.61	1012B 1H-1 55
67.5175	5275.5	3.24	16.6	0.605	1012B 1H-1 65
76.7415	6034.8	3.19	16.1	0.588	1012B 1H-1 75
86.1205	6806.9	3.12	16.1	0.586	1012B 1H-1 85
95.6608	7592.2	3.16	16.2	0.589	1012B 1H-1 95
105.39	8393.1	4.1	16.5	0.598	1012B 1H-1 105
115.307	9209.4	3.36	16.3	0.593	1012B 1H-1 115
125.394	10040	3.38	16.3	0.592	1012B 1H-1 125
135.664	10859	3.3	15.6	0.57	1012B 1H-1 135
146.054	11456	3.46	15.7	0.573	1012B 1H-1 145
156.553	12059	4.1	15.9	0.578	1012B 1H-2 5
167.098	12665	4.04	16	0.581	1012B 1H-2 15
177.658	13271	3.84	15.2	0.556	1012B 1H-2 25
188.17	13875	4.76	15.3	0.56	1012B 1H-2 35
198.603	14474	4.49	16.2	0.588	1012B 1H-2 45
208.993	15071	4.66	16.7	0.606	1012B 1H-2 55
219.408	15669	4.37	16.4	0.595	1012B 1H-2 65
229.62	16256	4.64	16.2	0.59	1012B 1H-2 75
239.698	16835	4.76	17.3	0.628	1012B 1H-2 85
249.594	17403	-999	17.1	0.622	1012B 1H-2 95
259.335	17963	4.61	16.8	0.609	1012B 1H-2 105
268.986	18517	4.85	16.1	0.587	1012B 1H-2 115
278.555	19067	4.65	16.1	0.585	1012B 1H-2 125
288.037	19611	4.81	15.3	0.558	1012B 1H-2 135
297.478	20153	4.77	15.4	0.562	1012B 1H-2 145
306.905	20695	4.65	14.8	0.544	1012B 1H-3 5
316.508	21246	4.62	14.8	0.541	1012B 1H-3 15
326.163	21801	4.69	14.8	0.541	1012B 1H-3 25
335.874	22359	4.71	13.4	0.496	1012B 1H-3 35
345.653	22920	4.68	13.2	0.488	1012B 1H-3 45
355.509	23486	4.66	12.3	0.457	1012B 1H-3 55
365.447	24131	4.46	12.4	0.462	1012B 1H-3 65
375.464	25451	4.63	12	0.446	1012B 1H-3 75
385.551	26781	4.46	12.2	0.454	1012B 1H-3 85
395.695	28117	4.47	13	0.481	1012B 1H-3 95
405.882	29460	4.43	13.1	0.484	1012B 1H-3 105
416.093	30805	-999	12.8	0.475	1012B 1H-3 115
426.314	32152	4.38	12.4	0.459	1012B 1H-3 125
436.53	33498	4.16	12.7	0.47	1012B 1H-3 135
446.732	34843	4.22	12.8	0.476	1012B 1H-3 145
456.879	36180	4.33	13.5	0.498	1012B 1H-4 5
466.851	37494	4.51	13.6	0.5	1012B 1H-4 15
476.816	38807	4.39	13.8	0.507	1012B 1H-4 25
486.797	40122	4.47	13.9	0.512	1012B 1H-4 35
496.816	41442	4.37	13.5	0.499	1012B 1H-4 45
506.616	42734	4.32	13	0.48	1012B 1H-4 55
516.258	44004	4.41	12.9	0.476	1012B 1H-4 65
526.005	45289	4.42	13.7	0.504	1012B 1H-4 75
535.884	46590	4.25	13.5	0.498	1012B 1H-4 85
545.92	47913	4.35	14.3	0.526	1012B 1H-4 95
556.362	49289	4.32	14.3	0.525	1012B 1H-4 105
567.162	50712	4.38	13.7	0.505	1012B 1H-4 115
578.182	52164	4.29	13.9	0.51	1012B 1H-4 125
589.415	53644	4.32	13.9	0.511	1012B 1H-4 135
600.857	55144	4.01	13.5	0.499	1012B 1H-4 145
612.424	56584	4.28	13.3	0.49	1012B 1H-5 5
624.109	58039	4.17	13.1	0.485	1012B 1H-5 15
635.834	59500	4.33	13	0.482	1012B 1H-5 25
645.966	60761	4.36	12.9	0.477	1012B 1H-5 35
655.471	61945	4.49	13.2	0.488	1012B 1H-5 45
664.666	63090	4.44	13	0.48	1012B 1H-5 55
672.572	64075	4.43	12.8	0.475	1012B 1H-5 65
678.45	64807	4.39	13.6	0.502	1012B 1H-5 75
685.428	65729	4.31	14.1	0.519	1012B 1H-5 85
692.761	66714	4.4	14.6	0.536	1012B 1H-5 95
710.874	69147	4.43	14.9	0.544	1012B 1H-5 105
732.379	72035	4.17	14.3	0.527	1012B 1H-5 115
745.424	73787	3.97	14.7	0.539	1012B 1H-5 125
754.615	75021	4.1	14.8	0.543	1012B 1H-5 135
763.711	76243	4.05	15.2	0.557	1012B 1H-5 145
772.652	77444	4.01	15.8	0.575	1012B 1H-6 5
781.419	78621	3.94	16.5	0.599	1012B 1H-6 15
790.046	79780	3.82	17.1	0.62	1012B 1H-6 25
798.56	80923	3.74	17.3	0.628	1012B 1H-6 35
807.293	82096	3.84	17.7	0.64	1012B 1H-6 45
817.744	83455	3.77	17.4	0.63	1012B 1H-6 55
828.202	84223	3.94	17.2	0.622	1012B 1H-6 65
836.788	84853	3.73	16.4	0.596	1012B 1H-6 75
844.575	85425	3.8	15.6	0.57	1012B 1H-6 85
852.342	85996	3.9	15.8	0.576	1012B 1H-6 95
860.105	86566	4.08	16	0.583	1012B 1H-6 105
869.693	87270	3.75	16	0.584	1012B 2H-1 4
879	87954	3.9	15.7	0.574	1012B 2H-1 15
887.473	88576	3.91	15.8	0.577	1012B 2H-1 25
896.025	89204	3.72	15.8	0.576	1012B 2H-1 35
904.759	89846	3.79	15.7	0.573	1012B 2H-1 45
913.726	90505	3.93	15.8	0.576	1012B 2H-1 55
923.023	91188	3.92	16	0.583	1012B 2H-1 65
932.663	91999	4.02	15.7	0.574	1012B 2H-1 75
942.706	93126	3.48	15.8	0.578	1012B 2H-1 85
953.079	94290	3.95	15.8	0.577	1012B 2H-1 95
963.714	95483	3.72	16.2	0.589	1012B 2H-1 105
974.456	96689	-999	16.8	0.61	1012B 2H-1 115
985.137	97888	3.78	17	0.616	1012B 2H-1 125
995.592	99061	3.84	17.1	0.619	1012B 2H-1 135
1004	100000	3.55	17.1	0.622	1012B 2H-1 145
1011.9	100890	3.685	17.1	0.62	1012B 2H-2 5
1019.59	101750	-999	17.5	0.632	1012B 2H-2 15
1026.97	102560	-999	16.9	0.615	1012B 2H-2 25
1034.04	103330	3.75	17.1	0.622	1012B 2H-2 35
1040.84	104070	-999	16.8	0.611	1012B 2H-2 45
1047.43	104780	3.64	16.3	0.594	1012B 2H-2 55
1053.83	105480	3.7	16.1	0.586	1012B 2H-2 65
1060.09	106160	3.59	16.7	0.606	1012B 2H-2 75
1066.26	106830	3.76	16.6	0.603	1012B 2H-2 85
1072.36	107490	3.83	16.8	0.609	1012B 2H-2 95
1078.45	108160	3.82	16	0.582	1012B 2H-2 105
1084.55	108820	-999	15.9	0.581	1012B 2H-2 115
1090.72	109490	-999	16	0.582	1012B 2H-2 125
1096.99	110170	3.73	16.3	0.593	1012B 2H-2 135
1103.4	110880	3.96	16.3	0.593	1012B 2H-2 145
1109.96	111630	3.86	16.2	0.591	1012B 2H-3 5
1116.73	112390	3.84	16.6	0.605	1012B 2H-3 15
1123.94	113210	-999	16.7	0.606	1012B 2H-3 25
1132.7	114200	3.8	16.6	0.604	1012B 2H-3 35
1141.96	115240	-999	17.2	0.623	1012B 2H-3 45
1151.56	116330	3.41	17.5	0.633	1012B 2H-3 55
1161.47	117450	3.56	18.1	0.653	1012B 2H-3 65
1171.56	118590	3.31	18.4	0.663	1012B 2H-3 75
1181.72	119740	3.35	18.9	0.683	1012B 2H-3 85
1191.83	120880	3.22	19.1	0.687	1012B 2H-3 95
1201.76	122000	3.06	19.6	0.706	1012B 2H-3 105
1211.47	123100	-999	19.4	0.7	1012B 2H-3 115
1220.89	124140	3.05	19.5	0.702	1012B 2H-3 125
1230.48	125190	3.19	19.2	0.691	1012B 2H-3 135
1240.7	126310	-999	17.4	0.63	1012B 2H-3 145
1250.5	-999	3.22	-999	-999	1012B 2H-4 5
1260.45	128460	3.55	17.9	0.646	1012B 2H-4 15
1270.13	129520	3.44	16.5	0.6	1012B 2H-4 25
1279.8	130570	3.24	16.4	0.597	1012B 2H-4 35
1289.53	131640	3.81	16.2	0.591	1012B 2H-4 45
1298.39	132600	3.81	16.3	0.592	1012B 2H-4 55
1309.4	133810	4.76	16.1	0.587	1012B 2H-4 65
1319.63	134920	4.68	16.6	0.605	1012B 2H-4 75
1330.01	136060	4.77	17	0.618	1012B 2H-4 85
1340.55	137260	4.69	17.4	0.63	1012B 2H-4 95
1350.12	138350	4.7	17.6	0.636	1012B 2H-4 105
1361.81	139680	4.72	17.8	0.645	1012B 2H-4 115
1372.36	140880	4.64	17.8	0.646	1012B 2H-4 125
1382.76	142060	4.77	16.7	0.608	1012B 2H-4 135
1392.96	143220	4.67	15.8	0.575	1012B 2H-4 145
1402	144250	4.67	15	0.548	1012B 2H-5 4
1412.83	145480	4.61	14.3	0.526	1012B 2H-5 15
1422.53	146580	4.5	13.6	0.501	1012B 2H-5 25
1432.14	147670	4.57	13.6	0.501	1012B 2H-5 35
1441.72	148860	4.59	13.5	0.499	1012B 2H-5 45
1450.39	149970	4.46	13.7	0.505	1012B 2H-5 55
1461.12	151340	4.64	14.3	0.526	1012B 2H-5 65
1470.83	152580	4.54	14.2	0.522	1012B 2H-5 75
1480.15	153780	4.68	15.1	0.552	1012B 2H-5 85
1489.7	155000	4.65	15	0.548	1012B 2H-5 95
1498.51	156140	4.6	14.5	0.534	1012B 2H-5 104
1509.51	157680	4.49	13.8	0.508	1012B 2H-5 114
1519.71	159120	4.57	13.6	0.5	1012B 2H-5 124
