Hole	"core,section"	top(cm)	composite_depth	age_(ka)	benthic d18O	Uk'37	SST
1020C	1H-1	25	0.25	3.5	-999	0.418	11.1
1020C	1H-1	50	0.5	5.3	-999	0.403	10.7
1020C	1H-1	75	0.75	7	-999	0.375	10.55
1020C	1H-1	77	0.77	7.12	3.64	-999	-999
1020C	1H-1	97	0.97	8.32	3.69	-999	-999
1020C	1H-1	100	1	8.5	-999	0.407	10.8
1020C	1H-1	125	1.25	9.82978723	-999	0.39	10.3
1020C	1H-1	137	1.37	10.46808511	4.16	-999	-999
1020C	1H-2	0	1.51	11.21276596	-999	0.32	8.3
1020C	1H-2	7	1.57	11.53191489	4.51	-999	-999
1020C	1H-2	25	1.75	12.4893617	-999	0.335	8.7
1020C	1H-2	47	1.97	13.65957447	4.64	-999	-999
1020C	1H-2	50	2	13.81914894	-999	0.326	8.4
1020C	1H-2	67	2.17	14.72340426	4.75	-999	-999
1020C	1H-2	75	2.25	15.14893617	-999	0.272	6.83
1020C	1H-2	100	2.5	16.4787234	-999	0.37	9.75
1020C	1H-2	107	2.57	16.85106383	5.08	-999	-999
1020C	1H-2	125	2.75	17.80851064	-999	0.27	6.8
1020C	1H-2	127	2.77	17.91489362	5.14	-999	-999
1020D	1H-2	127	2.91	18.65957447	5.235	-999	-999
1020D	1H-2	147	3.11	19.72340426	5.185	-999	-999
1020D	1H-3	0	3.15	19.93617021	-999	0.258	6.5
1020C	1H-3	17	3.17	20.04255319	5.12	-999	-999
1020D	1H-3	17	3.31	20.78723404	5.3	-999	-999
1020C	1H-3	37	3.37	21.17391304	5.1	-999	-999
1020D	1H-3	25	3.4	21.43478261	-999	0.239	5.9
1020D	1H-3	37	3.51	22.39130435	5.115	-999	-999
1020D	1H-3	50	3.65	23.60869565	-999	0.246	6.1
1020D	1H-3	57	3.71	24.13043478	4.735	-999	-999
1020C	1H-3	77	3.77	24.65217391	5.035	-999	-999
1020D	1H-3	75	3.9	25.7826087	-999	0.23	5.6
1020D	1H-3	77	3.91	25.86956522	5.13	-999	-999
1020C	1H-3	97	3.97	26.39130435	4.95	-999	-999
1020D	1H-3	97	4.11	27.60869565	5.075	-999	-999
1020D	1H-3	100	4.15	27.95652174	-999	0.28	7.1
1020D	1H-3	125	4.4	30.13043478	-999	0.248	6.1
1020D	1H-3	137	4.51	31.08754717	4.53	-999	-999
1020D	1H-3	144	4.59	31.78792453	-999	0.228	5.6
1020D	1H-4	0	4.65	32.31320755	-999	0.212	5.1
1020D	1H-4	7	4.71	32.83849057	4.87	-999	-999
1020D	1H-4	25	4.9	34.50188679	-999	0.238	5.8
1020D	1H-4	47	5.11	36.34037736	4.78	-999	-999
1020D	1H-4	50	5.15	36.69056604	-999	0.264	6.6
1020D	1H-4	67	5.31	38.09132075	4.725	-999	-999
