# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1123-tab.txt
# Complete Data
# File Created: 28-Oct-2008
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Martin Crundwell
# Core/Site:      ODP1123
# Latitude:       41.47.12S	( -41.78667)
# Longitude:      171.29.54W	( -171.4983)
# Water Depth(m): 3290
#
# Publications:
#   Crundwell, M., G. Scott, T. Naish, and L. Carter. 2008. Glacial-interglacial
#     ocean climate variability from planktonic foraminifera during the Mid-Pleistocene
#     transition in the temperate Southwest Pacific, ODP Site 1123.  Palaeogeography,
#     Palaeoclimatology, Palaeoecology, 260(1-2), 202-229.
#------------------
#
# Description & Notes:
#   Southwest Pacific ODP1123 Mid-Pleistocene Transition Foraminiferal SST Data
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             b.digit       Beella digitata count (Count)
#             echin         Echinoid count (Count)
#             fish.te       Fish teeth count (Count)
#             forams-b      Benthic Foraminifers (Count)
#             foramsfrag    Foraminifers Fragments
#             frag-plank%   Fragmentation percent (Planktic foraminifera)
#             g.aequi       Globigerinella aequilateralis (Count)
#             g.bull        Globigerina bulloides (Count)
#             g.calid       Globigerina calida (Count)
#             g.falco       Globigerina falconensis (Count)
#             g.glut        Globigerinita glutinata (Count)
#             g.infla       Globorotalia inflata (Count)
#             g.rub         Globigerinoides ruber (Count)
#             g.sac         Globigerinoides sacculifer (Count)
#             glass/pum     Glass shards/pumice count (Count)
#             hr.hirsu      Hirsutella hirsuta count (Count)
#             hr.scit       Hirsutella scitula count (Count)
#             n.incomp      Neogloboquadrina incompta count (Count)
#             n.pachy       Neogloboquadrina pachyderma (Count)
#             o.univer      Orbulina universa (Count)
#             ostrac        Ostracods count (Count)
#             p.obliq       Pulleniatina obliquiloculata (Count)
#             plank         Planktonic foraminifers (Count)
#             pyr.ag        Pyrite aggregates count (Count)
#             radio         Radiolarians (Count)
#             s.dehisc      Sphaeroidinella dehiscens (Count)
#             spicul        Sponge spicules count (Count)
#             sst-ANN       Sea surface temperature, artificial neural network (C)
#             t.humil       Turborotalita humilis count (Count)
#             t.quinq       Turborotalita quinqueloba count (Count)
#             tr.crass      Truncorotalia crassaformis count (Count)
#             tr.crsula     Truncorotalia crassula count (Count)
#             tr.trunc-l    Truncorotalia Truncatulinoides (left coiling) (Count)
#             tr.trunc-r    Truncorotalia Truncatulinoides (right coiling) (Count)
#
# CORE: ODP1123
depth	yrBP 	b.digit	echin	fish.te	forams-b	foramsfrag	frag-plank%	g.aequi	g.bull	g.calid	g.falco	g.glut	g.infla	g.rub	g.sac	glass/pum	hr.hirsu	hr.scit	n.incomp	n.pachy	o.univer	ostrac	p.obliq	plank	pyr.ag	radio	s.dehisc	spicul	sst-ANN	t.humil	t.quinq	tr.crass	tr.crsula	tr.trunc-l	tr.trunc-r	notes
4	630	0	1	0	13	290	9.9	1	47	1	2	1	149	3	0	1	1	1	83	2	3	0	0	316	0	43	0	0	16.554	0	1	0	1	20	0	C 1 H 1 3 5
7	1260	0	0	0	17	206	7	1	62	0	1	2	154	0	0	0	12	4	55	3	4	1	0	326	0	24	0	0	14.555	0	0	0	0	27	1	C 1 H 1 6 8
10	1890	0	0	0	17	200	7.3	2	60	0	1	5	132	1	0	1	3	0	74	1	3	0	0	299	0	17	0	1	15.809	0	0	0	0	17	0	C 1 H 1 9 11
25	4920	0	0	0	13	107	3.4	1	68	0	2	3	132	2	0	0	10	2	117	1	4	0	0	361	0	9	0	0	16.019	0	1	0	0	17	1	C 1 H 1 24 26
38	7580	0	0	0	1	103	3.9	2	79	0	4	6	90	5	0	0	1	1	107	0	0	0	0	314	0	11	0	0	16.081	0	4	0	1	14	0	C 1 H 1 37 39
48	10040	0	0	0	7	177	6.4	0	66	2	3	4	92	1	0	0	0	1	114	0	0	0	0	315	0	3	0	0	15.302	0	5	0	0	26	1	C 1 H 1 47 49
57	11470	0	0	0	9	148	5.4	0	71	0	4	16	70	0	0	0	0	2	126	2	1	0	0	313	0	4	0	0	14.433	0	10	0	0	11	0	C 1 H 1 56 58
72	14550	0	1	0	4	168	6	0	66	0	0	13	75	0	0	3	0	0	144	6	0	0	0	327	0	22	0	0	14.435	0	13	0	0	8	2	C 1 H 1 71 73
83	16800	0	1	0	8	212	7.8	0	91	0	0	7	82	0	0	6	0	0	94	3	0	0	0	306	0	47	0	0	13.441	0	10	0	0	19	0	C 1 H 1 82 84
89	18030	0	0	0	8	231	8.3	0	49	0	0	11	99	0	0	24	0	0	117	5	0	0	0	313	0	54	0	0	14.365	0	15	0	0	17	0	C 1 H 1 88 90
99	20080	0	0	2	10	237	8.3	0	114	0	0	17	85	0	0	150	0	0	66	5	1	0	0	317	0	90	0	0	12.087	0	17	0	0	12	0	C 1 H 1 98 100
113	22950	1	0	0	18	245	7.3	0	87	0	0	11	47	1	0	9	0	1	167	17	1	0	0	372	0	79	0	0	14.178	0	9	0	0	29	1	C 1 H 1 112 114
127	25820	0	0	0	11	187	7	0	45	0	0	7	31	0	0	33	0	0	188	4	1	0	0	300	0	109	0	0	16.053	0	0	0	0	24	0	C 1 H 1 126 128
139	28270	0	0	0	8	134	4.8	0	42	0	2	15	57	0	0	32	0	2	143	13	2	0	0	323	0	59	0	0	14.151	0	26	0	0	20	1	C 1 H 1 138 140
156	31710	0	0	0	10	172	5	0	71	0	0	9	90	1	0	24	0	2	174	11	0	0	0	400	0	61	0	0	14.99	0	10	0	0	30	2	C 1 H 2 5 7
163	33130	0	0	0	5	195	7.1	0	36	1	0	6	60	0	0	1	0	0	175	5	3	0	0	314	0	39	0	0	16.119	0	6	0	0	21	1	C 1 H 2 12 14
