# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1172a-tab.txt
# Complete Data
# File Created: 14-Aug-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Dirk Nuernberg
# Core/Site:      ODP1172A
# Latitude:       43.57.35S	( -43.95972)
# Longitude:      49.55.42E	( 49.92833)
# Water Depth(m): 2622
#
# Publications:
#   Nuernberg, D. and J. Groeneveld.  2006. Pleistocene variability of the Subtropical
#     Convergence at East Tasman Plateau: Evidence from planktonic foraminiferal Mg/Ca
#     (ODP Site 1172A). Geochemistry, Geophysics, Geosystems, V. 7, Q04P11
#------------------
#
# Description & Notes:
#   Tasman Sea (ODP1172A) d18O and Mg/Ca Data and SST Reconstruction
#   SST: Mashiotta et al., 1999
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             Mg/Ca-g.bull  Magnesium/Calcium ratio (Globigerina Bulloides)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP1172A
depth	yrBP 	d18Og.bull	Mg/Ca-g.bull	sst-mg/ca	d18Oc.wuell	notes
-999	-999	2.478	1.58	11.3	-999	2-3-148
0	0	-999	-999	-999	2.41	1-1-000
3	2105	2.323	1.47	10.6	-999	1-1-003
5	3626	-999	-999	-999	2.83	1-1-005
8	5900	1.987	1.66	11.7	-999	1-1-008
10	7420	-999	-999	-999	2.39	1-1-010
13	9695	2.664	1.34	9.7	-999	1-1-013
15	11220	-999	-999	-999	2.45	1-1-015
18	13500	3.132	1.59	11.3	-999	1-1-018
23	17290	3.207	1.48	10.6	-999	1-1-023
25	18806	-999	-999	-999	3.66	1-1-025
28	21080	3.445	1.32	9.6	-999	1-1-028
30	22600	-999	-999	-999	3.82	1-1-030
33	24880	3.04	1.48	10.6	-999	1-1-033
35	26916	-999	-999	-999	3.6	1-1-035
38	29970	3.069	1.39	10.1	-999	1-1-038
40	32358	-999	-999	-999	3.84	1-1-040
43	35940	3.068	1.38	10	-999	1-1-043
45	38324	-999	-999	-999	3.55	1-1-045
48	41900	2.982	1.33	9.6	-999	1-1-048
50	44288	-999	-999	-999	3.33	1-1-050
53	47865	3.028	1.5	10.8	-999	1-1-053
55	50250	-999	-999	-999	3.65	1-1-055
58	53820	2.861	1.41	10.2	-999	1-1-058
60	56212	-999	-999	-999	3.5	1-1-060
63	59795	2.828	1.39	10.1	-999	1-1-063
65	62184	-999	-999	-999	3.44	1-1-065
68	65760	3.042	1.29	9.4	-999	1-1-068
70	67596	-999	-999	-999	3.73	1-1-070
73	70345	3.408	1.33	9.6	-999	1-1-073
75	71818	-999	-999	-999	3.55	1-1-075
78	74020	2.938	1.4	10.1	-999	1-1-078
83	77700	2.89	1.32	9.6	-999	1-1-083
85	79172	-999	-999	-999	3.2	1-1-085
88	81380	2.324	1.56	11.1	-999	1-1-088
90	82780	-999	-999	-999	3.1	1-1-090
93	84875	2.322	1.48	10.6	-999	1-1-093
95	86280	-999	-999	-999	3.12	1-1-095
98	88380	2.429	1.56	11.1	-999	1-1-098
100	89784	-999	-999	-999	3.1	1-1-100
103	91885	2.786	1.47	10.6	-999	1-1-103
105	93286	-999	-999	-999	3.05	1-1-105
108	95380	2.859	1.37	9.9	-999	1-1-108
110	96784	-999	-999	-999	2.71	1-1-110
113	98890	2.469	1.49	10.7	-999	1-1-113
115	100290	-999	-999	-999	3.02	1-1-115
118	102390	2.125	1.48	10.6	-999	1-1-118
123	105895	2.337	1.57	11.2	-999	1-1-123
125	107296	-999	-999	-999	2.95	1-1-125
128	109390	2.621	1.5	10.8	-999	1-1-128
130	110910	-999	-999	-999	3.09	1-1-130
133	113190	2.627	1.59	11.3	-999	1-1-133
135	114878	-999	-999	-999	3.22	1-1-135
138	117410	2.323	1.75	12.2	-999	1-1-138
140	119170	-999	-999	-999	2.79	1-1-140
143	121808.3	2.135	1.74	12.2	-999	1-1-143
150	127956	-999	-999	-999	3.02	1-2-000
153	130591.7	3.005	1.49	10.7	-999	1-2-003
155	132170	-999	-999	-999	3.79	1-2-005
158	134540	3.152	1.59	11.3	-999	1-2-008
160	135860	-999	-999	-999	3.12	1-2-010
163	137840	3.396	1.49	10.7	-999	1-2-013
165	139160	-999	-999	-999	3.2	1-2-015
168	141140	3.448	1.46	10.5	-999	1-2-018
170	142368	-999	-999	-999	3.84	1-2-020
173	144205	3.276	1.54	11	-999	1-2-023
175	145374	-999	-999	-999	3.67	1-2-025
178	147120	3.296	1.29	9.4	-999	1-2-028
180	148284	-999	-999	-999	3.75	1-2-030
183	150025	3.211	1.57	11.2	-999	1-2-033
185	151194	-999	-999	-999	3.76	1-2-035
188	152940	3.419	1.42	10.3	-999	1-2-038
190	154108	-999	-999	-999	3.81	1-2-040
193	155855	3.448	1.45	10.4	-999	1-2-043
195	157020	-999	-999	-999	3.68	1-2-045
198	158760	3.56	1.46	10.5	-999	1-2-048
200	160140	-999	-999	-999	3.78	1-2-050
203	162210	3.256	1.51	10.8	-999	1-2-053
205	163730	-999	-999	-999	3.59	1-2-055
208	166010	3.31	1.27	9.2	-999	1-2-058
210	167494	-999	-999	-999	3.6	1-2-060
213	169715	3.211	1.43	10.3	-999	1-2-063
215	171024	-999	-999	-999	3.55	1-2-065
218	172980	2.923	1.34	9.7	-999	1-2-068
220	174288	-999	-999	-999	3.51	1-2-070
223	176245	3.115	1.28	9.3	-999	1-2-073
225	177558	-999	-999	-999	3.62	1-2-075
228	179520	3.096	1.33	9.6	-999	1-2-078
230	180828	-999	-999	-999	3.1	1-2-080
233	182785	3.164	1.25	9.1	-999	1-2-083
238	186060	2.371	1.44	10.4	-999	1-2-088
240	187476	-999	-999	-999	2.9	1-2-090
243	189600	2.402	1.51	10.8	-999	1-2-093
245	191468	-999	-999	-999	3.7	1-2-095
248	194270	2.731	1.34	9.7	-999	1-2-098
250	196142	-999	-999	-999	3.66	1-2-100
253	198945	2.787	1.6	11.4	-999	1-2-103
255	200814	-999	-999	-999	3.44	1-2-105
258	203610	2.612	1.52	10.9	-999	1-2-108
260	205482	-999	-999	-999	2.97	1-2-110
263	208285	2.356	1.53	11	-999	1-2-113
265	210158	-999	-999	-999	2.56	1-2-115
268	212960	2.974	1.55	11.1	-999	1-2-118
270	214828	-999	-999	-999	2.78	1-2-120
273	217625	2.803	1.42	10.3	-999	1-2-123
275	219454	-999	-999	-999	4.02	1-2-125
278	222190	2.587	1.35	9.8	-999	1-2-128
280	223978	-999	-999	-999	3.9	1-2-130
283	226660	3.5	1.23	8.9	-999	1-2-133
285	228500	-999	-999	-999	3.94	1-2-135
288	231260	3.124	1.24	9	-999	1-2-138
290	233180	-999	-999	-999	3.75	1-2-140
293	236060	3.236	1.22	8.8	-999	1-2-143
295	237984	-999	-999	-999	3.67	1-2-145
298	240870	2.858	1.38	10	-999	1-2-148
300	242790	-999	-999	-999	3.75	1-3-000
303	245670	2.888	1.35	9.8	-999	1-3-003
305	247590	-999	-999	-999	3.62	1-3-005
308	250470	2.563	1.42	10.3	-999	1-3-008
313	255275	2.169	1.54	11	-999	1-3-013
