# NOAA Paleoclimatology Program - Paleocean Site Data
# odp846l6-tab.txt
# Complete Data
# File Created: 31-Jan-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP846
# Latitude:       3.05.42S	( -3.095)
# Longitude:      90.49.06W	( -90.81833)
# Water Depth(m): 3296
#
# Publications:
#   Lawrence, K.T., Z. Liu and T.D. Herbert. 2006. Evolution of the Eastern Tropical
#     Pacific Through Plio-Pleistocene Glaciation. Science, 312, 79-83.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific 5 Myr Alkenone SST and Paleoproductivity Reconstruction ( ODP846 )
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             c37nmol       C37 alkenone abundance (nmol/g)
#             sst-uk37      Sea Surface Temperature from Uk'37
#
# CORE: ODP846
depth	yrBP 	c37nmol	sst-uk37	notes
16	5228.2	2.37	23	846B 1H-1 15-16
26	8947	2.1	23.1	846B 1H-1 25-26
36	11966	1.87	23.2	846B 1H-1 35-36
46	14427	2.74	22	846B 1H-1 45-46
56	16502	3.75	21.7	846B 1H-1 55-56
66	18410	7.62	21.4	846B 1H-1 65-66
76	19975.7	7.86	21.7	846B 1H-1 75-76
86	21461.4	7.73	21.3	846B 1H-1 85-86
96	22773.1	8.81	21.2	846B 1H-1 95-96
106	24213.1	8.58	20.6	846B 1H-1 105-106
116	25797	10.38	20.5	846B 1H-1 115-116
126	27490	9.88	20.7	846B 1H-1 125-126
136	29190	10.22	20.6	846B 1H-1 135-136
146	30850	7.09	20.9	846B 1H-1 145-146
156	32150	5.34	21.4	846B 1H-2 6-7
166	33240	4.79	21.2	846B 1H-2 15-16
176	34240	6.11	21.2	846B 1H-2 25-26
186	35485	6.13	21.4	846B 1H-2 35-36
196	36937.3	7.1	21.5	846B 1H-2 45-46
206	38403.3	9.89	21.6	846B 1H-2 55-56
216	39875.5	11.21	21.6	846B 1H-2 65-66
226	41714	9.52	21.6	846B 1H-2 75-76
236	43884	7.95	21.9	846B 1H-2 85-86
246	46107.8	7.69	22.2	846B 1H-2 95-96
256	48332.5	6.7	22.1	846B 1H-2 105-106
266	50566.2	4.77	22.2	846B 1H-2 115-116
276	52647.3	6.45	22.6	846B 1H-2 125-126
286	54695.6	7.02	22.5	846B 1H-2 135-136
296	56730	11.08	22.4	846B 1H-2 145-146
306	58776.2	16.77	22	846B 1H-3 6-7
316	60813.3	13.44	22.2	846B 1H-3 15-16
326	62868	18.18	22	846B 1H-3 25-26
336	65390.9	17.11	22.1	846B 1H-3 35-36
346	67571.1	16.99	22.1	846B 1H-3 45-46
356	70033.3	13.65	22.3	846B 1H-3 55-56
366	72620	10.76	22.5	846B 1H-3 65-66
376	75048.2	9.08	22.4	846B 1H-3 75-76
386	77522	8.56	22.8	846B 1H-3 85-86
397	80875.5	12.08	23.3	846B 1H-3 95-96
408	85003.6	12.75	23	846B 1H-3 105-106
418	88868	12.6	23	846B 1H-3 115-116
426	91822.5	11.71	22.9	846B 1H-3 125-126
431	93643.3	12.15	22.9	846D 1H-1 115-116
436	95465.6	11.19	22.9	846B 1H-3 135-136
441	97283.3	11.19	23.2	846D 1H-1 125-126
446	99200	9.95	23.1	846B 1H-3 145-146
453	102217.8	10.71	22.9	846D 1H-1 135-136
465	107828.3	10.29	22.3	846D 1H-1 145-146 
477	112018.3	9.64	22.8	846D 1H-2 6-7
488	114913.6	7.81	22.5	846D 1H-2 15-16
500	117673.3	7.13	22.9	846D 1H-2 25-26
510	119962	4.78	23.8	846D 1H-2 35-36
520	122252	5.84	23.7	846D 1H-2 45-46
530	124494	3.22	25.1	846D 1H-2 55-56
540	126964	3.67	24.7	846D 1H-2 65-66
550	130606	5.87	23.5	846D 1H-2 75-76
560	133910	5.14	23.5	846D 1H-2 85-86
570	137060	7.41	22.1	846D 1H-2 95-96
580	139746	6.36	22.1	846D 1H-2 105-106
590	141868	5.98	22.6	846D 1H-2 115-116
600	143854	6.98	22.3	846D 1H-2 125-126
611	145943.6	7.23	22.3	846D 1H-2 135-136
621	147832	7.67	22.4	846D 1H-2 145-146 
631	149722	7.97	22.3	846D 1H-3 6-7
641	151612	8.41	22	846D 1H-3 15-16
651	153502	8.48	22	846D 1H-3 25-26
661	155728	9.77	21.8	846D 1H-3 35-36
670	157978.9	8.95	21.7	846D 1H-3 45-46
680	160530	10.62	21.7	846D 1H-3 55-56
689	162828.9	8.41	22	846D 1H-3 65-66
698	165136.7	12.47	22.7	846D 1H-3 75-76
707	167438.9	13.56	22.7	846D 1H-3 85-86
716	169715.6	14.54	22.3	846D 1H-3 95-96
725	171713.3	7.48	22.1	846D 1H-3 105-106
734	173703.3	9.14	22.4	846D 1H-3 115-116
743	175775.6	10.22	22.6	846D 1H-3 125-126
751	178212.5	10.54	22.8	846D 1H-3 135-136
760	181304.4	12.48	23.3	846D 1H-3 145-146 
769	184426.7	14.29	23.3	846D 1H-4 6-7
777	187115	14.38	23.2	846D 1H-4 15-16
786	189670	9.54	23.3	846D 1H-4 25-26
793	191602.9	14.31	23.9	846D 1H-4 35-36
801	194177.5	11.93	23.2	846D 1H-4 45-46
808	196585.7	7.58	22.8	846D 1H-4 55-56
816	199545	8.27	22.7	846D 1H-4 65-66
824	202722.5	6.95	22.1	846D 1H-4 75-76
832	206080	6.16	22.8	846D 1H-4 85-86
840	209307.5	7.12	22.9	846D 1H-4 95-96
848	212342.5	6.03	23.7	846D 1H-4 105-106
857	215516.7	6.45	23.8	846D 1H-4 115-116
866	218442.2	10.23	22.7	846D 1H-4 125-126
875	221024.4	11.29	22.8	846D 1H-4 135-136
885	223828	9.73	22.5	846D 1H-4 145-146 
896	226950.9	14.9	23.4	846D 1H-5 6-7
906	229792	14.64	23.3	846D 1H-5 15-16
917	232920.9	5.64	23.1	846D 1H-5 25-26
927	235762	14.97	24	846D 1H-5 35-36
938	239406.4	12.37	23.1	846D 1H-5 45-46
947	242462.2	7.93	22.7	846D 1H-5 55-56
956	244827.8	8.06	23	846D 1H-5 65-66
966	247158	7.67	22	846D 1H-5 75-76
976	249572	7.36	22.4	846D 1H-5 85-86
985	251778.9	6.1	23.1	846D 1H-5 95-96
994	253981.1	5.81	23.5	846D 1H-5 105-106
1004	256430	5.98	23.8	846D 1H-5 115-116
1014	258872	4.35	23.7	846D 1H-5 125-126
1025	261560.9	12.12	23.2	846D 1H-5 135-136
1036	264169.1	11.43	22.6	846D 1H-5 145-146
1048	266865	21.25	21	846D 1H-6 6-7
1059	269306.7	24.63	20.7	846D 1H-6 15-16
1071	272150	23.79	20.7	846D 1H-6 25-26
1082	275213.6	22.07	20.8	846D 1H-6 35-36
1092	277990	17.76	20.9	846D 1H-6 45-46
1102	280390	13.13	21.3	846D 1H-6 55-56
1111	282228.9	16.27	21.5	846D 1H-6 65-66
1121	284203.3	11.2	21.4	846D 1H-6 75-76
1130	285970	7.11	21.8	846D 1H-6 85-86
1139	287968	6.83	22.2	846D 1H-6 95-96
