# NOAA Paleoclimatology Program - Paleocean Site Data
# odp847-tab.txt
# Complete Data
# File Created: 19-Mar-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Martin Medina-Elizalde
# Core/Site:      ODP847
# Latitude:       0.12.00N	( 0.2)
# Longitude:      95.19.00W	( -95.31667)
# Water Depth(m): 3373
#
# Publications:
#   Medina-Elizalde, M., D.W. Lea, and M.S. Fantle. 2008. Implications of seawater
#     Mg/Ca variability for Plio-Pleistocene tropical climate reconstruction. Earth
#     and Planetary Science Letters, 269(3-4), 585-595.
#------------------
#
# Description & Notes:
#   Plio-Pleistocene Seawater Mg/Ca Variability Data and SST reconstruction
#   All Mg/Ca data from Wara et al., 2005, Science
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca-g.sac   Magnesium/Calcium ratio (Globigerinoides sacculifer) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#             sst-mg/ca.adj Sea surface temperature from Mg/Ca adjusted for Mg/Ca variation
#
# CORE: ODP847
depth	yrBP 	Mg/Ca-g.sac	sst-mg/ca	sst-mg/ca.adj	
-999	0	3.11	26.868	26.868	
-999	12000	1.882	21.287	21.309	
-999	24000	1.918	21.496	21.539	
-999	36000	2.01	22.019	22.084	
-999	48000	2.171	22.873	22.961	
-999	60000	2.103	22.523	22.633	
-999	72000	2.036	22.162	22.293	
-999	84000	2.18	22.921	23.074	
-999	96000	2.152	22.777	22.953	
-999	108000	2.36	23.8	23.999	
-999	120000	2.541	24.623	24.845	
-999	132000	2.433	24.141	24.385	
-999	144000	2.325	23.636	23.903	
-999	156000	2.191	22.976	23.266	
-999	168000	2.255	23.297	23.609	
-999	180000	2.303	23.532	23.868	
-999	192000	2.248	23.262	23.621	
-999	204000	2.296	23.497	23.879	
-999	216000	2.337	23.692	24.097	
-999	228000	2.297	23.5	23.928	
-999	240000	2.445	24.193	24.645	
-999	252000	2.249	23.267	23.737	
-999	264000	2.276	23.4	23.865	
-999	276000	2.303	23.532	23.99	
-999	288000	2.33	23.662	24.115	
-999	300000	2.357	23.79	24.237	
-999	312000	2.363	23.816	24.258	
-999	324000	2.261	23.326	23.762	
-999	336000	2.159	22.813	23.243	
-999	348000	2.057	22.275	22.699	
-999	360000	2.097	22.49	22.908	
-999	372000	2.166	22.848	23.26	
-999	384000	2.234	23.194	23.601	
-999	396000	2.471	24.313	24.714	
-999	408000	2.638	25.042	25.436	
-999	420000	2.516	24.513	24.902	
-999	432000	2.393	23.958	24.341	
-999	444000	2.271	23.373	23.751	
-999	456000	2.253	23.286	23.657	
-999	468000	2.27	23.37	23.736	
-999	480000	2.28	23.417	23.777	
-999	492000	2.279	23.413	23.767	
-999	504000	2.278	23.409	23.756	
-999	516000	2.277	23.404	23.743	
-999	528000	2.276	23.4	23.731	
-999	540000	2.275	23.396	23.719	
-999	552000	2.274	23.392	23.707	
-999	564000	2.274	23.387	23.694	
-999	576000	2.273	23.383	23.682	
-999	588000	2.272	23.379	23.67	
-999	600000	2.271	23.374	23.658	
-999	612000	2.27	23.37	23.645	
-999	624000	2.466	24.289	24.556	
-999	636000	2.457	24.25	24.509	
-999	648000	2.449	24.212	24.463	
-999	660000	2.44	24.173	24.415	
-999	672000	2.431	24.134	24.368	
-999	684000	2.423	24.094	24.321	
-999	696000	2.414	24.055	24.273	
-999	708000	2.406	24.015	24.226	
-999	720000	2.397	23.976	24.178	
-999	732000	2.389	23.936	24.13	
-999	744000	2.38	23.896	24.082	
-999	756000	2.371	23.856	24.04	
-999	768000	2.363	23.816	24.005	
-999	780000	2.568	24.741	24.935	
-999	792000	2.163	22.832	23.031	
-999	804000	2.086	22.433	22.637	
-999	816000	2.264	23.343	23.552	
-999	828000	2.218	23.112	23.325	
-999	840000	2.348	23.745	23.964	
-999	852000	2.513	24.502	24.725	
-999	864000	2.372	23.856	24.084	
-999	876000	2.04	22.183	22.416	
-999	888000	2.195	22.999	23.237	
-999	900000	2.298	23.504	23.747	
-999	912000	2.219	23.117	23.364	
-999	924000	2.258	23.312	23.565	
-999	936000	2.414	24.056	24.313	
-999	948000	2.571	24.752	25.015	
-999	960000	2.727	25.408	25.676	
-999	972000	2.961	26.323	26.596	
-999	984000	2.394	23.962	24.239	
-999	996000	1.827	20.959	21.242	
-999	1008000	1.79	20.731	21.022	
-999	1020000	2.065	22.319	22.621	
-999	1032000	2.209	23.068	23.382	
-999	1044000	2.242	23.232	23.558	
-999	1056000	2.319	23.609	23.946	
-999	1068000	2.5	24.443	24.791	
-999	1080000	2.716	25.364	25.724	
-999	1092000	2.58	24.794	25.165	
-999	1104000	2.444	24.193	24.576	
-999	1116000	2.322	23.623	24.018	
-999	1128000	2.35	23.755	24.161	
-999	1140000	2.064	22.312	22.73	
-999	1152000	2.559	24.703	25.132	
-999	1164000	2.327	23.644	24.085	
-999	1176000	2.765	25.564	26.017	
-999	1188000	2.555	24.684	25.149	
-999	1200000	2.205	23.045	23.522	
-999	1212000	2.305	23.54	24.029	
-999	1224000	2.255	23.297	23.797	
-999	1236000	2.328	23.65	24.162	
-999	1248000	2.524	24.547	25.071	
-999	1260000	2.5	24.443	24.987	
-999	1272000	2.362	23.812	24.378	
-999	1284000	2.355	23.779	24.367	
-999	1296000	2.471	24.312	24.923	
-999	1308000	2.131	22.666	23.3	
-999	1320000	2.06	22.292	22.948	
-999	1332000	2.213	23.089	23.768	
-999	1344000	2.852	25.905	26.607	
-999	1356000	2.666	25.158	25.883	
-999	1368000	2.481	24.357	25.104	
-999	1380000	2.295	23.494	24.264	
-999	1392000	2.823	25.794	26.587	
-999	1404000	2.74	25.463	26.279	
-999	1416000	2.599	24.875	25.713	
-999	1428000	2.458	24.254	25.115	
-999	1440000	2.317	23.596	24.481	
-999	1452000	2.175	22.897	23.805	
-999	1464000	2.241	23.226	24.157	
-999	1476000	2.375	23.873	24.827	
-999	1488000	2.509	24.484	25.461	
-999	1500000	2.679	25.209	26.21	
-999	1512000	2.844	25.876	26.891	
-999	1524000	2.495	24.42	25.45	
-999	1536000	2.372	23.859	24.903	
-999	1548000	2.387	23.928	24.986	
-999	1560000	2.401	23.996	25.068	
-999	1572000	2.241	23.229	24.315	
-999	1584000	2.6	24.878	25.98	
-999	1596000	2.43	24.125	25.241	
-999	1608000	2.654	25.106	26.237	
-999	1620000	2.648	25.083	26.228	
-999	1632000	2.55	24.661	25.82	
-999	1644000	2.368	23.839	25.012	
-999	1656000	2.186	22.95	24.137	
-999	1668000	2.626	24.99	26.189	
-999	1680000	2.48	24.353	25.564	
-999	1692000	2.606	24.906	26.129	
-999	1704000	2.932	26.213	27.448	
-999	1716000	2.942	26.252	27.499	
-999	1728000	2.885	26.034	27.292	
-999	1740000	2.625	24.985	26.254	
-999	1752000	2.613	24.933	26.214	
-999	1764000	2.667	25.16	26.449	
-999	1776000	2.688	25.249	26.548	
-999	1788000	2.713	25.351	26.659	
-999	1800000	2.738	25.453	26.769	
-999	1812000	2.944	26.26	27.585	
-999	1824000	3.113	26.88	28.214	
-999	1836000	3.061	26.694	28.037	
-999	1848000	3.368	27.752	29.104	
-999	1860000	2.616	24.946	26.307	
-999	1872000	3.041	26.62	27.99	
-999	1884000	3.068	26.717	28.096	
-999	1896000	2.544	24.635	26.023	
-999	1908000	3.109	26.866	28.262	
-999	1920000	2.692	25.265	26.67	
-999	1932000	3.34	27.661	29.075	
-999	1944000	2.599	24.872	26.295	
-999	1956000	2.906	26.113	27.545	
-999	1968000	2.881	26.017	27.459	
-999	1980000	2.856	25.921	27.371	
-999	1992000	2.831	25.824	27.283	
-999	2004000	2.806	25.726	27.188	
-999	2016000	2.781	25.628	27.08	
-999	2028000	2.757	25.528	26.971	
-999	2040000	2.812	25.749	27.183	
-999	2052000	2.936	26.228	27.652	
-999	2064000	2.73	25.42	26.836	
-999	2076000	2.649	25.087	26.493	
-999	2088000	2.885	26.033	27.43	
-999	2100000	3.12	26.905	28.293	
-999	2112000	2.817	25.77	27.148	
-999	2124000	2.83	25.82	27.189	
-999	2136000	2.997	26.457	27.816	
-999	2148000	3.108	26.86	28.21	
-999	2160000	3.188	27.144	28.485	
-999	2172000	3.117	26.895	28.226	
-999	2184000	3.047	26.64	27.961	
-999	2196000	2.976	26.379	27.691	
-999	2208000	2.733	25.433	26.736	
-999	2220000	2.917	26.155	27.448	
-999	2232000	3.289	27.49	28.774	
-999	2244000	2.8	25.702	26.976	
-999	2256000	2.987	26.419	27.676	
-999	2268000	3.07	26.725	27.956	
-999	2280000	3.07	26.725	27.931	
-999	2292000	3.318	27.588	28.769	
-999	2304000	3.251	27.36	28.516	
-999	2316000	3.187	27.139	28.27	
-999	2328000	3.275	27.442	28.548	
-999	2340000	3.363	27.736	28.817	
-999	2352000	3.411	27.894	28.95	
-999	2364000	3.455	28.039	29.069	
-999	2376000	3.5	28.181	29.186	
-999	2388000	3.38	27.793	28.773	
-999	2400000	3.878	29.32	30.275	
-999	2412000	3.751	28.949	29.879	
-999	2424000	3.487	28.14	29.044	
-999	2436000	3.224	27.268	28.147	
-999	2448000	2.751	25.504	26.357	
-999	2460000	2.586	24.817	25.645	
-999	2472000	2.322	23.622	24.424	
-999	2484000	2.527	24.562	25.339	
-999	2496000	2.54	24.62	25.372	
-999	2508000	2.622	24.97	25.718	
-999	2520000	2.703	25.31	26.063	
-999	2532000	2.686	25.238	25.997	
-999	2544000	2.663	25.145	25.91	
-999	2556000	2.645	25.067	25.839	
-999	2568000	2.626	24.99	25.767	
-999	2580000	2.761	25.545	26.328	
-999	2592000	2.972	26.363	27.152	
-999	2604000	3.183	27.125	27.92	
-999	2616000	3.394	27.839	28.64	
-999	2628000	3.605	28.509	29.316	
-999	2640000	3.816	29.141	29.954	
-999	2652000	4.027	29.739	30.558	
-999	2664000	4.074	29.867	30.693	
-999	2676000	3.89	29.356	30.188	
-999	2688000	3.707	28.82	29.658	
-999	2700000	3.524	28.256	29.101	
-999	2712000	3.341	27.663	28.513	
-999	2724000	3.186	27.138	27.995	
-999	2736000	2.935	26.226	27.089	
-999	2748000	2.54	24.619	25.488	
-999	2760000	2.74	25.461	26.354	
-999	2772000	2.764	25.556	26.476	
-999	2784000	2.784	25.639	26.586	
-999	2796000	2.917	26.156	27.131	
-999	2808000	3.049	26.65	27.652	
-999	2820000	3.164	27.061	28.09	
-999	2832000	3.191	27.153	28.21	
-999	2844000	3.217	27.245	28.329	
-999	2856000	3.244	27.336	28.447	
-999	2868000	3.27	27.425	28.565	
-999	2880000	3.296	27.515	28.681	
-999	2892000	3.323	27.603	28.798	
-999	2904000	3.349	27.691	28.913	
-999	2916000	3.075	26.743	27.992	
-999	2928000	2.74	25.461	26.738	
-999	2940000	2.698	25.288	26.593	
-999	2952000	3.149	27.008	28.341	
-999	2964000	3.193	27.16	28.52	
-999	2976000	3.032	26.585	27.972	
-999	2988000	2.871	25.978	27.393	
-999	3000000	2.716	25.364	26.807	
-999	3012000	2.88	26.015	27.487	
-999	3024000	3.214	27.235	28.737	
-999	3036000	2.989	26.427	27.959	
-999	3048000	2.623	24.975	26.536	
-999	3060000	2.699	25.295	26.886	
-999	3072000	3.042	26.624	28.244	
-999	3084000	2.831	25.822	27.472	
-999	3096000	3.215	27.237	28.917	
-999	3108000	3.439	27.987	29.695	
-999	3120000	2.868	25.966	27.705	
-999	3132000	2.721	25.383	27.151	
-999	3144000	2.764	25.558	27.355	
-999	3156000	2.836	25.842	27.669	
