# NOAA Paleoclimatology Program - Paleocean Site Data
# ps20821b-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Uta Brathauer
# Core/Site:      PS2082-1
# Latitude:       43.13.12S	( -43.22)
# Longitude:      11.44.18E	( 11.73833)
# Water Depth(m): 4600
#
# Publications:
#   Brathauer, U., and A. Abelmann. 1999. Late Quaternary variations in sea surface
#     temperatures and their relationship to orbital forcing recorded in the Southern
#     Ocean (Atlantic sector) Paleoceanography 14(2):135-148.
#------------------
#
# Description & Notes:
#   Late Quaternary SST Reconstruction for the Southern Ocean.
#   
#
# Variables:
#             depth         Depth (cm)
#             sst-aug       Sea Surface Temperature (C, August)
#
# CORE: PS2082-1
depth	sst-aug	
1	10.36	
10	13.22	
18	11.21	
26	10.38	
35	9.67	
43	7.59	
53	7.23	
59	7.2	
68	6.09	
78	6.82	
88	6.58	
98	6.11	
108	6.85	
118	6.8	
128	7.14	
138	7.27	
148	7.68	
158	5.99	
168	5.7	
178	6.44	
188	6.82	
198	6.81	
208	6.47	
218	5.94	
228	6.22	
238	6.96	
248	6.34	
258	6.11	
268	6.01	
278	6.99	
288	6.67	
298	6.55	
308	7.21	
318	6.89	
328	7.08	
338	7.19	
348	8.18	
358	8.57	
368	7.94	
378	7.11	
388	7.15	
398	7.35	
408	7.07	
418	5.81	
428	7.03	
438	8.4	
448	8.47	
458	9.21	
468	8.94	
478	9.3	
488	9.51	
498	10.33	
508	9.18	
518	10.05	
528	10.1	
538	12.39	
548	13.53	
558	14.1	
568	12.46	
578	8.59	
588	5.71	
598	6.84	
608	6.07	
618	5.43	
628	5.75	
638	6.29	
648	7.1	
658	5.91	
668	6.8	
678	6.52	
688	6.67	
698	6.91	
708	6.52	
718	6.88	
728	6.55	
738	6.43	
748	7.17	
758	7.39	
768	7.83	
778	6.18	
788	7.25	
798	6.47	
808	5.57	
818	6.42	
828	7.69	
838	6.87	
848	7.06	
858	5.87	
868	6.74	
878	6.62	
888	6.48	
898	7.59	
908	7.71	
918	10.3	
928	10.52	
938	10.09	
948	10.13	
958	7.14	
968	6.64	
975	6.17	
984	6.52	
993	8.06	
1004	8.32	
1014	9.83	
1024	7.83	
1034	5.82	
1044	6.38	
1054	3.94	
1064	5.1	
1074	6.04	
1084	5.46	
1094	5.56	
1104	6.82	
1114	6.68	
1124	5.66	
1134	5.39	
1144	6.74	
1154	8.81	
1164	6.83	
1174	6.15	
1184	5.59	
1194	7.8	
1204	6.74	
1214	8.09	
1222	10.89	
1231	10.69	
1239	8.64	
