# NOAA Paleoclimatology Program - Paleocean Site Data
# q585-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Philip P.E. Weaver
# Core/Site:      Q585
# Latitude:       49.42.07S	( -49.70195)
# Longitude:      177.55.18W	( -177.9217)
# Water Depth(m): 4354
#
# Publications:
#   Weaver, P.P.E., L. Carter, and H.L. Neil. 1998. Response of surface water masses
#     and circulation to late Quaternary climate change east of New Zealand. Paleoceanography
#     13(1):70-83.
#------------------
#
# Description & Notes:
#   Late Quaternary SW Pacific Foraminifer Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             commun        Communality
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             forams-b      Benthic Foraminifers (Count)
#             foramsfrag    Foraminifers Fragments
#             frag%         Fragments percent
#             g.aequi       Globigerinella aequilateralis (Count)
#             g.bull        Globigerina bulloides (Count)
#             g.calid       Globigerina calida (Count)
#             g.cavern      Globorotalia cavernula (Count)
#             g.congl       Globigerinoides conglobatus (Count)
#             g.crass       Globorotalia crassaformis (Count)
#             g.crsula      Globorotalia crassula (Count)
#             g.digit       Globigerina digitata (Count)
#             g.falco       Globigerina falconensis (Count)
#             g.glut        Globigerinita glutinata (Count)
#             g.hirsu       Globorotalia hirsuta (Count)
#             g.infla       Globorotalia inflata (Count)
#             g.menar       Globorotalia menardii (Count)
#             g.quinq       Globigerina quinquiloba (Count)
#             g.rub-p       Globigerinoides ruber (pink) (Count)
#             g.rub-w       Globigerinoides ruber (white) (Count)
#             g.rubes       Globigerina rubescens (Count)
#             g.sac-ns      Globigerinoides sacculifer (no sac) (Count)
#             g.sac-ws      Globigerinoides sacculifer (with sac) (Count)
#             g.scit        Globorotalia scitula (Count)
#             g.tenn        Globigerinoides tenellus (Count)
#             g.trc-l       Globorotalia truncatulinoides (left coiling) (Count)
#             g.trc-r       Globorotalia truncatulinoides (right coiling) (Count)
#             g.tumi        Globorotalia tumida (Count)
#             gyrmar        Gyre margin foraminifer assemblage
#             n.duter       Neogloboquadrina dutertrei (Count)
#             n.pachy-l     Neogloboquadrina pachyderma (left coiling) (Count)
#             n.pachy-r     Neogloboquadrina pachyderma (right coiling) (Count)
#             o.univer      Orbulina universa (Count)
#             otherfor      Unidentified planktonic foraminifers (Count)
#             p.obliq       Pulleniatina obliquiloculata (Count)
#             pd            Globigerina pachyderma x Globoquadrina dutertrei intergrade (Count)
#             plank         Planktonic foraminifers (Count)
#             polar         Polar foraminifer assemblage
#             s.dehisc      Sphaeroidinella dehiscens (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             subpolar      Subpolar foraminifer assemblage
#             trans         Transitional foraminifer assemblage
#             trop/sub      Tropical/Subtropical foraminifer assemblage
#             upwell        Upwelling foraminifer assemblage
#
# CORE: Q585
depth	yrBP 	carb%	commun	d18Og.bull	forams-b	foramsfrag	frag%	g.aequi	g.bull	g.calid	g.cavern	g.congl	g.crass	g.crsula	g.digit	g.falco	g.glut	g.hirsu	g.infla	g.menar	g.quinq	g.rub-p	g.rub-w	g.rubes	g.sac-ns	g.sac-ws	g.scit	g.tenn	g.trc-l	g.trc-r	g.tumi	gyrmar	n.duter	n.pachy-l	n.pachy-r	o.univer	otherfor	p.obliq	pd	plank	polar	s.dehisc	sst-aug	sst-feb	subpolar	trans	trop/sub	upwell	
1	630	46.3	0.81	2.36	7	463.6	14	0	170	1	0	0	0	0	0	0	10	0	104	0	2	0	0	0	0	0	0	1	13	0	0	0.09	0	36	19	1	0	0	0	357	0.24	0	8.24	13.23	-0.53	0.5	-0.03	0.46	
9	5680	64.1	0.83	2.36	4	225	8.2	0	172	0	0	0	0	0	0	1	2	0	56	0	4	0	0	0	0	0	0	0	13	0	0	0.08	0	47	19	1	0	0	0	315	0.32	0	6.18	10.78	-0.58	0.32	-0.04	0.53	
19	-999	23.2	-999	3.29	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
23	12590	-999	0.85	-999	5	110	5.4	0	124	0	0	0	0	0	0	0	3	0	36	0	3	0	0	0	0	0	0	0	4	0	0	0.08	0	64	7	0	0	0	0	241	0.51	0	4.45	8.78	-0.52	0.26	-0.04	0.5	
29	13480	13.4	0.98	2.78	27	214.6	8.1	0	42	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	4	0	0	0.01	0	220	1	0	2	0	0	303	0.98	0	1.74	5.33	-0.06	0.15	-0.02	0.07	
39	14950	7	0.98	-999	14	60	2.4	0	10	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	280	0	0	0	0	0	302	0.99	0	1.19	5.64	0.03	0.05	-0.01	-0.02	
51	16720	11.5	0.98	-999	5	60	2.5	0	36	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	1	0	0	0	0	297	0.99	0	1.54	5.98	-0.04	0.04	-0.02	0.05	
63	18490	16.9	0.98	-999	23	210	7.7	0	54	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	1	0	0	0.01	0	252	1	0	0	0	0	316	0.98	0	1.77	6.12	-0.08	0.03	-0.02	0.09	
73	19970	19.3	0.98	-999	14	143	4.9	0	15	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	325	1	0	0	0	0	344	0.99	0	1.26	5.88	0.02	0.02	-0.01	-0.01	
83	21440	18.7	0.98	3.32	22	300	10.9	0	24	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	306	0.99	0	1.34	5.86	0	0.03	-0.02	0.01	
94	23070	17.3	0.99	3.11	29	209	7.9	0	29	0	0	0	0	0	0	0	0	0	23	0	2	0	0	0	0	0	0	0	2	0	0	0	0	247	0	0	0	0	0	303	0.99	0	1.47	5.5	-0.02	0.09	-0.02	0.03	
104	24540	28.4	0.98	3.85	4	75	2.9	0	13	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	-0.01	0	293	0	0	0	0	0	313	0.99	0	1.31	5.92	0.02	0.02	-0.01	-0.01	
114	26020	33.4	0.98	3.48	18	120	3.7	0	41	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	390	0.99	0	1.45	5.93	-0.02	0.03	-0.02	0.03	
124	27490	41.2	0.98	3.22	4	80	1.8	0	109	0	0	0	0	0	0	0	4	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0.01	0	391	22	0	0	0	0	544	0.97	0	2.58	6.66	-0.15	0.05	-0.02	0.11	
