# NOAA Paleoclimatology Program - Paleocean Site Data
# r11-120r-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ros E.M. Rickaby
# Core/Site:      RC11-120
# Latitude:       43.31.00S	( -43.51667)
# Longitude:      79.52.00E	( 79.86667)
# Water Depth(m): 3193
#
# Publications:
#   Rickaby, R.E.M., and H. Elderfield. 1999. Planktonic foraminiferal Cd/Ca: Paleonutrients
#     or paleotemperature? Paleoceanography 14(3):293.
#------------------
#
# Description & Notes:
#   Southern Ocean G. bulloides Cd/Ca, Mg/Ca, and d18O
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18O          delta O18 PDB
#             sst           Sea Surface Temperature (C)
#             Cd/Ca         Cadmium/Calcium ratio
#
# CORE: RC11-120
depth	yrBP 	d18O	sst	Cd/Ca	
5	2200	1.88	-999	-999	
10	3400	1.96	11.5	-999	
15	4800	1.965	-999	-999	
20	6000	1.96	10.6	-999	
25	7200	2.11	-999	-999	
30	8300	2.38	13.2	-999	
35	9600	2.3	-999	-999	
40	10800	2.59	-999	-999	
45	12000	2.74	-999	-999	
50	13200	2.98	9.1	-999	
55	14300	2.95	-999	-999	
60	15400	3.37	7	-999	
65	16600	3.28	-999	-999	
70	17700	3.475	7	-999	
75	18900	3.37	-999	-999	
80	20100	3.33	7.1	-999	
85	21300	3.45	-999	-999	
90	22300	3.34	7.4	-999	
95	23400	3.31	-999	-999	
100	24600	3.35	7	-999	
105	25700	3.32	7.6	-999	
110	27000	3.22	7.6	-999	
115	28100	3.07	7.6	-999	
120	29300	3.04	7.2	-999	
125	30600	3.1	7.8	-999	
130	31800	3.19	7.8	-999	
135	33300	2.95	8.3	-999	
140	34400	3.1	8	-999	
145	35900	2.98	8.7	-999	
150	37400	3.05	8.6	-999	
155	38900	3.07	8.6	-999	
160	40400	2.94	9	-999	
165	41800	2.98	9.3	-999	
170	43300	2.96	8.2	-999	
175	44800	2.9	7.8	-999	
180	46000	2.92	7	-999	
185	47900	2.66	7.4	-999	
190	49600	2.89	7	-999	
195	51500	2.92	8.1	-999	
200	53500	2.82	8.2	-999	
205	56400	2.8	8.2	-999	
210	58700	3.04	9	-999	
215	61000	2.8	8.3	-999	
220	63200	3.16	7	-999	
225	65400	3.18	7	-999	
230	66600	2.79	7	-999	
235	68500	3.04	8.1	-999	
240	70100	2.85	7.2	-999	
245	71600	2.82	7.6	-999	
250	72800	2.71	8.1	-999	
255	74100	2.59	8.8	-999	
260	75300	2.53	7.9	-999	
265	76600	2.51	8	-999	
270	77800	2.59	8.3	-999	
275	79000	2.44	8.2	-999	
280	80200	2.47	8.3	-999	
285	81500	2.42	8.2	-999	
290	83000	2.37	10	-999	
295	84000	2.4	8.1	-999	
300	86000	2.71	7.9	-999	
305	87800	2.61	7.1	-999	
310	89600	2.62	7.2	-999	
315	91000	2.58	8.3	-999	
320	92400	2.68	7.2	-999	
325	93800	2.6	7.6	-999	
330	95000	2.6	8	-999	
335	96200	2.4	7.4	-999	
340	97200	2.53	7.4	-999	
345	97800	2.47	8.1	-999	
350	98700	2.45	8.7	-999	
355	99300	2.4	8.3	-999	
360	100000	2.52	9.2	-999	
365	102000	2.45	10	-999	
370	103000	2.48	8.9	-999	
375	105000	2.46	8.3	-999	
380	107000	2.62	7.3	-999	
385	109000	2.48	7.1	0.0703	
390	111000	2.61	8.5	0.0826	
395	113000	2.42	8.9	-999	
400	115000	2.34	8.9	0.0827	
405	117000	2.14	8.8	-999	
410	119000	2.23	10.2	0.0885	
415	120000	1.83	9.1	0.0987	
420	123000	1.88	9.2	0.0966	
425	124000	1.89	10.1	-999	
430	126000	1.91	13.5	0.1031	
435	128000	2.28	12.3	-999	
440	129000	2.68	13.5	0.0933	
445	130000	2.81	13.6	-999	
450	132000	3.24	9.2	0.0716	
455	133000	3.15	9	-999	
460	134000	3.44	7.3	0.0543	
465	135000	3.313	8.3	-999	
470	136000	3.52	7.6	0.0424	
475	137000	3.18	9.1	-999	
480	138000	3.27	7.1	0.0417	
485	139000	3.42	8	-999	
