# NOAA Paleoclimatology Program - Paleocean Site Data
# r12-225r-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ros E.M. Rickaby
# Core/Site:      RC12-225
# Latitude:       53.39.30S	( -53.65833)
# Longitude:      123.07.00W	( -123.1167)
# Water Depth(m): 2964
#
# Publications:
#   Rickaby, R.E.M., and H. Elderfield. 1999. Planktonic foraminiferal Cd/Ca: Paleonutrients
#     or paleotemperature? Paleoceanography 14(3):293.
#------------------
#
# Description & Notes:
#   Southern Ocean G. bulloides Cd/Ca, Mg/Ca, and d18O
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18O          delta O18 PDB
#             temp          Temperature (C)
#             Cd/Ca         Cadmium/Calcium ratio
#
# CORE: RC12-225
depth	yrBP 	d18O	temp	Cd/Ca	
0	0	2.47	5.05	-999	
10	6500	-999	3.3	-999	
15	9500	2.8	-999	0.0782	
21	12000	2.89	2.5	0.0699	
25	15000	3.37	-999	0.0621	
31	18000	3.41	1.12	0.055	
35	29000	3.48	-999	0.0561	
41	40000	3.47	1.89	0.0567	
45	51500	3.36	-999	0.066	
52	63000	3.31	1.05	0.0634	
55	72500	3.29	-999	0.0794	
60	82000	3.15	4.25	0.1045	
70	88000	2.92	2.13	0.1231	
80	91000	3.05	3.4	0.0952	
90	96000	2.97	3.35	0.1072	
100	100000	2.77	4.15	0.1126	
110	107000	2.99	3.87	0.1028	
120	109500	2.81	2.34	0.0968	
130	115000	2.75	3.105	0.0867	
140	119000	2.23	4.85	0.1284	
150	123000	2.32	4.8	0.1196	
160	128000	2.73	3.12	0.1006	
170	138500	3.25	1.22	0.0779	
180	160000	3.73	1.05	0.0446	
190	182000	3.57	1.17	0.0425	
200	208000	3.18	2.25	0.0545	
210	-999	2.86	-999	-999	
220	-999	2.85	-999	-999	
230	-999	2.69	-999	-999	
240	-999	2.88	-999	-999	
250	-999	2.88	-999	-999	
260	-999	2.99	-999	-999	
270	-999	2.5	-999	-999	
280	-999	2.57	-999	-999	
290	-999	2.77	-999	-999	
300	-999	2.93	-999	-999	
310	-999	3.2	-999	-999	
320	-999	3.23	-999	-999	
330	-999	3.01	-999	-999	
340	-999	3.09	-999	-999	
350	-999	2.79	-999	-999	
