# NOAA Paleoclimatology Program - Paleocean Site Data
# rc11120m-tab.txt
# Complete Data
# File Created: 16-Dec-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             T.A. Mashiotta
# Core/Site:      RC11-120
# Latitude:       43.31.00S	( -43.51667)
# Longitude:      79.52.00E	( 79.86667)
# Water Depth(m): 3193
#
# Publications:
#   Mashiotta, T.A., D.W. Lea, and H.J. Spero. 1999. Glacial-interglacial changes
#     in Subantarctic sea surface temperature and d18O-water using foraminiferal Mg.
#     Earth and Planetary Science Letters 170:417-432.
#------------------
#
# Description & Notes:
#   Subantarctic sea surface temperatures and salinity change ( RC11-120 )
#   Data precision: Mg/Ca, ±2.1%; SST (est.), ±0.8°C; O18w (est.), ±0.2 
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             d18Osmow      delta O18 SMOW
#             Mg/Ca-g.bull  Magnesium/Calcium ratio (Globigerina bulloides)
#             sst-mg/ca     Sea surface temperature from Mg/Ca (C)
#
# CORE: RC11-120
depth	calyrBP 	d18Og.bull	d18Osmow	Mg/Ca-g.bull	sst-mg/ca	
10	2700	1.96	0.99	1.64	11.6	
15	4000	1.97	1.01	1.65	11.7	
20	5300	1.96	0.8	1.51	10.8	
25	6600	2.16	1.08	1.56	11.2	
45	11000	2.74	1.79	1.66	11.7	
57	13300	3.12	1.53	1.26	9.1	
65	15900	3.28	1.14	1	6.9	
76	19000	3.34	1.55	1.15	8.3	
85	21100	3.43	1.43	1.05	7.5	
97	24100	3.3	1.71	1.25	9.1	
103.5	25600	3.31	1.19	1	7	
111.5	28200	3.18	1.22	1.08	7.7	
121.5	31600	3.05	1.2	1.12	8.1	
131.5	34900	3.12	1.24	1.11	7.9	
141.5	38300	3.07	1.04	1.04	7.4	
148.5	40700	3.03	1.15	1.11	8	
161.5	45100	2.95	1.11	1.12	8.1	
171.5	48400	2.93	1.27	1.22	8.8	
181.5	51800	2.83	1.09	1.18	8.5	
191.5	54300	2.86	0.81	1.03	7.3	
201.5	56300	2.82	1.19	1.24	9	
211.5	58300	2.95	1.06	1.11	7.9	
218.5	61100	2.98	0.96	1.04	7.4	
228.5	65800	2.93	1.06	1.11	8	
238.5	68200	2.89	1.09	1.15	8.3	
248.5	70600	2.74	1.11	1.23	8.9	
261.5	73600	2.54	0.95	1.25	9.1	
271.5	75800	2.55	0.98	1.27	9.2	
281.5	78100	2.43	1.12	1.42	10.2	
292.5	80800	2.39	1.16	1.47	10.6	
297.5	82400	2.56	1.21	1.39	10.1	
311.5	86900	2.65	1.06	1.25	9.1	
318.5	89200	2.65	1.15	1.3	9.5	
328.5	92400	2.58	1.13	1.33	9.6	
338.5	95500	2.5	1.26	1.46	10.5	
347.5	98000	2.45	1.11	1.4	10.1	
358.5	101000	2.46	1.05	1.36	9.8	
368.5	103800	2.47	1.19	1.44	10.4	
378.5	106600	2.57	0.94	1.23	8.9	
388.5	110200	2.58	0.99	1.26	9.1	
401.5	115100	2.27	0.74	1.29	9.3	
411.5	118800	2.11	0.7	1.35	9.8	
422.5	122800	1.84	0.61	1.47	10.6	
428.5	124600	1.87	0.76	1.54	11	
439.5	127700	2.49	1.19	1.43	10.3	
448.5	130000	3.07	1.58	1.31	9.5	
458.5	132300	3.37	1.69	1.21	8.8	
468.5	134600	3.47	1.56	1.09	7.8	
481.5	139200	3.39	1.44	1.08	7.7	
490.5	142600	3.1	1.09	1.05	7.4	
498.5	145500	3.31	1.39	1.09	7.8	
508.5	149200	3.21	1.13	1.02	7.2	
518.5	152900	3.23	1.22	1.05	7.4	
528.5	156600	3.23	1.48	1.17	8.4	
538.5	160300	3.23	1.28	1.08	7.7	
548.5	164000	3.27	1.3	1.07	7.6	
558.5	167700	3.19	1.32	1.11	8	
568.5	171400	3.08	1.32	1.17	8.4	
578.5	175100	2.91	0.83	1.02	7.2	
588.5	178800	2.83	1.06	1.16	8.4	
596.5	181700	2.87	1.5	1.38	10	
608.5	185100	2.77	0.92	1.12	8.1	
618.5	187500	2.6	1.06	1.28	9.3	
632.5	191000	2.38	0.35	1.04	7.4	
642.5	193400	2.18	0.61	1.27	9.2	
651.5	198800	2.22	0.81	1.35	9.8	
658.5	203900	2.49	1.26	1.47	10.6	
671.5	213400	2.35	1.1	1.45	10.4	
681.5	217700	2.29	1.15	1.53	10.9	
688.5	219400	2.21	1.02	1.49	10.7	
711.5	225200	2.62	1.28	1.4	10.1	
723.5	228300	2.85	1.39	1.32	9.6	
731.5	230400	2.73	1.57	1.51	10.9	
741.5	233100	2.68	1.08	1.25	9.1	
754.5	236600	2.45	1.12	1.41	10.2	
761.5	238400	2.51	1.25	1.45	10.4	
771.5	240800	2.46	1.33	1.53	11	
781.5	243300	2.7	1.51	1.5	10.7	
791.5	245500	2.91	1.84	1.57	11.2	
798.5	247100	2.95	1.58	1.38	10	
811.5	250500	2.97	1.47	1.3	9.5	
822.5	254800	2.93	1.14	1.15	8.3	
831.5	258200	2.86	1.13	1.18	8.5	
837.5	260500	2.98	1.41	1.27	9.2	
861.5	269200	2.61	0.87	1.17	8.5	
868.5	271200	2.49	0.7	1.15	8.3	
878.5	273900	2.65	0.99	1.22	8.8	
883.5	275200	2.73	0.83	1.1	7.9	
923.5	285900	2.47	0.91	1.27	9.2	
931.5	288100	2.45	1.03	1.35	9.8	
941.5	290700	2.67	1.32	1.39	10.1	
952.5	293700	-999	-999	1.28	9.3	
