# Equatorial Pacific Line Islands 282ka Individual Foram Mg/Ca SST Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26871 
#       Description: 
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/rustic2020/rustic2020.txt 
#       Description:
#
# Original_Source_URL: 
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: paleoceanography
#
# Dataset_DOI: 
#
# Parameter_Keywords: trace metals in carbonates, age control, reconstruction
#--------------------
# Contribution_Date
#	Date: 2020-09-09
#--------------------
# File_Last_Modified_Date
#	Date: 2020-09-09
#--------------------
# Title
#	Study_Name: Equatorial Pacific Line Islands 282ka Individual Foram Mg/Ca SST Data
#--------------------
# Investigators
#	Investigators: Rustic, G.T.; Polissar, P.J.; Ravelo, A.C.; White, S.M.
#--------------------
# Description_Notes_and_Keywords
#	Description: Trace metal ratios from individual specimens of Globigerinoides sacculifer from Central Equatorial Pacific Line Islands sediment cores ML1208-17PC and ML1208-14MC1
#--------------------
# Publication 
#	Authors: Rustic, Gerald T., Polissar, Pratigya J., Ravelo, Ana Christina, White, Sarah M.
#	Published_Date_or_Year: 2020 in revision     
#	Published_Title: 
#	Journal_Name: Nature Communications
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: The El Nino Southern Oscillation (ENSO) is highly dependent on coupled atmosphere-ocean interactions and feedbacks, suggesting a tight relationship between ENSO strength and background climate conditions. However, studies of ENSO variability over the past 25,000 years disagree on the extent to which background climate state determines ENSO behavior.  Here we present reconstructions of El Nino amplitude from individual foraminifera distributions at discrete time intervals over the past ~285,000 years across widely varying atmospheric CO2 levels, global ice volume and sea level, and orbital insolation forcing.  Our results show a strong correlation between El Nino amplitude and tropical Pacific Ocean mixed-layer thickness, indicating upwelling feedbacks are the key factor controlling ENSO strength on these time scales. We observe reduced El Nino amplitude only during May-July high-insolation intervals, suggesting insolation-forced warming of tropical Pacific thermocline source waters in the southern hemisphere weakens the upwelling feedback and El Nino strength. Our results indicate the primacy of the upwelling feedback in shaping ENSO behavior across many different background states, suggesting accurate modeling of this 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation 
#	Grant: OCE-1401649, OCE-1405178
#------------------
# Site_Information 
#	Site_Name: Central Equatorial Pacific
#	Location: Pacific>Tropical Pacific>Line Islands
#	Country:  
#	Northernmost_Latitude: 0.48
# 	Southernmost_Latitude: 0.22
# 	Easternmost_Longitude: 155.96
# 	Westernmost_Longitude: 156.45
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: Rustic2020MgCaSST
#	Earliest_Year: 282350 
#	Most_Recent_Year: 3400
#	Time_Unit: Cal. Year BP
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth	depth, , , centimeter, , paleoceanography; climate reconstructions, , ,N,
## age_ka	age, , , calendar kiloyear before present, , paleoceanography; climate reconstructions, , ,N,D18O alignment with benthic stack
## core		sample identification, , , , , paleoceanography; climate reconstructions, , , C, ML1208- sediment core ID
## index	sample identification, , , , , paleoceanography; climate reconstructions, , , N, Indexed Foraminifera ID for interval
## sacc.MgCa	magnesium/calcium, Trilobatus sacculifer, , millimole per mole, , paleoceanography, , laser ablation; inductively-coupled plasma mass spectrometry, N, average of F1 and F0 chamber - elemental ratio
## Temperature	sea surface temperature, magnesium/calcium, , degree Celsius, , paleoceanography; climate reconstructions, corrected, , N, Mg/Ca SST: Anand calibration with Regenberg dissolution correction applied
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values:   
#
depth	age_ka	core	index	sacc.Mg/Ca	Temperature
4.5	3.4	14MC1	1	4.64	30.25
4.5	3.4	14MC1	2	3.89	28.7
4.5	3.4	14MC1	3	4.06	29.07
4.5	3.4	14MC1	4	3.29	27.29
4.5	3.4	14MC1	5	3.2	27.08
4.5	3.4	14MC1	6	4.81	30.58
4.5	3.4	14MC1	7	2.86	26.16
4.5	3.4	14MC1	8	3.24	27.17
4.5	3.4	14MC1	9	3.5	27.81
4.5	3.4	14MC1	10	3.57	27.97
4.5	3.4	14MC1	11	4.25	29.47
4.5	3.4	14MC1	12	4.32	29.61
4.5	3.4	14MC1	13	3.93	28.8
4.5	3.4	14MC1	14	4.45	29.88
4.5	3.4	14MC1	15	4.16	29.28
4.5	3.4	14MC1	16	3.76	28.41
4.5	3.4	14MC1	17	3.09	26.78
4.5	3.4	14MC1	18	3.25	27.2
4.5	3.4	14MC1	19	2.72	25.77
4.5	3.4	14MC1	20	3.11	26.83
4.5	3.4	14MC1	21	2.6	25.41
4.5	3.4	14MC1	22	3.44	27.67
4.5	3.4	14MC1	23	3.94	28.81
4.5	3.4	14MC1	24	3.72	28.33
4.5	3.4	14MC1	25	3.85	28.61
4.5	3.4	14MC1	26	3.47	27.73
4.5	3.4	14MC1	27	5.05	31.01
4.5	3.4	14MC1	28	2.75	25.85
4.5	3.4	14MC1	29	3.53	27.87
4.5	3.4	14MC1	30	3.04	26.65
4.5	3.4	14MC1	31	3.16	26.97
4.5	3.4	14MC1	32	4.22	29.41
4.5	3.4	14MC1	33	2.65	25.55
4.5	3.4	14MC1	34	3.64	28.13
4.5	3.4	14MC1	35	4.38	29.75
4.5	3.4	14MC1	36	4.45	29.88
4.5	3.4	14MC1	37	5.15	31.2
4.5	3.4	14MC1	39	3.32	27.38
4.5	3.4	14MC1	40	4.47	29.92
4.5	3.4	14MC1	41	3.84	28.6
4.5	3.4	14MC1	42	4.82	30.58
4.5	3.4	14MC1	43	4.09	29.14
4.5	3.4	14MC1	44	4.44	29.86
4.5	3.4	14MC1	45	4.07	29.1
4.5	3.4	14MC1	46	5.01	30.94
4.5	3.4	14MC1	47	3.58	28
4.5	3.4	14MC1	49	3.57	27.97
4.5	3.4	14MC1	50	3.71	28.3
4.5	3.4	14MC1	51	2.7	25.72
4.5	3.4	14MC1	52	3.67	28.21
4.5	3.4	14MC1	54	3.46	27.72
4.5	3.4	14MC1	55	4.1	29.16
4.5	3.4	14MC1	56	3.45	27.69
4.5	3.4	14MC1	57	3.51	27.83
4.5	3.4	14MC1	58	3.78	28.46
4.5	3.4	14MC1	59	4.7	30.37
4.5	3.4	14MC1	60	3.55	27.93
4.5	3.4	14MC1	61	4.34	29.66
4.5	3.4	14MC1	63	5.02	30.96
4.5	3.4	14MC1	64	3.46	27.72
4.5	3.4	14MC1	65	4.36	29.7
4.5	3.4	14MC1	66	3.29	27.3
4.5	3.4	14MC1	67	4.11	29.17
4.5	3.4	14MC1	68	2.67	25.62
4.5	3.4	14MC1	69	4.13	29.23
4.5	3.4	14MC1	70	3.19	27.04
4.5	3.4	14MC1	71	3.82	28.56
4.5	3.4	14MC1	72	4.52	30.02
4.5	3.4	14MC1	73	3.1	26.8
4.5	3.4	14MC1	74	3.4	27.56
4.5	3.4	14MC1	75	3.57	27.98
4.5	3.4	14MC1	76	2.73	25.8
4.5	3.4	14MC1	77	4.93	30.8
4.5	3.4	14MC1	78	3.78	28.46
4.5	3.4	14MC1	79	4.05	29.05
4.5	3.4	14MC1	80	3.42	27.61
4.5	3.4	14MC1	81	4.38	29.74
4.5	3.4	14MC1	83	5.33	31.5
4.5	3.4	14MC1	84	3.12	26.87
4.5	3.4	14MC1	86	3.63	28.12
4.5	3.4	14MC1	87	4.3	29.58
4.5	3.4	14MC1	88	5.13	31.16
4.5	3.4	14MC1	89	3.33	27.4
4.5	3.4	14MC1	90	3.34	27.41
4.5	3.4	14MC1	91	5.42	31.65
4.5	3.4	14MC1	92	3.67	28.2
4.5	3.4	14MC1	93	2.97	26.46
4.5	3.4	14MC1	94	3.49	27.79
4.5	3.4	14MC1	95	4.04	29.02
4.5	3.4	14MC1	96	3.83	28.57
4.5	3.4	14MC1	97	2.59	25.4
4.5	3.4	14MC1	98	2.79	25.96
4.5	3.4	14MC1	100	3.34	27.42
4.5	3.4	14MC1	101	3.33	27.4
4.5	3.4	14MC1	103	4.85	30.65
4.5	3.4	14MC1	104	3.13	26.9
4.5	3.4	14MC1	105	3.51	27.84
4.5	3.4	14MC1	106	4.27	29.52
4.5	3.4	14MC1	107	4.03	29.01
4.5	3.4	14MC1	108	3.51	27.84
4.5	3.4	14MC1	109	3.34	27.42
4.5	3.4	14MC1	110	3.1	26.82
4.5	3.4	14MC1	111	3.39	27.55
4.5	3.4	14MC1	112	2.95	26.4
4.5	3.4	14MC1	113	3.47	27.74
4.5	3.4	14MC1	114	3.22	27.12
4.5	3.4	14MC1	115	3.23	27.15
4.5	3.4	14MC1	116	2.94	26.39
4.5	3.4	14MC1	117	3.63	28.12
4.5	3.4	14MC1	118	4.28	29.53
4.5	3.4	14MC1	120	3.37	27.49
4.5	3.4	14MC1	121	3.41	27.6
4.5	3.4	14MC1	122	2.67	25.63
4.5	3.4	14MC1	123	3.03	26.62
4.5	3.4	14MC1	124	4.01	28.97
4.5	3.4	14MC1	125	2.79	25.97
4.5	3.4	14MC1	126	3.79	28.48
4.5	3.4	14MC1	127	3.92	28.78
4.5	3.4	14MC1	128	5.38	31.59
4.5	3.4	14MC1	129	2.85	26.12
4.5	3.4	14MC1	130	2.95	26.41
4.5	3.4	14MC1	131	4.48	29.94
4.5	3.4	14MC1	132	3.55	27.92
4.5	3.4	14MC1	133	3.34	27.41
4.5	3.4	14MC1	134	3.91	28.75
4.5	3.4	14MC1	135	4.13	29.23
4.5	3.4	14MC1	136	3.3	27.33
4.5	3.4	14MC1	137	3.76	28.42
4.5	3.4	14MC1	138	3.89	28.72
4.5	3.4	14MC1	139	3.14	26.9
4.5	3.4	14MC1	140	4.27	29.52
4.5	3.4	14MC1	141	4.1	29.16
4.5	3.4	14MC1	142	2.99	26.52
4.5	3.4	14MC1	143	3.71	28.3
4.5	3.4	14MC1	144	3.27	27.26
4.5	3.4	14MC1	145	4.3	29.57
4.5	3.4	14MC1	146	3.47	27.73
4.5	3.4	14MC1	147	3.21	27.09
4.5	3.4	14MC1	148	3.43	27.65
4.5	3.4	14MC1	149	3.69	28.25
4.5	3.4	14MC1	150	3.27	27.24
4.5	3.4	14MC1	151	2.99	26.52
4.5	3.4	14MC1	153	3.11	26.83
4.5	3.4	14MC1	154	4.08	29.11
4.5	3.4	14MC1	155	3.48	27.77
4.5	3.4	14MC1	157	3.84	28.6
4.5	3.4	14MC1	158	3.52	27.87
4.5	3.4	14MC1	159	3.74	28.38
4.5	3.4	14MC1	161	3.2	27.06
4.5	3.4	14MC1	163	3.74	28.38
60	24.97	17PC	2	2.85	25.85
60	24.97	17PC	3	4.5	29.8
60	24.97	17PC	4	2.71	25.47
60	24.97	17PC	5	4.16	29.08
60	24.97	17PC	6	2.71	25.47
60	24.97	17PC	7	3.27	26.99
60	24.97	17PC	8	2.72	25.49
60	24.97	17PC	9	3.16	26.72
60	24.97	17PC	10	4.88	30.52
60	24.97	17PC	11	3.43	27.41
60	24.97	17PC	12	2.77	25.63
60	24.97	17PC	13	3.94	28.62
60	24.97	17PC	14	2.87	25.93
60	24.97	17PC	15	3.33	27.16
60	24.97	17PC	16	2.8	25.72
60	24.97	17PC	17	2.69	25.41
60	24.97	17PC	18	5.41	31.47
60	24.97	17PC	19	3.26	26.97
60	24.97	17PC	20	3.3	27.09
60	24.97	17PC	22	3.58	27.78
60	24.97	17PC	23	3.51	27.61
60	24.97	17PC	24	2.89	25.97
60	24.97	17PC	25	2.67	25.33
60	24.97	17PC	26	1.8	22.37
60	24.97	17PC	27	2.67	25.33
60	24.97	17PC	28	2.5	24.82
60	24.97	17PC	29	2.77	25.63
60	24.97	17PC	30	3.75	28.19
60	24.97	17PC	31	3.22	26.87
60	24.97	17PC	32	3.57	27.74
60	24.97	17PC	33	2.81	25.75
60	24.97	17PC	34	3.22	26.87
60	24.97	17PC	35	4.29	29.37
60	24.97	17PC	37	2.51	24.85
60	24.97	17PC	38	3.49	27.56
60	24.97	17PC	39	2.69	25.41
60	24.97	17PC	40	3.66	27.96
60	24.97	17PC	41	2.84	25.84
60	24.97	17PC	42	2.58	25.08
60	24.97	17PC	43	3.12	26.62
60	24.97	17PC	44	2.56	25
60	24.97	17PC	45	3.72	28.1
60	24.97	17PC	46	2.75	25.58
60	24.97	17PC	47	3.61	27.84
60	24.97	17PC	48	3.66	27.97
60	24.97	17PC	49	2.72	25.5
60	24.97	17PC	50	3	26.3
60	24.97	17PC	51	3.26	26.98
60	24.97	17PC	52	2.56	25.01
60	24.97	17PC	53	2.73	25.52
60	24.97	17PC	54	2.26	24.06
60	24.97	17PC	55	2.52	24.89
60	24.97	17PC	56	4.3	29.37
60	24.97	17PC	57	2.97	26.2
60	24.97	17PC	58	2.74	25.54
60	24.97	17PC	59	2.18	23.78
60	24.97	17PC	60	3.62	27.87
60	24.97	17PC	61	2.41	24.53
60	24.97	17PC	62	2.87	25.92
60	24.97	17PC	63	2.61	25.15
60	24.97	17PC	64	2.97	26.21
60	24.97	17PC	65	3.03	26.37
60	24.97	17PC	66	2.83	25.82
60	24.97	17PC	67	3.83	28.37
60	24.97	17PC	68	2.6	25.12
72	29.58	17PC	1	3.1	26.57
72	29.58	17PC	2	3.42	27.38
72	29.58	17PC	3	2.78	25.67
72	29.58	17PC	4	2.93	26.1
72	29.58	17PC	5	2.7	25.43
72	29.58	17PC	6	2.96	26.18
72	29.58	17PC	7	3.16	26.71
72	29.58	17PC	8	2.49	24.8
72	29.58	17PC	9	3.92	28.55
72	29.58	17PC	10	3.34	27.18
72	29.58	17PC	11	3.52	27.63
72	29.58	17PC	12	3.37	27.27
72	29.58	17PC	13	2.99	26.27
72	29.58	17PC	14	2.72	25.49
72	29.58	17PC	15	3.95	28.63
72	29.58	17PC	16	3.62	27.87
72	29.58	17PC	17	3.52	27.62
72	29.58	17PC	18	3.52	27.63
72	29.58	17PC	19	3.26	26.97
72	29.58	17PC	20	2.61	25.17
72	29.58	17PC	21	2.42	24.57
72	29.58	17PC	22	5.29	31.27
72	29.58	17PC	23	2.64	25.25
72	29.58	17PC	24	3.13	26.63
72	29.58	17PC	25	2.44	24.63
72	29.58	17PC	26	3.32	27.14
72	29.58	17PC	27	3.31	27.1
72	29.58	17PC	28	3.75	28.18
72	29.58	17PC	29	3.17	26.74
72	29.58	17PC	30	4.47	29.72
72	29.58	17PC	31	2.78	25.66
72	29.58	17PC	32	3.15	26.7
72	29.58	17PC	33	2.4	24.51
72	29.58	17PC	34	1.83	22.51
72	29.58	17PC	35	2.93	26.09
72	29.58	17PC	36	2.93	26.09
72	29.58	17PC	37	3.72	28.11
72	29.58	17PC	38	2.41	24.54
72	29.58	17PC	39	2.67	25.35
72	29.58	17PC	40	2.82	25.77
72	29.58	17PC	41	3.14	26.65
72	29.58	17PC	42	2.57	25.03
72	29.58	17PC	43	3.32	27.13
72	29.58	17PC	44	4.13	29.02
72	29.58	17PC	45	2.82	25.77
72	29.58	17PC	46	3.32	27.12
72	29.58	17PC	47	3.47	27.51
72	29.58	17PC	48	2.86	25.89
72	29.58	17PC	49	2.96	26.19
72	29.58	17PC	50	4.81	30.39
72	29.58	17PC	51	3.31	27.12
72	29.58	17PC	52	3.57	27.76
72	29.58	17PC	53	3.04	26.39
72	29.58	17PC	54	2.02	23.22
72	29.58	17PC	55	3.06	26.44
72	29.58	17PC	56	2.79	25.7
72	29.58	17PC	57	1.99	23.1
72	29.58	17PC	58	2.25	23.99
72	29.58	17PC	59	2.43	24.61
72	29.58	17PC	60	3.64	27.91
72	29.58	17PC	61	3.68	28.01
72	29.58	17PC	62	2.44	24.62
72	29.58	17PC	63	3.79	28.27
72	29.58	17PC	64	3.09	26.53
72	29.58	17PC	65	3.29	27.05
72	29.58	17PC	66	3.32	27.13
72	29.58	17PC	67	2.51	24.84
72	29.58	17PC	68	3.7	28.06
72	29.58	17PC	69	2.36	24.37
72	29.58	17PC	70	3.84	28.38
72	29.58	17PC	71	2.78	25.67
72	29.58	17PC	72	2.6	25.13
72	29.58	17PC	73	2.8	25.72
72	29.58	17PC	74	4.02	28.79
72	29.58	17PC	75	3.42	27.38
72	29.58	17PC	76	2.03	23.23
72	29.58	17PC	77	2.3	24.18
72	29.58	17PC	78	2.96	26.17
72	29.58	17PC	79	2.77	25.62
72	29.58	17PC	80	3.16	26.73
72	29.58	17PC	81	2.33	24.28
72	29.58	17PC	82	2.43	24.6
286	111.79	17PC	1	4.52	29.82
286	111.79	17PC	2	3.52	27.64
286	111.79	17PC	3	3.37	27.27
286	111.79	17PC	4	3.45	27.47
286	111.79	17PC	5	2.96	26.18
