# Gulf of Aden 200,000 Year Stable Isotope and Alkenone SST Data 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22544 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/tierney2017b/tierney2017b.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, carbon isotopes, hydrogen isotopes, biomarkers, reconstruction
#--------------------
# Contribution_Date
#	Date: 2017-10-03
#--------------------
# File_Last_Modified_Date
#	Date: 2017-10-03
#--------------------
# Title
#	Study_Name: Gulf of Aden 200,000 Year Stable Isotope and Alkenone SST Data 
#--------------------
# Investigators
#	Investigators: Tierney, J.E.; deMenocal, P.B.; Zander, P.D.
#--------------------
# Description_Notes_and_Keywords
#	Description: Stable isotope (dD, d18O, d13C) data and alkenone SST from sediments collected 
#	in Gulf of Aden sediment core RC09-166 for the past 200,000 years.
#--------------------
# Publication 
#	Authors: Jessica E. Tierney, Peter B. deMenocal, Paul D. Zander
#	Published_Date_or_Year: 2017-10-03
#	Published_Title: A climatic context for the out-of-Africa migration
#	Journal_Name: Geology
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1130/G39457.1
#	Online_Resource: https://pubs.geoscienceworld.org/geology/article/516677/a-climatic-context-for-the-out-of-africa-migration
#	Full_Citation: 
#	Abstract: Around 200,000 yr ago, Homo sapiens emerged in Africa. By 40 ka, Homo sapiens had spread throughout Eurasia, and a major competing species, the Neanderthals, became extinct. The factors that drove our species "out of Africa" remain a topic of vigorous debate. Existing research invokes climate change as either providing opportunities or imposing limits on human migration. Yet the paleoclimate history of northeast Africa, the gateway to migration, is unknown. Here, we reconstruct temperature and aridity in the Horn of Africa region spanning the past 200,000 yr. Our data suggest that warm and wet conditions from 120,000 to 90,000 yr ago could have facilitated early waves of human migration toward the Levant and Arabia, as supported by fossil and lithic evidence. However, the primary out-of-Africa event, as constrained by genetic studies (ca. 65-55 ka), occurred during a cold and dry time. This complicates the climate-migration relationship, suggesting that both "push" and "pull" factors may have prompted Homo sapiens to colonize Eurasia.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: OCE-1203892
#------------------
# Site_Information 
#	Site_Name: RC09-166
#	Location: Ocean>Indian Ocean>Arabian Sea
#	Country:  
#	Northernmost_Latitude: 12.15
# 	Southernmost_Latitude: 12.15
# 	Easternmost_Longitude: 44.4
# 	Westernmost_Longitude: 44.4
# 	Elevation: -738 m
#------------------
# Data_Collection   
#	Collection_Name: Tierney2017b
#	Earliest_Year: 212041
#	Most_Recent_Year: 1884
#	Time_Unit: Cal. Year BP
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: This chronology describes the 14C dates on core RC09-166, as well as the tiepoints (other_date) 
#	that were used to constrain ages beyond the radiocarbon period. The tiepoints were made between the planktonic 
#	d18O G. ruber data and the LR04 benthic stack. "Calibrated_dates" refer to posterior means from OxCal 4.2
# 
# Labcode	depth_top	depth_bottom	mat_dated	14C_date	14C_1s_err	delta_R	delta_R_1s_err	other_date	other_1s_err	other_type	calibrated_date	calibrated_1s_err	calib_method
# OS-121824	5	6	Globigerinoides ruber (white)	2570	15	311	24	-999	-999	-999	1884	44	OxCal 4.2
# OS-121825	25	26	Globigerinoides ruber (white)	2970	15	311	24	-999	-999	-999	2359	44	OxCal 4.2
# OS-121826	55	56	Globigerinoides ruber (white)	5280	20	311	24	-999	-999	-999	5333	50	OxCal 4.2
# OS-121827	75	76	Globigerinoides ruber (white)	7230	25	311	24	-999	-999	-999	7443	37	OxCal 4.2
# OS-121828	95	96	Globigerinoides ruber (white)	8810	35	311	24	-999	-999	-999	9143	71	OxCal 4.2
# OS-121829	125	126	Globigerinoides ruber (white)	12250	40	311	24	-999	-999	-999	13402	59	OxCal 4.2
# OS-121830	165	166	Globigerinoides ruber (white)	17500	75	311	24	-999	-999	-999	20271	122	OxCal 4.2
# OS-121833	185	186	Globigerinoides ruber (white)	23000	140	311	24	-999	-999	-999	26452	196	OxCal 4.2
# OS-121831	215	216	Globigerinoides ruber (white)	23700	160	311	24	-999	-999	-999	27371	140	OxCal 4.2
# OS-121832	255	256	Globigerinoides ruber (white)	33000	500	311	24	-999	-999	-999	36201	625	OxCal 4.2
# OS-121834	305	306	Globigerinoides ruber (white)	39200	1100	311	24	-999	-999	-999	42933	942	OxCal 4.2
# -999	335	336	-999	-999	-999	-999	-999	55000	2000	tiepoint to LR04 benthic stack	53922	1740	OxCal 4.2
# -999	375	376	-999	-999	-999	-999	-999	62000	2000	tiepoint to LR04 benthic stack	61085	1643	OxCal 4.2
# -999	445	446	-999	-999	-999	-999	-999	69000	2000	tiepoint to LR04 benthic stack	70264	1724	OxCal 4.2
# -999	515	516	-999	-999	-999	-999	-999	87000	2000	tiepoint to LR04 benthic stack	86669	1853	OxCal 4.2
# -999	625	626	-999	-999	-999	-999	-999	109000	2000	tiepoint to LR04 benthic stack	108847	1862	OxCal 4.2
# -999	765	766	-999	-999	-999	-999	-999	135000	2000	tiepoint to LR04 benthic stack	135335	1856	OxCal 4.2
# -999	845	846	-999	-999	-999	-999	-999	154000	2000	tiepoint to LR04 benthic stack	152669	1817	OxCal 4.2
# -999	1026	1027	-999	-999	-999	-999	-999	174000	2000	tiepoint to LR04 benthic stack	175877	1853	OxCal 4.2
# -999	1065	1066	-999	-999	-999	-999	-999	188000	2000	tiepoint to LR04 benthic stack	186873	1623	OxCal 4.2
# -999	1095	1096	-999	-999	-999	-999	-999	192000	2000	tiepoint to LR04 benthic stack	191272	1537	OxCal 4.2
# -999	1166	1167	-999	-999	-999	-999	-999	200000	2000	tiepoint to LR04 benthic stack	199925	1547	OxCal 4.2
# -999	1215	1216	-999	-999	-999	-999	-999	205000	2000	tiepoint to LR04 benthic stack	205669	1691	OxCal 4.2
# 
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_cm	depth, , , cm, , , midpoint, ,N,
## age_calBP	age, , , calendar years before present, , , , ,N,
## dDwax	delta D, C30 n-alkanoic acid, , per mil VSMOW, , paleoceanography, ,isotope ratio mass spectrometry, N, higher plant leaf waxes
## dDwax_ivc	delta D, C30 n-alkanoic acid, , per mil VSMOW, , paleoceanography, ,isotope ratio mass spectrometry, N, higher plant leaf waxes-ice volume corrected
## d13Cwax	delta 13C, C30 n-alkanoic acid, , per mil VPDB, , paleoceanography, ,isotope ratio mass spectrometry, N, higher plant leaf waxes
## uk'37	alkenone unsaturation index, , , , , paleoceanography, ,, N, 
## SST	Sea Surface Temperature, , , degrees C, , climate reconstructions, alkenone UK'37 index calibrated to SST, Sonzogni et al. 1997 calibration: UK'37 = 0.023*SST + .316, N, 
## d18Orub	delta 18O, Globigerinoides ruber white, , per mil VPDB, , paleoceanography, ,isotope ratio mass spectrometry,N,sensu stricto 250-350 um
## d13Crub	delta 13C, Globigerinoides ruber white, , per mil VPDB, , paleoceanography, ,isotope ratio mass spectrometry,N,sensu stricto 250-350 um
## d18Ouvi	delta 18O, Uvigerina spp., , per mil VPDB, , paleoceanography, ,isotope ratio mass spectrometry,N,sensu stricto 250-350 um
## d13Cuvi	delta 13C, Uvigerina spp., , per mil VPDB, , paleoceanography, ,isotope ratio mass spectrometry,N,sensu stricto 250-350 um
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: -999
#
depth_cm	age_calBP	dDwax	dDwax_ivc	d13Cwax	uk'37	SST	d18Orub	d13Crub	d18Ouvi	d13Cuvi
5.5	1884	-999	-999	-999	-999	-999	-2	1.35	-999	-999
7	1920	-127	-126.820	-27.19	0.977	28.7	-999	-999	-999	-999
15.5	2125	-999	-999	-999	-999	-999	-1.95	1.10	-999	-999
17	2160	-120.9	-120.772	-27.03	0.972	28.5	-999	-999	-999	-999
25.5	2359	-999	-999	-999	-999	-999	-2.2	1.40	-999	-999
26.5	2447	-129.2	-129.197	-27.02	0.968	28.3	-999	-999	-999	-999
35.5	3238	-999	-999	-999	-999	-999	-2.06	1.48	1.78	0.24
36.5	3361	-124	-124.250	-26.89	0.965	28.2	-999	-999	-999	-999
45.5	4470	-999	-999	-999	-999	-999	-2.05	1.46	1.18	0.44
46.5	4556	-118.9	-119.088	-26.51	0.965	28.2	-999	-999	-999	-999
55.5	5334	-999	-999	-999	-999	-999	-1.99	1.25	0.97	0.39
56.5	5440	-126.7	-126.938	-26.21	0.967	28.3	-999	-999	-999	-999
65.5	6392	-999	-999	-999	-999	-999	-2.07	0.99	-999	-999
66.5	6497	-133.5	-133.965	-27.51	0.96	28.0	-999	-999	-999	-999
75.5	7443	-999	-999	-999	-999	-999	-2.17	0.93	1.41	0.29
76.5	7528	-137.2	-137.843	-26.57	0.947	27.4	-999	-999	-999	-999
85.5	8293	-999	-999	-999	-999	-999	-1.84	1.28	1.46	0.23
86.5	8378	-134.4	-135.078	-26.31	0.955	27.8	-999	-999	-999	-999
95.5	9144	-999	-999	-999	-999	-999	-1.89	0.98	1.27	0.23
96.5	9269	-137.1	-137.825	-27.78	0.958	27.9	-999	-999	-999	-999
105.5	10392	-999	-999	-999	-999	-999	-1.43	0.95	1.91	0.18
106.5	10568	-128.3	-129.608	-27.82	0.952	27.7	-999	-999	-999	-999
115.5	12154	-999	-999	-999	-999	-999	-1.02	0.59	2.29	0.48
116.5	12279	-117.3	-120.174	-27.85	0.949	27.5	-999	-999	-999	-999
125.5	13402	-999	-999	-999	-999	-999	-1.07	0.66	2.26	0.34
126.5	13544	-121.7	-125.421	-27.85	0.947	27.4	-999	-999	-999	-999
135.5	14820	-999	-999	-999	-999	-999	-0.51	0.14	2.67	0.42
136.5	15022	-103.3	-108.356	-26.38	0.926	26.5	-999	-999	-999	-999
145.5	16837	-999	-999	-999	-999	-999	-0.28	0.16	2.77	0.27
146.5	17038	-108.8	-115.360	-25.94	0.915	26.0	-999	-999	-999	-999
155.5	18847	-999	-999	-999	-999	-999	-999	-999	2.55	0.36
156.5	18989	-109.2	-116.053	-26.37	0.912	25.9	-999	-999	-999	-999
165.5	20271	-999	-999	-999	-999	-999	-999	-999	2.58	0.31
166.5	20581	-110.7	-117.475	-27.19	0.924	26.4	-999	-999	-999	-999
175.5	23367	-999	-999	-999	-999	-999	-999	-999	2.56	0.36
176.5	23676	-108.9	-115.227	-25.72	0.924	26.4	-999	-999	-999	-999
185.5	26452	-999	-999	-999	-999	-999	-0.64	0.51	2.48	0.49
186.5	26483	-111.8	-117.645	-26.35	0.929	26.7	-999	-999	-999	-999
195.5	26757	-999	-999	-999	-999	-999	-0.72	0.36	2.51	0.35
196.5	26790	-108.1	-114.066	-26.11	0.93	26.7	-999	-999	-999	-999
205.5	27091	-999	-999	-999	-999	-999	-0.36	0.82	2.23	0.58
206.5	27119	-107	-113.040	-25.21	0.931	26.7	-999	-999	-999	-999
215.5	27371	-999	-999	-999	-999	-999	-0.56	0.65	2.24	0.33
216.5	27554	-107.7	-113.735	-26.03	0.934	26.9	-999	-999	-999	-999
225.5	29201	-999	-999	-999	-999	-999	-0.59	0.68	2.15	0.46
226.5	29461	-110.7	-116.437	-25.65	0.94	27.1	-999	-999	-999	-999
235.5	31796	-999	-999	-999	-999	-999	-0.5	1.05	2.17	0.39
236.5	32053	-108.4	-113.835	-26.29	0.941	27.2	-999	-999	-999	-999
245.5	34365	-999	-999	-999	-999	-999	-1.02	0.52	2.17	0.30
246.5	34549	-110.6	-115.878	-25.87	0.939	27.1	-999	-999	-999	-999
255.5	36205	-999	-999	-999	-999	-999	-0.58	0.74	2.18	0.34
256.5	36330	-109.9	-114.751	-26.53	0.922	26.3	-999	-999	-999	-999
265.5	37453	-999	-999	-999	-999	-999	-0.77	0.40	2.26	0.36
266.5	37600	-108	-112.770	-25.18	0.914	26.0	-999	-999	-999	-999
275.5	38926	-999	-999	-999	-999	-999	-0.58	0.57	2.12	0.38
276.5	39076	-112.6	-117.817	-25.36	0.916	26.1	-999	-999	-999	-999
285.5	40429	-999	-999	-999	-999	-999	-0.73	0.94	1.96	0.32
295.5	41858	-999	-999	-999	-999	-999	-0.87	0.82	2.02	0.30
296.5	41976	-116.3	-121.300	-25.94	0.907	25.7	-999	-999	-999	-999
305.5	43039	-999	-999	-999	-999	-999	-0.92	0.69	2.09	0.23
306.5	43370	-110	-114.907	-26.25	0.901	25.4	-999	-999	-999	-999
315.5	46344	-999	-999	-999	-999	-999	-0.73	0.72	1.86	0.32
316.5	46760	-113.4	-117.926	-25.7	0.885	24.7	-999	-999	-999	-999
325.5	50508	-999	-999	-999	-999	-999	-999	-999	2.01	0.21
326.5	50849	-121.8	-126.112	-25.77	0.888	24.9	-999	-999	-999	-999
335.5	53922	-999	-999	-999	-999	-999	-1.17	0.65	2.11	0.25
336.5	54097	-120.6	-125.081	-25.97	0.901	25.4	-999	-999	-999	-999
345.5	55674	-999	-999	-999	-999	-999	-1.05	0.56	2.03	0.23
346.5	55858	-119	-123.376	-26.35	0.909	25.8	-999	-999	-999	-999
355.5	57515	-999	-999	-999	-999	-999	-1.01	0.53	2.00	0.11
356.5	57699	-116.1	-120.991	-26.27	0.911	25.9	-999	-999	-999	-999
365.5	59358	-999	-999	-999	-999	-999	-0.53	-0.13	1.97	0.38
366.5	59531	-103.1	-108.254	-26.69	0.911	25.9	-999	-999	-999	-999
375.5	61085	-999	-999	-999	-999	-999	-0.73	0.43	2.12	0.42
376.5	61212	-105.7	-110.875	-25.26	0.92	26.3	-999	-999	-999	-999
385.5	62354	-999	-999	-999	-999	-999	-0.55	0.35	2.14	0.47
386.5	62485	-108.3	-113.605	-25.26	0.907	25.7	-999	-999	-999	-999
395.5	63666	-999	-999	-999	-999	-999	-0.96	0.59	2.06	0.31
396.5	63799	-108.4	-113.026	-25.55	0.909	25.8	-999	-999	-999	-999
405.5	65000	-999	-999	-999	-999	-999	-1.09	0.66	2.09	0.43
406.5	65134	-104.2	-109.236	-25.2	0.902	25.5	-999	-999	-999	-999
415.5	66339	-999	-999	-999	-999	-999	-999	-999	2.04	0.49
416.5	66472	-107.3	-112.384	-24.87	0.913	26.0	-999	-999	-999	-999
425.5	67672	-999	-999	-999	-999	-999	-1.01	0.86	2.10	0.54
426.5	67804	-110.6	-115.332	-24.7	0.911	25.9	-999	-999	-999	-999
435.5	68988	-999	-999	-999	-999	-999	-0.93	0.61	2.15	0.54
436.5	69116	-112.3	-117.136	-25.69	0.933	26.8	-999	-999	-999	-999
445.5	70264	-999	-999	-999	-999	-999	-0.62	0.84	2.02	0.36
446.5	70476	-116.2	-120.308	-25.11	0.932	26.8	-999	-999	-999	-999
455.5	72388	-999	-999	-999	-999	-999	-1.21	0.86	1.70	0.36
456.5	72624	-111.8	-115.732	-25.24	0.946	27.4	-999	-999	-999	-999
465.5	74749	-999	-999	-999	-999	-999	-1.33	1.04	1.71	0.34
466.5	74995	-126.4	-129.210	-26.98	0.955	27.8	-999	-999	-999	-999
475.5	77211	-999	-999	-999	-999	-999	-1.62	1.07	1.40	0.52
476.5	77460	-130.2	-133.446	-25.17	0.966	28.3	-999	-999	-999	-999
485.5	79702	-999	-999	-999	-999	-999	-1.42	1.05	1.58	0.37
486.5	79948	-133.3	-135.924	-25.94	0.976	28.7	-999	-999	-999	-999
495.5	82159	-999	-999	-999	-999	-999	-1.66	0.88	1.43	0.32
496.5	82396	-135.9	-138.147	-25.49	0.975	28.7	-999	-999	-999	-999
505.5	84528	-999	-999	-999	-999	-999	-1.23	0.72	1.37	0.41
506.5	84742	-132.4	-135.060	-25.49	0.966	28.3	-999	-999	-999	-999
515.5	86669	-999	-999	-999	-999	-999	-1.51	0.76	1.58	0.48
516.5	86853	-121.8	-125.453	-25.03	0.953	27.7	-999	-999	-999	-999
