# NOAA Paleoclimatology Program - Paleocean Site Data
# tr163-22-tab.txt
# Complete Data
# File Created: 09-Dec-2011
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      TR163-22
# Latitude:       0.31.00N	( 0.51667)
# Longitude:      92.24.00W	( -92.4)
# Water Depth(m): 2830
#
# Publications:
#   Lea, D.W., D.K. Pak, C.L. Belanger, H.J. Spero, M.A. Hall, and N.J. Shackleton.
#     2006. Paleoclimate history of Galápagos surface waters over the last 135,000
#     yr. Quaternary Science Reviews, 25(11-12), 1152-1167.
#------------------
#
# Description & Notes:
#   Galapagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction
#   Mg/Ca is corrected for Al-silicated contamination as described in Lea et al.,
#   2005, G^3.
#
# TR163-22 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-            Material    Thickness    Lab Num.   Cal Age
#  1           1560          60            60           N. dutertrei     2          CAMS-22382 1040
#  43.5        6190          40            40           N. dutertrei     1          CAMS-59169 6550
#  89          10990         40            40           N. dutertrei     2          CAMS-59170 12500
#  139         14640         40            40           N. dutertrei     2          CAMS-59171 16890
#  189         18770         60            60           N. dutertrei     2          CAMS-59172 21795
#  249         23580         90            90           N. dutertrei     2          CAMS-59173 27640
#  319         32130         280           280          N. dutertrei     2          CAMS-94703 36970
#  335         30500         230           230          N. dutertrei     2          CAMS-94702 35230
#  399         42970         1050          1050         N. dutertrei     2          CAMS-94704 46240
# 
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Og.rub     delta O18 PDB (Globigerinoides ruber)
#             d18Ou.sent    delta O18 PDB (Uvigerina senticosa)
#             d18Owater     delta O18 PDB (water)
#             Mg/Ca-g.rub   Magnesium/Calcium ratio (Globigerinoides ruber)
#             sst-mg/ca     Sea surface temperature from Mg/Ca (C)
#
# CORE: TR163-22
depth	calyrBP 	d18Og.rub	d18Ou.sent	d18Owater	Mg/Ca-g.rub	sst-mg/ca	
2	1200	-1.58	3.14	0.28	2.467	24.1	
6	1700	-1.43	3.26	0.58	2.635	24.8	
8	2000	-1.46	3.28	0.47	2.539	24.4	
10	2300	-1.63	3.41	0.17	2.416	23.9	
12	2600	-1.27	3.03	0.68	2.576	24.6	
16	3100	-1.35	3.43	0.39	2.347	23.6	
18	3400	-1.4	3.33	0.49	2.502	24.3	
20	3700	-1.46	3.2	0.29	2.36	23.6	
22	4000	-1.5	3.23	0.38	2.493	24.2	
26	4500	-1.31	3.26	0.53	2.443	24	
28	4800	-1.32	3.39	0.6	2.538	24.4	
30	5000	-1.63	2.91	0.21	2.448	24	
32	5300	-2	3.28	-0.03	2.587	24.6	
36	5800	-1.51	3.01	0.32	2.435	24	
38	6100	-1.67	2.9	0.23	2.517	24.3	
40	6300	-1.59	3.06	0.23	2.43	23.9	
42	6600	-1.66	2.8	0.17	2.446	24	
46	7100	-1.67	3.05	0.24	2.534	24.4	
48	7300	-1.81	3.16	0.1	2.517	24.3	
50	7600	-1.59	3.22	0.32	2.523	24.4	
52	7800	-1.39	3.27	0.53	2.537	24.4	
56	8300	-1.03	3.48	0.97	2.624	24.8	
58	8500	-1.28	3.59	0.58	2.47	24.1	
60	8800	-1.12	3.48	0.75	2.478	24.2	
62	9000	-1.27	3.41	0.63	2.507	24.3	
66	9500	-1.24	3.31	0.75	2.618	24.8	
68	9700	-1.26	3.66	0.66	2.532	24.4	
70	9900	-1.41	3.6	0.57	2.605	24.7	
72	10200	-1.33	3.55	0.75	2.72	25.2	
76	10600	-1.04	3.76	0.95	2.615	24.8	
78	10800	-0.92	3.66	1.01	2.557	24.5	
80	11100	-0.97	3.8	1	2.599	24.7	
82	11300	-0.99	3.67	1.17	2.815	25.6	
86	11700	-0.58	4.06	1.43	2.636	24.8	
88	12000	-0.24	4.02	1.68	2.543	24.4	
90	12200	-0.67	4.02	1.16	2.445	24	
92	12400	-0.66	4.09	1.18	2.452	24	
96	12800	-0.63	4.1	1.19	2.432	24	
98	13000	-0.19	4.17	1.57	2.373	23.7	
100	13200	-0.4	4.21	1.47	2.488	24.2	
102	13500	-0.58	4.21	1.27	2.456	24.1	
106	13900	-0.6	4.15	1.2	2.412	23.9	
108	14100	-0.42	4.28	1.53	2.57	24.6	
110	14300	-0.83	4.19	1.06	2.499	24.3	
112	14500	-0.79	4.23	0.87	2.273	23.2	
116	14900	-0.56	4.42	1.43	2.613	24.7	
118	15100	-0.19	4.39	1.67	2.47	24.1	
120	15300	-0.31	4.52	1.57	2.489	24.2	
122	15500	-0.18	4.62	1.71	2.51	24.3	
126	15900	-0.39	4.6	1.5	2.497	24.2	
128	16100	-0.09	4.68	1.83	2.535	24.4	
130	16300	-0.21	4.72	1.52	2.337	23.5	
132	16500	-0.44	4.55	1.38	2.428	23.9	
136	16900	-0.17	4.75	1.51	2.28	23.2	
138	17100	0.13	4.65	1.54	2.04	22	
140	17300	-0.05	4.6	1.55	2.21	22.9	
142	17500	-0.1	4.65	1.65	2.351	23.6	
144	17700	-0.21	4.51	1.5	2.32	23.4	
146	17900	-0.18	4.62	1.63	2.415	23.9	
148	18100	-0.24	4.82	1.47	2.313	23.4	
150	18200	-0.39	4.87	1.19	2.193	22.8	
152	18400	-0.4	4.91	1.15	2.162	22.6	
154	18600	-0.17	4.81	1.49	2.27	23.2	
156	18800	-0.06	4.61	1.47	2.143	22.5	
158	19000	-0.28	4.73	1.25	2.138	22.5	
160	19200	-0.17	4.68	1.39	2.175	22.7	
162	19400	0.14	5.12	1.49	1.987	21.7	
164	19600	-0.06	4.79	1.56	2.232	23	
166	19800	0.15	4.68	1.45	1.936	21.4	
168	20000	0.01	4.74	1.52	2.129	22.5	
170	20100	-0.06	4.9	1.49	2.154	22.6	
172	20300	-0.39	4.79	0.99	2.009	21.8	
174	20500	-0.2	4.76	1.34	2.153	22.6	
176	20700	-0.19	4.94	1.4	2.206	22.9	
178	20900	-0.39	4.82	1.32	2.319	23.4	
180	21100	-0.18	4.88	1.4	2.193	22.8	
182	21300	-0.13	4.95	1.44	2.183	22.8	
184	21500	-0.16	-999	1.28	2.065	22.1	
186	21700	-0.07	4.85	1.58	2.257	23.1	
188	21800	0.11	4.76	1.58	2.088	22.3	
190	22000	0.03	4.76	1.44	2.029	21.9	
192	22200	0.23	4.56	1.58	1.987	21.7	
194	22400	-0.04	4.43	1.32	1.989	21.7	
196	22600	-0.06	4.79	1.41	2.083	22.2	
198	22800	-0.33	4.91	1.1	2.05	22.1	
200	23000	-0.48	4.82	1.12	2.203	22.9	
202	23100	-0.51	4.7	1.03	2.152	22.6	
204	23300	-0.51	4.84	1.17	2.294	23.3	
206	23500	-0.5	-999	1.26	2.369	23.7	
208	23700	-0.63	4.68	1.1	2.343	23.5	
210	23900	-0.26	4.64	1.45	2.324	23.4	
212	24100	-0.44	4.7	1.29	2.344	23.5	
214	24300	-0.44	4.59	1.09	2.135	22.5	
216	24500	-0.41	4.64	1.25	2.272	23.2	
218	24700	-0.13	4.88	1.42	2.168	22.7	
220	24800	-0.07	4.39	1.5	2.181	22.7	
221	24900	-0.36	4.59	1.05	2.035	22	
223	25100	-0.15	-999	1.33	2.101	22.3	
225	25300	-0.31	4.71	1.24	2.159	22.6	
227	25500	-0.31	4.74	1.03	1.981	21.7	
229	25700	-0.22	4.66	1.35	2.181	22.7	
231	25900	-0.18	4.8	1.26	2.057	22.1	
233	26100	-0.66	4.63	0.89	2.162	22.6	
235	26300	-0.32	4.62	1.5	2.429	23.9	
237	26500	-0.36	4.72	1.14	2.115	22.4	
239	26700	-0.47	4.69	0.93	2.03	21.9	
241	26900	-0.59	4.64	0.88	2.082	22.2	
243	27100	-0.45	4.59	0.97	2.045	22	
245	27300	-0.69	4.74	0.73	2.043	22	
247	27500	-0.29	4.72	1.1	2.016	21.9	
249	27600	-0.17	4.48	1.21	2.007	21.8	
251	27800	-0.33	4.7	1.15	2.101	22.3	
253	28000	-0.13	4.48	1.36	2.103	22.3	
255	28200	-0.39	4.58	1.17	2.171	22.7	
257	28400	-0.56	4.67	1.11	2.274	23.2	
259	28600	-0.55	4.52	0.98	2.141	22.5	
261	28800	-0.22	4.56	1.33	2.168	22.7	
263	29000	-0.23	4.43	1.08	1.954	21.5	
265	29300	-0.56	4.38	0.98	2.159	22.6	
267	29500	-0.27	4.49	1.47	2.35	23.6	
269	29700	-0.18	4.55	1.3	2.093	22.3	
271	29900	-0.2	4.4	1.32	2.133	22.5	
273	30100	-0.5	4.71	1.03	2.143	22.5	
275	30300	-0.27	4.47	1.13	2.024	21.9	
277	30500	-0.38	4.44	1.18	2.172	22.7	
279	30700	-0.57	4.54	0.98	2.164	22.7	
281	30900	-0.56	4.47	0.89	2.072	22.2	
283	31100	-0.39	4.5	1.21	2.205	22.9	
285	31300	-0.83	4.37	0.85	2.287	23.3	
287	31600	-0.43	4.53	1.28	2.315	23.4	
289	31800	-0.32	4.42	1.16	2.103	22.3	
291	32000	-0.41	4.57	1.23	2.251	23.1	
293	32200	-0.58	4.27	1.09	2.283	23.2	
295	32400	-0.48	4.41	1.15	2.237	23	
297	32600	-0.87	4.58	0.77	2.253	23.1	
299	32900	-0.8	4.43	0.6	2.026	21.9	
301	33100	-0.75	4.33	0.97	2.319	23.4	
303	33300	-0.84	4.09	0.79	2.234	23	
305	33500	-0.66	4.23	0.92	2.186	22.8	
307	33800	-0.84	3.91	0.44	1.931	21.4	
309	34000	-0.74	4.24	0.77	2.125	22.5	
311	34200	-0.83	4.4	0.69	2.132	22.5	
313	34400	-0.68	4.24	1.06	2.347	23.6	
315	34700	-0.7	4.32	0.85	2.162	22.6	
317	34900	-0.82	4.49	0.74	2.175	22.7	
319	35100	-0.5	4.34	1.03	2.145	22.6	
321	35400	-0.54	4.38	1.1	2.243	23.1	
323	35600	-0.78	4.27	0.85	2.236	23	
325	35900	-0.69	4.23	0.98	2.278	23.2	
327	36100	-0.46	4.19	1.19	2.258	23.1	
329	36300	-0.74	4.27	1.01	2.354	23.6	
331	36600	-0.53	4.22	1.07	2.218	22.9	
333	36800	-0.8	4.23	0.95	2.352	23.6	
335	37100	-0.36	4.27	1.39	2.363	23.6	
337	37300	-0.66	4.3	0.99	2.253	23.1	
339	37600	-0.67	4.33	0.85	2.13	22.5	
341	37800	-0.48	4.25	1.15	2.237	23	
343	38100	-0.52	4.39	1.02	2.154	22.6	
345	38400	-0.44	4.29	0.96	2.031	22	
347	38600	-0.51	4.18	0.86	1.999	21.8	
349	38900	-0.49	4.35	0.89	2.014	21.9	
351	39100	-0.54	4.51	0.8	1.97	21.6	
353	39400	-0.54	4.26	0.96	2.116	22.4	
355	39700	-0.7	4.48	0.79	2.112	22.4	
357	39900	-0.67	4.41	0.94	2.22	22.9	
359	40200	-0.45	4.34	0.85	1.94	21.4	
361	40500	-0.43	4.6	0.97	2.019	21.9	
363	40700	-0.59	4.46	0.76	1.984	21.7	
365	41000	-0.67	4.44	0.78	2.071	22.2	
367	41300	-0.65	4.41	0.84	2.108	22.4	
369	41600	-0.59	4.46	0.86	2.07	22.2	
371	41900	-0.6	4.18	0.8	2.025	21.9	
373	42200	-0.61	4.36	0.89	2.12	22.4	
375	42400	-0.69	4.45	0.92	2.217	22.9	
377	42700	-0.59	4.27	0.98	2.18	22.7	
379	43000	-0.85	4.34	0.7	2.161	22.6	
381	43300	-0.62	4.52	0.98	2.207	22.9	
383	43600	-0.61	4.52	0.82	2.051	22.1	
385	43900	-0.85	4.22	0.72	2.185	22.8	
387	44200	-0.73	4.21	0.98	2.317	23.4	
389	44500	-0.58	4.14	0.95	2.145	22.6	
391	44800	-0.71	4.31	0.82	2.147	22.6	
393	45100	-0.64	4.26	1.1	2.346	23.6	
395	45400	-0.99	4.4	0.65	2.246	23.1	
397	45700	-0.73	4.17	1.08	2.414	23.9	
399	46100	-0.94	4.18	0.7	2.246	23.1	
401	46500	-0.57	4.23	1.09	2.263	23.2	
403	46700	-0.48	4.32	1.22	2.313	23.4	
405	46900	-0.78	4.35	0.76	2.15	22.6	
407	47200	-0.4	4.43	1.3	2.315	23.4	
409	47400	-0.88	4.18	0.88	2.366	23.6	
411	47600	-0.89	4.35	0.81	2.309	23.4	
413	47900	-0.61	4.33	1.1	2.318	23.4	
415	48100	-1.01	4.27	0.62	2.232	23	
