# NOAA Paleoclimatology Program - Paleocean Site Data
# u938-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Philip P.E. Weaver
# Core/Site:      U938
# Latitude:       45.04.30S	( -45.075)
# Longitude:      179.29.54E	( 179.4983)
# Water Depth(m): 2700
#
# Publications:
#   Weaver, P.P.E., L. Carter, and H.L. Neil. 1998. Response of surface water masses
#     and circulation to late Quaternary climate change east of New Zealand. Paleoceanography
#     13(1):70-83.
#------------------
#
# Description & Notes:
#   Late Quaternary SW Pacific Foraminifer Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             commun        Communality
#             d13Cuvige     delta C13 PDB (Uvigerina sp.)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             d18Ouvige     delta O18 PDB (Uvigerina sp.)
#             forams-b      Benthic Foraminifers (Count)
#             foramsfrag    Foraminifers Fragments
#             frag%         Fragments percent
#             g.aequi       Globigerinella aequilateralis (Count)
#             g.bull        Globigerina bulloides (Count)
#             g.calid       Globigerina calida (Count)
#             g.cavern      Globorotalia cavernula (Count)
#             g.congl       Globigerinoides conglobatus (Count)
#             g.crass       Globorotalia crassaformis (Count)
#             g.crsula      Globorotalia crassula (Count)
#             g.digit       Globigerina digitata (Count)
#             g.duter       Globoquadrina dutertrei (Count)
#             g.falco       Globigerina falconensis (Count)
#             g.glut        Globigerinita glutinata (Count)
#             g.hirsu       Globorotalia hirsuta (Count)
#             g.infla       Globorotalia inflata (Count)
#             g.menar       Globorotalia menardii (Count)
#             g.pachy-l     Globigerina pachyderma (left coiling) (Count)
#             g.pachy-r     Globigerina pachyderma (right coiling) (Count)
#             g.quinq       Globigerina quinquiloba (Count)
#             g.rub-p       Globigerinoides ruber (pink) (Count)
#             g.rub-w       Globigerinoides ruber (white) (Count)
#             g.rubes       Globigerina rubescens (Count)
#             g.sac-ns      Globigerinoides sacculifer (no sac) (Count)
#             g.sac-ws      Globigerinoides sacculifer (with sac) (Count)
#             g.scit        Globorotalia scitula (Count)
#             g.tenn        Globigerinoides tenellus (Count)
#             g.trc-l       Globorotalia truncatulinoides (left coiling) (Count)
#             g.trc-r       Globorotalia truncatulinoides (right coiling) (Count)
#             g.tumi        Globorotalia tumida (Count)
#             gyrmar        Gyre margin foraminifer assemblage
#             o.univer      Orbulina universa (Count)
#             otherfor      Unidentified planktonic foraminifers (Count)
#             p.obliq       Pulleniatina obliquiloculata (Count)
#             pd            Globigerina pachyderma x Globoquadrina dutertrei intergrade (Count)
#             plank         Planktonic foraminifers (Count)
#             polar         Polar foraminifer assemblage
#             s.dehisc      Sphaeroidinella dehiscens (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             subpolar      Subpolar foraminifer assemblage
#             trans         Transitional foraminifer assemblage
#             trop/sub      Tropical/Subtropical foraminifer assemblage
#             upwell        Upwelling foraminifer assemblage
#             d13Cg.bull    delta C13 PDB (Globigerina bulloides)
#
# CORE: U938
depth	yrBP 	carb%	commun	d13Cuvige	d18Og.bull	d18Ouvige	forams-b	foramsfrag	frag%	g.aequi	g.bull	g.calid	g.cavern	g.congl	g.crass	g.crsula	g.digit	g.duter	g.falco	g.glut	g.hirsu	g.infla	g.menar	g.pachy-l	g.pachy-r	g.quinq	g.rub-p	g.rub-w	g.rubes	g.sac-ns	g.sac-ws	g.scit	g.tenn	g.trc-l	g.trc-r	g.tumi	gyrmar	o.univer	otherfor	p.obliq	pd	plank	polar	s.dehisc	sst-aug	sst-feb	subpolar	trans	trop/sub	upwell	d13Cg.bull	
1	170	68.9	0.855	-0.13	1.5	3.06	10	77	3	0	75	0	0	0	0	0	0	0	0	30	0	34	0	15	82	46	0	0	0	0	0	0	0	15	0	0	0.022	3	0	0	14	314	0.186	0	7.827	12.789	-0.84	0.3	0.011	0.152	-999	
6	-999	77.2	-999	0.09	1.4	2.49	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.63	
11	-999	73.3	-999	0.1	1.42	2.61	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.52	
12	2070	-999	0.87	-999	-999	-999	11	79	2.1	0	147	0	0	0	0	0	0	0	3	46	0	71	0	10	102	55	0	0	0	0	0	1	0	15	0	0	0.045	1	0	0	6	457	0.126	0	8.912	13.839	-0.799	0.357	0.006	0.294	-999	
16	-999	74.1	-999	-0.02	1.44	2.71	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.42	
21	-999	70.9	-999	0.05	1.49	2.83	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.46	
22	3790	-999	0.867	-999	-999	-999	10	60	2.3	0	126	0	0	0	0	0	0	0	0	22	0	59	0	9	53	20	0	0	0	0	0	0	0	23	1	0	0.065	3	0	0	2	318	0.132	0	9.243	14.113	-0.723	0.396	-0.01	0.408	-999	
26	-999	68.3	-999	-0.11	1.43	2.85	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.13	
31	-999	65.3	-999	-0.3	1.36	2.89	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.11	
32	5510	-999	0.896	-999	-999	-999	13	111	3.4	0	174	0	0	0	0	0	2	0	6	22	0	52	0	9	55	35	0	0	0	0	0	1	0	26	0	0	0.064	5	0	0	9	396	0.129	0	8.572	12.984	-0.748	0.308	-0.012	0.469	-999	
35	-999	-999	-999	-999	1.75	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.14	
36	-999	60.7	-999	-0.45	1.43	3.11	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.12	
