# NOAA Paleoclimatology Program - Paleocean Site Data
# 147-gc07-tab.txt
# Complete Data
# File Created: 02-Feb-2010
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Elisabeth L. Sikes
# Core/Site:      RS147-GC07
# Latitude:       45.09.00S	( -45.15)
# Longitude:      146.17.00E	( 146.2833)
# Water Depth(m): 3300
#
# Publications:
#   Sikes, E.L., W.R. Howard, C.R. Samson, T.S. Mahan, L.G. Robertson, and J.K. Volkman.
#     2009. Southern Ocean seasonal temperature and Subtropical Front movement on the
#     South Tasman Rise in the late Quaternary.  Paleoceanography, 24, PA2201.
#------------------
#
# Description & Notes:
#   South Tasman Rise Late Quaternary SST Reconstructions
#   Conventional radiocarbon ages for GC07 were converted to calendar ages using
#   the marine CALIB 5.0 program. Radiocarbon ages older than 20 ka were calibrated
#   to calendar ages using an oceanic 14C reservoir correction of 350 years [Druffel
#   and Griffin, 1999] and a polynomial fit [Bard et al., 1998]. MIS3-5 d18O tuned
#   to Lieseki and Raymo 2005 / Marinson et al 1987. In GC07 the SST-MAT warm season
#   errors range from 2.0°-4.0°C for warm-season estimates, larger than the 1°-1.5°C
#   generally associated with modern analog estimates, in the deglaciation [Samson,
#   1998]. This is ascribed to the fact that GC07 lies in a zone of frontal movement
#   where SST changes rapidly over small distances. SSTs from Uk'37 have an error
#   of +/- 1.5 degC.
#
# RS147-GC07 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-            Material    Thickness    Lab Num.
#  1.5         1167         -999          -999          G. inflata >250      3          NZA 6684
#  40.5        9530         -999          -999          G. inflata 300–355      1          OZC987
#  44.5        10100        -999          -999          G. inflata >300      1          OZD257
#  48.5        11870        -999          -999          G. inflata 300–355      1          OZC610
#  52.5        11850        -999          -999          G. inflata >300      1          OZD258
#  57.5        11900        -999          -999          G. inflata 300–355      1          OZC609
#  58.5        11850        -999          -999          G. inflata >300      1          OZD259
#  65.5        13650        -999          -999          G. inflata 300–355      1          OZC988
#  74.5        14070        -999          -999          G. inflata >300      1          OZC989
#  81.5        15360        -999          -999          G. inflata >355      3          NZA 6639
#  89.5        16450        -999          -999          G. inflata >355      1          OZC990
#  99          18150        -999          -999          G. inflata >355      1          OZC991
#  108.5       23300        -999          -999          G. inflata >355      1          OZD260
#  118.5       30700        -999          -999          G. inflata >355      1          OZC992
# 
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Og.bull300-355           delta O18 PDB (Globigerina bulloides 300-355 micron)
#             sst-MAT.w     sea surface temperature- warm season, modern analog technique, degC
#             carb%         Calcium Carbonate percent
#             sst-warm.uk37.s             sea surface temperature, warm season, from Uk'37, degC, (Sikes and Volkman '93 equation)
#             uk37          Alkenone saturation index
#             d18Ocibid>150 delta O18 per mil PDB (Cibicidoides spp. >150 micron)
#
# CORE: RS147-GC07
depth	calyrBP 	d18Og.bull300-355	sst-MAT.w	carb%	sst-warm.uk37.s	uk37	d18Ocibid>150	notes
0.5	519	0.96	13.3	-999	-999	-999	-999	
1.5	716	-999	-999	89.4	17.9	0.584	-999	
2.5	919	1.2	-999	-999	-999	-999	-999	
4.5	1324	0.87	13.5	-999	-999	-999	3.16	
6.5	1729	0.88	-999	78.8	-999	-999	-999	
10.5	2540	0.9	13.4	-999	-999	-999	3.35	
11.5	2742	0.88	-999	87	17.1	0.552	-999	
12.5	-999	1.27	-999	-999	-999	-999	-999	
14.5	3350	0.93	13	-999	-999	-999	-999	
16.5	3756	0.8	-999	90.5	-999	-999	3.15	
18.5	4161	0.94	-999	-999	-999	-999	-999	
20.5	4566	0.72	12.8	-999	-999	-999	3.27	
21.5	4769	0.74	-999	87.1	16.5	0.525	3.11	
22.5	-999	0.74	-999	-999	-999	-999	-999	
23.5	-999	0.88	-999	-999	-999	-999	3.31	
24.5	-999	0.76	-999	-999	-999	-999	-999	
25.5	5579	0.69	12.8	-999	-999	-999	3.2	
26.5	5782	0.68	-999	87.8	16.9	0.545	-999	
27.5	-999	0.81	-999	-999	-999	-999	3.04	
28.5	-999	1	-999	-999	-999	-999	-999	
29.5	-999	0.96	-999	-999	-999	-999	-999	
30.5	6593	1.08	13.3	-999	-999	-999	3	
31.5	6795	1.27	-999	87.2	16.7	0.535	-999	
32.5	-999	0.98	-999	-999	-999	-999	3.24	
33.5	-999	1.07	-999	-999	-999	-999	-999	
34.5	-999	0.95	-999	-999	-999	-999	-999	
35.5	7606	0.88	14.5	-999	-999	-999	3.1	
36.5	7808	0.91	-999	81.9	17.3	0.559	-999	
37.5	-999	0.84	-999	-999	-999	-999	-999	
38.5	-999	0.97	-999	-999	-999	-999	-999	
39.5	-999	0.9	-999	-999	-999	-999	-999	
40.5	10870	0.91	13	-999	-999	-999	3.31	
41.5	11142	1.02	17.4	80.5	16.9	0.543	-999	
42.5	11413	1.24	15.9	-999	-999	-999	-999	
43.5	-999	1.38	-999	-999	-999	-999	3.11	
44.5	11675	1.2	15.7	-999	-999	-999	-999	
45.5	11853	1.22	16.5	-999	-999	-999	3.3	
46.5	12032	1.24	-999	81.5	14.5	0.444	-999	
47.5	12210	1.26	17.3	-999	-999	-999	3.41	
48.5	12388	1.9	16	-999	-999	-999	3.74	
49.5	-999	1.37	-999	-999	-999	-999	-999	
50.5	13304	1.6	16.1	-999	-999	-999	3.68	
51.5	13378	1.88	-999	78.5	15.7	0.496	-999	
52.5	13451	1.91	15.9	-999	-999	-999	3.71	
53.5	-999	1.19	-999	-999	-999	-999	3.35	
54.5	-999	1.84	-999	-999	-999	-999	3.27	
55.5	13672	2.08	15.2	-999	-999	-999	-999	
56.5	13746	2.07	-999	79.7	14.7	0.451	3.74	
57.5	13819	1.69	14.6	-999	-999	-999	-999	
58	13856	-999	-999	-999	-999	-999	-999	 
58.5	-999	1.76	-999	-999	-999	-999	3.71	
59.5	-999	1.85	-999	-999	-999	-999	-999	
60.5	14651	1.98	14.9	-999	-999	-999	3.88	
61.5	14969	1.78	-999	79.3	15.4	0.48	-999	
62.5	-999	1.95	-999	-999	-999	-999	4.06	
63.5	-999	2.08	-999	-999	-999	-999	-999	
