K714-14      58 57.0 N   28 30.0 W  2143 AOF13B-4CE
               depth    SSTwarm   SSTcold
 K714 14         0.0      12.4       7.9
 K714 14         0.0      12.6       8.4
 K714 14         7.0      12.2       8.3
 K714 14        15.0      11.8       7.9
 K714 14        23.0      12.9       8.6
 K714 14        32.0      11.6       8.0
 K714 14        32.0      12.7       8.5
 K714 14        38.0      13.0       8.4
 K714 14        40.0      12.4       8.4
 K714 14        45.0      13.2       8.5
 K714 14        53.0      14.1       8.9
 K714 14        62.0      13.5       9.2
 K714 14        62.0      11.5       7.5
 K714 14        68.0      13.6       8.5
 K714 14        75.0      12.5       8.1
 K714 14        80.0      12.2       7.4
 K714 14        83.0      12.1       7.5
 K714 14        92.0      11.1       6.5
 K714 14        92.0      12.3       7.7
 K714 14        98.0      11.7       6.9
 K714 14       105.0      12.0       7.6
 K714 14       113.0      11.6       6.9
 K714 14       122.0       8.3       2.2
 K714 14       122.0       9.5       4.3
 K714 14       128.0       7.8       1.7
 K714 14       135.0       8.6       1.4
 K714 14       135.0       6.9       1.0
 K714 14       143.0       6.1       0.1
 K714 14       152.0       7.1       0.9
 K714 14       152.0       6.1       0.1
 K714 14       158.0       6.1       0.0
 K714 14       165.0       6.5       0.5
 K714 14       173.0       7.0       1.1
 K714 14       182.0       9.3       2.8
 K714 14       188.0       6.1       0.0
 K714 14       195.0       6.7       0.6
 K714 14       200.0       8.1       1.0
 K714 14       205.0       7.7       0.4
 K714 14       210.0       9.2       1.9
 K714 14       212.0       8.9       1.6
 K714 14       215.0       8.0       1.1
 K714 14       220.0       6.3       0.2
 K714 14       225.0       9.0       2.0
 K714 14       225.0       8.8       1.9
 K714 14       230.0       7.0       0.4
 K714 14       235.0       7.0       0.0
 K714 14       240.0       6.8       0.2
 K714 14       242.0       6.6       0.3
 K714 14       245.0       8.2       0.4
 K714 14       255.0       6.8       0.7
 K714 14       272.0       6.5       0.5
 K714 14       285.0       7.0       0.8
 K714 14       302.0       7.8       1.5
 K714 14       315.0       6.5       0.5
 K714 14       332.0       6.7       0.6
 K714 14       345.0       6.8       0.7
 K714 14       362.0       8.2       1.5
 K714 14       363.0       8.8       1.8
 K714 14       363.0       8.3       1.8
 K714 14       375.0       7.9       1.4
 K714 14       392.0       8.5       2.2
 K714 14       404.0       7.7       1.9
 K714 14       405.0       8.8       2.2
 K714 14       409.0       7.9       1.8
 K714 14       414.0       7.7       1.5
 K714 14       422.0       6.5       0.6
 K714 14       422.0       6.9       0.9
 K714 14       427.0       6.8       0.9
 K714 14       430.0       6.8       0.9
 K714 14       435.0       7.8       1.6
 K714 14       435.0       7.5       1.9
 K714 14       437.0      10.5       5.3
 K714 14       440.0      11.2       6.3
 K714 14       442.0      10.5       5.2
 K714 14       445.0       9.2       3.1
 K714 14       450.0      10.5       3.9
 K714 14       452.0      11.0       4.0
 K714 14       455.0      10.5       4.7
 K714 14       460.0       7.6       1.7
 K714 14       465.0       7.9       1.2
 K714 14       465.0       7.1       1.1
 K714 14       470.0       7.0       1.0
 K714 14       473.0       6.4       0.4
 K714 14       476.0       6.9       0.8
 K714 14       481.0       7.3       1.2
 K714 14       482.0       9.0       1.8
 K714 14       492.0       9.2       2.1
 K714 14       507.0       6.9       0.7
 K714 14       522.0       9.6       2.4
 K714 14       537.0       7.1       0.7
 K714 14       552.0       6.9       0.9
 K714 14       567.0       7.6       2.0
 K714 14       597.0       9.4       3.1
 K714 14       612.0      10.6       3.2
 K714 14       627.0      10.3       3.8
 K714 14       642.0       6.9       1.0
