RC9-228      52 32.9 N   18 45.4 W  3981 AOf13B-4CE
RC  9228         2.0      15.0       9.6
RC  9228         7.0      13.8       9.3
RC  9228        10.0      14.6       9.4
RC  9228        15.0      14.5       9.1
RC  9228        20.0      13.9       8.3
RC  9228        25.0      15.1      10.0
RC  9228        30.0      16.1      10.5
RC  9228        35.0      15.6      10.2
RC  9228        40.0      18.1      11.6
RC  9228        45.0      17.1      11.2
RC  9228        50.0      16.1      10.9
RC  9228        55.0      15.2      10.2
RC  9228        60.0      14.7       9.9
RC  9228        66.0      14.4       9.6
RC  9228        70.0      14.8      10.2
RC  9228        72.0      13.8       9.0
RC  9228        75.0      13.4       8.9
RC  9228        77.0      13.1       8.6
RC  9228        80.0      13.3       9.2
RC  9228        82.0      12.5       8.2
RC  9228        85.0      13.4       8.8
RC  9228        88.0      13.5       8.9
RC  9228        92.0      12.5       6.4
RC  9228        93.0      10.6       5.7
RC  9228        95.0      14.8       9.0
RC  9228        97.0      14.1       9.0
RC  9228       100.0      16.0      10.1
RC  9228       105.0      15.0       9.1
RC  9228       110.0      13.1       7.0
RC  9228       115.0      13.3       7.4
RC  9228       120.0      10.5       5.1
RC  9228       126.0       7.6       2.0
RC  9228       128.0       7.2       0.6
RC  9228       133.0       7.1       1.3
RC  9228       136.0       6.4       0.4
RC  9228       140.0       6.6       1.0
RC  9228       150.0       9.9       5.5
RC  9228       870.0      11.0       5.2
RC  9228       880.0       9.1       3.7
RC  9228       890.0      11.8       7.2
RC  9228       900.0       6.2       0.3
RC  9228       910.0       6.4       0.5
RC  9228       920.0       6.0       0.0
RC  9228       930.0       6.5       0.7
RC  9228       940.0       7.7       2.6
RC  9228       950.0      12.8       7.4
RC  9228       960.0      16.1       9.5
RC  9228       970.0      18.3      11.0
RC  9228       982.0      12.5       7.1
RC  9228       989.0      14.7       9.1
RC  9228      1000.0      12.0       6.8
RC  9228      1010.0      11.5       6.2
RC  9228      1020.0      12.1       8.0
RC  9228      1030.0      14.6      10.0
RC  9228      1038.0      13.2       8.8
RC  9228      1050.0      12.8       8.4
RC  9228      1060.0      12.8       8.7
RC  9228      1070.0       8.1       2.7
RC  9228      1081.0      11.5       7.1
RC  9228      1090.0      11.6       7.2
RC  9228      1100.0      11.5       5.2
RC  9228      1110.0      12.2       7.4
RC  9228      1120.0      12.9       7.9
RC  9228      1130.0      14.0       7.9
RC  9228      1140.0      12.9       7.3
RC  9228      1150.0      12.6       7.4
RC  9228      1160.0      13.2       7.5

