V23-81       54 15.0 N   16 50.0 W  2393 AOF13B-4CE
 V 23 81         1.0      13.4       8.9
 V 23 81         3.0      14.5       9.6
 V 23 81         5.0      14.4       9.3
 V 23 81         7.0      14.6       9.5
 V 23 81         9.0      15.2      10.1
 V 23 81        15.0      14.1       9.2
 V 23 81        19.0      15.0       9.9
 V 23 81        25.0      14.6       9.4
 V 23 81        29.0      15.0       9.8
 V 23 81        35.0      15.3      10.0
 V 23 81        39.0      14.6       9.8
 V 23 81        45.0      14.2       9.6
 V 23 81        49.0      14.4       9.6
 V 23 81        55.0      14.0       9.1
 V 23 81        59.0      14.3       9.5
 V 23 81        65.0      13.8       9.1
 V 23 81        69.0      13.1       8.3
 V 23 81        75.0      14.1       9.5
 V 23 81        79.0      14.1       9.3
 V 23 81        85.0      15.0      10.2
 V 23 81        89.0      13.8       9.1
 V 23 81        95.0      14.9       9.5
 V 23 81        99.0      13.3       8.6
 V 23 81       105.0      14.3       9.6
 V 23 81       109.0      14.0       9.2
 V 23 81       115.0      13.5       9.0
 V 23 81       119.0      13.9       9.1
 V 23 81       125.0      13.8       9.0
 V 23 81       129.0      13.8       9.2
 V 23 81       135.0      14.1       9.4
 V 23 81       139.0      13.0       8.7
 V 23 81       141.0      13.2       8.7
 V 23 81       143.0      12.2       8.0
 V 23 81       145.0      12.6       7.9
 V 23 81       147.0      13.2       9.0
 V 23 81       149.0      12.1       7.5
 V 23 81       151.0      10.7       6.3
 V 23 81       153.0      10.9       6.4
 V 23 81       155.0       8.0       2.8
 V 23 81       157.0       7.0       1.4
 V 23 81       159.0      11.6       7.4
 V 23 81       161.0      12.6       8.3
 V 23 81       163.0      13.6       9.0
 V 23 81       165.0      13.2       8.3
 V 23 81       167.0      13.1       8.1
 V 23 81       169.0      13.6       8.8
 V 23 81       171.0      12.3       7.7
 V 23 81       173.0      15.2       9.8
 V 23 81       175.0      11.0       6.7
 V 23 81       177.0      12.5       8.7
 V 23 81       179.0      13.5       8.3
 V 23 81       181.0      11.3       7.6
 V 23 81       183.0      14.0       8.4
 V 23 81       185.0      13.3       8.4
 V 23 81       187.0      14.9       9.5
 V 23 81       189.0      12.8       7.3
 V 23 81       191.0      13.7       8.4
 V 23 81       193.0      12.8       7.7
 V 23 81       195.0      12.7       7.3
 V 23 81       197.0      11.9       5.6
 V 23 81       199.0      11.8       5.9
 V 23 81       201.0      13.6       8.2
 V 23 81       203.0      12.9       7.2
 V 23 81       205.0      12.6       7.0
 V 23 81       207.0      12.7       7.3
 V 23 81       210.0      10.9       5.4
 V 23 81       213.0      10.1       4.7
 V 23 81       215.0       9.2       3.8
 V 23 81       225.0       9.2       3.1
 V 23 81       235.0       6.6       0.9
 V 23 81       245.0       7.5       1.9
 V 23 81       255.0       6.7       0.7
 V 23 81       265.0       6.9       1.0
 V 23 81       275.0       6.4       0.4
 V 23 81       285.0       7.1       1.1
 V 23 81       295.0       6.6       0.6
 V 23 81       305.0       7.1       1.2
 V 23 81       315.0       8.6       2.7
 V 23 81       325.0       7.0       1.1
 V 23 81       335.0       6.4       0.5
 V 23 81       345.0       6.4       0.6
 V 23 81       355.0       9.2       2.9
 V 23 81       365.0       9.5       3.8
 V 23 81       375.0       9.7       4.3
 V 23 81       385.0       7.8       1.9
 V 23 81       395.0       9.8       2.8
 V 23 81       409.0       9.4       2.3
 V 23 81       419.0       9.4       2.2
 V 23 81       429.0       9.9       2.6
 V 23 81       439.0      10.9       4.7
 V 23 81       449.0       9.7       2.5
 V 23 81       459.0      11.1       4.1
 V 23 81       469.0      12.5       5.5
 V 23 81       479.0      10.9       3.5
 V 23 81       489.0      11.1       4.1
 V 23 81       499.0       7.8       1.9
 V 23 81       509.0      10.5       2.9
 V 23 81       519.0      10.5       5.1
 V 23 81       529.0      11.2       4.3
 V 23 81       539.0      11.6       4.9
 V 23 81       549.0      11.0       5.2
 V 23 81       559.0      11.8       6.5
 V 23 81       569.0      11.6       6.6
 V 23 81       579.0      12.4       7.7
 V 23 81       589.0      11.1       5.7
 V 23 81       599.0      10.7       3.5
 V 23 81       609.0      10.2       4.7
 V 23 81       619.0      11.6       4.9
 V 23 81       629.0      11.8       5.3
 V 23 81       639.0      12.4       7.7
 V 23 81       649.0      13.6       9.2
 V 23 81       659.0      15.0      10.9
 V 23 81       669.0      10.7       5.0
 V 23 81       679.0      10.4       3.8
 V 23 81       689.0      13.8       8.2
 V 23 81       699.0      13.7       8.5
 V 23 81       709.0      11.9       5.6
 V 23 81       719.0      10.2       4.0
 V 23 81       729.0      10.7       5.6
 V 23 81       739.0       6.4       0.4
 V 23 81       749.0      10.4       5.2
 V 23 81       759.0      13.0       7.2
 V 23 81       769.0       7.8       2.3
 V 23 81       779.0      11.1       4.9

