V23-83       49 52.3 N   24 15.0 W  3871 AOF13B-4CE
               depth    SSTwarm   SSTcold
 V 23 83        10.0      20.8      13.6
 V 23 83        14.0      17.7      11.7
 V 23 83        20.0      21.5      14.0
 V 23 83        28.0      16.9      11.0
 V 23 83        40.0      17.2      10.9
 V 23 83        43.0      14.1       9.8
 V 23 83        52.0      13.4       8.4
 V 23 83        58.0      11.6       6.6
 V 23 83        60.0      11.5       6.7
 V 23 83        74.0       8.7       3.4
 V 23 83        80.0       6.0       0.0
 V 23 83       100.0       6.2       0.2
 V 23 83       120.0       7.7       1.1
 V 23 83       140.0       6.3       0.4
 V 23 83       170.0       9.7       2.4
 V 23 83       180.0      10.5       3.1
 V 23 83       200.0      10.5       4.8
 V 23 83       220.0      12.4       4.0
 V 23 83       225.0      11.3       3.8
 V 23 83       230.0       9.3       2.8
 V 23 83       235.0      10.2       3.7
 V 23 83       240.0       9.8       2.5
 V 23 83       260.0      13.8       7.2
 V 23 83       300.0      12.2       7.9
 V 23 83       320.0      10.7       4.0
 V 23 83       340.0      11.7       5.4
 V 23 83       360.0       6.0       0.0
 V 23 83       380.0       7.3       1.4
 V 23 83       400.0      16.6       9.2
 V 23 83       420.0      17.9      11.1
 V 23 83       440.0      14.1       9.4
 V 23 83       460.0      12.9       8.5
 V 23 83       480.0      11.9       6.4
 V 23 83       500.0      15.7       9.1
 V 23 83       520.0      13.5       8.0
 V 23 83       530.0      15.2       9.2
 V 23 83       540.0      12.7       7.6
 V 23 83       550.0      14.1       7.9
 V 23 83       560.0      16.2      10.8
 V 23 83       570.0      15.6       9.5
 V 23 83       580.0      17.8      10.9
 V 23 83       600.0      19.1      11.5
 V 23 83       620.0      21.5      13.5
 V 23 83       640.0      21.0      12.4
 V 23 83       645.0      20.2      13.6
 V 23 83       650.0      21.6      13.6
 V 23 83       660.0      16.5       9.0
 V 23 83       665.0      18.2      11.4
 V 23 83       670.0       7.1       1.6
 V 23 83       675.0       9.0       3.9
 V 23 83       680.0       7.9       2.5
 V 23 83       690.0       7.8       1.7
 V 23 83       700.0       8.4       2.0
 V 23 83       705.0       6.5       0.5
 V 23 83       720.0       6.7       0.8
 V 23 83       740.0       8.4       2.1
 V 23 83       760.0       6.1       0.1
 V 23 83       780.0      13.6       8.0
 V 23 83       780.0      12.5       8.1
 V 23 83       800.0      15.5       9.1
 V 23 83       800.0      13.0       8.6
 V 23 83       805.0       7.7       2.1
 V 23 83       820.0      12.4       6.3
 V 23 83       820.0      11.7       5.5
 V 23 83       840.0       7.9       2.1
 V 23 83       860.0      10.2       4.6
 V 23 83       880.0       8.5       2.4
 V 23 83       900.0      15.9       8.9
 V 23 83       900.0      15.0       8.8
 V 23 83       920.0      14.9       9.1
 V 23 83       920.0      14.3       8.5
 V 23 83       930.0      16.7       9.2
 V 23 83       930.0      14.9       9.2
 V 23 83       940.0      18.7      11.4
 V 23 83       940.0      17.2      10.9
 V 23 83       950.0      15.3       9.2
 V 23 83       950.0      15.5       9.4
 V 23 83       960.0      18.4      11.0
 V 23 83       980.0      18.0      10.6
 V 23 83       986.0      16.1       9.3
 V 23 83       990.0      17.1      10.0
 V 23 83       990.0      17.8      10.2
 V 23 83       995.0      18.1      10.8
 V 23 83      1000.0      18.5      10.9
 V 23 83      1000.0      17.4       9.9
 V 23 83      1004.0      18.4      10.2
 V 23 83      1008.0      18.3      10.4
 V 23 83      1010.0      18.4      10.8
 V 23 83      1010.0      16.4       8.8
 V 23 83      1014.0      16.9       9.2
 V 23 83      1018.0      14.2       8.7
 V 23 83      1018.0      13.5       8.3
 V 23 83      1020.0      10.6       4.6
 V 23 83      1020.0      10.7       5.9
 V 23 83      1024.0       7.0       1.1
 V 23 83      1026.0       6.2       0.3
 V 23 83      1026.0       6.7       1.0
 V 23 83      1028.0       6.4       0.6
 V 23 83      1030.0       6.5       0.9
 V 23 83      1030.0       6.7       1.0
 V 23 83      1032.0       6.6       0.9
 V 23 83      1036.0      10.9       5.6
 V 23 83      1040.0      13.4       7.1
 V 23 83      1040.0      14.6       9.5
 V 23 83      1044.0      17.5      10.9
 V 23 83      1044.0      18.1      10.4
 V 23 83      1048.0      13.8       7.5
 V 23 83      1048.0      15.3       9.5
 V 23 83      1052.0      17.4      10.2
 V 23 83      1052.0      17.0      10.0
 V 23 83      1055.0      16.2       9.6
 V 23 83      1060.0      15.4       9.0
 V 23 83      1060.0      15.3       9.8
 V 23 83      1064.0      18.7      11.3
 V 23 83      1064.0      15.7       9.4
 V 23 83      1070.0      17.0       9.5
 V 23 83      1070.0      15.3       7.3
 V 23 83      1075.0      15.2       7.0
 V 23 83      1080.0      18.7      10.3
 V 23 83      1080.0      15.0       7.2
 V 23 83      1100.0      16.9      10.5
 V 23 83      1140.0       9.3       4.7


