V29-178      42 50.9 N   25 09.1 W  3448 AOF13B-4CE
 V 29178         5.0      21.2      14.5
 V 29178         8.0      20.6      14.1
 V 29178        15.0      20.5      14.2
 V 29178        17.0      21.4      14.8
 V 29178        24.0      18.6      13.3
 V 29178        26.0      21.2      15.2
 V 29178        29.0      17.9      12.3
 V 29178        32.0      15.9      10.5
 V 29178        34.0      15.9      10.3
 V 29178        40.0      12.6       6.8
 V 29178        45.0      11.0       4.4
 V 29178        49.0      12.7       7.0
 V 29178        55.0      11.9       5.4
 V 29178        65.0      15.6       9.8
 V 29178        85.0      14.1       6.5
 V 29178        95.0      12.1       4.9
 V 29178       105.0      11.3       4.2
 V 29178       115.0      13.3       7.7
 V 29178       125.0      14.0       8.4
 V 29178       135.0      16.6      10.0
 V 29178       145.0      13.8       8.0
 V 29178       155.0      16.7      10.4
 V 29178       160.0      14.5       9.5
 V 29178       160.0      14.6       9.3
 V 29178       164.0      14.6       9.3
 V 29178       170.0      14.7       9.1
 V 29178       176.0      12.8       7.1
 V 29178       180.0      10.9       3.9
 V 29178       185.0      11.9       5.8
 V 29178       195.0      16.8      11.1
 V 29178       205.0      17.6      12.4
 V 29178       215.0      17.5      12.0
 V 29178       225.0      17.2      11.4
 V 29178       235.0      13.7       9.3
 V 29178       245.0      15.7      10.0
 V 29178       255.0      17.6      11.4
 V 29178       265.0      16.5      10.7
 V 29178       275.0      18.8      12.4
 V 29178       285.0      18.2      11.6
 V 29178       295.0      17.1      11.2
 V 29178       305.0      22.5      14.9
 V 29178       315.0      20.8      15.3
 V 29178       325.0      22.1      15.6
 V 29178       335.0      16.7      10.3
 V 29178       345.0      14.2       7.8
 V 29178       355.0      17.9      10.3
 V 29178       365.0      14.2       9.7
 V 29178       375.0      17.8      11.3
 V 29178       385.0      16.3      10.6
 V 29178       395.0      12.5       7.1
 V 29178       405.0      13.8       9.3
 V 29178       415.0      15.9      11.3
 V 29178       425.0      18.2      11.3
 V 29178       435.0      21.3      14.4
 V 29178       445.0      19.7      13.3
 V 29178       455.0      21.2      13.4
 V 29178       465.0      17.3      11.1
 V 29178       475.0      19.4      12.2


