# Holocene and Last Interglacial Regional SST Stacks and Western Pacific Mg/Ca SST Data																					
#-----------------------------------------------------------------------																					
"#               World Data Service for Paleoclimatology, Boulder"																					
#                                   and																					
#                      NOAA Paleoclimatology Program																					
#-----------------------------------------------------------------------																					
# Template Version 3.0																					
# Encoding: UTF-8																					
"# NOTE: Please cite original publication, online resource and date accessed when using this data."																					
"# If there is no publication information, please cite Investigator, title, online resource and date accessed."																					
#																					
# Description/Documentation lines begin with #																					
# Data lines have no #																					
#																					
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31752																					
#      Description: NOAA Landing Page																					
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/bova2020/bova2020-u1485-sst.txt																					
#      Description: NOAA location of the template																					
#																					
#																					
# Data_Type: Paleoceanography																					
#																					
# Dataset_DOI:																					
#																					
"# Parameter_Keywords: trace metals in carbonates, age control, geochemistry"																					
#---------------------------------------																					
# Contribution_Date																					
#    Date: 2020-11-04																					
#---------------------------------------																					
# File_Last_Modified_Date																					
#    Date: 2020-11-04																					
#---------------------------------------																					
# Title																					
#    Study_Name: Holocene and Last Interglacial Regional SST Stacks and Western Pacific Mg/Ca SST Data																					
#---------------------------------------																					
# Investigators																					
"#      Investigators: Bova, S.; Rosenthal, Y.; Liu, Z.; Godad, S.; Yan, M."																					
#---------------------------------------																					
# Description_Notes_and_Keywords																					
#        Description: 																					
"#         Provided Keywords: Holocene, last interglacial, Western Pacific Warm  Pool"																					
#---------------------------------------																					
# Publication																					
"# Authors: Bova, S.; Rosenthal, Y.; Liu, Z.; Godad, S.; Yan, M."																					
# Published_Date_or_Year: 2020																					
# Published_Title: Seasonal origin for the Holocene and last interglacial thermal maxima 																					
# Journal_Name:																					
# Volume: in review																					
# Edition: 																					
# Issue: 																					
# Pages: 																					
# Report_Number: 																					
# DOI: 																					
# Online_Resource: 																					
# Full_Citation: 																					
# Abstract: 																					
#---------------------------------------																					
# Funding_Agency																					
#    Funding_Agency_Name: National Science Foundation																					
#    Grant: OCE-1834208																					
#---------------------------------------																					
# Funding_Agency																					
#    Funding_Agency_Name: US Science Support Program International Ocean Discovery Program (USSSP IODP)																					
#    Grant: 																					
#---------------------------------------																					
# Site_Information																					
# Site_Name: IODP U1485																					
# Location: Western Pacific Ocean																					
# Northernmost_Latitude: -3.1																					
# Southernmost_Latitude: -3.1																					
# Easternmost_Longitude: 142.7																					
