Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction

LAST UPDATE: 1/2005 (Original Receipt by WDC Paleo)
CONTRIBUTOR: Thibault de Garidel-Thoron, Rutgers University
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-012


SUGGESTED DATA CITATION: de Garidel-Thoron, T., et al.  2005.
Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-012. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
de Garidel-Thoron, T., Y. Rosenthal1, F. Bassinot, and L. Beaufort. 2005.  
Stable sea surface temperatures in the western Pacific warm pool 
over the past 1.75 million years.  
Nature Vol. 433, No.7023, pp. 294-298 (20 January 2005); doi:10.1038/nature03189 


ABSTRACT:
About 850,000 years ago, the period of the glacial cycles changed
from 41,000 to 100,000 years. This mid-Pleistocene climate
transition has been attributed to global cooling, possibly caused
by a decrease in atmospheric carbon dioxide concentrations.
However, evidence for such cooling is currently restricted to the
cool upwelling regions in the eastern equatorial oceans,
although the tropical warm pools on the western side of the
ocean basins are particularly sensitive to changes in radiative
forcing. Here we present high-resolution records of sea surface
temperatures spanning the past 1.75 million years, obtained from
oxygen isotopes and Mg/Ca ratios in planktonic foraminifera
from the western Pacific warm pool. In contrast with the eastern
equatorial regions, sea surface temperatures in the western
Pacific warm pool are relatively stable throughout the Pleistocene
epoch, implying little long-term change in the tropical net
radiation budget. Our results challenge the hypothesis of a
gradual decrease in atmospheric carbon dioxide concentrations
as a dominant trigger of the longer glacial cycles since 850,000
years ago. Instead, we infer that the temperature contrast across
the equatorial Pacific Ocean increased, which might have had a
significant influence on the mid-Pleistocene climate transition.


PERIOD OF RECORD:  1.75 MMYrBP - present
GEOGRAPHIC REGION: Western Pacific Warm Pool 


DESCRIPTION:  
This dataset is a high-resolution Pleistocene record (0-1.75Myr ago, 
Marine Isotopic Stages Marine Isotopic Stage 1 to MIS 59) of paired 
d18O and Mg/Ca measurements in planktonic foraminifera 
(Globigerinoides ruber, 250-300mm, white) from the IMAGES core MD97-2140 
located in the heart of the Western Pacific warm pool.

Core MD97-2140:  2°02'N   141° 46'E    2547m. depth



DATA:
Column 1: Depth (cm)  
Column 2: Composite depth (cm)
Column 3: Age (ka BP)
Column 4: d18 ruber (p.mil vs PDB)
Column 5: Mg/Ca ruber (mmol/mol)
Column 6: SST (deg.C)	


   Depth  DepthCmp.   Age    d18O    Mg/Ca     SST 
       1       1       6    -2.41
      10      10       7    -2.47     4.6      28.7
      20      20       8    -2.45       5      29.7
      30      30      10    -2.48     4.7        29
      40      40      11    -2.34     4.5      28.6
      50      50      12    -2.36     4.5      28.4
      60      60      14    -2.17     4.4      28.3
      70      70      15       -2     4.3        28
      80      80      16    -1.47     4.2      27.7
      90      90      18              3.7      26.5
     100     100      19    -1.22     3.4      25.6
     110     110      20    -1.48     3.7      26.3
     120     120      22    -1.05     3.9        27
     130     130      23    -1.27     3.8      26.7
     140     140      24    -1.33
     150     150      26    -1.21     3.7      26.5
     160     160      27    -1.61     3.6      26.2
     170     170      28    -1.43     3.5        26
     180     180      29    -1.74     3.6        26
     190     190      31    -1.37     4.1      27.5
     200     200      32    -1.52     3.9      26.9
     210     210      33    -1.58     3.8      26.8
     220     220      35    -1.64     3.8      26.6
     230     230      36    -1.41     3.7      26.3
     240     240      37    -1.83       4      27.3
     250     250      39    -1.48     3.6      26.3
     260     260      40    -1.65     3.8      26.6
     270     270      41    -1.69     3.6      26.2
     280     280      43    -1.64     3.7      26.6
     290     290      44    -1.85     3.8      26.8
     300     300      45    -1.82     3.9      27.1
     310     310      47    -1.79     3.7      26.5
     320     320      48    -1.86     3.6      26.1
     330     330      49    -1.73     3.9      27.1
     340     340      50    -1.64     3.9      27.1
     350     350      52    -1.92     3.8      26.8
     360     360      53    -1.92     4.3      27.9
     370     370      54    -1.77     3.8      26.8
     380     380      56    -1.34     3.8      26.6
     390     390      57     -1.6     3.7      26.5
     400     400      61    -1.61     3.8      26.7
     410     410      65    -1.51     3.5      25.9
     420     420      69    -1.68     3.7      26.4
     430     430      70    -1.75
     440     440      72    -2.16     3.8      26.6
     450     450      73    -2.09     3.8      26.8
     460     460      74    -1.77     3.8      26.7
     470     470      76    -2.15     4.2      27.8
     480     480      77    -2.23     4.2      27.8
     490     490      78    -2.12       4      27.2
     500     500      80    -2.17     3.9        27
     510     510      81    -2.29     4.1      27.6
     520     520      82    -2.08     3.8      26.7
     530     530      84     -2.1     3.8      26.8
     540     540      85    -1.87       4      27.3
     550     550      88     -2.2     4.3        28
     560     560      92    -2.33       4      27.3
     570     570      95    -2.27     4.2      27.7
     580     580      99    -1.98     4.3        28
     590     590     102    -2.26     4.1      27.5
     600     600     106    -2.44     4.6      28.7
     610     610     109    -2.13     4.5      28.4
     620     620     112    -2.46     4.1      27.6
     630     630     115     -2.4     4.6      28.7
     640     640     118    -2.52     4.9      29.3
     650     650     121     -2.5     4.9      29.5
     660     660     124    -1.98
     670     670     127    -1.88
     680     680     131    -1.31     4.3      27.9
     690     690     134    -1.11     3.6      26.3
     700     700     136    -1.48     4.2      27.9
     710     710     138    -1.22     3.9      26.9
     720     720     140    -1.35     3.6      26.2
     730     730     142    -1.36     3.9      27.1
     740     740     143    -1.64     3.9      27.1
     751     751     146    -1.47     3.7      26.5
