# Eastern Equatorial Pacific SST Reconstrucition during the last 1.5 Million Years
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20630
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/dyez2016/dyez2016-sst-gradient.txt
#
# Archive: Paleoceanography
#
# Parameter_Keywords: biomarkers, oxygen isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2017-02-15
#---------------------------------------
# Title
#    Study_Name: Eastern Equatorial Pacific SST Reconstrucition during the last 1.5 Million Years
#---------------------------------------
# Investigators
#      Investigators: Dyez, Kelsey; Ravelo, A. Christina; Mix, Alan. C.
#---------------------------------------
# Description and Notes
#        Description: Alkenone-based sea surface temperatures and age model based on benthic oxygen isotopes. Study covers 1.5 Ma to present.
#---------------------------------------
# Publication
# Authors: Dyez, K.A., A.C. Ravelo, and A.C. Mix
# Published_Date_or_Year: 2016
# Published_Title: Evaluating drivers of Pleistocene eastern tropical Pacific sea surface temperature
# Journal_Name: Paleoceanography
# Volume: 31
# Edition: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1002/2015PA002873
# Online_Resource: 
# Full_Citation: 
# Abstract: Sea surface temperature (SST) of the eastern equatorial Pacific is a key component of tropical oceanic and atmospheric circulation with global teleconnections. Forcing factors such as local and high-latitude insolation changes, ice sheet size and albedo feedbacks, and greenhouse gas radiation have been proposed as controls of long-term eastern tropical Pacific SST, though the precise role each mechanism plays is not fully known on glacial-interglacial or longer timescales. Here proposed mechanisms are evaluated by comparing orbital-scale records of eastern Pacific SST with forcing variability over the past 1.5 Ma. The primary SST records are a compilation of new and existing data from Ocean Drilling Program Site 1239 at the northeastern margin of the modern eastern Pacific cold tongue and Site 846 SST within the cold tongue. Using time series analysis, we test previously proposed mechanisms for control of long-term tropical SST change and SST gradients in the eastern Pacific. We find that within statistical uncertainties, in the precession band eastern Pacific SST is consistent with direct forcing by equatorial radiation changes in the tropical cold season (summer-fall) rather than inversely correlated as previously suggested. In the obliquity band high-latitude solar forcing leads or is in phase with eastern equatorial Pacific SST, while in the eccentricity band atmospheric greenhouse gas concentrations are closely associated with cold tongue SST. Pleistocene eastern Pacific SST gradients indicate that the gradient on the northern margin of the cold tongue strengthened through the mid-Pleistocene transition, a result compatible with the cold tongue becoming more focused at ~900–650 ka
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Consortium for Ocean Leadership
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: OCE-623419
#---------------------------------------
# Site Information
# Site_Name: ODP 1239
# Location: Eastern Equatorial Pacific
# Country: 
# Northernmost_Latitude: -0.672
# Southernmost_Latitude: -0.672
# Easternmost_Longitude: -82.081
# Westernmost_Longitude: -82.081
# Elevation: -1414
#---------------------------------------
# Data_Collection
#   Collection_Name: ODP1239-ODP846 SST Dyez16
#   First_Year: 1500000
#   Last_Year: 0
#   Time_Unit: cal yr BP
#   Core_Length: 
#   Notes: SST Difference from ODP 846 (3.1 S, 90.82 W, 3296m)
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_ka-inter	age,,,kiloyears before 1950AD,,paleoceanography,interpolated to 1ky ,,N
## SST-Uk37-1239	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,from ODP1239,,N
## SST-Uk37-846	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,from ODP846,,N
## SST-Uk37-diff	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,difference between ODP1239 and ODP846,,N
## SST-Uk37-diff-100	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,difference between ODP1239 and ODP846,100-kyr running mean,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
age_ka-inter	SST-Uk37-1239	SST-Uk37-846	SST-Uk37-diff	SST-Uk37-diff-100	
0	25.64	22.83	2.80	NA	
1	25.62	22.88	2.74	NA	
2	25.48	22.92	2.56	NA	
3	25.29	22.96	2.33	NA	
4	25.04	23.00	2.04	NA	
5	24.92	23.04	1.88	NA	
6	24.94	23.08	1.86	NA	
7	24.90	23.13	1.77	NA	
8	24.93	23.17	1.76	NA	
9	24.84	23.08	1.76	NA	
10	24.62	22.62	2.00	NA	
11	24.46	22.15	2.31	NA	
12	24.26	21.91	2.35	NA	
13	23.94	21.79	2.15	NA	
14	23.65	21.66	1.99	NA	
15	23.53	21.54	2.00	NA	
16	23.05	21.43	1.62	NA	
17	23.18	21.52	1.67	NA	
18	23.28	21.65	1.63	NA	
19	23.35	21.60	1.75	NA	
20	23.52	21.42	2.10	NA	
21	23.51	21.29	2.22	NA	
22	23.53	21.24	2.29	NA	
23	23.55	21.19	2.36	NA	
24	23.50	20.96	2.54	NA	
25	23.47	20.67	2.80	NA	
26	23.52	20.56	2.95	NA	
27	23.75	20.52	3.23	NA	
28	23.39	20.56	2.83	NA	
29	23.49	20.65	2.84	NA	
30	24.03	20.68	3.35	NA	
31	24.38	20.63	3.75	NA	
32	24.23	20.68	3.55	NA	
33	24.25	20.84	3.41	NA	
34	24.29	21.06	3.23	NA	
35	24.36	21.31	3.05	NA	
36	24.38	21.32	3.06	NA	
37	24.35	21.22	3.13	NA	
38	24.27	21.20	3.07	NA	
39	24.25	21.22	3.03	NA	
40	24.04	21.33	2.71	NA	
41	23.91	21.42	2.49	NA	
42	23.67	21.49	2.18	NA	
43	23.68	21.55	2.13	NA	
44	23.77	21.60	2.18	NA	
45	23.84	21.60	2.24	NA	
46	23.83	21.60	2.23	NA	
47	23.30	21.63	1.68	NA	
48	23.03	21.80	1.23	NA	
49	23.07	22.00	1.07	NA	
50	23.20	22.17	1.03	2.38	
51	23.39	22.13	1.25	2.38	
52	23.64	22.13	1.51	2.38	
53	23.75	22.21	1.54	2.38	
54	23.85	22.43	1.43	2.39	
55	23.96	22.58	1.39	2.40	
56	24.10	22.52	1.58	2.41	
57	24.34	22.46	1.88	2.42	
58	24.40	22.38	2.02	2.44	
59	24.36	22.16	2.19	2.45	
60	24.13	22.04	2.09	2.46	
61	24.11	22.14	1.96	2.47	
62	24.05	22.15	1.91	2.48	
63	23.99	22.04	1.94	2.49	
64	23.98	22.06	1.92	2.51	
65	24.03	22.16	1.87	2.52	
66	24.35	22.10	2.25	2.54	
67	24.53	22.10	2.43	2.55	
68	24.44	22.14	2.30	2.57	
69	24.39	22.23	2.16	2.58	
70	24.52	22.31	2.21	2.59	
71	24.54	22.39	2.15	2.59	
72	24.43	22.47	1.96	2.60	
73	24.53	22.48	2.05	2.59	
74	24.65	22.44	2.21	2.58	
75	25.42	22.41	3.01	2.58	
76	25.77	22.51	3.25	2.56	
77	26.08	22.65	3.43	2.56	
78	25.64	22.79	2.86	2.55	
79	25.73	22.93	2.80	2.55	
80	26.24	23.06	3.18	2.55	
81	26.11	23.20	2.91	2.55	
82	25.90	23.27	2.63	2.55	
83	25.99	23.19	2.79	2.55	
84	26.00	23.11	2.89	2.55	
85	25.90	23.03	2.86	2.55	
86	25.92	23.00	2.92	2.55	
87	25.99	23.00	2.99	2.55	
88	25.99	23.00	2.99	2.54	
89	25.88	23.00	2.88	2.54	
90	25.75	22.97	2.79	2.55	
91	25.68	22.93	2.74	2.55	
92	25.69	22.90	2.78	2.55	
93	25.70	22.90	2.80	2.55	
94	25.60	22.90	2.70	2.55	
95	25.57	22.90	2.67	2.55	
96	25.59	22.95	2.64	2.56	
97	25.72	23.12	2.60	2.57	
98	25.74	23.17	2.56	2.58	
99	25.57	23.12	2.45	2.60	
100	25.53	23.04	2.49	2.62	
101	25.58	22.96	2.62	2.64	
102	25.53	22.85	2.67	2.66	
103	25.48	22.71	2.77	2.68	
104	25.41	22.56	2.85	2.70	
105	25.42	22.42	3.00	2.72	
106	25.54	22.32	3.22	2.74	
107	25.59	22.43	3.16	2.75	
108	25.65	22.57	3.08	2.76	
109	25.61	22.71	2.89	2.77	
110	25.72	22.76	2.96	2.77	
111	25.77	22.67	3.10	2.77	
112	25.73	22.58	3.15	2.77	
113	25.84	22.53	3.32	2.78	
114	26.40	22.63	3.77	2.79	
115	26.39	22.75	3.64	2.80	
116	26.50	22.87	3.63	2.81	
117	26.49	23.14	3.35	2.82	
