# NOAA Paleoclimatology Program - Paleocean Site Data
# e11-2m-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             T.A. Mashiotta
# Core/Site:      E11-2
# Latitude:       56.04.23S	( -56.07306)
# Longitude:      115.05.35W	( -115.0931)
# Water Depth(m): 3111
#
# Publications:
#   Mashiotta, T.A., D.W. Lea, and H.J. Spero. 1999. Glacial-interglacial changes
#     in Subantarctic sea surface temperature and d18O-water using foraminiferal Mg.
#     Earth and Planetary Science Letters 170:417-432.
#------------------
#
# Description & Notes:
#   Subantarctic sea surface temperatures and salinity change.
#   Data precision: Mg/Ca, ±2.1%; SST (est.), ±1°C; O18w (est.), ±0.2 
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             Mg/Ca-n.pachy-l         Magnesium/Calcium ratio (Neogloboquadrina pachyderma (left-coiling)) 
#             sst-mg/ca     Sea surface temperature from Mg/Ca (C)
#             d18On.pachy-l delta O18 PDB (Neogloboquadrina pachyderma (left coiling))
#             d18Osmow      delta O18 SMOW
#
# CORE: E11-2
depth	calyrBP 	Mg/Ca-n.pachy-l	sst-mg/ca	d18On.pachy-l	d18Osmow	
11	8110	0.583	4.4	-999	-999	
27.5	10180	0.576	4.2	2.51	-0.33	
38.5	11560	0.639	5.5	2.59	0.07	
49.5	12940	0.623	5.2	2.8	0.2	
58.5	14050	0.607	4.9	3	0.32	
70.5	15530	0.591	4.5	3.16	0.4	
80.5	16730	0.55	3.7	3.23	0.23	
91.5	18000	0.508	2.7	3.83	0.57	
102.5	18990	0.476	1.9	3.79	0.33	
110.5	19550	0.512	2.8	3.76	0.53	
121.5	20200	0.468	1.7	3.83	0.3	
131.5	20740	0.553	3.7	3.79	0.81	
142.5	21320	0.484	2.1	3.68	0.27	
150.5	21740	0.501	2.5	3.56	0.26	
161.5	22330	0.503	2.6	3.44	0.16	
170.5	22830	0.569	4.1	3.51	0.63	
180.5	23400	0.517	2.9	3.5	0.31	
190.5	24000	0.529	3.2	3.47	0.35	
201.5	24690	0.511	2.8	3.51	0.27	
212.5	25400	0.495	2.4	3.52	0.18	
222.5	25890	0.498	2.5	3.61	0.3	
231.5	26570	0.503	2.6	3.55	0.26	
241.5	27380	0.559	3.9	3.47	0.53	
251.5	28080	0.529	3.2	3.43	0.31	
262.5	28870	0.522	3	3.34	0.18	
272.5	29610	0.455	1.4	3.46	-0.16	
282.5	30360	0.526	3.1	3.42	0.28	
291.5	31090	0.52	3	3.5	0.32	
302.5	32070	0.53	3.2	3.33	0.22	
312.5	33060	0.518	3	3.39	0.2	
321.5	34160	0.527	3.1	3.38	0.24	
332.5	35690	0.527	3.2	3.3	0.17	
342.5	37000	0.534	3.3	3.29	0.2	
351.5	37900	0.518	2.9	3.39	0.2	
361.5	38480	0.533	3.3	3.43	0.33	
371.5	38980	0.51	2.8	3.42	0.18	
381.5	39500	0.524	3.1	3.36	0.2	
390.5	39990	0.5	2.5	3.4	0.09	
401.5	40600	0.512	2.8	3.42	0.19	
411.5	41170	0.516	2.9	3.27	0.07	
421.5	41770	0.476	1.9	3.29	-0.18	
431.5	42400	0.528	3.2	3.11	-0.01	
441.5	43040	0.54	3.5	3.19	0.14	
450.5	43640	0.513	2.8	3.26	0.03	
460.5	44340	0.506	2.7	3.31	0.04	
470.5	45170	0.506	2.7	3.12	-0.15	
480.5	46200	0.542	3.5	3.15	0.11	
492.5	47580	0.514	2.9	3.2	-0.01	
502.5	48760	0.487	2.2	3.13	-0.26	
512.5	49920	0.583	4.4	3.08	0.28	
522.5	51040	0.559	3.9	2.98	0.04	
531.5	52010	0.551	3.7	3	0.02	
541.5	52950	0.575	4.2	3.08	0.22	
551.5	53810	0.508	2.7	3.04	-0.22	
561.5	54460	0.539	3.4	3.03	-0.03	
571.5	55030	0.519	3	3.23	0.04	
581.5	55560	0.525	3.1	3.12	-0.03	
591.5	56120	0.596	4.6	3.22	0.49	
611.5	57760	0.566	4	3.03	0.13	
621.5	58920	0.581	4.3	3.11	0.29	
631.5	59930	0.562	3.9	3.27	0.35	
641.5	60220	0.575	4.2	3.43	0.58	
651.5	61070	0.533	3.3	3.4	0.3	
671.5	62890	0.554	3.8	3.45	0.48	
681.5	63760	0.538	3.4	3.46	0.4	
691.5	64580	0.534	3.3	3.56	0.47	
701.5	65370	0.554	3.8	3.35	0.38	
