# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-17-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-17
# Latitude:       48.17.00S	( -48.28333)
# Longitude:      90.15.00E	( 90.25)
# Water Depth(m): 3542
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.bull%       Globigerina bulloides percent
#             g.infla%      Globorotalia inflata percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             g.glut%       Globigerinita glutinata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.falco%      Globigerina falconensis percent
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.hirsu%      Globorotalia hirsuta percent
#             o.univer%     Orbulina universa percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.calid%      Globigerina calida percent
#             g.scit%       Globorotalia scitula percent
#             g.aequi%      Globigerinella aequilateralis percent
#
# CORE: E49-17
depth	yrBP 	carb%	cfrac%>150	d13C	d18O	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.bull%	g.infla%	g.trc-l%	n.pachy-l%	n.pachy-r%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	pd%	g.glut%	g.quinq%	g.trc-r%	g.falco%	g.crass%	g.digit%	g.hirsu%	o.univer%	g.duter%	g.calid%	g.scit%	g.aequi%	notes
17	25000	9.6	2	0.79	3.37	3.01	0.08	0.03	34	12	4	765	560	23.7	25.8	0.4	49.8	0.4	288	450	61	0.125	3.37	1.4	6.37	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
27	-999	20.2	5.1	0.33	3.34	3.16	0.06	0.01	48.9	17	2.7	3101	640	20.7	13.9	-999	64.3	0.3	612	480	44	0.0625	2.63	1.6	6.06	2.1	0.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
37	-999	18.5	4.4	0.23	3.33	2.57	0.05	0.02	74.5	6	1.5	5074	140	21.2	11.4	0.3	64.2	1.5	408	140	25.6	0.0313	2.63	1.6	6.06	2.1	1.2	0.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
47	-999	29.7	6.7	0.26	3.32	2.57	0.08	0.03	69.9	11	2.3	5787	200	30.2	12.3	0.4	53.9	1.5	465	80	14.7	0.0313	2.93	1.6	6.59	1.7	1.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
57	-999	18.2	4.7	0.45	3.47	2.83	0.05	0.02	60.5	11	2.9	4162	240	19.4	7.6	0.3	70.6	1.1	368	140	27.6	0.0313	2.24	1.1	5.51	1.7	0.8	0.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
67	-999	28.2	6	0.06	3.42	3.13	0.06	0.02	69.2	3	0.6	5272	230	31.6	3.7	0.8	60.5	0.6	517	120	18.8	0.0313	2.74	1.3	6.71	2.1	1.4	0.8	0.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
77	-999	24.5	4.9	-0.05	3.46	3.66	0.06	0.02	46.9	30	5.8	2123	550	30.9	10.5	0.8	56	1.2	486	440	47.5	0.0625	3.06	1.4	6.51	1.8	0.2	0.2	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	
87	-999	-999	-999	0.32	3.54	-999	0.06	0.02	-999	-999	-999	2052	-999	22.4	19.1	0.6	55.8	0.8	486	-999	-999	-999	2.85	1.4	6.19	1.8	1.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
87	-999	21.3	9.8	0.54	3.27	3.79	-999	-999	70.9	43	8.1	-999	200	-999	-999	-999	-999	-999	-999	430	46.9	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
97	-999	19.3	4.9	0.67	3.37	2.68	0.08	0.03	38.4	15	3.2	2673	720	32	15.2	1.8	47.9	1.8	448	290	39.3	0.0625	3	1.6	6.52	1.7	1.1	-999	-999	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	
107	-999	29.5	8.5	0.67	3.35	2.8	0.09	0.03	42.4	11	2.6	4786	570	31.8	14.8	2.6	47.6	0.7	419	100	19.3	0.0313	3.24	1.4	6.72	1.6	2.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
