# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-23-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-23
# Latitude:       47.07.00S	( -47.11667)
# Longitude:      95.05.00E	( 95.08334)
# Water Depth(m): 3206
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             drysedwtg     Dry sediment weight (g)
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             foramsfrag    Foraminifers Fragments
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             Dsqchord      Squared-chord distance
#             forams/g      Foraminifers per gram
#             g.bull%       Globigerina bulloides percent
#             g.glut%       Globigerinita glutinata percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.scit%       Globorotalia scitula percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.falco%      Globigerina falconensis percent
#             o.univer%     Orbulina universa percent
#
# CORE: E49-23
depth	yrBP 	carb%	cfrac%>150	drysedwtg	forams%	forams-b	forams-b%	foramsfrag	radio	radio%	split	d13C	d18O	Dsqchord	Dsqchord_err	forams/g	g.bull%	g.glut%	g.infla%	g.quinq%	g.trc-l%	n.pachy-l%	n.pachy-r%	pd%	plank	sst-aug	sst-aug_err	sst-feb	sst-feb_err	g.crass%	g.digit%	g.scit%	g.trc-r%	g.falco%	o.univer%	notes
7	-999	90.1	25.1	2.12	91.1	5	0.3	90	640	3.5	0.125	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
8	4000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-0.26	2.39	0.05	0.02	17094	49.2	6.3	17.3	2	1.7	17.6	3	3	307	6.09	1.5	7.96	1.4	-999	-999	-999	-999	-999	-999	
11	-999	12.4	1.8	2.48	74.2	32	1.9	60	1000	71.2	0.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
12	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.12	2.43	0.07	0.02	980	34.5	4.7	12.4	0.4	0.4	43.4	2.7	-999	259	4.02	1.1	7.02	1.4	1.6	-999	-999	-999	-999	-999	
18	-999	12.5	1.2	2.32	90.5	9	5.3	120	1000	63.6	0.25	-0.02	2.78	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
19	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.04	0.02	462	29.4	2.3	10.3	0.9	1.8	53.8	0.5	0.9	573	3.51	1.5	6.77	1.6	-999	0.2	-999	-999	-999	-999	
28	19000	12.1	1	1.88	70.7	3	3	70	730	77.6	0.25	0.28	3.87	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 2.2
29	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.01	498	11.1	0.7	1.7	-999	-999	84.4	1.7	0.4	289	1.99	0.8	4.71	1.9	-999	-999	-999	-999	-999	-999	
38	-999	12.6	1	2.15	86.7	36	0.7	20	70	61.6	0.5	0.1	3.12	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
39	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.04	0.03	973	13.6	1.1	4.2	0.4	1.1	77.1	1.1	1.1	456	2.82	1.8	5.87	1.8	0.2	-999	-999	-999	-999	-999	
48	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.29	3.64	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
49	-999	15.4	1	2.23	93.8	19	10.6	20	20	18.7	0.25	-999	-999	0.05	0.02	282	12.9	0.3	7.3	-999	0.3	77.6	1.7	-999	304	2.04	1	5.28	1.7	-999	-999	-999	-999	-999	-999	
58	-999	23.9	1.2	2.6	94.8	17	5	410	310	5.2	0.0625	0.24	3.53	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
59	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.01	652	9.7	0.8	4.1	0.3	0.8	83.7	0.3	-999	363	1.68	0.8	4.55	1.7	0.3	-999	-999	-999	-999	-999	
68	-999	31.7	4.5	2.72	53	20	3.5	580	400	40.1	0.0625	0.5	3.31	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
69	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.02	2853	15.2	0.4	8.8	-999	-999	63.6	1.1	0.4	463	2	1	5.1	1.7	10.4	-999	-999	-999	-999	-999	
78	-999	40.4	4.3	2.99	50	17	3.3	370	460	40.8	0.0625	0.48	3.88	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
79	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.02	3420	17.8	-999	8.6	0.3	-999	71.4	0.9	1	581	2	1	5.1	1.7	-999	-999	-999	-999	-999	-999	
88	-999	26.9	4.2	2.69	60.3	5	2.9	140	370	45	0.0625	0.21	3.58	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
89	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.09	0.02	3013	34.9	-999	7.5	1.1	-999	54.9	0.2	1.1	563	3.71	1.9	7.05	2	0.4	-999	-999	-999	-999	-999	
98	-999	24.2	2	2.59	73.7	6	1.3	120	300	48.5	0.0625	0.35	3.76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
99	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.04	0.01	2336	5.3	0.3	5.1	-999	0.3	88.3	0.5	0.3	393	1.72	0.8	4.1	1.7	-999	-999	-999	-999	-999	-999	
108	-999	21.8	2.1	2.21	79	6	1.3	110	280	39.9	0.0625	0.28	3.72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
109	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.04	0.01	2798	4.5	-999	2.2	-999	-999	91.5	0.9	0.9	452	1.11	1	3.96	2	-999	-999	-999	-999	-999	-999	
