# NOAA Paleoclimatology Program - Paleocean Site Data
# gb10083-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ralph R. Schneider
# Core/Site:      GeoB10083
# Latitude:       6.34.54S	( -6.58167)
# Longitude:      10.19.06E	( 10.31833)
# Water Depth(m): 3124
#
# Publications:
#   Schneider, R.R., P.J. Mueller, and G. Ruhland. 1995. Late Quaternary surface
#     circulation in the east-equatorial South Atlantic: evidence from alkenone sea
#     surface temperatures. Paleoceanography 10:197-219.
#------------------
#
# Description & Notes:
#   South Atlantic circulation during the late Quaternary.
#   Geosciences Bremen SST estimates derived from the alkenone unsaturation index
#   (U-k-37, after Brassell et al, 1986) with the temperature calibration of PRAHL,
#   et al.(1988):SST=(Uk37-0.039)/0.034). SST & UK37 data measured 7/15/93.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.rub250-350            delta O18 PDB (Globigerinoides ruber 250-350 micron)
#             sst           Sea Surface Temperature (C)
#             uk37          Alkenone saturation index
#             d18Og.bull250-350           delta O18 PDB (Globigerina bulloides 250-350 micron)
#
# CORE: GeoB10083
depth	yrBP 	Analysis_Date	d18Og.rub250-350	d18Og.rub250-350_err	sst	sst_err	uk37	d18Og.bull250-350	d18Og.bull250-350_err	
3	400	1991-06-15	-1.63	0.08	25.5	0.3	0.905	-999	-999	
8	1100	1991-06-15	-1.57	0.08	-999	-999	-999	-999	-999	
13	1800	1991-06-15	-1.53	0.08	-999	-999	-999	-999	-999	
18	2500	1993-02-10	-1.36	0.08	-999	-999	-999	-999	-999	
23	3200	-999	-1.85	0.08	25.6	0.3	0.909	-1.3	0.08	
28	3900	-999	-1.9	0.08	-999	-999	-999	-999	-999	
33	4600	-999	-1.46	0.08	-999	-999	-999	-1.15	0.08	
38	5300	-999	-1.77	0.08	-999	-999	-999	-1.28	0.08	
43	6000	-999	-2.1	0.08	25.6	0.3	0.91	-999	-999	
48	6500	-999	-2.04	0.08	-999	-999	-999	-1.24	0.08	
53	7000	-999	-1.68	0.08	-999	-999	-999	-0.6	0.08	
58	7500	-999	-1.77	0.08	-999	-999	-999	-999	-999	
63	8000	-999	-1.69	0.08	25.7	0.3	0.914	-0.72	0.08	
68	8500	-999	-1.9	0.08	-999	-999	-999	-0.8	0.08	
73	9000	-999	-1.94	0.08	-999	-999	-999	-999	-999	
78	9500	-999	-1.96	0.08	-999	-999	-999	-999	-999	
83	10000	-999	-2.1	0.08	24.4	0.3	0.868	-1.36	0.08	
88	10300	-999	-1.92	0.08	-999	-999	-999	-1.19	0.08	
93	10600	-999	-1.88	0.08	-999	-999	-999	-999	-999	
98	10900	-999	-1.7	0.08	25.1	0.3	0.891	-1.04	0.08	
103	11200	-999	-1.25	0.08	-999	-999	-999	-999	-999	
108	11500	-999	-1.11	0.08	-999	-999	-999	-0.22	0.08	
113	11800	-999	-1.35	0.08	24.8	0.3	0.883	-999	-999	
118	12200	-999	-1.04	0.08	-999	-999	-999	-0.4	0.08	
123	12500	-999	-0.89	0.08	-999	-999	-999	-999	-999	
128	12800	-999	-1.22	0.08	-999	-999	-999	-0.57	0.08	
133	13200	-999	-1.12	0.08	-999	-999	-999	-999	-999	
138	13500	-999	-1.09	0.08	23.3	0.3	0.83	-0.53	0.08	
143	13800	-999	-0.89	0.08	-999	-999	-999	-999	-999	
148	14200	-999	-0.99	0.08	-999	-999	-999	-0.33	0.08	
153	14500	-999	-0.76	0.08	-999	-999	-999	-999	-999	
158	14800	-999	-1.06	0.08	23.4	0.3	0.835	-0.42	0.08	
163	15200	-999	-0.41	0.08	-999	-999	-999	-999	-999	
168	15500	-999	-0.17	0.08	22.6	0.3	0.806	0.45	0.08	
173	15800	-999	-0.32	0.08	-999	-999	-999	-999	-999	
178	16100	-999	-0.5	0.08	-999	-999	-999	0.69	0.08	
183	16500	-999	-0.38	0.08	22.1	0.3	0.791	-999	-999	
188	16800	-999	-0.82	0.08	-999	-999	-999	0.53	0.08	
193	17100	-999	-0.34	0.08	-999	-999	-999	-999	-999	
198	17400	-999	-1.03	0.08	-999	-999	-999	0.93	0.08	
203	17700	-999	-0.71	0.08	21.9	0.3	0.784	-999	-999	
208	18100	-999	-0.94	0.08	-999	-999	-999	0.63	0.08	
213	18400	-999	-0.08	0.08	-999	-999	-999	-999	-999	
218	18700	-999	0.2	0.08	22.3	0.3	0.798	1.41	0.08	
223	19200	-999	-0.08	0.08	-999	-999	-999	-999	-999	
228	19800	-999	-0.09	0.08	-999	-999	-999	1.31	0.08	
233	20300	-999	-0.36	0.08	22.3	0.3	0.798	-999	-999	
238	20900	-999	-0.29	0.08	-999	-999	-999	0.76	0.08	
243	21400	-999	-0.22	0.08	-999	-999	-999	-999	-999	
248	22000	-999	-0.18	0.08	-999	-999	-999	1.4	0.08	
253	22500	-999	-0.23	0.08	-999	-999	-999	-999	-999	
258	23100	-999	-0.35	0.08	21.4	0.3	0.767	0.97	0.08	
263	23600	-999	-0.32	0.08	-999	-999	-999	-999	-999	
268	24200	-999	-0.3	0.08	-999	-999	-999	1.13	0.08	
273	24700	-999	-0.57	0.08	21	0.3	0.753	-999	-999	
278	25300	-999	-0.53	0.08	-999	-999	-999	0.77	0.08	
283	25800	-999	-0.57	0.08	-999	-999	-999	-999	-999	
288	26400	-999	-0.57	0.08	21.6	0.3	0.775	0.36	0.08	
293	26900	-999	-0.36	0.08	-999	-999	-999	-999	-999	
298	27500	-999	-0.38	0.08	-999	-999	-999	0.77	0.08	
303	28000	-999	-0.88	0.08	23	0.3	0.822	-999	-999	
308	28600	-999	-0.31	0.08	-999	-999	-999	1.09	0.08	
313	29200	-999	-0.3	0.08	-999	-999	-999	-999	-999	
318	29800	-999	-0.55	0.08	22.8	0.3	0.814	0.57	0.08	
323	30400	-999	-0.54	0.08	-999	-999	-999	-999	-999	
328	31000	-999	-999	-999	-999	-999	-999	0.51	0.08	
338	32300	-999	-0.23	0.08	22.6	0.3	0.808	0.48	0.08	
343	33100	-999	-0.3	0.08	-999	-999	-999	-999	-999	
348	34200	-999	-0.75	0.08	22.8	0.3	0.815	0.06	0.08	
353	35200	-999	-0.86	0.08	-999	-999	-999	-999	-999	
358	36300	-999	-0.82	0.08	23	0.3	0.822	-0.24	0.08	
363	37300	-999	-0.67	0.08	-999	-999	-999	-999	-999	
368	38400	-999	-0.95	0.08	-999	-999	-999	-0.73	0.08	
373	39400	-999	-1.03	0.08	22.4	0.3	0.801	-999	-999	
378	40400	-999	-0.84	0.08	-999	-999	-999	-0.41	0.08	
383	41500	-999	-0.77	0.08	-999	-999	-999	-999	-999	
388	42500	-999	-0.25	0.08	21.1	0.3	0.755	0.68	0.08	
393	43600	-999	-0.59	0.08	-999	-999	-999	-999	-999	
398	44600	-999	-0.46	0.08	21.2	0.3	0.761	0.54	0.08	
403	45700	-999	-0.78	0.08	-999	-999	-999	-999	-999	
408	46700	-999	-0.82	0.08	-999	-999	-999	0.05	0.08	
413	47800	-999	-1	0.08	21.6	0.3	0.772	-999	-999	
418	48800	-999	-0.96	0.08	-999	-999	-999	-0.27	0.08	
423	49900	-999	-0.84	0.08	-999	-999	-999	0.08	0.08	
428	50900	-999	-0.92	0.08	20.9	0.3	0.75	0.53	0.08	
433	52000	-999	-0.96	0.08	-999	-999	-999	0.2	0.08	
438	53000	-999	-0.99	0.08	20.8	0.3	0.746	0.39	0.08	
443	54200	-999	-1	0.08	-999	-999	-999	0.04	0.08	
448	55400	-999	-0.77	0.08	20.9	0.3	0.749	-0.48	0.08	
453	56600	-999	-0.95	0.08	-999	-999	-999	0.04	0.08	
458	57800	-999	-0.89	0.08	21.4	0.3	0.765	0.2	0.08	
463	59000	-999	-0.81	0.08	-999	-999	-999	-0.12	0.08	
468	60100	-999	-1.15	0.08	21.5	0.3	0.77	0.05	0.08	
473	61100	-999	-1.42	0.08	-999	-999	-999	-0.07	0.08	
478	62200	-999	-1.02	0.08	22.5	0.3	0.803	0.12	0.08	
483	63200	-999	-1.32	0.08	-999	-999	-999	-999	-999	
488	64300	-999	-1.44	0.08	22.3	0.3	0.797	0.22	0.08	
493	65300	-999	-1.17	0.08	-999	-999	-999	-999	-999	
498	66400	-999	-1.13	0.08	22.6	0.3	0.808	0.04	0.08	
503	67400	-999	-1.46	0.08	-999	-999	-999	-999	-999	
508	68500	-999	-1.13	0.08	22.3	0.3	0.798	0.53	0.08	
513	69500	-999	-1.5	0.08	-999	-999	-999	-999	-999	
518	70600	-999	-1.3	0.08	23.9	0.3	0.852	-0.02	0.08	
523	71600	-999	-1.43	0.08	-999	-999	-999	-999	-999	
528	72700	-999	-1.23	0.08	23.6	0.3	0.841	-0.76	0.08	
533	73700	-999	-1.36	0.08	-999	-999	-999	-999	-999	
538	74800	-999	-1.91	0.08	24.7	0.3	0.88	-0.58	0.08	
543	75800	-999	-1.75	0.08	-999	-999	-999	-999	-999	
548	76900	-999	-1.61	0.08	25	0.3	0.889	-0.84	0.08	
553	77900	-999	-1.8	0.08	-999	-999	-999	-999	-999	
558	79000	-999	-1.95	0.08	-999	-999	-999	-0.76	0.08	
563	80000	-999	-2.07	0.08	25.4	0.3	0.901	-999	-999	
568	80900	-999	-1.82	0.08	-999	-999	-999	-0.73	0.08	
573	81800	-999	-1.57	0.08	24.1	0.3	0.858	-999	-999	
578	82600	-999	-1.45	0.08	-999	-999	-999	-0.79	0.08	
583	83500	-999	-1.65	0.08	24.2	0.3	0.862	-999	-999	
588	84400	-999	-1.26	0.08	23.2	0.3	0.829	-0.88	0.08	
593	85300	-999	-1.61	0.08	-999	-999	-999	-999	-999	
598	86100	-999	-1.28	0.08	-999	-999	-999	-0.66	0.08	
