# NOAA Paleoclimatology Program - Paleocean Site Data
# gb10163-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ralph R. Schneider
# Core/Site:      GeoB10163
# Latitude:       11.46.02S	( -11.76722)
# Longitude:      11.40.54E	( 11.68167)
# Water Depth(m): 3411
#
# Publications:
#   Schneider, R.R., P.J. Mueller, and G. Ruhland. 1995. Late Quaternary surface
#     circulation in the east-equatorial South Atlantic: evidence from alkenone sea
#     surface temperatures. Paleoceanography 10:197-219.
#------------------
#
# Description & Notes:
#   South Atlantic circulation during the late Quaternary.
#   Geosciences Bremen SST estimates derived from the alkenone unsaturation index
#   (U-k-37, after Brassell et al, 1986) with the temperature calibration of PRAHL,
#   et al.(1988):SST=(Uk37-0.039)/0.034. SST and Uk37 data meas. on 7/15/93.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.bull250-350           delta O18 PDB (Globigerina bulloides 250-350 micron)
#             d18Og.rub250-350            delta O18 PDB (Globigerinoides ruber 250-350 micron)
#             sst           Sea Surface Temperature (C)
#             uk37          Alkenone saturation index
#
# CORE: GeoB10163
depth	yrBP 	d18Og.bull250-350	d18Og.bull250-350_err	d18Og.rub250-350	d18Og.rub250-350_err	sst	sst_err	uk37	
4	900	-0.26	0.08	-1.78	0.08	-999	-999	-999	
6	1300	-0.33	0.08	-1.76	0.08	25.1	0.3	0.892	
10	2100	-0.18	0.08	-1.81	0.08	-999	-999	-999	
12	2600	0.4	0.08	-999	-999	-999	-999	-999	
18	3900	0.74	0.08	-1.82	0.08	25.5	0.3	0.907	
23	4900	0.33	0.08	-999	-999	-999	-999	-999	
28	6000	-0.08	0.08	-1.86	0.08	26.1	0.3	0.925	
33	6700	-0.33	0.08	-1.25	0.08	24	0.3	0.854	
38	7500	0.31	0.08	-1.55	0.08	-999	-999	-999	
43	8200	-0.42	0.08	-1.44	0.08	24.2	0.3	0.861	
48	9000	-0.19	0.08	-0.58	0.08	-999	-999	-999	
53	9700	0.36	0.08	-0.41	0.08	23.8	0.3	0.848	
58	10400	0.09	0.08	-0.81	0.08	-999	-999	-999	
63	11200	0.51	0.08	-0.18	0.08	22.8	0.3	0.813	
68	11900	0.51	0.08	-999	-999	-999	-999	-999	
73	12600	1.63	0.08	-0.37	0.08	22.6	0.3	0.806	
78	13400	1.06	0.08	-1.45	0.08	-999	-999	-999	
83	14100	1.18	0.08	-999	-999	22.7	0.3	0.812	
88	14900	1.27	0.08	-0.22	0.08	-999	-999	-999	
93	15600	1.17	0.08	-0.21	0.08	22.4	0.3	0.8	
98	16300	0.8	0.08	-0.6	0.08	-999	-999	-999	
