# NOAA Paleoclimatology Program - Paleocean Site Data
# gb10285-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ralph R. Schneider
# Core/Site:      GeoB10285
# Latitude:       20.06.12S	( -20.10333)
# Longitude:      9.11.06E	( 9.185)
# Water Depth(m): 2209
#
# Publications:
#   Schneider, R.R., P.J. Mueller, and G. Ruhland. 1995. Late Quaternary surface
#     circulation in the east-equatorial South Atlantic: evidence from alkenone sea
#     surface temperatures. Paleoceanography 10:197-219.
#------------------
#
# Description & Notes:
#   South Atlantic circulation during the late Quaternary.
#   Geosciences Bremen SST estimates derived from the alkenone unsaturation index
#   (U-k-37, after Brassell et al, 1986) with the temperature calibration of PRAHL,
#   et al.(1988):SST=(Uk37-0.039)/0.034). SST & UK37 data measured 7/15/93.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.bull250-350           delta O18 PDB (Globigerina bulloides 250-350 micron)
#             d18Og.rub250-350            delta O18 PDB (Globigerinoides ruber 250-350 micron)
#             sst           Sea Surface Temperature (C)
#             uk37          Alkenone saturation index
#
# CORE: GeoB10285
depth	yrBP 	Analysis_Date	d18Og.bull250-350	d18Og.bull250-350_err	d18Og.rub250-350	d18Og.rub250-350_err	sst	sst_err	uk37	
1	0	-999	-0.15	0.08	-0.58	0.08	-999	-999	-999	
18	3200	-999	0.07	0.08	-0.68	0.08	20.5	0.3	0.735	
23	4100	-999	-0.12	0.08	-0.72	0.08	20.1	0.3	0.721	
28	5100	-999	0	0.08	-0.52	0.08	20.8	0.3	0.746	
33	6000	-999	0.27	0.08	-0.78	0.08	21	0.3	0.752	
38	7100	-999	-0.02	0.08	-0.72	0.08	21.4	0.3	0.766	
43	8200	-999	-0.01	0.08	-0.54	0.08	21.6	0.3	0.773	
48	9300	-999	0.08	0.08	-0.44	0.08	21.8	0.3	0.779	
53	10300	-999	0.06	0.08	-0.66	0.08	21.8	0.3	0.779	
58	11400	-999	0.12	0.08	-0.61	0.08	21.1	0.3	0.756	
63	12500	-999	0.12	0.08	-0.4	0.08	19.9	0.3	0.717	
68	13600	-999	0.78	0.08	0.32	0.08	19.5	0.3	0.703	
73	14700	-999	0.95	0.08	0.17	0.08	19.3	0.3	0.696	
78	15800	-999	1.07	0.08	0.33	0.08	18.8	0.3	0.677	
83	16800	-999	0.64	0.08	0.72	0.08	16.2	0.3	0.591	
88	17900	1993-02-10	1.33	0.08	1.22	0.08	16.6	0.3	0.602	
93	19000	1993-02-10	1.32	0.08	1.31	0.08	16.9	0.3	0.615	
98	21300	1993-02-10	1.1	0.08	0.99	0.08	17.4	0.3	0.632	
103	23500	1993-02-10	1.06	0.08	0.89	0.08	17.9	0.3	0.646	
108	25800	1993-02-10	0.86	0.08	0.76	0.08	17.4	0.3	0.629	
113	28000	1993-02-10	1.07	0.08	0.55	0.08	17.7	0.3	0.642	
118	31100	1993-02-10	1.1	0.08	0.47	0.08	18.8	0.3	0.678	
123	34300	1993-02-10	1.03	0.08	0.5	0.08	18.3	0.3	0.661	
128	37400	1993-02-10	1.21	0.08	0.4	0.08	18.3	0.3	0.66	
133	40500	1993-02-10	1.03	0.08	0.59	0.08	18.3	0.3	0.661	
138	43600	1993-02-10	0.94	0.08	0.32	0.08	18.6	0.3	0.673	
143	46800	1993-02-10	1.03	0.08	0.62	0.08	18	0.3	0.651	
148	49900	1993-02-10	0.93	0.08	0.32	0.08	19.1	0.3	0.687	
153	53000	1993-02-10	0.84	0.08	0.45	0.08	19.4	0.3	0.699	
158	56000	1993-02-10	1.02	0.08	0.72	0.08	18.6	0.3	0.672	
163	59000	1993-02-10	1.01	0.08	0.25	0.08	19.3	0.3	0.696	
168	62000	1993-02-10	0.97	0.08	0.58	0.08	19.4	0.3	0.699	
173	65000	1993-02-10	1.06	0.08	0.93	0.08	19.1	0.3	0.688	
