# Bermuda Rise High Resolution 60-25KYrBP Geochemical Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20248 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/henry2016/henry2016sst.txt
#
# Archive: Paleoceanography
#
# Parameter_Keywords: geochemistry, radiogenic isotope
#---------------------------------------
# Contribution_Date
#    Date: 2016-08-16
#---------------------------------------
# Title
#    Study_Name: Bermuda Rise High Resolution 60-25KYrBP Geochemical Data
#---------------------------------------
# Investigators
#      Investigators: Henry, L.G.; McManus, J.F.; Curry, W.B.; Roberts, N.L.; Piotrowski, A.M.; Keigwin, L.D.
#---------------------------------------
# Description and Notes
#        Description: Pa/Th, carbonate, and stable isotope data collected from bulk sediment in Bermuda Rise sediment core KNR191 CDH19 
#	 covering 60-25 ka.  High Resolution uranium series results from the Bermuda Rise in the N. Atlantic provide insight into glacial AMOC.
#         Provided Keywords: AMOC, NADW, Pa/Th, Heinrich Event, Marine Isotope Stage 3
#---------------------------------------
# Publication
# Authors: L.G. Henry, J.F. McManus, W.B. Curry, N.L. Roberts, A.M. Piotrowski, L.D. Keigwin
# Published_Date_or_Year: 2016-07-29
# Published_Title: North Atlantic ocean circulation and abrupt climate change during the last glaciation
# Journal_Name: Science
# Volume: 353
# Edition: 
# Issue: 6298
# Pages: 470-474
# Report Number: 
# DOI: 10.1126/science.aaf5529
# Online_Resource: http://science.sciencemag.org/content/353/6298/470
# Full_Citation: 
# Abstract: The most recent ice age was characterized by rapid and hemispherically asynchronous climate oscillations, whose origin remains unresolved. Variations in oceanic meridional heat transport may contribute to these repeated climate changes, which were most pronounced during marine isotope stage 3, the glacial interval 25 thousand to 60 thousand years ago. We examined climate and ocean circulation proxies throughout this interval at high resolution in a deep North Atlantic sediment core, combining the kinematic tracer protactinium/thorium (Pa/Th) with the deep water-mass tracer, epibenthic d13C. These indicators suggest reduced Atlantic overturning circulation during every cool northern stadial, with the greatest reductions during episodic Hudson Strait iceberg discharges, while sharp northern warming followed reinvigorated overturning. These results provide direct evidence for the ocean's persistent, central role in abrupt glacial climate change.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: Graduate Research Fellowship, ATM-0936496, ATM-0836472, AGS 1548160
#---------------------------------------
# Site Information
# Site_Name: KNR191 CDH19
# Location: Ocean>Atlantic Ocean>North Atlantic Ocean 
# Country: 
# Northernmost_Latitude: 33.6907
# Southernmost_Latitude: 33.6907
# Easternmost_Longitude: -57.57598
# Westernmost_Longitude: -57.57598
# Elevation: -4541 m
#---------------------------------------
# Data_Collection
#   Collection_Name: Henry2016SST
#   First_Year: 130400
#   Last_Year: 32250
#   Time_Unit: cal yr BP
#   Core_Length: 38.81
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
# Age model was generated by correlating XRF Ca counts in CDH19 to carbonate measurements made in core MD95-2036. 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
## age_calkaBP	Age,,,kyrs,,,,,N
## sst-uk37	Sea Surface Temperature,,,degrees C,,paleoceanography,, alkenone reconstruction,N
#
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: 
#
age_calkaBP	sst-uk37
32.25	17.52
32.25	17.74
32.26	17.33
32.27	17.37
32.28	16.69
32.28	17.43
32.29	16.70
32.30	17.03
32.30	17.02
32.31	17.67
32.32	16.62
32.32	17.13
32.33	16.44
32.34	18.27
32.35	16.78
32.35	17.67
32.37	17.17
32.39	18.20
32.41	16.69
32.42	18.25
32.44	17.59
32.45	19.05
32.47	17.73
32.48	19.48
32.50	17.26
32.51	17.72
32.53	17.50
32.55	16.67
32.57	16.57
32.59	17.02
32.62	17.61
32.64	16.35
32.67	16.62
32.69	17.18
32.71	16.74
32.74	16.02
32.76	16.06
32.77	16.79
32.80	15.73
32.85	16.17
32.91	15.77
32.96	15.28
33.01	16.92
33.07	15.34
33.12	17.66
33.20	17.47
33.37	17.70
33.51	17.50
33.51	18.15
33.53	18.03
33.54	18.27
33.54	17.81
33.55	18.06
33.55	18.02
33.57	18.04
33.58	17.78
33.58	18.23
33.59	18.54
33.60	18.70
33.61	18.17
33.63	18.16
33.64	18.28
33.66	18.12
33.67	17.73
33.69	17.95
33.70	19.45
33.72	19.45
33.72	18.90
33.72	18.50
33.76	17.95
33.76	17.84
33.76	17.61
33.76	17.40
33.77	17.28
33.77	17.29
33.77	17.74
33.77	17.71
33.77	16.76
33.80	18.89
33.80	17.50
33.80	17.36
33.80	17.17
33.84	17.28
33.86	16.93
33.90	17.17
33.99	17.09
34.08	16.38
34.18	16.62
34.29	17.17
34.40	17.57
34.43	17.69
34.46	16.81
34.48	17.45
34.51	17.25
34.54	17.69
34.57	17.66
34.59	17.07
34.62	17.05
34.66	17.19
34.69	17.21
34.73	17.43
34.77	17.45
34.81	17.53
34.85	18.06
34.88	17.60
34.91	17.65
34.94	17.68
34.94	17.27
34.95	17.08
34.96	17.54
34.96	17.59
34.98	17.26
34.98	17.40
34.99	17.53
35.00	17.29
35.01	17.54
35.02	17.08
35.03	17.49
35.04	17.40
35.04	17.49
35.06	18.00
35.06	17.53
35.06	17.31
35.08	17.32
35.08	17.73
35.08	17.72
35.09	17.78
35.09	18.14
35.09	18.15
35.10	18.02
35.10	18.26
35.10	18.54
35.11	18.20
35.11	18.72
35.11	18.56
35.12	18.39
35.12	18.25
35.12	18.53
35.14	18.39
35.15	18.66
35.16	18.78
35.17	18.50
35.19	18.30
35.20	18.93
35.22	19.09
35.23	18.76
35.23	18.59
35.23	18.80
35.26	18.99
35.26	18.89
35.26	19.02
35.27	18.72
35.27	18.47
35.27	18.35
35.27	18.90
35.27	18.59
35.29	18.56
35.29	18.55
35.29	17.99
35.29	18.11
35.29	18.16
35.29	17.92
35.30	17.79
35.30	18.03
35.30	18.52
35.30	18.23
35.30	18.24
35.30	18.31
35.30	18.63
35.30	18.54
35.31	18.28
35.31	18.44
35.31	17.88
35.31	18.13
35.31	18.08
35.31	18.02
35.31	17.87
35.31	18.13
35.32	17.33
35.32	17.26
35.32	17.29
35.32	17.39
35.32	17.44
35.32	17.38
35.32	17.20
35.32	17.31
35.33	17.32
35.33	17.02
35.33	16.92
35.33	16.75
35.34	16.62
35.34	16.44
35.34	18.08
35.35	17.58
35.35	17.70
35.35	17.61
35.35	17.87
35.40	18.28
35.40	18.67
35.40	18.42
35.40	18.35
35.41	17.98
35.42	17.90
35.42	17.69
35.43	18.13
35.44	17.25
35.44	17.63
35.44	17.64
35.47	17.67
35.48	17.92
35.48	17.96
35.49	17.65
35.50	17.80
35.50	17.47
35.52	17.77
35.53	17.34
35.53	17.13
35.54	17.63
35.55	17.97
35.55	17.45
35.55	17.12
35.57	17.20
35.58	16.95
35.58	16.62
35.58	16.81
35.60	16.88
35.61	17.38
35.61	17.01
35.62	17.54
35.63	16.77
35.63	16.10
35.64	15.98
35.65	16.05
35.66	16.25
35.67	16.56
35.69	16.17
35.72	15.82
35.75	15.95
