Table. Summary of Mass Accumulation Rates of Biomarkers for the Penultimate Deglaciation from a Sediment Core TSP-2PC																					
																					
																					
Depth	Age	Climate		      Aliphatic hydrocarbons				Alkenones				Fatty alcohols			                   Sterols						
		regimes	CPIalka	ACLalkb	C25-C35		C37-C39	UK37'	SSTc		CPIalcd	ACLalce	C24-C28		Dinosterol	Brassicasterol					
cm	ka				ng/cm2/kyr		ng/cm2/kyr		?C				ng/cm2/kyr		ng/cm2/kyr	ng/cm2/kyr					
																					
																					
164.6 	112.0	MIS 5d	7.90	30.46	114		34.5	0.421	11.2		6.68	26.42	64.3		4.34	7.57					
168.5 	114.8	MIS 5d	7.55	30.35	106		36.8	0.442	11.9		6.02	26.33	42.1		3.64	4.90					
172.7 	117.7	MIS 5e	6.28	30.44	119		39.8	0.330	-		5.34	26.19	29.1		5.11	5.61					
174.7 	119.2	MIS 5e	7.39	30.45	126		40.1	0.408	10.9		7.03	26.49	53.2		2.57	4.70					
176.8 	120.6	MIS 5e	7.34	30.45	134		23.5	0.478	12.9		-	-	-		-	-					
178.9 	122.1	MIS 5e	6.87	30.36	99.3		34.5	0.494	13.4		7.12	26.53	56.6		1.71	1.83					
181.0 	123.6	MIS 5e	7.09	30.40	124		17.1	0.563	15.4		6.28	26.39	40.7		2.40	2.18					
183.1 	125.3	MIS 5e	7.33	30.43	119		21.2	0.550	15.0		6.36	26.31	47.7		2.44	2.24					
185.2 	127.1	Trans.	7.36	30.44	113		22.5	0.512	13.9		6.13	26.33	41.5		2.35	2.40					
189.3 	130.5	Trans.	7.36	30.50	149		25.1	0.490	13.3		6.50	26.30	42.0		3.70	2.33					
193.1 	133.7	Trans.	7.14	30.46	152		26.3	0.463	12.5		5.39	26.26	48.9		4.11	4.73					
195.0 	135.2	Trans.	7.15	30.50	169		31.0	0.426	11.4		-	-	-		-	-					
196.9 	136.8	MIS 6	7.06	30.52	288		23.0	0.386	10.2		6.94	26.51	103		3.12	6.34					
198.8 	138.5	MIS 6	6.26	30.45	328		22.6	0.385	10.2		5.49	26.24	55.2		4.94	3.33					
202.0 	141.1	MIS 6	7.04	30.48	277		28.7	0.414	11.0		5.43	26.29	65.4		4.74	5.60					
205.1 	143.7	MIS 6	7.22	30.51	312		34.0	0.396	10.5		5.41	26.25	63.1		4.15	4.15					
																					
																					
a CPIalk : Carbon preference indices of C25-C34 n-alkanes as difined by Peltzer and Gagosian [1989]. CPI = ?odd (C25-C33) / ?even (C26-C34)																					
b ACLalk : Average chain lengths of C25-C35 n-alkanes as difined by Ohkouchi et al. [1997a]. 																					
c SST records from Ikehara et al. [1997].																					
d CPIalc : Carbon preference indices of C23-C28 fatty alcohols as difined by Peltzer and Gagosian [1989]. CPI = ?even (C24-C28) / ?odd (C23-C27)																					
e ACLalc : Average chain lengths of C24-C28 fatty alcohols as difined by Ohkouchi et al. [1997a]. 																					
																					
