# NOAA Paleoclimatology Program - Paleocean Site Data
# k708-1-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             SPECMAP Contributors
# Core/Site:      K708-1
# Latitude:       50.00.00N	( 50)
# Longitude:      23.44.00W	( -23.73333)
# Water Depth(m): 4053
#
# Publications:
#   Imbrie, J., E.A. Boyle, S.C. Clemens, A. Duffy, W.R. Howard, G. Kukla, J. Kutzbach,
#     D.G. Martinson, A. McIntyre, A.C. Mix, B. Molfino, J.J. Morley, L.C. Peterson,
#     N.G. Pisias, W.L. Prell, M.E. Raymo, N.J. Shackleton, and J.R. Toggweiler. 1992.
#     On the structure and origin of major glaciation cycles. 1. Linear responses to
#     Milankovitch forcing. Paleoceanography 7:701-738.
#------------------
#
# Description & Notes:
#   Late Quaternary variations in ocean hydrography (SPECMAP)
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#
# CORE: K708-1
depth	yrBP 	sst-aug	sst-feb	
0	0	17.0154	11.0117	
10	1661	17.6736	11.2675	
20	3322	18.64	12.1576	
30	4983.1	17.5964	11.5703	
40	6644.1	16.8579	11.1371	
45	7474.6	17.2946	11.0684	
50	8305.1	16.1309	10.8016	
55	9135.6	14.9407	9.4614	
58	9633.9	14.4761	9.7879	
60	9924.2	13.5288	8.795	
62	10172.7	12.4487	5.6073	
65	10545.5	13.6068	9.2105	
70	11166.7	12.5065	8.4562	
72	11415.2	14	8.3567	
75	11787.9	14.1646	8.9327	
80	12409.1	10.2273	5.4647	
85	13030.3	10.2437	5.6367	
90	13651.5	6.5013	0.5679	
95	14272.7	6.6077	0.5271	
100	14893.9	6.3184	0.2949	
110	16136.4	6.6168	0.6974	
120	17378.8	6.5267	0.4179	
130	18621.2	6.5401	0.5566	
140	19863.6	6.7465	0.5859	
150	21106	7.8262	1.7086	
160	22348.5	6.6722	0.7927	
170	23590.9	6.8883	1.1149	
180	24833.3	6.9573	0.4967	
190	26075.7	6.4015	0.4231	
200	27318.2	9.1482	1.4603	
210	28560.6	8.9652	2.8814	
220	29803	6.8508	0.7927	
230	31045.4	14.545	7.8506	
240	32287.8	13.3619	7.7394	
250	33530.3	13.2506	6.6623	
260	34772.7	7.467	1.666	
270	36015.1	6.8829	0.5826	
280	37257.5	9.94	2.7613	
290	38500	9.821	2.561	
300	39742.4	11.0834	5.8618	
310	40984.8	13.5728	7.7371	
320	42227.2	13.5139	8.7798	
330	43469.7	6.6422	0.5749	
340	44712.1	7.339	1.8803	
350	45954.5	10.7466	4.7456	
360	47196.9	11.6083	5.3181	
370	48439.4	14.4424	8.666	
380	49681.8	10.7549	4.0323	
389	50800	9.4611	3.3636	
400	53710.1	10.6954	4.7774	
410	56355.7	11.4502	5.7753	
420	59001.3	7.1442	1.3057	
430	61646.8	7.0405	1.3447	
432	62175.9	7.4454	1.5244	
