# 2.8 million years of alkenone and TEX86 data and surface and subsurface temperature in the northern South China Sea
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22588
#      Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/li2017/li2017.txt
#      Description: NOAA location of the template
#
# Original_Source_URL: 
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: paleoceanography
#
# Dataset DOI:
#
# Parameter_Keywords: reconstruction
#--------------------
# Contribution_Date
#	Date:  2017-08-28
#--------------------
# File_Last_Modified_Date
#	Date:  2017-08-28
#--------------------
# Title
#	Study_Name: 2.8 million years of alkenone and TEX86 data and surface and subsurface temperature in the northern South China Sea
#--------------------
# Investigators
#	Investigators: Li, Dawei; Zhao, M.; Tian, J.
#--------------------
# Description_Notes_and_Keywords
#	Description: Surface and subsurface temperature difference from the northern South China Sea was used to reconstruct east Asian winter monsoon.The 400 kyr cycle in east Asian winter monsoon was generated from remote forcing by super tropical Pacific ENSO.
#--------------------
# Publication 
#	Authors: Li, D., M. Zhao, and J. Tian
#	Published_Date_or_Year:  2017-09-15      
#	Published_Title: Low-high latitude interaction forcing on the evolution of the 400 kyr cycle in East Asian winter monsoon records during the last 2.8 Myr
#	Journal_Name: Quaternary Science Reviews
#	Volume: 172
#	Edition: 
#	Issue: 
#	Pages: 72-82
#	Report_Number: 
#	DOI: 10.1016/j.quascirev.2017.08.005
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0277379117300914
#	Full_Citation: 
#	Abstract: Variability of the East Asian winter monsoon (EAWM), stronger during glacials and weaker during interglacials, has been tightly linked to the wax and wane of the Northern Hemisphere ice sheets (NHIS) via the Siberian High over the last 2.8 million years (Myr). However, the long eccentricity cycle (ca. 400 kyr) in the EAWM record from the late Pliocene to early-Pleistocene (2.8¨C1.2 Ma) could not be linked to NHIS changes, which lacked the long eccentricity cycle in the Pleistocene. Here, we present the first low latitude EAWM record of the last 2.8 Myr using surface and subsurface temperature difference from the northern South China Sea to evaluate interactions between tropical ocean and EAWM changes. The results show that the EAWM variability displayed significant 400 kyr cycle between 2.8 Ma and 1.2 Ma, with weak (strong) EAWM during high (low) earth orbital eccentricity state. A super El Ni?o¨CSouthern Oscillation (ENSO) proxy record, calculated using west-east equatorial Pacific sea surface temperature differences, revealed 400 kyr cycles throughout the last 2.8 Myr with warm phase during high eccentricity state. Thus, we propose that super ENSO mean state strongly modulated the EAWM strength through remote forcing to generate the 400 kyr cycle between 2.8 Ma and 1.2 Ma, while low NHIS volume was not sufficient to dominate the EAWM variation as it did over the last 0.9 Myr with 100 kyr cycles in dominance.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: ODP 1148
#	Location: South China Sea
#	Country:  
#	Northernmost_Latitude: 18.836 
# 	Southernmost_Latitude: 18.836
# 	Easternmost_Longitude: 116.566 
# 	Westernmost_Longitude:  116.566
# 	Elevation:  -3296 
#------------------
# Data_Collection   
#	Collection_Name: ODP1148 SST Li2017
#	Earliest_Year: 2785481
#	Most_Recent_Year: 257 
#	Time_Unit: cal yr BP 
#	Core_Length: 151.03
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# *** MORE DETAILED INSTRUCTIONS are available at www1.ncdc.noaa.gov/pub/data/paleo/templates/Variable_naming_guide.pdf
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, additional information) 
#
## label	core name, , , , , , , ,C,
## depth_m	depth, , , m, , , , ,N,mcd
## age_ka	age, , , calendar ka BP, , , , ,N,
## Uk37		alkenone unsaturation index, C37Alkenones, , , , paleoceanography, , calculated after Prahl and Wakeham (1987),N,
## Uk37_SST	sea surface temperature, C37Alkenones, , degrees Celsius, ,reconstruction, ,,N,calculated after Mueller et al.(1998)
## TEX86	TEX86, GDGT, , , ,paleoceanography, ,calculated after Schouten et al. (2002),N,
## TEX86_T	TEX86_temperature, GDGT, , degrees Celsius, ,reconstruction, ,calculated after Jia et al. (2012),N,
## BIT	Branched and Isoprenoid Tetraether index, branched GDGT, , , ,paleoceanography, ,,N,calculated after Hopmans et al. (2004)
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  (Value used to flag missing data in the table below) 
#
Label	Depth_m	age_ka	Uk37	Uk37_SST	TEX86	TEX86_T	BIT
L47B	0.04	0.257 	0.920 	26.6 	0.656 	20.7 	0.040 
L47B	0.55	3.537 	0.901 	26.0 	0.661 	20.9 	0.072 
L47B	1.01	6.495 	0.832 	23.9 	0.621 	19.4 	0.054 
L47B	1.51	9.711 	0.799 	22.9 	0.560 	17.0 	0.051 
L47B	2.01	12.926 	0.784 	22.4 	0.548 	16.5 	0.050 
L47B	2.51	16.141 	0.787 	22.5 	0.553 	16.7 	0.064 
L47B	3.51	22.000 	0.797 	22.8 	0.556 	16.8 	0.049 
L47B	4.01	24.500 	0.791 	22.6 	0.560 	17.0 	0.049 
L47B	4.51	27.000 	0.784 	22.4 	0.564 	17.1 	0.052 
L47B	5.04	29.650 	0.802 	23.0 	0.560 	17.0 	0.057 
L47B	5.51	32.000 	0.812 	23.3 	0.563 	17.1 	0.046 
L47B	6.01	34.500 	0.804 	23.0 	0.563 	17.1 	0.048 
L47C	6.21	35.500 	0.820 	23.5 	0.532 	15.8 	0.053 
L47B	6.51	37.500 	0.818 	23.5 	0.564 	17.2 	0.041 
L47C	6.71	39.000 	0.808 	23.2 	0.550 	16.5 	0.070 
L47B	7.01	41.250 	0.812 	23.3 	0.561 	17.0 	0.037 
L47C	7.21	42.750 	0.811 	23.2 	0.547 	16.4 	0.047 
L47B	7.51	45.000 	0.808 	23.1 	0.555 	16.8 	0.043 
L47C	7.71	46.500 	0.827 	23.7 	0.566 	17.2 	0.065 
L47B	8.01	48.750 	0.802 	23.0 	0.559 	16.9 	0.035 
L47C	8.19	50.100 	0.804 	23.0 	0.545 	16.3 	0.041 
L47B	8.51	52.500 	0.830 	23.8 	0.585 	18.0 	0.048 
L47C	8.71	54.000 	0.840 	24.1 	0.566 	17.2 	0.034 
L47C	9.21	57.750 	0.819 	23.5 	0.555 	16.7 	0.061 
L47C	9.71	61.500 	0.817 	23.4 	0.541 	16.2 	0.072 
L47C	10.21	65.652 	0.803 	23.0 	0.545 	16.3 	0.063 
L47C	10.71	71.413 	0.811 	23.2 	0.551 	16.6 	0.071 
L47C	11.21	77.174 	0.822 	23.6 	0.577 	17.7 	0.161 
L47B	11.51	80.630 	0.881 	25.4 	0.606 	18.9 	0.048 
L47C	11.71	82.935 	0.826 	23.7 	0.560 	17.0 	0.070 
L47B	12.01	86.391 	0.837 	24.0 	0.571 	17.4 	0.053 
L47B	12.51	91.955 	0.885 	25.5 	0.613 	19.1 	0.072 
L47B	13.01	96.727 	0.901 	26.0 	0.608 	18.9 	0.061 
L47B	13.51	101.500 	0.931 	26.9 	0.613 	19.1 	0.037 
L47B	14.01	106.273 	0.891 	25.7 	0.594 	18.4 	0.078 
L47B	14.51	111.045 	0.864 	24.9 	0.589 	18.2 	0.082 
L47B	14.99	115.040 	0.924 	26.7 	0.606 	18.8 	0.056 
L47B	15.51	119.200 	0.970 	28.1 	0.669 	21.2 	0.058 
L47B	16.01	123.200 	0.955 	27.6 	0.643 	20.2 	0.059 
L47B	16.51	128.465 	0.874 	25.2 	0.594 	18.4 	0.052 
L47B	17.01	134.047 	0.824 	23.6 	0.570 	17.4 	0.073 
L47B	17.51	139.628 	0.842 	24.2 	0.571 	17.4 	0.078 
L47B	18.01	145.209 	0.832 	23.9 	0.582 	17.9 	0.096 
L47A	18.16	146.884 	0.834 	23.9 	0.575 	17.6 	0.075 
L47B	18.51	150.667 	0.837 	24.0 	0.587 	18.1 	0.100 
L47A	18.66	152.267 	0.826 	23.7 	0.582 	17.9 	0.065 
L47A	19.16	157.600 	NA	NA	0.576 	17.6 	0.045 
L47A	19.66	162.933 	0.816 	23.4 	0.567 	17.3 	0.075 
L47A	20.16	168.267 	0.812 	23.3 	0.561 	17.0 	0.090 
L47A	20.66	173.600 	0.816 	23.4 	0.584 	18.0 	0.063 
L47A	21.16	178.933 	0.827 	23.7 	0.584 	18.0 	0.049 
L47A	21.64	190.893 	0.827 	23.7 	0.585 	18.0 	0.074 
L47A	22.16	205.800 	0.825 	23.7 	0.590 	18.2 	0.090 
L47A	22.66	220.133 	0.838 	24.1 	0.597 	18.5 	0.073 
L47A	23.16	234.467 	0.851 	24.4 	0.595 	18.4 	0.052 
L47A	23.66	248.800 	0.837 	24.0 	0.578 	17.7 	0.056 
L47A	24.16	263.133 	0.869 	25.0 	0.595 	18.4 	0.048 
L47A	24.66	276.500 	0.869 	25.0 	0.597 	18.5 	0.059 
L47C	25.16	288.633 	0.858 	24.7 	0.582 	17.9 	0.077 
L47C	25.66	296.796 	0.891 	25.7 	0.571 	17.4 	0.060 
L47C	26.16	304.959 	0.925 	26.7 	0.619 	19.3 	0.065 
L47C	26.66	313.122 	0.883 	25.4 	0.588 	18.1 	0.051 
L47C	27.16	321.286 	0.924 	26.7 	0.621 	19.4 	0.065 
L47C	27.66	329.449 	0.897 	25.8 	0.623 	19.5 	0.061 
L47C	28.16	340.299 	0.827 	23.7 	0.577 	17.7 	0.045 
