# NOAA Paleoclimatology Program - Paleocean Site Data
# m88-770r-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ros E.M. Rickaby
# Core/Site:      MD88-770
# Latitude:       46.01.00S	( -46.01667)
# Longitude:      96.28.00E	( 96.46667)
# Water Depth(m): 3290
#
# Publications:
#   Rickaby, R.E.M., and H. Elderfield. 1999. Planktonic foraminiferal Cd/Ca: Paleonutrients
#     or paleotemperature? Paleoceanography 14(3):293.
#------------------
#
# Description & Notes:
#   Southern Ocean G. bulloides Cd/Ca, Mg/Ca, and d18O
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             sst           Sea Surface Temperature (C)
#
# CORE: MD88-770
depth	yrBP 	sst	
0	4590	7.8	
2	4870	7	
4	5160	7.8	
6	5440	7.3	
8	5720	7.8	
10	6000	7.1	
12	6280	7.9	
14	6570	7.5	
16	6850	7.4	
18	7130	7.1	
20	7410	7.3	
22	7710	7.6	
24	8020	7.1	
26	8320	7.1	
28	8620	7.5	
30	8920	8.7	
32	9220	7.8	
34	9520	7.4	
36	9820	7.4	
38	10120	7.3	
40	10420	7.1	
42	10720	7.5	
44	11020	7.4	
46	11310	6.8	
48	11610	6.9	
50	11910	7.8	
52	12200	7	
54	12500	7.2	
56	12790	7.5	
58	13080	7.2	
60	13330	7	
62	13580	6.6	
64	13830	6.9	
66	14070	7.2	
68	14320	7.7	
70	14480	7	
72	14640	6.7	
74	14810	7.5	
76	14970	7.2	
78	15130	6.4	
80	15300	6.7	
82	15460	7.2	
84	15620	6.7	
86	15780	6.9	
88	15940	4.4	
90	16110	6.8	
92	16270	3.9	
94	16430	3.1	
96	16590	3.5	
98	16750	3.3	
100	16910	4.5	
102	17070	6.8	
104	17230	6.6	
106	17390	3	
108	17550	3.7	
110	17700	3.3	
112	17860	3	
114	18020	4.1	
120	18250	3.3	
124	18410	3.1	
130	18640	3.8	
134	18800	3.4	
140	19030	3.5	
144	19180	3.8	
150	19410	3.7	
154	19560	3.6	
160	19790	3.6	
164	19950	3.2	
170	20180	3.1	
174	20330	3.1	
180	20560	3.5	
184	20710	2.9	
190	20940	3.4	
194	21090	2.7	
200	21310	3.2	
204	21470	3.4	
210	21690	3.4	
214	21840	3.9	
220	22070	3.1	
224	22220	3	
234	22630	3.3	
240	22900	3.4	
244	23080	2.8	
250	23340	3.3	
254	23520	3.2	
260	23780	3.2	
264	23960	2.9	
270	24220	2.7	
274	24400	3.5	
280	24680	3.4	
284	24900	3.4	
290	25220	3.2	
294	25430	3	
300	25750	2.9	
304	25970	3.5	
310	26340	2.9	
314	26580	3.7	
320	26950	4.2	
324	27200	3.9	
330	27570	3.3	
334	27810	3	
340	28180	3.3	
344	28440	4	
350	28870	3.2	
354	29150	2.9	
360	29580	3.1	
364	29870	3.6	
370	30290	3.1	
380	31000	3.7	
384	31280	3.9	
390	31790	4.8	
400	32640	3.2	
410	33480	3.6	
418	34160	3.9	
420	34330	3.3	
430	35170	4.5	
436	35670	4.1	
440	36090	5	
450	37120	3.1	
460	38150	4.4	
470	39170	6	
472	39380	6	
480	40470	3.7	
490	41820	2.9	
500	43170	3.4	
510	44500	2.9	
520	45820	3.4	
524	46350	3.6	
530	47210	2.8	
540	48650	3.2	
550	50070	3.3	
554	50630	4.4	
560	51480	6.6	
570	52870	2.8	
580	54250	2.8	
590	55630	2.7	
600	57000	2.8	
610	57930	3	
620	58860	3	
630	59780	6.3	
640	60720	5.2	
650	61650	3.5	
660	62590	3.2	
670	63540	6	
680	64500	6	
690	65470	3.2	
700	66450	3.3	
710	67440	3.5	
720	68450	4.1	
730	69470	3.4	
740	70520	2.9	
750	71580	5.7	
760	72660	3.8	
770	73770	3.3	
780	75530	6.6	
790	77340	5.9	
800	79200	6.9	
810	81080	6.8	
820	82980	7.7	
830	84880	7.3	
840	86740	6.7	
850	89880	6.4	
860	92850	4	
870	95660	4.7	
880	97900	6.3	
890	100070	6.8	
900	102190	6.5	
910	104280	6.5	
920	105340	6.9	
926	105970	6.4	
930	106390	7	
934	106820	6.9	
940	107450	5	
944	107880	4.4	
950	108520	4.5	
954	108950	4	
960	110390	4.5	
964	111360	3.9	
970	112860	6.4	
974	113870	6.8	
980	115440	6.4	
982	115970	7	
984	116940	7.8	
986	117930	7.8	
988	118950	8.1	
990	119990	7.9	
992	121050	8.1	
994	122130	8.6	
996	123220	7.1	
998	124340	10.2	
1000	125460	10.7	
1002	126030	11	
1004	126590	13.5	
1006	127160	8.8	
1008	127720	8.8	
1010	128280	9.6	
1020	131050	7.7	
1030	133720	7.1	
1040	135890	3.8	
1050	137950	3.2	
1060	139080	5.1	
1070	140180	3.6	
1080	141250	3.4	
1090	142300	2.6	
1100	143330	2.9	
1110	144340	2.8	
1120	145340	3.6	
1130	146330	3.9	
1140	147310	3.8	
1150	148280	5.6	
1160	149250	4.8	
