Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!! 


NAME OF DATA SET: 
Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions 

LAST UPDATE: 1/2011 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Martínez-Garcia, A., A. Rosell-Melé, E.L. McClymont, 
R. Gersonde, and G.H. Haug. 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2011-006 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Martínez-Garcia, A., et al. 2010. 
Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2011-006. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE:  
Martínez-Garcia, A., A. Rosell-Melé, E.L. McClymont, R. Gersonde, 
and G.H. Haug. 2010. 
Subpolar Link to the Emergence of the Modern Equatorial Pacific 
Cold Tongue. 
Science, Vol. 328, No. 5985, pp. 1550-1553, 18 June 2010. 
DOI:10.1126/science.1184480 

ABSTRACT:
The cold upwelling "tongue" of the eastern equatorial Pacific 
is a central energetic feature of the ocean, dominating both 
the mean state and temporal variability of climate in the tropics
and beyond. Recent evidence for the development of the modern 
cold tongue during the Pliocene-Pleistocene transition has been 
explained as the result of extratropical cooling that drove 
a shoaling of the thermocline. We have found that the sub-Antarctic 
and sub-Arctic regions underwent substantial cooling nearly 
synchronous to the cold tongue development, thereby providing 
support for this hypothesis. In addition, we show that sub-Antarctic 
climate changed in its response to Earth's orbital variations, 
from a subtropical to a subpolar pattern, as expected if cooling 
shrank the warm-water sphere of the ocean and thus contracted
the subtropical gyres. 


ADDITIONAL REFERENCES: 
Martínez-Garcia, A., A. Rosell-Melé, W. Geibert, R. Gersonde, 
P. Masqué, V. Gaspari, and C. Barbante. 2009. 
Links between iron supply, marine productivity, sea surface 
temperature, and CO2 over the last 1.1 Ma. 
Paleoceanography, 24, PA1207, doi:10.1029/2008PA001657.  



GEOGRAPHIC REGION: Sub-polar North Pacific and South Atlantic 
PERIOD OF RECORD: 3.6 Ma - present 
FUNDING SOURCES: 
Ministerio de Ciencia e Innovación, Spain, FPU grant to A.M.-G. 



DESCRIPTION: 
Two Subpolar paleotemperature records for the past 3.6 million years 
based on the analysis of alkenone unsaturation indices in marine 
sediments.  Cores are located in the sub-Arctic Pacific (ODP Site 882) 
and the sub-Antarctic Atlantic (ODP Site 1090).  The percentage of 
the C37:4 alkenone relative to the total abundance of C37 alkenones 
(%C37:4) in these records is an additional tracer that can be used 
to infer variations in the meridional extent of polar and subpolar 
conditions through time. 

ODP Site 882: 50°21'N, 167°35'E, water depth 3244m 
ODP Site 1090: 42°54.5'S, 8°54.0'E, water depth 3702m 




DATA: 
1. ODP 982 
Age(ka)     SST(ºC)    %C37:4
4.27         10.19       2.25
8.85          7.86       4.85
13.43         4.37      17.98
18.01         6.70      15.95
24.27         9.72      11.45
27.93         8.80      13.47
31.74         9.26      10.92
35.41         6.97      13.86
40.35         7.19      16.61
45.76         6.82      14.33
50.10         6.60      13.93
56.60         4.17      22.40
62.01         5.61      21.14
66.92         4.70      21.29
71.54         3.36      22.63
75.21         6.71      17.77
80.63         6.90       8.66
85.20        10.90       7.55
91.33        12.28       6.85
96.24        13.66       5.18
98.72        14.99       4.77
102.45       13.75       3.61
105.55       10.34       7.00
113.77       13.91       5.72
126.46       13.10       1.51
132.18       13.91       3.77
138.55        9.52       8.50
143.86       12.46       9.26
149.17       10.43      11.33
153.45        9.67      11.71
155.93        5.51      15.93
158.93        3.35      21.33
161.21        7.05      20.85
163.69        6.95      17.03
166.28        5.72      13.68
168.86        6.21      15.17
171.45        7.81      13.11
173.93        9.82      11.92
176.52       13.20       8.50
179.29        9.77       8.68
186.63        6.22      15.77
193.97        5.97      15.08
203.95       12.77       7.21
208.36        9.35       6.42
210.41        6.83       5.99
221.73        8.45       7.80
228.82        9.15      10.86
235.91       11.12       8.43
241.78       10.45       4.61
247.80       10.57      10.35
253.49        7.74      11.92
259.36        8.07      13.54
263.80        9.91      10.54
273.80       14.03       5.33
277.88       13.28       7.83
283.65       11.49       9.91
288.58        9.33       8.47
292.32        8.41       7.52
300.17        7.85       9.52
306.48        7.80       9.70
312.78       11.33       7.12
321.83        8.51       7.07
326.64        7.35      11.18
336.00       10.55       5.02
340.70       12.88       6.45
345.57       10.20       8.18
350.27        8.23       8.86
354.00       12.86       4.61
361.53       12.63       5.84
363.57       11.37       5.50
371.46        9.11       5.65
381.16        9.96       9.65
389.45        7.42       7.90
394.84        7.31       9.65
399.79        5.95      11.26
406.98       10.68       3.36
413.35       10.95       2.56
418.10        8.75       7.06
425.35        4.54      17.28
439.30        6.28      11.68
442.79        6.74      13.21
453.90        5.52      13.72
468.36        5.42      15.94
475.52        4.99      16.50
478.88        4.34      20.31
483.67        4.93      15.89
487.51        5.66      11.50
491.75        6.61      11.63
495.73        5.23      14.03
498.44        7.76       8.48
502.33        7.39       9.02
505.67        8.54       7.60
514.80        6.82       4.76
528.11        4.90      13.12
539.12        5.59      11.36
550.78        5.78      13.55
558.35        7.37       7.92
575.20        9.43       6.03
590.02        5.37      16.40
597.69        6.65       9.26
612.64        9.14       8.89
616.79        6.60       9.30
621.13        6.80       9.61
625.28        6.29       5.86
629.44       10.26       4.17
640.36       10.32       6.51
644.86       13.47       3.46
649.07        8.98       8.46
652.27        7.13      11.26
657.15        6.80      16.15
661.15        6.16      18.45
666.94        6.28      15.57
671.90        5.15      20.08
676.70        7.01      15.57
681.46        6.54      15.18
685.09        4.97      17.08
690.40        3.31      18.32
694.95        5.34      17.85
699.35        9.94       6.90
703.90        7.33       8.59
707.38        7.35      11.18
712.84        4.99      16.67
717.24        4.65      21.87
721.64        7.30      15.78
728.83        6.05      18.51
735.22        6.82      17.10
745.22        7.96      12.36
751.33        9.90      12.82
760.96        7.67      14.84
768.36        9.61      14.04
774.27       10.58       8.64
