# NOAA Paleoclimatology Program - Paleocean Site Data
# md2-2575-tab.txt
# Complete Data
# File Created: 16-Jul-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Dirk Nuernberg
# Core/Site:      MD02-2575
# Latitude:       29.00.06N	( 29.00167)
# Longitude:      87.07.08W	( -87.11889)
# Water Depth(m): 847
#
# Publications:
#   Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting
#     Loop Current variability and Mississippi River discharge over the past 400 kyr.
#     Earth and Planetary Science Letters, 272(1-2), 278-289.
#------------------
#
# Description & Notes:
#   DeSoto Canyon MD02-2575 400KYr Oxygen Isotope and Geochemical Data
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             susc          Magnetic Susceptibility
#             carb-coar%    Coarse Calcium Carbonate percent
#             d18Og.rub-w   delta O18 PDB (Globigerinoides ruber (white))
#             d18Ou.pereg   delta O18 PDB (Uvigerina peregrina)
#             Mg/Ca-g.rub-w Magnesium/Calcium ratio (Globigerinoides ruber, white) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca (C)
#             d18Og.crass   delta O18 PDB (Globorotalia crassaformis)
#
# CORE: MD02-2575
depth	calyrBP 	susc	carb-coar%	d18Og.rub-w	d18Ou.pereg	Mg/Ca-g.rub-w	sst-mg/ca	d18Og.crass	
0	1051	-999	-999	-999	-999	-999	-999	-999	
2	-999	0	-999	-999	-999	-999	-999	-999	
2	1126	-999	-999	-999	-999	-999	-999	-999	
4	-999	5	-999	-999	-999	-999	-999	-999	
4	1201	-999	-999	-999	-999	-999	-999	-999	
5	1239	-999	23.005	-1.27	3.041	3.857	25.75	-999	
6	1277	4	-999	-999	-999	-999	-999	-999	
8	1352	5	-999	-999	-999	-999	-999	-999	
10	1427	4	22.268	-1.228	2.967	3.439	24.48	-999	
12	1502	4	-999	-999	-999	-999	-999	-999	
14	1577	5	-999	-999	-999	-999	-999	-999	
15	1615	-999	26.442	-0.778	3.024	3.675	25.21	-999	
16	1653	5	-999	-999	-999	-999	-999	-999	
18	1728	6	-999	-999	-999	-999	-999	-999	
20	1803	5	21.095	-1.353	2.972	3.98	26.1	-999	
22	1878	6	-999	-999	-999	-999	-999	-999	
24	1953	4	-999	-999	-999	-999	-999	-999	
25	1991	-999	41.634	-1.105	3.008	3.758	25.46	-999	
26	2022	7	-999	-999	-999	-999	-999	-999	
28	2083	6	-999	-999	-999	-999	-999	-999	
30	2144	6	16.881	-1.143	3.137	3.39	24.32	-999	
32	2205	4	-999	-999	-999	-999	-999	-999	
34	2267	5	-999	-999	-999	-999	-999	-999	
35	2297	-999	22.176	-0.977	3.039	3.734	25.39	-999	
36	2328	6	-999	-999	-999	-999	-999	-999	
38	2389	4	-999	-999	-999	-999	-999	-999	
40	2450	4	23.84	-1.206	-999	3.819	25.64	-999	
42	2512	5	-999	-999	-999	-999	-999	-999	
44	2573	6	-999	-999	-999	-999	-999	-999	
45	2604	-999	31.048	-0.846	2.954	4.087	26.39	-999	
46	2634	5	-999	-999	-999	-999	-999	-999	
48	2695	5	-999	-999	-999	-999	-999	-999	
50	2757	5	26.679	-0.924	2.911	4.03	26.24	-999	
52	2818	5	-999	-999	-999	-999	-999	-999	
54	2879	4	-999	-999	-999	-999	-999	-999	
55	2910	-999	24.921	-0.912	3.02	3.863	25.77	-999	
56	2940	4	-999	-999	-999	-999	-999	-999	
58	3002	4	-999	-999	-999	-999	-999	-999	
60	3063	5	23.173	-1.254	2.85	3.815	25.63	-999	
