# NOAA Paleoclimatology Program - Paleocean Site Data
# md85674_sytr-tab.txt
# SYNTRACE data only
# File Created: 08-Jul-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Edouard Bard
# Core/Site:      MD85674
# Latitude:       3.11.00N	( 3.18333)
# Longitude:      50.26.00E	( 50.43333)
# Water Depth(m): 4875
#
# Publications:
#   Bard, E., F. Rostek, and C. Sonzogni. 1997. Interhemispheric synchrony of the
#     last deglaciation inferred from alkenone palaeothermometry. Nature 385, 707-710.
#   Rostek, F., G. Ruhland, F. Bassinot, P.J. Mueller, L. Labeyrie, Y. Lancelot,
#     and E. Bard. 1993. Reconstructing sea surface temperature and salinity using
#     d18O and alkenone records. Nature 364, 319-321.
#   Rostek, F., E. Bard, L. Beaufort, C. Sonzogni, and G. Ganssen. 1997. Sea surface
#     temperature and productivity records for the past 240 kyr in the Arabian Sea.
#     Deep Sea Research II 44, 1461-1480.
#------------------
#
# Description & Notes:
#   Indian Ocean Sea Surface Temperature Reconstruction for last 150,000 years.
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37      Sea Surface Temperature from Uk'37
#
# CORE: MD85674
depth	calyrBP 	sst-uk37	
-999	0	26.9	
-999	300	26.6	
-999	500	26.6	
-999	800	27	
-999	2000	26.9	
-999	2900	26.6	
-999	3800	27.5	
-999	4700	27.1	
-999	5500	27.3	
-999	6500	26.8	
-999	7700	26.6	
-999	9400	27	
-999	10900	26.6	
-999	12800	26.4	
-999	13800	26.5	
-999	14900	26.5	
-999	16000	26.5	
-999	16800	26	
-999	17300	25.7	
-999	17700	25.7	
-999	18100	25.7	
-999	18600	25.4	
-999	19200	25.5	
-999	19700	25.6	
-999	20200	25.6	
-999	20700	25.2	
-999	21200	25.9	
-999	21700	26.3	
-999	22600	26.1	
-999	24500	26.5	
-999	26100	26.5	
-999	27700	26.4	
-999	29200	26.3	
-999	32000	26.4	
-999	33900	26.1	
-999	36300	25.9	
-999	38700	26.2	
-999	41500	26.3	
-999	43400	25.9	
-999	45900	26.1	
-999	48300	26.2	
-999	49800	26.3	
-999	50100	26.3	
-999	50800	26.1	
-999	51100	26.3	
-999	51500	26.3	
-999	52700	26.5	
-999	53900	26.6	
-999	55200	26.6	
-999	56400	26.4	
-999	57200	26.3	
-999	58300	26.6	
-999	59500	26.6	
-999	60700	26.7	
-999	62100	26.2	
-999	63400	25.9	
-999	65100	25.7	
-999	66400	25.8	
-999	67400	25.8	
-999	68100	25.6	
-999	69500	25.8	
-999	70200	26	
-999	70900	26.5	
-999	71600	26.5	
-999	72500	26.3	
-999	73200	26.9	
-999	73800	26.7	
-999	74200	26.9	
-999	74900	26.8	
-999	75300	26.9	
-999	76300	27	
-999	77200	27.1	
-999	78300	27.3	
-999	79300	27.4	
-999	80200	27.5	
-999	80700	27.5	
-999	81200	27.6	
-999	81900	27.6	
-999	82800	26.8	
-999	83200	26.9	
-999	85100	26.7	
-999	86700	27	
-999	88300	26.9	
-999	89300	26.8	
-999	90300	26.5	
-999	91300	26.5	
-999	92300	26.5	
-999	93300	26.6	
-999	94500	27	
-999	95400	27.3	
-999	96500	27.3	
-999	97800	27.5	
-999	99700	27.4	
-999	101200	27.4	
-999	102400	27.5	
-999	104900	27.3	
-999	106200	27	
-999	107800	26.8	
-999	109700	26.7	
-999	111800	26.6	
-999	114200	26.6	
-999	116200	26.7	
-999	116700	26.7	
-999	117500	26.8	
-999	118700	27	
-999	119800	27.2	
-999	120900	27.6	
-999	121900	27.7	
-999	123000	27.7	
-999	124000	27.8	
-999	126100	27.9	
-999	127600	27.8	
-999	129200	27.8	
-999	130700	27.5	
-999	132400	27.3	
-999	133400	26.9	
-999	134600	26.3	
-999	135600	26	
-999	136900	26.1	
-999	138200	26	
-999	139200	26.1	
-999	140400	25.7	
-999	141700	26.1	
-999	142900	26.4	
-999	143800	26.3	
-999	145200	26.7	
-999	146500	26.6	
-999	147500	26.6	
-999	148700	26.6	
-999	149000	26.7	
-999	149200	26.2	
