# NOAA Paleoclimatology Program - Paleocean Site Data
# o806b-mm-tab.txt
# Complete Data
# File Created: 19-Mar-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Martin Medina-Elizalde
# Core/Site:      ODP806B
# Latitude:       0.19.04N	( 0.31778)
# Longitude:      159.21.25E	( 159.3569)
# Water Depth(m): 2520
#
# Publications:
#   Medina-Elizalde, M., D.W. Lea, and M.S. Fantle. 2008. Implications of seawater
#     Mg/Ca variability for Plio-Pleistocene tropical climate reconstruction. Earth
#     and Planetary Science Letters, 269(3-4), 585-595.
#------------------
#
# Description & Notes:
#   Plio-Pleistocene Seawater Mg/Ca Variability Data and SST reconstruction
#   All Mg/Ca data from Wara et al., 2005, Science
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca-g.sac   Magnesium/Calcium ratio (Globigerinoides sacculifer) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#             sst-mg/ca.adj Sea surface temperature from Mg/Ca adjusted for Mg/Ca variation
#
# CORE: ODP806B
depth	yrBP 	Mg/Ca-g.sac	sst-mg/ca	sst-mg/ca.adj	
-999	24000	4	29.358	29.401	
-999	36000	3.583	28.133	28.198	
-999	48000	3.21	26.911	26.999	
-999	60000	3.324	27.3	27.409	
-999	72000	3.4	27.552	27.683	
-999	84000	3.4	27.552	27.706	
-999	96000	3.504	27.888	28.064	
-999	108000	3.661	28.373	28.572	
-999	120000	3.79	28.759	28.98	
-999	132000	3.876	29.008	29.252	
-999	144000	3.59	28.158	28.424	
-999	156000	3.38	27.486	27.776	
-999	168000	3.32	27.287	27.6	
-999	180000	3.264	27.097	27.432	
-999	192000	3.209	26.91	27.268	
-999	204000	3.568	28.089	28.471	
-999	216000	3.855	28.947	29.352	
-999	228000	3.675	28.416	28.844	
-999	240000	3.752	28.647	29.099	
-999	252000	4.013	29.394	29.864	
-999	264000	3.94	29.19	29.654	
-999	276000	3.7	28.491	28.95	
-999	288000	3.373	27.462	27.915	
-999	300000	3.127	26.623	27.07	
-999	312000	3.291	27.19	27.631	
-999	324000	3.543	28.009	28.445	
-999	336000	3.881	29.022	29.452	
-999	348000	3.767	28.69	29.114	
-999	360000	3.586	28.145	28.563	
-999	372000	3.314	27.266	27.678	
-999	384000	3.1	26.526	26.932	
-999	396000	2.929	25.894	26.294	
-999	408000	3.233	26.993	27.388	
-999	420000	3.336	27.342	27.731	
-999	432000	3.833	28.885	29.268	
-999	444000	4.633	30.991	31.368	
-999	456000	4.071	29.554	29.926	
-999	468000	3.5	27.874	28.239	
-999	480000	3.5	27.874	28.234	
-999	492000	3.45	27.714	28.068	
-999	504000	3.567	28.084	28.431	
-999	516000	4.233	29.988	30.327	
-999	528000	4.25	30.031	30.362	
-999	540000	4.029	29.439	29.762	
-999	552000	3.747	28.632	28.947	
-999	564000	3.647	28.332	28.639	
-999	576000	3.633	28.289	28.589	
-999	588000	3.767	28.69	28.981	
-999	600000	4.012	29.39	29.673	
-999	612000	4.106	29.648	29.923	
-999	624000	3.824	28.856	29.123	
-999	636000	3.8	28.788	29.047	
-999	648000	3.756	28.657	28.908	
-999	660000	3.622	28.255	28.498	
-999	672000	3.659	28.367	28.602	
-999	684000	3.644	28.323	28.55	
-999	696000	3.511	27.909	28.128	
-999	708000	3.561	28.066	28.277	
-999	720000	3.794	28.772	28.974	
-999	732000	4.261	30.06	30.255	
-999	744000	3.994	29.342	29.528	
-999	756000	3.772	28.706	28.891	
-999	768000	3.706	28.508	28.697	
-999	780000	3.468	27.773	27.967	
-999	792000	3.319	27.284	27.483	
-999	804000	3.376	27.474	27.678	
-999	816000	3.8	28.788	28.996	
-999	828000	3.935	29.177	29.39	
-999	840000	3.3	27.22	27.439	
-999	852000	3.208	26.905	27.128	
-999	864000	3.475	27.794	28.022	
-999	876000	3.682	28.438	28.671	
-999	888000	3.811	28.82	29.058	
-999	900000	3.878	29.013	29.256	
-999	912000	3.633	28.289	28.537	
-999	924000	3.311	27.258	27.51	
-999	936000	3.378	27.479	27.737	
-999	948000	3.489	27.839	28.101	
-999	960000	3.611	28.221	28.489	
-999	972000	3.678	28.425	28.697	
-999	984000	3.789	28.755	29.033	
-999	996000	3.9	29.076	29.359	
-999	1008000	3.9	29.076	29.368	
-999	1020000	3.665	28.385	28.688	
-999	1032000	3.417	27.606	27.921	
-999	1044000	3.483	27.821	28.147	
-999	1056000	3.7	28.491	28.829	
-999	1068000	3.833	28.885	29.233	
-999	1080000	3.567	28.084	28.444	
-999	1092000	3.45	27.714	28.086	
-999	1104000	3.6	28.187	28.57	
-999	1116000	4.4	30.417	30.811	
-999	1128000	4.2	29.9	30.306	
-999	1140000	3.833	28.885	29.303	
-999	1152000	3.967	29.265	29.694	
-999	1164000	3.8	28.788	29.229	
-999	1176000	3.618	28.241	28.694	
-999	1188000	3.688	28.456	28.921	
-999	1200000	4.033	29.45	29.927	
-999	1212000	4.211	29.929	30.418	
-999	1224000	3.944	29.202	29.702	
-999	1236000	3.639	28.307	28.819	
-999	1248000	3.326	27.308	27.832	
-999	1260000	3.856	28.949	29.493	
-999	1272000	3.878	29.013	29.579	
-999	1284000	3.7	28.491	29.08	
-999	1296000	3.7	28.491	29.103	
-999	1308000	3.989	29.327	29.961	
-999	1320000	3.322	27.295	27.951	
-999	1332000	3.456	27.732	28.411	
-999	1344000	3.844	28.917	29.619	
-999	1356000	3.511	27.909	28.634	
-999	1368000	3.667	28.391	29.138	
-999	1380000	3.989	29.327	30.097	
-999	1392000	3.922	29.14	29.932	
-999	1404000	3.806	28.805	29.621	
-999	1416000	3.7	28.491	29.33	
-999	1428000	3.7	28.491	29.353	
-999	1440000	3.5	27.874	28.759	
