# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1012_sytr-tab.txt
# SYNTRACE data only
# File Created: 23-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1012
# Latitude:       32.16.58N	( 32.28278)
# Longitude:      118.23.01W	( -118.3836)
# Water Depth(m): 1783
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Depth is Herbert Science 2001 version of composite depth. Isotope Data analytical
#   error is ~0.1 per mil. The Uk'37 data have an analytical precision equal to +-
#   0.15 Degrees Celsius. The age model comes from tuning benthic d18O variations
#   to the SPECMAP c
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1012
depth	calyrBP 	sst-uk37	uk37	notes
28.3113	2048.2	16.5	0.602	1012B 1H-1 15
34.1722	2530.7	16.5	0.599	1012B 1H-1 25
40.4635	3048.6	16.5	0.6	1012B 1H-1 35
47.6352	3638.9	16.6	0.605	1012B 1H-1 43
58.4129	4526.1	16.8	0.61	1012B 1H-1 55
67.5175	5275.5	16.6	0.605	1012B 1H-1 65
76.7415	6034.8	16.1	0.588	1012B 1H-1 75
86.1205	6806.9	16.1	0.586	1012B 1H-1 85
95.6608	7592.2	16.2	0.589	1012B 1H-1 95
105.39	8393.1	16.5	0.598	1012B 1H-1 105
115.307	9209.4	16.3	0.593	1012B 1H-1 115
125.394	10040	16.3	0.592	1012B 1H-1 125
135.664	10859	15.6	0.57	1012B 1H-1 135
146.054	11456	15.7	0.573	1012B 1H-1 145
156.553	12059	15.9	0.578	1012B 1H-2 5
167.098	12665	16	0.581	1012B 1H-2 15
177.658	13271	15.2	0.556	1012B 1H-2 25
188.17	13875	15.3	0.56	1012B 1H-2 35
198.603	14474	16.2	0.588	1012B 1H-2 45
208.993	15071	16.7	0.606	1012B 1H-2 55
219.408	15669	16.4	0.595	1012B 1H-2 65
229.62	16256	16.2	0.59	1012B 1H-2 75
239.698	16835	17.3	0.628	1012B 1H-2 85
249.594	17403	17.1	0.622	1012B 1H-2 95
259.335	17963	16.8	0.609	1012B 1H-2 105
268.986	18517	16.1	0.587	1012B 1H-2 115
278.555	19067	16.1	0.585	1012B 1H-2 125
288.037	19611	15.3	0.558	1012B 1H-2 135
297.478	20153	15.4	0.562	1012B 1H-2 145
306.905	20695	14.8	0.544	1012B 1H-3 5
316.508	21246	14.8	0.541	1012B 1H-3 15
326.163	21801	14.8	0.541	1012B 1H-3 25
335.874	22359	13.4	0.496	1012B 1H-3 35
345.653	22920	13.2	0.488	1012B 1H-3 45
355.509	23486	12.3	0.457	1012B 1H-3 55
365.447	24131	12.4	0.462	1012B 1H-3 65
375.464	25451	12	0.446	1012B 1H-3 75
385.551	26781	12.2	0.454	1012B 1H-3 85
395.695	28117	13	0.481	1012B 1H-3 95
405.882	29460	13.1	0.484	1012B 1H-3 105
416.093	30805	12.8	0.475	1012B 1H-3 115
426.314	32152	12.4	0.459	1012B 1H-3 125
436.53	33498	12.7	0.47	1012B 1H-3 135
446.732	34843	12.8	0.476	1012B 1H-3 145
456.879	36180	13.5	0.498	1012B 1H-4 5
466.851	37494	13.6	0.5	1012B 1H-4 15
476.816	38807	13.8	0.507	1012B 1H-4 25
486.797	40122	13.9	0.512	1012B 1H-4 35
496.816	41442	13.5	0.499	1012B 1H-4 45
506.616	42734	13	0.48	1012B 1H-4 55
516.258	44004	12.9	0.476	1012B 1H-4 65
526.005	45289	13.7	0.504	1012B 1H-4 75
535.884	46590	13.5	0.498	1012B 1H-4 85
545.92	47913	14.3	0.526	1012B 1H-4 95
556.362	49289	14.3	0.525	1012B 1H-4 105
567.162	50712	13.7	0.505	1012B 1H-4 115
578.182	52164	13.9	0.51	1012B 1H-4 125
589.415	53644	13.9	0.511	1012B 1H-4 135
600.857	55144	13.5	0.499	1012B 1H-4 145
612.424	56584	13.3	0.49	1012B 1H-5 5
624.109	58039	13.1	0.485	1012B 1H-5 15
635.834	59500	13	0.482	1012B 1H-5 25
645.966	60761	12.9	0.477	1012B 1H-5 35
655.471	61945	13.2	0.488	1012B 1H-5 45
664.666	63090	13	0.48	1012B 1H-5 55
672.572	64075	12.8	0.475	1012B 1H-5 65
678.45	64807	13.6	0.502	1012B 1H-5 75
685.428	65729	14.1	0.519	1012B 1H-5 85
692.761	66714	14.6	0.536	1012B 1H-5 95
710.874	69147	14.9	0.544	1012B 1H-5 105
732.379	72035	14.3	0.527	1012B 1H-5 115
745.424	73787	14.7	0.539	1012B 1H-5 125
754.615	75021	14.8	0.543	1012B 1H-5 135
763.711	76243	15.2	0.557	1012B 1H-5 145
772.652	77444	15.8	0.575	1012B 1H-6 5
781.419	78621	16.5	0.599	1012B 1H-6 15
790.046	79780	17.1	0.62	1012B 1H-6 25
798.56	80923	17.3	0.628	1012B 1H-6 35
807.293	82096	17.7	0.64	1012B 1H-6 45
817.744	83455	17.4	0.63	1012B 1H-6 55
828.202	84223	17.2	0.622	1012B 1H-6 65
836.788	84853	16.4	0.596	1012B 1H-6 75
844.575	85425	15.6	0.57	1012B 1H-6 85
852.342	85996	15.8	0.576	1012B 1H-6 95
860.105	86566	16	0.583	1012B 1H-6 105
869.693	87270	16	0.584	1012B 2H-1 4
879	87954	15.7	0.574	1012B 2H-1 15
887.473	88576	15.8	0.577	1012B 2H-1 25
896.025	89204	15.8	0.576	1012B 2H-1 35
904.759	89846	15.7	0.573	1012B 2H-1 45
913.726	90505	15.8	0.576	1012B 2H-1 55
923.023	91188	16	0.583	1012B 2H-1 65
932.663	91999	15.7	0.574	1012B 2H-1 75
942.706	93126	15.8	0.578	1012B 2H-1 85
953.079	94290	15.8	0.577	1012B 2H-1 95
963.714	95483	16.2	0.589	1012B 2H-1 105
974.456	96689	16.8	0.61	1012B 2H-1 115
985.137	97888	17	0.616	1012B 2H-1 125
995.592	99061	17.1	0.619	1012B 2H-1 135
1004	100000	17.1	0.622	1012B 2H-1 145
1011.9	100890	17.1	0.62	1012B 2H-2 5
1019.59	101750	17.5	0.632	1012B 2H-2 15
1026.97	102560	16.9	0.615	1012B 2H-2 25
1034.04	103330	17.1	0.622	1012B 2H-2 35
1040.84	104070	16.8	0.611	1012B 2H-2 45
1047.43	104780	16.3	0.594	1012B 2H-2 55
1053.83	105480	16.1	0.586	1012B 2H-2 65
1060.09	106160	16.7	0.606	1012B 2H-2 75
1066.26	106830	16.6	0.603	1012B 2H-2 85
1072.36	107490	16.8	0.609	1012B 2H-2 95
1078.45	108160	16	0.582	1012B 2H-2 105
1084.55	108820	15.9	0.581	1012B 2H-2 115
1090.72	109490	16	0.582	1012B 2H-2 125
1096.99	110170	16.3	0.593	1012B 2H-2 135
1103.4	110880	16.3	0.593	1012B 2H-2 145
1109.96	111630	16.2	0.591	1012B 2H-3 5
1116.73	112390	16.6	0.605	1012B 2H-3 15
1123.94	113210	16.7	0.606	1012B 2H-3 25
1132.7	114200	16.6	0.604	1012B 2H-3 35
1141.96	115240	17.2	0.623	1012B 2H-3 45
1151.56	116330	17.5	0.633	1012B 2H-3 55
1161.47	117450	18.1	0.653	1012B 2H-3 65
1171.56	118590	18.4	0.663	1012B 2H-3 75
1181.72	119740	18.9	0.683	1012B 2H-3 85
1191.83	120880	19.1	0.687	1012B 2H-3 95
1201.76	122000	19.6	0.706	1012B 2H-3 105
1211.47	123100	19.4	0.7	1012B 2H-3 115
1220.89	124140	19.5	0.702	1012B 2H-3 125
1230.48	125190	19.2	0.691	1012B 2H-3 135
1240.7	126310	17.4	0.63	1012B 2H-3 145
1260.45	128460	17.9	0.646	1012B 2H-4 15
1270.13	129520	16.5	0.6	1012B 2H-4 25
1279.8	130570	16.4	0.597	1012B 2H-4 35
1289.53	131640	16.2	0.591	1012B 2H-4 45
1298.39	132600	16.3	0.592	1012B 2H-4 55
1309.4	133810	16.1	0.587	1012B 2H-4 65
1319.63	134920	16.6	0.605	1012B 2H-4 75
1330.01	136060	17	0.618	1012B 2H-4 85
1340.55	137260	17.4	0.63	1012B 2H-4 95
1350.12	138350	17.6	0.636	1012B 2H-4 105
1361.81	139680	17.8	0.645	1012B 2H-4 115
1372.36	140880	17.8	0.646	1012B 2H-4 125
1382.76	142060	16.7	0.608	1012B 2H-4 135
1392.96	143220	15.8	0.575	1012B 2H-4 145
1402	144250	15	0.548	1012B 2H-5 4
1412.83	145480	14.3	0.526	1012B 2H-5 15
1422.53	146580	13.6	0.501	1012B 2H-5 25
1432.14	147670	13.6	0.501	1012B 2H-5 35
1441.72	148860	13.5	0.499	1012B 2H-5 45
1450.39	149970	13.7	0.505	1012B 2H-5 55
1461.12	151340	14.3	0.526	1012B 2H-5 65
1470.83	152580	14.2	0.522	1012B 2H-5 75
1480.15	153780	15.1	0.552	1012B 2H-5 85
1489.7	155000	15	0.548	1012B 2H-5 95
1498.51	156140	14.5	0.534	1012B 2H-5 104
1509.51	157680	13.8	0.508	1012B 2H-5 114
1519.71	159120	13.6	0.5	1012B 2H-5 124
1530.02	160560	13.8	0.509	1012B 2H-5 134
1540.36	162020	12.8	0.475	1012B 2H-5 144
1549.63	163320	15.7	0.574	1012B 2H-6 4
1560.83	164890	14.3	0.525	1012B 2H-6 15
1570.81	166290	14.7	0.539	1012B 2H-6 25
1580.59	167670	13.8	0.508	1012B 2H-6 35
1590.16	169010	13.9	0.511	1012B 2H-6 45
1599.57	170330	14.3	0.526	1012B 2H-6 55
1609.84	171780	13.9	0.51	1012B 2H-6 65
1622	173200	14.4	0.528	1012B 2H-6 75
1632	174200	15.1	0.553	1012B 2H-6 85
1642	175200	15.7	0.571	1012B 2H-6 95
1651	176100	14.9	0.545	1012B 2H-6 105
1662	177200	14.9	0.545	1012B 2H-6 115
1672	178200	15.1	0.553	1012B 2H-6 125
1682	179200	15.7	0.573	1012B 2H-6 135
1692	180630	16.3	0.593	1012B 2H-6 145
1701	183490	13.6	0.5	1012B 2H-7 4
1712	186980	16.3	0.592	1012B 2H-7 15
1722	190150	16.8	0.611	1012B 2H-7 25
1732	193170	18.1	0.654	1012B 2H-7 35
1735	193700	18.2	0.658	1012A 3H-2 75
1742	194920	18.6	0.671	1012B 2H-7 45
1745	195450	18.1	0.654	1012A 3H-2 85
1751	196490	18.3	0.662	1012B 2H-7 54
1755	197190	18.6	0.671	1012A 3H-2 95
1765	198940	18.1	0.653	1012A 3H-2 105
1775	200690	16.5	0.601	1012A 3H-2 115
1785	202440	17.1	0.62	1012A 3H-2 125
1795	204180	17	0.616	1012A 3H-2 135
1805	205930	17.3	0.628	1012A 3H-2 145
1815	207680	17.7	0.642	1012A 3H-3 5
1825	209420	17.7	0.641	1012A 3H-3 15
1835	211170	18.2	0.659	1012A 3H-3 25
1845	212920	18.5	0.668	1012A 3H-3 35
1855	214670	18.6	0.67	1012A 3H-3 45
1865	216240	18.9	0.681	1012A 3H-3 55
1875	217230	18.9	0.681	1012A 3H-3 65
1885	218230	18.2	0.657	1012A 3H-3 75
1893.6	219080	17	0.616	1012B 3H-1 25
1895	219220	17.4	0.632	1012A 3H-3 85
1903.93	220110	15.3	0.558	1012B 3H-1 35
1913.95	221110	14	0.515	1012B 3H-1 45
1915	221210	14.1	0.518	1012A 3H-3 105
1923.79	222090	13.5	0.497	1012B 3H-1 55
1933.56	223060	13.3	0.493	1012B 3H-1 65
1935	223200	13.2	0.487	1012A 3H-3 125
1943.25	224170	13.7	0.504	1012B 3H-1 75
1952.87	225580	14.6	0.537	1012B 3H-1 85
1962.44	226970	16.1	0.585	1012B 3H-1 95
1971.96	228360	15.6	0.57	1012B 3H-1 105
1981.46	229740	14.7	0.538	1012B 3H-1 115
1990.96	231130	15.6	0.571	1012B 3H-1 125
2000.48	232510	15.4	0.562	1012B 3H-1 135
2010.11	233920	16.6	0.605	1012B 3H-1 145
2019.8	235330	16.6	0.604	1012B 3H-2 4
2029.55	236750	16.7	0.607	1012B 3H-2 15
2039.38	238180	17.3	0.627	1012B 3H-2 25
2049.28	239490	17.4	0.632	1012B 3H-2 35
2059.26	240630	17.5	0.634	1012B 3H-2 45
2069.3	241780	17.7	0.642	1012B 3H-2 55
2079.43	242940	17.8	0.645	1012B 3H-2 65
2089.62	244100	17.2	0.625	1012B 3H-2 75
2099.82	245270	15.9	0.579	1012B 3H-2 85
2110.03	246440	14.4	0.527	1012B 3H-2 95
2120.22	247610	13.7	0.505	1012B 3H-2 105
2130.38	248770	13.9	0.513	1012B 3H-2 115
2140.47	249920	13.8	0.508	1012B 3H-2 125
2150.49	251070	13.3	0.49	1012B 3H-2 135
2160.5	252210	13.6	0.502	1012B 3H-2 145
2169.75	253340	12.9	0.478	1012B 3H-3 4
2180.98	254740	13.2	0.489	1012B 3H-3 15
2191.07	256000	13.3	0.49	1012B 3H-3 25
2201.06	257240	13.4	0.493	1012B 3H-3 35
2210.95	258470	13.1	0.483	1012B 3H-3 45
2220.77	259700	12.6	0.468	1012B 3H-3 55
2230.52	260910	12.9	0.476	1012B 3H-3 65
2240.23	262230	12.9	0.478	1012B 3H-3 75
2249.94	264520	12.8	0.473	1012B 3H-3 85
2259.66	266810	11.4	0.427	1012B 3H-3 95
2269.41	269110	10.9	0.41	1012B 3H-3 105
2279.21	271420	12.6	0.467	1012B 3H-3 115
2289.08	273620	12.9	0.477	1012B 3H-3 125
2299.02	274750	13.2	0.487	1012B 3H-3 135
2309.04	275900	13	0.481	1012B 3H-3 145
2318.11	276930	13.1	0.483	1012B 3H-4 4
2329.27	278200	13.2	0.489	1012B 3H-4 15
2339.47	279370	13.4	0.495	1012B 3H-4 25
2349.69	280530	13.6	0.502	1012B 3H-4 35
2359.91	281700	14.3	0.524	1012B 3H-4 45
2369.95	282840	14.4	0.53	1012B 3H-4 55
