Hole			rmcd	rmcd(7/12/01)		age			
1012B	1H-1	15	0.283113	0.283113	3.24	2.0482	0.602	16.5	14.77
1012B	1H-1	25	0.341722	0.341722	3.29	2.5307	0.599	16.5	12.65
1012B	1H-1	35	0.404635	0.404635	3.23	3.0486	0.6	16.5	10.71
1012B	1H-1	43	0.476352	0.476352	3.27	3.6389	0.605	16.6	9.87
1012B	1H-1	55	0.584129	0.584129	3.27	4.5261	0.61	16.8	8.97
1012B	1H-1	65	0.675175	0.675175	3.24	5.2755	0.605	16.6	8.35
1012B	1H-1	75	0.767415	0.767415	3.19	6.0348	0.588	16.1	8.07
1012B	1H-1	85	0.861205	0.861205	3.12	6.8069	0.586	16.1	7.77
1012B	1H-1	95	0.956608	0.956608	3.16	7.5922	0.589	16.2	8.48
1012B	1H-1	105	1.0539	1.0539	4.1	8.3931	0.598	16.5	8.58
1012B	1H-1	115	1.15307	1.15307	3.36	9.2094	0.593	16.3	7.25
1012B	1H-1	125	1.25394	1.25394	3.38	10.04	0.592	16.3	7.01
1012B	1H-1	135	1.35664	1.35664	3.3	10.859	0.57	15.6	6.59
1012B	1H-1	145	1.46054	1.46054	3.46	11.456	0.573	15.7	6.21
1012B	1H-2	5	1.56553	1.56553	4.1	12.059	0.578	15.9	4.78
1012B	1H-2	15	1.67098	1.67098	4.04	12.665	0.581	16	6.21
1012B	1H-2	25	1.77658	1.77658	3.84	13.271	0.556	15.2	8.81
1012B	1H-2	35	1.8817	1.8817	4.76	13.875	0.56	15.3	8.86
1012B	1H-2	45	1.98603	1.98603	4.49	14.474	0.588	16.2	9.83
1012B	1H-2	55	2.08993	2.08993	4.66	15.071	0.606	16.7	13.25
1012B	1H-2	65	2.19408	2.19408	4.37	15.669	0.595	16.4	11.72
1012B	1H-2	75	2.2962	2.2962	4.64	16.256	0.59	16.2	13.08
1012B	1H-2	85	2.39698	2.39698	4.76	16.835	0.628	17.3	15.08
1012B	1H-2	95	2.49594	2.49594	-999	17.403	0.622	17.1	13.33
1012B	1H-2	105	2.59335	2.59335	4.61	17.963	0.609	16.8	15.12
1012B	1H-2	115	2.68986	2.68986	4.85	18.517	0.587	16.1	13.02
1012B	1H-2	125	2.78555	2.78555	4.65	19.067	0.585	16.1	9.91
1012B	1H-2	135	2.88037	2.88037	4.81	19.611	0.558	15.3	7.3
1012B	1H-2	145	2.97478	2.97478	4.77	20.153	0.562	15.4	10.34
1012B	1H-3	5	3.06905	3.06905	4.65	20.695	0.544	14.8	10.18
1012B	1H-3	15	3.16508	3.16508	4.62	21.246	0.541	14.8	9.6
1012B	1H-3	25	3.26163	3.26163	4.69	21.801	0.541	14.8	8.9
1012B	1H-3	35	3.35874	3.35874	4.71	22.359	0.496	13.4	8.02
1012B	1H-3	45	3.45653	3.45653	4.68	22.92	0.488	13.2	6.67
1012B	1H-3	55	3.55509	3.55509	4.66	23.486	0.457	12.3	8.14
1012B	1H-3	65	3.65447	3.65447	4.46	24.131	0.462	12.4	8.34
1012B	1H-3	75	3.75464	3.75464	4.63	25.451	0.446	12	10.31
1012B	1H-3	85	3.85551	3.85551	4.46	26.781	0.454	12.2	9.24
1012B	1H-3	95	3.95695	3.95695	4.47	28.117	0.481	13	10.09
1012B	1H-3	105	4.05882	4.05882	4.43	29.46	0.484	13.1	10.4
1012B	1H-3	115	4.16093	4.16093	-999	30.805	0.475	12.8	11.56
1012B	1H-3	125	4.26314	4.26314	4.38	32.152	0.459	12.4	11.94
1012B	1H-3	135	4.3653	4.3653	4.16	33.498	0.47	12.7	12.57
1012B	1H-3	145	4.46732	4.46732	4.22	34.843	0.476	12.8	9.57
1012B	1H-4	5	4.56879	4.56879	4.33	36.18	0.498	13.5	11.13
1012B	1H-4	15	4.66851	4.66851	4.51	37.494	0.5	13.6	10.32
1012B	1H-4	25	4.76816	4.76816	4.39	38.807	0.507	13.8	11.77
1012B	1H-4	35	4.86797	4.86797	4.47	40.122	0.512	13.9	14.26
1012B	1H-4	45	4.96816	4.96816	4.37	41.442	0.499	13.5	14.89
1012B	1H-4	55	5.06616	5.06616	4.32	42.734	0.48	13	13.39
1012B	1H-4	65	5.16258	5.16258	4.41	44.004	0.476	12.9	10.81
1012B	1H-4	75	5.26005	5.26005	4.42	45.289	0.504	13.7	12.16
1012B	1H-4	85	5.35884	5.35884	4.25	46.59	0.498	13.5	13.83
1012B	1H-4	95	5.4592	5.4592	4.35	47.913	0.526	14.3	11.91
1012B	1H-4	105	5.56362	5.56362	4.32	49.289	0.525	14.3	11.7
1012B	1H-4	115	5.67162	5.67162	4.38	50.712	0.505	13.7	13.29
1012B	1H-4	125	5.78182	5.78182	4.29	52.164	0.51	13.9	11.36
1012B	1H-4	135	5.89415	5.89415	4.32	53.644	0.511	13.9	11.47
1012B	1H-4	145	6.00857	6.00857	4.01	55.144	0.499	13.5	15
1012B	1H-5	5	6.12424	6.12424	4.28	56.584	0.49	13.3	14.9
1012B	1H-5	15	6.24109	6.24109	4.17	58.039	0.485	13.1	11.55
1012B	1H-5	25	6.35834	6.35834	4.33	59.5	0.482	13	11.11
1012B	1H-5	35	6.45966	6.45966	4.36	60.761	0.477	12.9	10.58
1012B	1H-5	45	6.55471	6.55471	4.49	61.945	0.488	13.2	13.63
1012B	1H-5	55	6.64666	6.64666	4.44	63.09	0.48	13	16.04
1012B	1H-5	65	6.72572	6.72572	4.43	64.075	0.475	12.8	13.69
1012B	1H-5	75	6.7845	6.7845	4.39	64.807	0.502	13.6	16.18
1012B	1H-5	85	6.85428	6.85428	4.31	65.729	0.519	14.1	19.91
1012B	1H-5	95	6.92761	6.92761	4.4	66.714	0.536	14.6	27
1012B	1H-5	105	7.10874	7.10874	4.43	69.147	0.544	14.9	33.81
1012B	1H-5	115	7.32379	7.32379	4.17	72.035	0.527	14.3	32.07
1012B	1H-5	125	7.45424	7.45424	3.97	73.787	0.539	14.7	35.62
1012B	1H-5	135	7.54615	7.54615	4.1	75.021	0.543	14.8	40.7
1012B	1H-5	145	7.63711	7.63711	4.05	76.243	0.557	15.2	40.95
1012B	1H-6	5	7.72652	7.72652	4.01	77.444	0.575	15.8	38.13
1012B	1H-6	15	7.81419	7.81419	3.94	78.621	0.599	16.5	32.87
1012B	1H-6	25	7.90046	7.90046	3.82	79.78	0.62	17.1	30.97
1012B	1H-6	35	7.9856	7.9856	3.74	80.923	0.628	17.3	29.24
1012B	1H-6	45	8.07293	8.07293	3.84	82.096	0.64	17.7	57.85
1012B	1H-6	55	8.17744	8.17744	3.77	83.455	0.63	17.4	30.96
1012B	1H-6	65	8.28202	8.28202	3.94	84.223	0.622	17.2	29.37
1012B	1H-6	75	8.36788	8.36788	3.73	84.853	0.596	16.4	25.55
1012B	1H-6	85	8.44575	8.44575	3.8	85.425	0.57	15.6	20.83
1012B	1H-6	95	8.52342	8.52342	3.9	85.996	0.576	15.8	27.27
1012B	1H-6	105	8.60105	8.60105	4.08	86.566	0.583	16	34.35
1012B	2H-1	4	8.69693	8.69693	3.75	87.27	0.584	16	45.78
1012B	2H-1	15	8.79	8.79	3.9	87.954	0.574	15.7	51.45
