# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1016c-tab.txt
# Complete Data
# File Created: 09-Dec-2011
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Masanobu Yamamoto
# Core/Site:      ODP1016C
# Latitude:       34.32.00N	( 34.53333)
# Longitude:      122.17.00W	( -122.2833)
# Water Depth(m): 3834
#
# Publications:
#   Yamamoto, M., M. Yamamuro, and Y. Tanaka. 2007. The California current system
#     during the last 136,000 years:response of the North Pacific High to precessional
#     forcing.Quaternary Science Reviews, Vol. 26, pp. 405–414.
#   Yamamoto, M., M. Yamamuro, and R. Tada. 2000. Late Quaternary records of organic
#     carbon, calcium carbonate and biomarkers from Site 1016 off Point Conception,
#     California margin.  ODP Scientific Results, 167, 183-194.
#------------------
#
# Description & Notes:
#   California Current 136KYr Alkenone Sea Surface Temperature Estimates 
#   Alkenones and alkenoates were analyzed following the method of Yamamoto et al.
#   (2000). UK'37 was calculated from the concentrations of di- and tri-unsaturated
#   C37 alken-2-ones [C37MK] using the method of Prahl et al., (1988).
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d15N          delta N15 (per mil)
#             sst-uk37      Sea Surface Temperature from Uk'37 (C)
#             uk37          Alkenone saturation index
#
# CORE: ODP1016C
depth	calyrBP 	d15N	sst-uk37	uk37	notes
0	3186	8.01	14.46	0.531	1 H 1 0 - 3
0.09	4421.5	7.98	15.173	0.555	1 H 1 9 - 12
0.18	5657	8.46	13.931	0.513	1 H 1 18 - 21
0.27	6892.5	8.87	13.815	0.509	1 H 1 27 - 30
0.36	8128	9.09	14.174	0.521	1 H 1 36 - 39
0.45	10034.5	9.39	13.799	0.508	1 H 1 45 - 48
0.54	11941	8.86	14.308	0.525	1 H 1 54 - 57
0.63	14339	8	10.799	0.406	1 H 1 63 - 66
0.72	15392	8.39	13.034	0.482	1 H 1 72 - 75
0.81	16296.5	7.54	10.755	0.405	1 H 1 81 - 84
0.9	17201	7	11.293	0.423	1 H 1 90 - 93
0.99	18087.3	6.44	11.083	0.416	1 H 1 99 - 102
1.08	18973.7	6.81	11.426	0.427	1 H 1 108 - 111
1.17	19860	7.15	11.142	0.418	1 H 1 117 - 120
1.26	21023.3	6.72	11.199	0.42	1 H 1 126 - 129
1.35	22186.6	6.72	10.578	0.399	1 H 1 135 - 138
1.44	23350	5.44	10.048	0.381	1 H 1 144 - 147
1.53	24513.3	6.19	9.81	0.373	1 H 2 3 - 6
1.62	24870.6	6.1	10.612	0.4	1 H 2 12 - 15
1.71	25228	6.43	10.132	0.383	1 H 2 21 - 24
1.8	25585.3	6.66	9.087	0.348	1 H 2 30 - 33
1.89	25942.7	6.5	9.695	0.369	1 H 2 39 - 42
1.98	26300	6.47	9.243	0.353	1 H 2 48 - 51
2.07	27925.5	6.68	9.44	0.36	1 H 2 57 - 60
2.16	29550.9	7.18	10.024	0.38	1 H 2 66 - 69
2.25	31176.4	6.9	9.819	0.373	1 H 2 75 - 78
2.34	32801.8	6.86	9.342	0.357	1 H 2 84 - 87
2.43	34427.3	7.39	9.419	0.359	1 H 2 93 - 96
2.52	35085.7	7.19	9.255	0.354	1 H 2 102 - 105
2.61	35744.1	6.65	9.904	0.376	1 H 2 111 - 114
2.7	36402.6	7.2	10.683	0.402	1 H 2 120 - 123
2.79	37061	7.11	10.668	0.402	1 H 2 129 - 132
2.88	37719.5	6.76	10.459	0.395	1 H 2 138 - 141
2.97	39202.4	7.18	11.689	0.436	1 H 2 147 - 150
3.06	40685.3	7.41	11.818	0.441	1 H 3 6 - 9
3.15	42168.3	6.61	8.527	0.329	1 H 3 15 - 18
3.24	43651.2	6.75	9.751	0.371	1 H 3 24 - 27
3.33	45134.1	7.34	11.042	0.414	1 H 3 33 - 36
3.42	46617.1	7.57	11.467	0.429	1 H 3 42 - 45
3.51	48100	7.89	11.139	0.418	1 H 3 51 - 54
3.6	49914.8	7.58	12.054	0.449	1 H 3 60 - 63
3.69	51729.7	7.09	10.616	0.4	1 H 3 69 - 72
3.78	53544.5	7.73	10.255	0.388	1 H 3 78 - 81
3.87	55090.7	7.3	11.838	0.441	1 H 3 87 - 90
3.96	56636.8	5.91	10.203	0.386	1 H 3 96 - 99
4.05	58183	5.98	10.038	0.38	1 H 3 105 - 108
4.14	59729.1	5.99	9.599	0.365	1 H 3 114 - 117
4.23	61275.3	5.69	9.87	0.375	1 H 3 123 - 126
4.32	62821.4	5.89	9.457	0.361	1 H 3 132 - 135
4.41	64367.6	5.7	9.479	0.361	1 H 3 141 - 144
4.5	65913.7	5.6	10.226	0.387	1 H 4 0 - 3
4.59	66817.2	6	9.785	0.372	1 H 4 9 - 12
4.68	67720.6	6.2	9.931	0.377	1 H 4 18 - 21
4.77	68624.1	6.17	9.889	0.375	1 H 4 27 - 30
4.86	69527.6	6.3	10.791	0.406	1 H 4 36 - 39
4.95	70431	6.86	10.886	0.409	1 H 4 45 - 48
5.04	71334.5	6.34	11.053	0.415	1 H 4 54 - 57
5.13	72238	6.69	10.273	0.388	1 H 4 63 - 66
5.22	73141.4	6.66	11.635	0.435	1 H 4 72 - 75
5.31	74044.9	6.91	11.732	0.438	1 H 4 81 - 84
5.4	74948.3	7.41	12.538	0.465	1 H 4 90 - 93
5.49	75851.8	8.5	11.478	0.429	1 H 4 99 - 102
5.58	78039.4	7.14	12.469	0.463	1 H 4 108 - 111
5.67	80226.9	6.76	12.144	0.452	1 H 4 117 - 120
5.76	82414.5	6.31	12.255	0.456	1 H 4 126 - 129
5.85	84602	5.83	12.317	0.458	1 H 4 135 - 138
5.94	86789.6	6.82	12.627	0.468	1 H 4 144 - 147
6.03	88977.1	4.55	13.914	0.512	1 H 5 3 - 6
6.12	91164.7	6.76	12.328	0.458	1 H 5 12 - 15
6.21	93352.2	6.59	11.737	0.438	1 H 5 21 - 24
6.3	95539.8	7.16	12.568	0.466	1 H 5 30 - 33
6.39	97727.3	6.76	13.431	0.496	1 H 5 39 - 42
6.48	99914.9	7.27	13.469	0.497	1 H 5 48 - 51
6.57	102102.4	7.28	14.102	0.518	1 H 5 57 - 60
6.66	104290	7.38	13.884	0.511	1 H 5 66 - 69
6.75	105623.3	6.6	13.228	0.489	1 H 5 75 - 78
6.84	106956.7	6.7	13.153	0.486	1 H 5 84 - 87
6.93	108290	7.04	13.773	0.507	1 H 5 93 - 96
7.02	110520.8	6.56	11.846	0.442	1 H 5 102 - 105
7.11	112751.7	6.01	10.392	0.392	1 H 5 111 - 114
7.2	114067	6.18	12.436	0.462	1 H 5 120 - 123
7.29	115382.3	6.28	12.653	0.469	1 H 5 129 - 132
7.38	116697.6	6.59	13.276	0.49	1 H 5 138 - 141
7.47	118012.8	6.86	12.751	0.473	1 H 5 147 - 150
7.56	119328.1	7.57	14.114	0.519	1 H 6 6 - 9
7.65	120643.4	7.45	15.496	0.566	1 H 6 15 - 18
7.74	121958.7	7.92	16.943	0.615	1 H 6 24 - 27
7.83	123274	8.67	17.537	0.635	1 H 6 33 - 36
7.92	123813.4	7.77	17.34	0.629	1 H 6 42 - 45
8.01	124352.9	7.25	16.919	0.614	1 H 6 51 - 54
8.1	124892.3	5.64	14.893	0.545	1 H 6 60 - 63
8.19	125431.7	6.36	14.013	0.515	1 H 6 69 - 72
