# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1020_sytr-tab.txt
# SYNTRACE data only
# File Created: 23-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1020
# Latitude:       41.00.03N	( 41.00083)
# Longitude:      126.26.01W	( -126.4336)
# Water Depth(m): 3042
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Isotope Data analytical error is ~0.1 per mil. The Uk'37 data have an analytical
#   precision equal to +- 0.15 Degrees Celsius. The age model comes from tuning benthic
#   delta 18O to an orbital age model.
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1020
depth	calyrBP 	sst-uk37	uk37	notes
25	3500	11.1	0.418	1020C 1H-1 25
50	5300	10.7	0.403	1020C 1H-1 50
75	7000	10.55	0.375	1020C 1H-1 75
100	8500	10.8	0.407	1020C 1H-1 100
125	9829.8	10.3	0.39	1020C 1H-1 125
151	11212.8	8.3	0.32	1020C 1H-2 0
175	12489.4	8.7	0.335	1020C 1H-2 25
200	13819.1	8.4	0.326	1020C 1H-2 50
225	15148.9	6.83	0.272	1020C 1H-2 75
250	16478.7	9.75	0.37	1020C 1H-2 100
275	17808.5	6.8	0.27	1020C 1H-2 125
315	19936.2	6.5	0.258	1020D 1H-3 0
340	21434.8	5.9	0.239	1020D 1H-3 25
365	23608.7	6.1	0.246	1020D 1H-3 50
390	25782.6	5.6	0.23	1020D 1H-3 75
415	27956.5	7.1	0.28	1020D 1H-3 100
440	30130.4	6.1	0.248	1020D 1H-3 125
459	31787.9	5.6	0.228	1020D 1H-3 144
465	32313.2	5.1	0.212	1020D 1H-4 0
490	34501.9	5.8	0.238	1020D 1H-4 25
515	36690.6	6.6	0.264	1020D 1H-4 50
540	38879.2	6.1	0.248	1020D 1H-4 75
565	41067.9	7.2	0.284	1020D 1H-4 100
590	43256.6	6.8	0.269	1020D 1H-4 125
614	45357.7	7.4	0.29	1020D 1H-5 0
638	47458.9	7.4	0.292	1020D 1H-5 25
663	49647.5	7.5	0.294	1020C 2H-1 75
664	49735.1	7.4	0.291	1020D 1H-5 50
688	51836.2	7.5	0.293	1020C 2H-1 100
713	54024.9	8.7	0.336	1020C 2H-1 125
738	55542.7	7.8	0.303	1020C 2H-2 0
763	57002.2	8	0.312	1020C 2H-2 25
788	58461.6	7.7	0.302	1020C 2H-2 50
813	59921.1	7.1	0.282	1020C 2H-2 75
838	61380.5	6.6	0.262	1020C 2H-2 100
863	62840	7.2	0.284	1020C 2H-2 125
888	64299.5	6.7	0.268	1020C 2H-3 0
913	66063.1	7.3	0.288	1020C 2H-3 25
938	68107.6	7.2	0.285	1020C 2H-3 50
963	70152	8.9	0.342	1020C 2H-3 75
988	72196.4	8	0.31	1020C 2H-3 100
1013	74240.9	7.3	0.287	1020C 2H-3 125
1039	76367.1	8.2	0.318	1020C 2h-4 0
1063	78329.8	8.3	0.322	1020C 2H-4 25
1088	80374.2	9.25	0.355	1020C 2H-4 50
1113	82418.7	9.8	0.372	1020C 2H-4 75
1138	84512.4	9.2	0.353	1020C 2H-4 100
1163	86651.5	7.3	0.287	1020C 2H-4 125
1188	88790.7	8.4	0.326	1020C 2H-5 0
1213	90929.9	10.6	0.4	1020C 2H-5 25
1238	93069.1	9.5	0.362	1020C 2H-5 50
1275	96235.1	10	0.378	1020D 2H-1 100
1300	98374.2	9.8	0.373	1020D 2H-1 125
1319	100000	10.5	0.396	1020D 2H-1 144
1325	100913	9.1	0.348	1020D 2H-2 0
1350	104717.4	10	0.378	1020D 2H-2 25
1375	108521.7	9.3	0.355	1020D 2H-2 50
