# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1020-tab.txt
# Complete Data
# File Created: 22-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1020
# Latitude:       41.00.03N	( 41.00083)
# Longitude:      126.26.01W	( -126.4336)
# Water Depth(m): 3042
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Isotope Data analytical error is ~0.1 per mil. The Uk'37 data have an analytical
#   precision equal to +- 0.15 Degrees Celsius. The age model comes from tuning benthic
#   delta 18O to an orbital age model.
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1020
depth	calyrBP 	d18Oforams-b	sst-uk37	uk37	notes
25	3500	-999	11.1	0.418	1020C 1H-1 25
50	5300	-999	10.7	0.403	1020C 1H-1 50
75	7000	-999	10.55	0.375	1020C 1H-1 75
77	7120	3.64	-999	-999	1020C 1H-1 77
97	8320	3.69	-999	-999	1020C 1H-1 97
100	8500	-999	10.8	0.407	1020C 1H-1 100
125	9829.8	-999	10.3	0.39	1020C 1H-1 125
137	10468.1	4.16	-999	-999	1020C 1H-1 137
151	11212.8	-999	8.3	0.32	1020C 1H-2 0
157	11531.9	4.51	-999	-999	1020C 1H-2 7
175	12489.4	-999	8.7	0.335	1020C 1H-2 25
197	13659.6	4.64	-999	-999	1020C 1H-2 47
200	13819.1	-999	8.4	0.326	1020C 1H-2 50
217	14723.4	4.75	-999	-999	1020C 1H-2 67
225	15148.9	-999	6.83	0.272	1020C 1H-2 75
250	16478.7	-999	9.75	0.37	1020C 1H-2 100
257	16851.1	5.08	-999	-999	1020C 1H-2 107
275	17808.5	-999	6.8	0.27	1020C 1H-2 125
277	17914.9	5.14	-999	-999	1020C 1H-2 127
291	18659.6	5.235	-999	-999	1020D 1H-2 127
311	19723.4	5.185	-999	-999	1020D 1H-2 147
315	19936.2	-999	6.5	0.258	1020D 1H-3 0
317	20042.6	5.12	-999	-999	1020C 1H-3 17
331	20787.2	5.3	-999	-999	1020D 1H-3 17
337	21173.9	5.1	-999	-999	1020C 1H-3 37
340	21434.8	-999	5.9	0.239	1020D 1H-3 25
351	22391.3	5.115	-999	-999	1020D 1H-3 37
365	23608.7	-999	6.1	0.246	1020D 1H-3 50
371	24130.4	4.735	-999	-999	1020D 1H-3 57
377	24652.2	5.035	-999	-999	1020C 1H-3 77
390	25782.6	-999	5.6	0.23	1020D 1H-3 75
391	25869.6	5.13	-999	-999	1020D 1H-3 77
397	26391.3	4.95	-999	-999	1020C 1H-3 97
411	27608.7	5.075	-999	-999	1020D 1H-3 97
415	27956.5	-999	7.1	0.28	1020D 1H-3 100
440	30130.4	-999	6.1	0.248	1020D 1H-3 125
451	31087.5	4.53	-999	-999	1020D 1H-3 137
459	31787.9	-999	5.6	0.228	1020D 1H-3 144
465	32313.2	-999	5.1	0.212	1020D 1H-4 0
471	32838.5	4.87	-999	-999	1020D 1H-4 7
490	34501.9	-999	5.8	0.238	1020D 1H-4 25
511	36340.4	4.78	-999	-999	1020D 1H-4 47
515	36690.6	-999	6.6	0.264	1020D 1H-4 50
531	38091.3	4.725	-999	-999	1020D 1H-4 67
540	38879.2	-999	6.1	0.248	1020D 1H-4 75
551	39842.3	4.79	-999	-999	1020D 1H-4 87
565	41067.9	-999	7.2	0.284	1020D 1H-4 100
571	41593.2	4.87	-999	-999	1020D 1H-4 107
590	43256.6	-999	6.8	0.269	1020D 1H-4 125
591	43344.2	4.865	-999	-999	1020D 1H-4 127
605	44569.8	4.72	-999	-999	1020C 2H-1 17
614	45357.7	-999	7.4	0.29	1020D 1H-5 0
625	46320.8	4.64	-999	-999	1020C 2H-1 37
631	46846	4.775	-999	-999	1020D 1H-5 17
638	47458.9	-999	7.4	0.292	1020D 1H-5 25
645	48071.7	4.555	-999	-999	1020C 2H-1 57
651	48597	4.55	-999	-999	1020D 1H-5 37
663	49647.5	-999	7.5	0.294	1020C 2H-1 75
664	49735.1	-999	7.4	0.291	1020D 1H-5 50
665	49822.6	4.75	-999	-999	1020C 2H-1 77
671	50347.9	5.035	-999	-999	1020D 1H-5 57
685	51573.6	4.83	-999	-999	1020C 2H-1 97
688	51836.2	-999	7.5	0.293	1020C 2H-1 100
705	53324.5	4.725	-999	-999	1020C 2H-1 117
713	54024.9	-999	8.7	0.336	1020C 2H-1 125
725	54783.8	4.595	-999	-999	1020C 2H-1 137
738	55542.7	-999	7.8	0.303	1020C 2H-2 0
763	57002.2	-999	8	0.312	1020C 2H-2 25
788	58461.6	-999	7.7	0.302	1020C 2H-2 50
813	59921.1	-999	7.1	0.282	1020C 2H-2 75
838	61380.5	-999	6.6	0.262	1020C 2H-2 100
863	62840	-999	7.2	0.284	1020C 2H-2 125
888	64299.5	-999	6.7	0.268	1020C 2H-3 0
905	65408.9	4.855	-999	-999	1020C 2H-3 17
913	66063.1	-999	7.3	0.288	1020C 2H-3 25
925	67044.4	4.83	-999	-999	1020C 2H-3 37
938	68107.6	-999	7.2	0.285	1020C 2H-3 50
945	68680	4.72	-999	-999	1020C 2H-3 57
963	70152	-999	8.9	0.342	1020C 2H-3 75
965	70315.6	4.585	-999	-999	1020C 2H-3 77
985	71951.1	4.415	-999	-999	1020C 2H-3 97
988	72196.4	-999	8	0.31	1020C 2H-3 100
1005	73586.7	4.47	-999	-999	1020C 2H-3 117
