# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1145-tab.txt
# Complete Data
# File Created: 03-May-2006
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Delia W. Oppo
# Core/Site:      ODP1145
# Latitude:       19.35.00N	( 19.58333)
# Longitude:      117.38.00E	( 117.6333)
# Water Depth(m): 3175
#
# Publications:
#   Oppo, D.W. and Y. Sun. 2005. Amplitude and timing of sea-surface temperature
#     change in the northern South China Sea: Dynamic link to the East Asian monsoon.
#     Geology, Vol. 33(10), pp. 785-788.
#------------------
#
# Description & Notes:
#   South China Sea d18O and Mg/Ca Data and SST Reconstruction.
#   The precision of the measurements is better than ±0.09‰ for d18O, as determined
#   by replicate analyses of NBS-19 and laboratory standards. Based on repeated determinations
#   of 3 different consistency standards, instrumental error of Mg/Ca is estimated
#   to 0.
#
# ODP1145 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-            Lab Num.  Notes
#  70          5080          55            55                               OS-27536              Cal Kyr. used: 5400  2sigma-error bars: 5381,5509  1H-01 50-52cm (0.7m)
#  150         10600         75            75                               OS-27537              Cal Kyr. used: 11800  2sigma-error bars: 11554, 12121 1H-01 130-132cm (1.5m)
#  180         12250         80            80                               OS-27538              Cal Kyr. used: 13700  2sigma-error bars: 13466, 13868 1H-02 11cm (1.8m)
#  180         12350         65            65                               OS-27540              Cal Kyr. used: 13700  2sigma-error bars: 13667, 13968 1H-02 11cm (1.8m)
#  220         13550         85            85                               OS-27539              Cal Kyr. used: 15700  2sigma-error bars: 15187, 15966 1H-02 50-52 (2.2m)
# 
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#             d18Og.rub     delta O18 PDB (Globigerinoides ruber)
#             dbsurf        Depth below surface (cm)
#             Mg/Ca-g.rub   Magnesium/Calcium ratio (Globigerinoides ruber)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#
# CORE: ODP1145
depth	calyrBP	d18Oc.wuell	d18Og.rub	dbsurf	Mg/Ca-g.rub	sst-mg/ca	notes
26	1940	2.62	-2.69	0.06	3.38	27.8	C 1 H 1 6 8      
35	2720	-999	-2.32	0.15	3.49	28.2	C 1 H 1 15 17
45	3500	-999	-2.33	0.25	3.12	26.9	C 1 H 1 25 27
56	4280	-999	-2.46	0.36	3.37	27.8	C 1 H 1 36 38
65	5050	-999	-2.45	0.45	3.08	26.8	C 1 H 1 45 47
75	5850	-999	-2.56	0.55	3.39	27.8	C 1 H 1 55 57
86	6660	2.63	-2.05	0.66	3.52	28.3	C 1 H 1 66 68      
95	7480	-999	-2.39	0.75	3.22	27.3	C 1 H 1 75 77
105	8290	-999	-2.45	0.85	3.34	27.7	C 1 H 1 85 87
116	9110	-999	-1.91	0.96	3.58	28.5	C 1 H 1 96 98
125	9920	2.9	-2.37	1.05	3.56	28.4	C 1 H 1 105 107      
135	10740	-999	-1.98	1.15	3.44	28	C 1 H 1 115 117
146	11550	-999	-2.04	1.26	2.88	26	C 1 H 1 126 128
155	12280	-999	-2	1.35	3.17	27.1	C 1 H 1 135 137
176	13550	3.46	-1.72	1.56	3.36	27.8	C 1 H 2 6 8      
185	14100	-999	-1.86	1.65	3.37	27.8	C 1 H 2 15 17
195	14550	-999	-0.79	1.75	3.17	27.1	C 1 H 2 25 27
206	15000	-999	-1.46	1.86	2.42	24.1	C 1 H 2 36 38
215	15440	3.82	-1.27	1.95	2.39	24	C 1 H 2 45 47      
225	15830	-999	-0.77	2.05	2.45	24.2	C 1 H 2 55 57
236	16160	-999	-0.97	2.16	2.92	26.2	C 1 H 2 66 68
245	16490	-999	-1.14	2.25	2.66	25.1	C 1 H 2 75 77
255	16820	3.91	-0.98	2.35	2.37	23.9	C 1 H 2 85 87      
266	17150	-999	-1.29	2.46	2.48	24.4	C 1 H 2 96 98
275	17480	-999	-0.67	2.55	2.39	24	C 1 H 2 105 107
285	17810	-999	-0.78	2.65	2.63	25	C 1 H 2 115 117
296	18140	4.07	-0.92	2.76	2.46	24.3	C 1 H 2 126 128      
305	18470	-999	-0.6	2.85	2.47	24.3	C 1 H 2 135 137
315	18800	-999	-0.77	2.95	2.41	24.1	C 1 H 2 145 147
326	19130	-999	-0.76	3.06	2.64	25.1	C 1 H 3 6 8
