# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1168a-tab.txt
# Complete Data
# File Created: 26-Dec-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Dirk Nuernberg
# Core/Site:      ODP1168A
# Latitude:       42.36.35S	( -42.60972)
# Longitude:      144.24.46E	( 144.4128)
# Water Depth(m): 2463
#
# Publications:
#   Nuernberg, D., N. Brughmans, J. Schönfeld, U.S. Ninnemann, and C. Dullo. 2004.
#     Paleo-export productivity, terrigenous flux, and sea surface temperature around
#     Tasmania - Implications for glacial/interglacial changes in the Subtropical Convergence
#     Zone. in Exon, N., J.P. Kennett, and M. Malone (eds.) The Cenozic Southern Ocean:Tectonics,
#     Sedimentation and Climate Change Between Australia and Antarctica. Geophysical
#     Monograph Series, 151, 291-318.
#------------------
#
# Description & Notes:
#   Tasmanian Gateway ODP Leg 189 Sediment Data and SST Reconstructions
#   SST calculated from Mg/Ca using formula in Mashiotta et al., 1999.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Al umol/g     Aluminum (µmol/g)
#             carb%         Calcium Carbonate percent
#             carb-coar%    Coarse Calcium Carbonate percent
#             chlor         Chlorins (µg/g)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#             Fe umol/g     Iron (µmol/g)
#             L*            Sediment lightness (L*), CIE scale
#             Mg/Ca-g.bull  Magnesium/Calcium ratio (Globigerina Bulloides)
#             silic%        Siliciclast percent
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#             Ti umol/g     Titanium (µmol/g)
#             toc%          Total organic carbon percent
#             susc          Magnetic Susceptibility
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             mg/ca-rep     Magnesium/Calcium ratio replicate
#
# CORE: ODP1168A
depth	yrBP 	Al umol/g	carb%	carb-coar%	chlor	d18Oc.wuell	Fe umol/g	L*	Mg/Ca-g.bull	silic%	sst-mg/ca	Ti umol/g	toc%	susc	d18Og.bull	mg/ca-rep	notes
5	7810	470.59	80.863	36.298	399.226	1.092	145.444	64.04	2.38	19.137	15.08	17.178	0.284	-999	-999	-999	1-1-005
10	9818	496.415	78.901	32.816	93.407	3.089	157.759	64.36	2.32	21.099	14.84	18.191	0.298	8	-999	-999	1-1-010
15	11826	606.461	75.376	31.872	299.051	3.329	233.202	59.15	2.16	24.624	14.17	23.559	0.28	9	-999	-999	1-1-015
20	13834	711.319	72.501	28.911	276.653	-999	254.132	56.71	2.31	27.499	14.8	27.585	0.387	11	-999	-999	1-1-020
25	15842	486.77	62.123	29.197	734.613	3.208	140.068	54.52	2.4	37.877	15.16	19.295	0.472	8	-999	-999	1-1-025
30	17850	739.382	71.414	38.311	1020.157	4.061	208.595	53.87	2.2	28.586	14.35	28.132	0.482	6	-999	-999	1-1-030
35	18668	849.727	68.46	43.598	1248.793	3.711	219.517	52.23	2.42	31.54	15.24	27.593	0.534	7	-999	-999	1-1-035
40	19486	868.897	67.768	42.896	955.955	-999	208.762	54.26	1.82	32.232	12.57	27.659	0.503	9	-999	-999	1-1-040
45	20304	917.756	68.376	42.648	1938.713	-999	208.674	55.2	2.12	31.624	14	30.667	0.52	12	-999	-999	1-1-045
50	21122	792.405	71.122	42.683	1034.961	3.628	187.258	54.47	2.04	28.878	13.64	27.296	0.481	12	-999	-999	1-1-050
55	21940	863.724	70.547	46.946	1193.397	3.841	194.902	53.25	1.7	29.453	11.94	29.986	0.524	10	-999	-999	1-1-055
60	25473.7	674.121	74.535	44.542	1692.817	3.383	147.203	49.65	2.28	25.465	14.68	24.82	0.546	9	-999	-999	1-1-060
75	36075	328.4	87.117	14.774	112.429	2.844	106.977	67.84	2.28	12.883	14.68	10.995	0.198	0	-999	-999	1-1-075
80	39608.8	316.919	87.067	14.998	148.892	-999	93.592	64.54	2.34	12.933	14.92	10.982	0.235	1	-999	-999	1-1-080
85	43142.5	339.589	86.784	8.646	493.353	3.038	96.532	65.03	2.57	13.216	15.8	12.359	0.238	0	-999	-999	1-1-085
