# NOAA Paleoclimatology Program - Paleocean Site Data
# odp846-l-tab.txt
# Complete Data
# File Created: 28-Dec-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Zhonghui Liu
# Core/Site:      ODP846
# Latitude:       3.05.42S	( -3.095)
# Longitude:      90.49.06W	( -90.81834)
# Water Depth(m): 3296
#
# Publications:
#   Liu, Z. and T.D. Herbert. 2004. High-latitude influence on the eastern equatorial
#     Pacific climate in the early Pleistocene epoch. Nature, Vol.
#     427, No.6976, 720-723.
#------------------
#
# Description & Notes:
#   Eastern Pacific Pleistocene Alkenone Data and SST Reconstruction.
#   Depth is a revised composite depth. Uncertainty of measurements in terms of SST
#   is 0.2 C and in terms of alkenone contents is 5%. Age model is based on Mix et
#   al. (1995, Benthic foraminerferal stable isotope stratigraphy of Site 846: 0-1.8
#   Ma, Scientific
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             c37nmol       C37 alkenone abundance (nmol/g)
#             compdep       Composite depth (cm)
#             temp          Temperature (C)
#
# CORE: ODP846
depth	yrBP 	c37nmol	compdep	temp	notes
16	4000	2.37	16	23	846B 1H-1 15-16
26	6400	2.1	26	23.1	846B 1H-1 25-26
36	8800	1.87	36	23.2	846B 1H-1 35-36
46	11300	2.74	46	22	846B 1H-1 45-46
56	13700	3.75	56	21.7	846B 1H-1 55-56
66	16100	7.62	66	21.4	846B 1H-1 65-66
76	18400	7.86	76	21.7	846B 1H-1 75-76
86	20700	7.73	86	21.3	846B 1H-1 85-86
96	23000	8.81	96	21.2	846B 1H-1 95-96 846B 1H-1 95-96
106	25200	8.58	106	20.6	846B 1H-1 105-106
116	27400	10.38	116	20.5	846B 1H-1 115-116
126	29500	9.88	126	20.7	846B 1H-1 125-126
136	31500	10.22	136	20.6	846B 1H-1 135-136
146	33400	7.09	146	20.9	846B 1H-1 145-146
156	35300	5.34	156	21.4	846B 1H-2 5-6
166	37100	4.79	166	21.2	846B 1H-2 15-16
176	38900	6.11	176	21.2	846B 1H-2 25-26
186	40600	6.13	186	21.4	846B 1H-2 35-36
196	42200	7.1	196	21.5	846B 1H-2 45-46
206	43800	9.89	206	21.6	846B 1H-2 55-56
216	45400	11.21	216	21.6	846B 1H-2 65-66
226	47000	9.52	226	21.6	846B 1H-2 75-76
236	48500	7.95	236	21.9	846B 1H-2 85-86
246	50000	7.69	246	22.2	846B 1H-2 95-96
256	51500	6.7	256	22.1	846B 1H-2 105-106
266	53100	4.77	266	22.2	846B 1H-2 115-116
276	54700	6.45	276	22.6	846B 1H-2 125-126
286	56300	7.02	286	22.5	846B 1H-2 135-136
296	58000	11.08	296	22.4	846B 1H-2 145-146
306	59700	16.77	306	22	846B 1H-3 5-6
316	61500	13.44	316	22.2	846B 1H-3 15-16
326	63400	18.18	326	22	846B 1H-3 25-26
336	65400	17.11	336	22.1	846B 1H-3 35-36 846B 1H-3 35-36
346	67500	16.99	346	22.1	846B 1H-3 45-46
356	69900	13.65	356	22.3	846B 1H-3 55-56
366	72400	10.76	366	22.5	846B 1H-3 65-66
376	75200	9.08	376	22.4	846B 1H-3 75-76
386	78100	8.56	386	22.8	846B 1H-3 85-86
397	81700	12.08	396	23.3	846B 1H-3 95-96
408	85400	12.75	406	23	846B 1H-3 105-106
418	89000	12.6	416	23	846B 1H-3 115-116
426	92000	11.71	426	22.9	846B 1H-3 125-126
431	93800	12.15	416	22.9	846D 1H-1 115-116
436	95700	11.19	436	22.9	846B 1H-3 135-136
441	97500	11.19	426	23.2	846D 1H-1 125-126
446	99300	9.95	446	23.1	846B 1H-3 145-146
453	101700	10.71	436	22.9	846D 1H-1 135-136
465	105800	10.29	446	22.3	846D 1H-1 145-146 846D 1H-1 145-146
477	109600	9.64	456	22.8	846D 1H-2 5-6
488	112900	7.81	466	22.5	846D 1H-2 15-16
500	116300	7.13	476	22.9	846D 1H-2 25-26
510	118900	4.78	486	23.8	846D 1H-2 35-36
520	121500	5.84	496	23.7	846D 1H-2 45-46
530	124000	3.22	506	25.1	846D 1H-2 55-56
540	126400	3.67	516	24.7	846D 1H-2 65-66
550	128800	5.87	526	23.5	846D 1H-2 75-76
560	131100	5.14	536	23.5	846D 1H-2 85-86
570	133400	7.41	546	22.1	846D 1H-2 95-96
580	135600	6.36	556	22.1	846D 1H-2 105-106
590	137800	5.92	566	22.6	846D 1H-2 115-116 846D 1H-2 115-116
600	140000	6.98	576	22.3	846D 1H-2 125-126
611	142400	7.23	586	22.3	846D 1H-2 135-136
621	144600	7.67	596	22.4	846D 1H-2 145-146
631	146800	7.97	606	22.3	846D 1H-3 5-6
641	148900	8.41	616	22	846D 1H-3 15-16
651	151000	8.48	626	22	846D 1H-3 25-26
661	153100	9.77	636	21.8	846D 1H-3 35-36
670	154900	8.95	646	21.7	846D 1H-3 45-46
680	157000	10.62	656	21.7	846D 1H-3 55-56
689	158800	8.41	666	22	846D 1H-3 65-66
698	160700	12.47	676	22.7	846D 1H-3 75-76
707	162500	13.37	686	22.7	846D 1H-3 85-86 846D 1H-3 85-86
716	164400	14.54	696	22.3	846D 1H-3 95-96
725	166300	7.48	706	22.1	846D 1H-3 105-106
734	168300	9.14	716	22.4	846D 1H-3 115-116
743	170300	10.22	726	22.6	846D 1H-3 125-126
751	172200	10.54	736	22.8	846D 1H-3 135-136
760	174400	12.48	746	23.3	846D 1H-3 145-146
769	176800	14.29	756	23.3	846D 1H-4 5-6
777	179200	14.38	766	23.2	846D 1H-4 15-16
