# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982-l-tab.txt
# Complete Data
# File Created: 02-Feb-2010
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Lawrence, K.T., T.D. Herbert, C.M. Brown, M.E. Raymo, and A.M. Haywood. 2009.
#     High-amplitude variations in North Atlantic sea surface temperature during the
#     early Pliocene warm period. Paleoceanography, 24, PA2218.
#------------------
#
# Description & Notes:
#   North Atlantic ODP982 Pliocene Alkenone SST Reconstruction
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37.p    Sea Surface Temperature from Uk'37 (Prahl et al '88)
#             uk37          Alkenone saturation index
#
# CORE: ODP982
depth	calyrBP 	sst-uk37.p	uk37	notes
0	0	13.36	0.49	982A 1H-1 0-2
7.5	1013	12.83	0.48	982A 1H-1 7.5-9.5
15	2402	13.9	0.51	982A 1H-1 15-17
22.5	3782	14.25	0.52	982A 1H-1 22.5-24.5
37.5	6552	13.65	0.5	982A 1H-1 37.5-39.5
45	7932	14.33	0.53	982A 1H-1 45-47
52.5	9368	14.89	0.55	982A 1H-1 52.5-54.5
60	11258	14.98	0.55	982A 1H-1 60-62
67.5	13351	12.58	0.47	982A 1H-1 67.5-69.5
75	15838	12.5	0.46	982A 1H-1 75-77
82.5	19018	13.81	0.51	982A 1H-1 82.5-84.5
90	23338	12.88	0.48	982A 1H-1 90-92
97.5	27663.5	14	0.52	982A 1H-1 97.5-99.5
105	31988	12.82	0.47	982A 1H-1 105-107
112.5	36130	11.29	0.42	982A 1H-1 112.5-114.5
120	39586	9.6	0.37	982A 1H-1 120-122
127.5	43050	9	0.35	982A 1H-1 127.5-129.5
135	46296	9.89	0.38	982A 1H-1 135-137
142.5	49105	11.68	0.44	982A 1H-1 142.5-144.5
150	51874	9.44	0.36	982A 1H-2 0-2
157.5	54644	9.41	0.36	982A 1H-2 7.5-9.5
165	57410	8.7	0.33	982A 1H-2 15-17
172.5	60175	9.16	0.35	982A 1H-2 22.5-24.5
180	62950	11.8	0.44	982A 1H-2 30-32
187.5	66160	11.34	0.42	982A 1H-2 37.5-39.5
195	69616	12.98	0.48	982A 1H-2 45-47
202.5	73080	13.41	0.49	982A 1H-2 52.5-54.5
210	76848	13.25	0.49	982A 1H-2 60-62
217.5	81176	11.87	0.44	982A 1H-2 67.5-69.5
225	85778	12.35	0.46	982A 1H-2 75-77
232.5	90388	12.66	0.47	982A 1H-2 82.5-84.5
240	95005	12.98	0.48	982A 1H-2 90-92
247.5	99617	16.18	0.59	982A 1H-2 97.5-99.5
255	104225	14.62	0.54	982A 1H-2 105-107
262.5	108832.5	10.3	0.39	982A 1H-2 112.5-114.5
270	113370	16.23	0.59	982A 1H-2 120-122
277.5	117749	16	0.58	982A 1H-2 127.5-129.5
285	122078	14.62	0.54	982A 1H-2 135-137
292.5	126531	13.33	0.49	982A 1H-2 142.5-144.5
300	131430	14.19	0.52	982A 1H-3 0-2
307.5	137395	11.43	0.43	982A 1H-3 7.5-9.5
315	144589	9.97	0.38	982A 1H-3 15-17
322.5	153219	13.11	0.48	982A 1H-3 22.5-24.5
330	160716	11.4	0.43	982A 1H-3 30-32
337.5	166594	11.3	0.42	982A 1H-3 37.5-39.5
345	172360	11.28	0.42	982A 1H-3 45-47
352.5	178124	13.73	0.51	982A 1H-3 52.5-54.5
