# NOAA Paleoclimatology Program - Paleocean Site Data
# ps1778-5-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Uta Brathauer
# Core/Site:      PS1778-5
# Latitude:       49.00.42S	( -49.01167)
# Longitude:      12.41.48W	( -12.69667)
# Water Depth(m): 3380
#
# Publications:
#   Brathauer, U., and A. Abelmann. 1999. Late Quaternary variations in sea surface
#     temperatures and their relationship to orbital forcing recorded in the Southern
#     Ocean (Atlantic sector) Paleoceanography 14(2):135-148.
#------------------
#
# Description & Notes:
#   South Atlantic sea surface temperatures during the late Quaternary.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             sst-aug       Sea Surface Temperature (C, August)
#
# CORE: PS1778-5
depth	yrBP 	sst-aug	
0	0	-999	
2	-999	6.5	
10	-999	5.33	
20	-999	3.87	
30	12260	2.67	
40	-999	3.32	
50	-999	3.33	
60	-999	3.07	
78	-999	0.99	
100	17790	0.76	
120	-999	2.29	
140	18680	1.76	
160	-999	3.83	
178	-999	2.61	
200	-999	0.9	
220	-999	2.12	
240	-999	2.35	
260	-999	0.95	
278	-999	1.36	
300	-999	2.48	
320	22050	2.73	
340	-999	3.9	
360	23930	1.92	
377	-999	1.85	
400	35520	1.59	
420	44040	2.4	
440	-999	3.3	
460	-999	2.9	
478	-999	4.4	
500	-999	3.39	
520	55520	2.73	
540	-999	1.45	
560	-999	1.69	
577	62800	1.46	
600	-999	2.76	
620	-999	2.11	
640	69210	1.28	
660	-999	1.4	
679	71350	1.99	
700	-999	3.47	
720	-999	1.62	
730	-999	0.28	
740	-999	2.57	
750	78760	2.77	
760	-999	4.03	
770	-999	0.99	
780	-999	0.91	
790	81460	1.68	
800	-999	1.63	
810	90610	3.11	
820	-999	3.58	
830	-999	3.07	
840	-999	2.46	
850	-999	1.94	
860	-999	2.59	
870	-999	4.21	
879	104960	2.87	
890	-999	0.29	
900	-999	0.67	
910	-999	4	
920	124100	6.84	
930	-999	5.47	
940	-999	1.79	
950	-999	3.48	
960	-999	0.3	
980	-999	1.31	
1000	-999	0.65	
1020	-999	0.86	
1040	138410	1.08	
1060	-999	1.41	
1080	158030	0.97	
1100	170950	0.97	
1120	-999	0.99	
1140	-999	0.58	
1160	-999	0.21	
1180	186030	1.24	
1200	-999	0.92	
1220	-999	0.71	
1240	-999	1.31	
1260	-999	1.31	
1270	-999	0.39	
