# NOAA Paleoclimatology Program - Paleocean Site Data
# q200-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Philip P.E. Weaver
# Core/Site:      Q200
# Latitude:       45.59.42S	( -45.995)
# Longitude:      172.01.30E	( 172.025)
# Water Depth(m): 1370
#
# Publications:
#   Weaver, P.P.E., L. Carter, and H.L. Neil. 1998. Response of surface water masses
#     and circulation to late Quaternary climate change east of New Zealand. Paleoceanography
#     13(1):70-83.
#------------------
#
# Description & Notes:
#   Late Quaternary SW Pacific Foraminifer Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             commun        Communality
#             gyrmar        Gyre margin foraminifer assemblage
#             polar         Polar foraminifer assemblage
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             subpolar      Subpolar foraminifer assemblage
#             trans         Transitional foraminifer assemblage
#             trop/sub      Tropical/Subtropical foraminifer assemblage
#             upwell        Upwelling foraminifer assemblage
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d13Cforams-p  delta C13 PDB (Planktonic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#             d18Oforams-p  delta O18 PDB (Planktonic Foraminifers)
#             forams-b      Benthic Foraminifers (Count)
#             foramsfrag    Foraminifers Fragments
#             frag%         Fragments percent
#             g.aequi       Globigerinella aequilateralis (Count)
#             g.bull        Globigerina bulloides (Count)
#             g.calid       Globigerina calida (Count)
#             g.cavern      Globorotalia cavernula (Count)
#             g.congl       Globigerinoides conglobatus (Count)
#             g.crass       Globorotalia crassaformis (Count)
#             g.crsula      Globorotalia crassula (Count)
#             g.digit       Globigerina digitata (Count)
#             g.falco       Globigerina falconensis (Count)
#             g.glut        Globigerinita glutinata (Count)
#             g.hirsu       Globorotalia hirsuta (Count)
#             g.infla       Globorotalia inflata (Count)
#             g.menar       Globorotalia menardii (Count)
#             g.quinq       Globigerina quinquiloba (Count)
#             g.rub-p       Globigerinoides ruber (pink) (Count)
#             g.rub-w       Globigerinoides ruber (white) (Count)
#             g.rubes       Globigerina rubescens (Count)
#             g.sac-ns      Globigerinoides sacculifer (no sac) (Count)
#             g.sac-ws      Globigerinoides sacculifer (with sac) (Count)
#             g.scit        Globorotalia scitula (Count)
#             g.tenn        Globigerinoides tenellus (Count)
#             g.trc-l       Globorotalia truncatulinoides (left coiling) (Count)
#             g.trc-r       Globorotalia truncatulinoides (right coiling) (Count)
#             g.tumi        Globorotalia tumida (Count)
#             n.duter       Neogloboquadrina dutertrei (Count)
#             n.pachy-l     Neogloboquadrina pachyderma (left coiling) (Count)
#             n.pachy-r     Neogloboquadrina pachyderma (right coiling) (Count)
#             o.univer      Orbulina universa (Count)
#             otherfor      Unidentified planktonic foraminifers (Count)
#             p.obliq       Pulleniatina obliquiloculata (Count)
#             pd            Globigerina pachyderma x Globoquadrina dutertrei intergrade (Count)
#             plank         Planktonic foraminifers (Count)
#             s.dehisc      Sphaeroidinella dehiscens (Count)
#
# CORE: Q200
depth	yrBP 	carb%	commun	gyrmar	polar	sst-aug	sst-feb	subpolar	trans	trop/sub	upwell	d13Cforams-b	d13Cforams-p	d18Oforams-b	d18Oforams-p	forams-b	foramsfrag	frag%	g.aequi	g.bull	g.calid	g.cavern	g.congl	g.crass	g.crsula	g.digit	g.falco	g.glut	g.hirsu	g.infla	g.menar	g.quinq	g.rub-p	g.rub-w	g.rubes	g.sac-ns	g.sac-ws	g.scit	g.tenn	g.trc-l	g.trc-r	g.tumi	n.duter	n.pachy-l	n.pachy-r	o.univer	otherfor	p.obliq	pd	plank	s.dehisc	
0	0	61.4	0.875	0.056	0.189	8.086	12.642	-0.742	0.321	-0.005	0.427	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
9	2700	62.5	0.883	0.065	0.169	8.799	13.498	-0.73	0.343	0.005	0.448	-0.06	0.55	3.31	2.16	7	90	3.5	0	122	0	1	0	1	0	0	0	30	0	48	0	35	0	0	0	0	0	1	0	21	0	0	0	12	38	0	0	0	1	310	0	
19	5700	58.3	0.876	0.07	0.148	9.272	13.966	-0.701	0.339	0.009	0.494	-0.31	0.51	3.68	2.25	9	130	5	0	124	0	0	0	0	0	0	0	31	0	47	0	34	0	0	0	0	0	1	0	32	0	0	0	9	26	4	0	0	3	311	0	
24	7200	-999	0.853	0.075	0.117	9.381	14.132	-0.684	0.376	-0.018	0.473	-0.22	0.43	3.21	1.87	17	90	3.7	0	124	0	2	0	1	0	1	0	14	0	55	0	35	0	0	0	0	0	1	0	21	1	0	0	4	33	1	0	0	2	295	0	
29	8700	54	0.886	0.064	0.218	7.182	11.645	-0.738	0.236	-0.009	0.485	-0.31	0.21	3.51	2.61	19	170	4	0	224	0	0	0	0	0	0	0	34	0	54	0	67	0	0	0	0	0	1	0	27	2	0	0	32	63	4	4	0	1	513	0	
34	10200	-999	0.894	0.067	0.298	6.067	10.526	-0.709	0.181	-0.013	0.514	0.04	0.27	4.13	2.76	18	120	3.8	0	175	0	0	0	1	0	0	0	23	0	32	0	56	0	0	0	0	0	0	0	14	1	0	0	40	35	2	1	0	2	382	0	
39	11700	25.4	0.921	0.051	0.676	6.29	10.024	-0.53	0.204	0.01	0.374	-0.48	0.24	4.12	3.72	47	180	5.6	0	106	2	0	0	1	0	0	0	35	0	35	0	59	0	0	0	0	0	1	0	17	0	0	1	99	16	1	4	0	1	378	0	
44	13700	-999	0.904	0.055	0.611	4.929	8.797	-0.555	0.164	-0.012	0.44	-999	0.12	-999	2.78	60	223	7.4	0	121	0	0	0	0	0	0	0	20	0	29	0	65	0	0	0	0	0	0	0	11	0	0	0	89	14	0	1	0	0	350	0	
49	15550	7.1	0.985	0.033	0.881	4.524	7.835	-0.346	0.102	-0.012	0.278	-999	-0.01	-999	2.99	137	372	10.1	0	113	0	0	0	2	0	0	0	20	0	23	0	39	0	0	0	0	0	1	0	6	1	0	0	196	13	0	0	0	0	414	0	
54	17405	-999	0.997	0.003	0.991	2.069	6.232	-0.087	0.018	-0.018	0.08	-999	0.03	-999	3.07	63	321	9.6	0	47	0	0	0	0	0	0	0	0	0	3	0	29	0	0	0	0	0	0	0	5	0	0	0	287	5	0	0	0	0	376	0	
59	19257	-999	0.985	-0.004	0.992	1.401	5.956	-0.002	0.016	-0.015	0.01	-999	-999	-999	-999	70	463	17.2	0	20	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	251	1	0	0	0	0	278	0	
60	-999	6.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
69	22960	10.3	0.978	0.005	0.98	2.488	6.49	-0.087	0.07	-0.013	0.061	-999	0.23	-999	3.74	50	723	16.9	0	38	0	0	0	0	0	0	0	8	1	26	0	81	0	0	0	0	0	1	0	2	0	0	0	287	1	0	0	0	0	445	0	
