# NOAA Paleoclimatology Program - Paleocean Site Data
# r13-110p-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicklas G. Pisias
# Core/Site:      RC13-110
# Latitude:       0.00.00N	( 0)
# Longitude:      96.00.00W	( -96)
# Water Depth(m): 3231
#
# Publications:
#   Pisias, N.G., and A.C. Mix. 1997. Spatial and temporal oceanographic variability
#     of the eastern equatorial Pacific during the late Pleistocene: Evidence from
#     Radiolaria microfossils. Paleoceanography 12(3):381-393.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific Radiolaria Data.
#   Eight Radiolaria-based SST records covering the past 150 KYrBP are dominated
#   by the orbital frequency periods plus a non-orbital 31KYr period. Last Glacial
#   Maximum SST cooling is estimated at 3 to 5 degrees C.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             a.dent%       Antarctissa denticulata percent
#             a.ophir%      Anthocyrtidium ophirense percent
#             antarc.r      Antarctic radiolarian factor assemblage
#             b.aquil%      Botryostrobus aquilonaris percent
#             b.aur/aus%    Botryostrobus auritus/australis group percent
#             bering.r      Bering Sea radiolarian factor assemblage
#             c.bicor%      Cycladophora bicornis percent
#             c.boreal%     Ceratospyris borealis percent
#             c.dav2%       Cycladophora davisiana davisiana percent
#             c.davcor%     Cycladophora davisiana cornutoides percent
#             commun        Communality
#             d.hirun%      Dictyophimus hirundo percent
#             d.prof%       Dictyocoryne profunda percent
#             d.tetra%      Didymocyrtis tetrahalamus percent
#             e.delic%      Echinomma delicatum percent
#             e.fur+eleg%   Euchitonia furcata + Euchitonia elegans percent
#             e.trian%      Euchotonia triangulum percent
#             ebc.r         eastern boundary current radiolarian factor assemblage
#             ecf.lepto%    Echinomma cf leptodermum percent
#             g.angul%      Giraffospyris angulata percent
#             gyrmar.r      gyre margin radiolarian factor assemblage
#             h.aster%      Heliodiscus astericus percent
#             h.entha%      Hexacontium enthacanthum percent
#             h.euclid%     Hymenastrium euclidis percent
#             l.butsch%     Larcopyle butschlii percent
#             l.juno%       Lamprocyclas junonis percent
#             l.minor%      Lithelius minor percent
#             l.nigri%      L. nigriniae percent
#             l.retic%      Liriospyris reticulata percent
#             p.antarc%     Prunopyle antarctica percent
#             p.clau+zan%   Pterocorys clausus and Pterocorys zancleus percent
#             p.corb%       Phormostichoartus corbula percent
#             p.mini%       Pt minithorax percent
#             p.prae+euc%   Pterocanium praetextum and Pterocanium eucolpum percent
#             p.spino%      Polysolenia spinosa percent
#             porod.b%      Porodiscus sp. B percent
#             ptero.sp%     Pterocanium sp. Percent
#             radio         Radiolarians (Count)
#             s.aster%      Stylochlamydium asteriscus percent
#             s.ellip%      Spongurus elliptica percent
#             s.oscul%      Spongopyle osculosa percent
#             s.tetra%      Spongaster tetras percent
#             s.valid%      Stylodictya validispina percent
#             seasdif       August to February SST difference (C)
#             spong.sp%     Spongurus sp.-percent
#             sst           Sea Surface Temperature (C)
#             t.oct+o.ste%  Tetrapyle octacantha and Octopyle stenozona percent
#             t.scaph%      Tholospyris scaphipes percent
#             t.trach2%     Theocorythium trachelium trachelium percent
#             transit.r     Transitional radiolarian factor assemblage
#             tropic.r      Tropical radiolarian factor assemblage
#             wpacif.r      Western Pacific radiolarian factor assemblage
#
# CORE: RC13-110
depth	yrBP 	a.dent%	a.ophir%	antarc.r	b.aquil%	b.aur/aus%	bering.r	c.bicor%	c.boreal%	c.dav2%	c.davcor%	commun	d.hirun%	d.prof%	d.tetra%	e.delic%	e.fur+eleg%	e.trian%	ebc.r	ecf.lepto%	g.angul%	gyrmar.r	h.aster%	h.entha%	h.euclid%	l.butsch%	l.juno%	l.minor%	l.nigri%	l.retic%	p.antarc%	p.clau+zan%	p.corb%	p.mini%	p.prae+euc%	p.spino%	porod.b%	ptero.sp%	radio	s.aster%	s.ellip%	s.oscul%	s.tetra%	s.valid%	seasdif	spong.sp%	sst	t.oct+o.ste%	t.scaph%	t.trach2%	transit.r	tropic.r	wpacif.r	
1	360	0	1.41	0.1032	0.59	0.24	-0.0044	0	0	1.3	0	0.9031	0	0	2.6	1.3	1.06	0	0.2373	0.12	0.59	-0.0641	0.95	0.83	0.24	0.71	0.47	1.06	0.47	0.47	0.47	2.6	0.24	2	0.83	0.47	0.35	0.12	846	6.38	0	0.24	0.59	0.35	4.38	0	23.5	9.81	0.71	0.59	0.3423	0.8416	-0.0814	
11	3878	0	0.52	0.1204	0.39	0.26	-0.0311	0	0	0.52	0.13	0.9095	0	0	1.3	1.3	0.78	0	0.2119	0.13	0.91	-0.1613	0.26	2.34	0.13	1.82	0.26	1.56	0	0.39	0.39	3	0.26	1.43	1.43	1.04	0.65	0.26	766	6.26	0	0.39	0.78	0.13	4.51	0.13	23.09	10.4	0.91	0.26	0.3733	0.8242	-0.0671	
21	6960	0	0.59	0.1464	0.35	0.47	-0.0055	0	0	0.47	0	0.9153	0	0.12	2.57	1.28	1.05	0.12	0.2043	0.23	1.52	-0.1024	0.59	1.17	0.35	1.75	0.35	1.17	0.12	0.47	0.23	2.22	0.12	2.69	0.59	0.94	0.7	0	854	5.73	0	0.7	0.7	1.28	3.64	0.12	23.81	11.4	0.94	0.12	0.3273	0.8512	-0.0998	
31	10333	0	1.17	0.1124	1.44	0.79	-0.0137	0	0	0.13	0	0.9103	0	0.26	3.01	1.31	0.92	0.13	0.2684	0.52	1.44	-0.1145	0.66	1.17	0.92	1.31	0.39	1.04	0.39	0.39	0.39	2.49	0.13	2.22	0.52	0.52	1.31	0.26	763	3.53	0	0.39	0.52	0.66	3.14	0	24.17	12	0.39	0.13	0.3083	0.8356	-0.1383	
41	13644	0	1.44	0.1619	0	1.05	0.0084	0	0	0.39	0.13	0.8701	0	0.13	1.97	2.23	0.66	0.26	0.3093	1.18	0.26	-0.1448	0	1.97	0.39	0.79	0.66	1.31	0.39	0.53	0.92	3.41	0	2.23	0.79	0.13	1.18	0.53	761	4.33	0	0.79	0.39	0.66	4.31	0.26	21.45	7.49	0.66	0	0.4471	0.7205	-0.0901	
51	16960	0	0.88	0.1781	0.25	0.38	-0.0396	0	0	0.75	0	0.9221	0	0.25	2.38	2.38	0.13	0.25	0.2217	1.38	0.13	-0.0559	0.25	1.63	0.38	1.38	0.88	3.13	0.5	0.25	1	2.38	0.75	1.25	0.88	0.5	1	0	797	5.39	0	0.38	0.13	1.88	6.62	0.63	19.64	11.4	0.38	0	0.5432	0.7358	-0.0104	
60	20843	0	0.47	0.1702	0.71	1.18	-0.0672	0	0	0.35	0	0.8902	0	0.12	1.65	2.24	0.24	0.24	0.329	1.06	0	-0.1648	0.47	2.24	0.24	1.77	0.71	1.3	2	0.24	1.06	4.72	0.35	0.95	0.83	0.12	0.35	0.12	846	2.83	0	0.83	0.35	1.3	4.85	0.35	19.84	8.86	0.47	0	0.5118	0.676	-0.0497	
71	26135	0	0.34	0.1961	0.68	0.8	0.0639	0	0	0.68	0	0.8374	0	0	2.73	2.05	1.25	0.91	0.2941	1.36	0.57	-0.1599	0	1.48	0.34	1.02	1.02	0.23	0.57	0	1.25	1.59	0.23	1.7	1.36	0.23	1.02	0.68	878	3.3	0	1.7	0.46	1.02	3.32	0.91	22.01	7.28	0.91	0	0.4027	0.7122	-0.1155	
81	29129.4	0	0.37	0.1792	0.25	1	-0.0371	0	0	0.12	0	0.8753	0	0.25	1.61	2.61	0.75	0.12	0.3592	1.24	0	-0.1137	0.25	1.49	0.5	1.61	0.75	1.74	0.75	0.25	1.61	3.36	0.37	3.61	1.12	0.12	0.75	0.5	803	2.36	0	0.5	0	1.74	4.49	0.5	19.98	9.21	0.5	0	0.5078	0.6568	-0.1028	
91	31965	0	0.76	0.1893	0.54	1.95	0.006	0	0	0.76	0	0.8597	0.11	0	2.38	2.17	0.65	0.22	0.3396	0.54	0.65	-0.0655	0.54	0.76	0.43	0.98	0.33	2.17	1.41	0	1.84	2.6	0.11	3.36	0.98	0.11	0.76	0.22	921	3.58	0	0.98	0.11	1.19	4.68	1.19	20.41	7.38	0.33	0	0.4791	0.6819	-0.0985	
101	34455	0	0.9	0.1562	0.11	1.68	0.0071	0	0	0.56	0	0.8559	0.78	0.11	3.25	1.45	0.34	0.11	0.4326	1.45	0.45	-0.17	0	2.57	0.45	1.79	0.67	1.45	1.79	0.11	0.67	3.58	0.11	4.37	0.56	0	0.67	0.11	892	2.57	0	0.78	0.11	0.56	4.04	0.56	21.57	6.72	1.12	0	0.4389	0.6457	-0.0764	
111	37442	0	0.69	0.0893	0.57	1.49	-0.0013	0	0	0.46	0	0.8597	0.23	0.11	2.86	2.06	0.69	0.23	0.4399	0.69	0.8	-0.1032	0.11	2.06	0.69	0.57	0.23	1.26	2.06	0.11	0.34	3.55	0.46	4.93	1.14	0.34	0.69	0.34	872	2.75	0	0.11	0.11	0	4.02	0.46	23.39	8.37	0.57	0	0.3539	0.7103	-0.133	
121	40550	0	0.97	0.1498	0.61	1.93	0.0441	0	0	0.24	0.12	0.8455	0.12	0.12	2.18	1.33	0.48	0.12	0.4474	1.81	0.12	-0.2199	0	2.54	0.36	1.33	0.73	1.33	0.85	0.12	1.69	4.24	0	4.84	1.09	0.36	0.73	0.24	825	1.93	0	0.12	0.24	0.85	4.01	0.61	21.1	5.09	0.85	0	0.4595	0.5967	-0.073	
131	44584	0	0.79	0.1345	0.11	1.01	0.0138	0	0	0.11	0	0.8595	0.34	0.45	1.91	2.48	1.01	0.11	0.4195	1.01	0.23	-0.1947	0	2.02	0.11	1.57	0.56	1.35	1.12	0.11	2.02	5.74	0.11	4.17	0.68	0.11	1.24	0.45	887	2.36	0.11	0	0.11	0.79	4.21	0.68	20.84	6.98	0.79	0	0.4845	0.6223	-0.0737	
